vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,1,公告库,天赐材料:关于公司2026年中期利润分配方案的公告,0.73,"公告标题：天赐材料:关于公司2026年中期利润分配方案的公告；
发布时间：2026-08-04；
证券简称：天赐材料
原文： 广州天赐高新材料股份有限公司（证券代码002709，证券简称天赐材料）发布2026年中期利润分配方案公告，本次方案为每10股派发现金红利1.00元（含税），不送红股，不进行资本公积金转增股本，分配以实施权益分派股权登记日登记的总股本扣除回购专用账户股份后为基数，若方案实施前总股本因股份回购、股权激励行权等事项发生变动，将保持每股分配比例不变，相应调整分配总额。该方案由控股股东徐金富提议，已经公司第七届董事会第五次会议审议通过，尚需提交股东大会审议。 本次分配方案以公司2026年第一季度报告数据为基础编制，截至2026年3月31日，公司合并报表归属于母公司股东的净利润为1654404644.44元，母公司实现净利润为405909553.35元；合并报表期末未分配利润为10928292915.71元，母公司期末未分配利润为3588145527.35元，以上数据均未经审计。 截至2026年7月31日，公司总股本为2038561744股，回购专用账户已回购股份8495760股，扣除后可参与分配的股份总数为2030065984股，按方案拟派发现金红利总额为203006598.40元（含税）。本次分红方案符合《公司法》《公司章程》及公司股东分红回报规划的相关规定，充分考虑了公司行业特点、发展阶段、盈利水平、资金需求及股东回报等因素，不会对公司每股收益、现金流及正常经营产生重大影响，符合公司长远发展与全体股东利益。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,2,公告库,天赐材料:第七届董事会第五次会议决议的公告,0.67,"公告标题：天赐材料:第七届董事会第五次会议决议的公告；
发布时间：2026-08-04；
证券简称：天赐材料
原文： 广州天赐高新材料（证券代码：002709）于2026年8月3日以通讯方式召开第七届董事会第五次会议，应到董事9人、实到表决董事9人，会议召集与召开程序符合《公司法》及《公司章程》规定，审议通过两项核心议案并形成有效决议。 本次董事会审议通过了2026年中期利润分配方案，该方案由控股股东徐金富先生提议，符合《公司章程》规定的利润分配原则，方案以实施权益分派股权登记日登记的总股本（扣除公司回购专用账户股份）为基数，向全体股东每10股派发现金红利1.00元（含税），不送红股、不进行资本公积金转增股本，剩余未分配利润结转至下一期；若方案实施前因可转债转股、股份回购等事项引发总股本变动，将按照每股分配比例不变的原则调整分配总额。本次利润分配以未经审计的2026年第一季度报告数据为基础，截至2026年3月31日，公司合并报表归属于母公司股东未分配利润为109.28亿元，母公司未分配利润为35.88亿元，2026年第一季度公司合并报表归属于母公司股东的净利润为16.54亿元，母公司实现净利润4.06亿元。本次利润分配方案尚需提交公司股东大会审议，相关公告于决议同日在指定信息披露媒体发布。 本次董事会同时审议通过了《关于召开2026年第三次临时股东会的议案》，相关会议通知公告也于同日在指定信息披露媒体发布。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,3,公告库,天赐材料:关于召开2026年第三次临时股东会通知的公告,0.6,"公告标题：天赐材料:关于召开2026年第三次临时股东会通知的公告；
发布时间：2026-08-04；
证券简称：天赐材料
原文：广州天赐高新材料股份有限公司于2026年8月3日召开第七届董事会第五次会议，审议通过召开2026年第三次临时股东会的议案，会议将于2026年8月19日以现场表决与网络投票相结合的方式召开，股权登记日为2026年8月13日，现场会议地点位于广州市黄埔区云埔工业区东诚片康达路8号公司办公楼二楼培训厅。本次股东会仅审议一项提案，即《关于公司2026年中期利润分配方案的议案》，该议案已通过董事会审议，将对中小投资者表决票单独计票并公开披露计票结果，股东可通过现场登记、电子邮件、信函或传真方式在2026年8月19日8:30~12:00于公司办公楼二楼证券事务部完成登记。股东可通过深交所交易系统和互联网投票系统参与网络投票，交易系统投票时间为2026年8月19日9:15-9:25、9:30-11:30、13:00-15:00，互联网投票系统投票时间为当日9:15至15:00，投票代码为362709，投票简称为天赐投票，对总提案与具体提案重复投票时以第一次有效投票为准。本次股东会的授权委托书与会议登记表均有标准化模板可供使用，授权委托书需明确委托权限与表决意见，会议登记表需完整填写股东及持股相关信息，出席现场会议时需出示登记证明材料原件。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,4,公告库,天赐材料:北京国枫律师事务所关于广州天赐高新材料股份有限公司2026年第二次临时股东会的法律意见,0.56,"公告标题：天赐材料:北京国枫律师事务所关于广州天赐高新材料股份有限公司2026年第二次临时股东会的法律意见；
发布时间：2026-07-21；
证券简称：天赐材料
原文： 北京国枫律师事务所接受广州天赐高新材料股份有限公司委托，指派律师出席并见证该公司2026年第二次临时股东会，依据相关法律法规及公司章程，就本次会议的召集与召开程序、召集人资格、出席会议人员资格、会议表决程序及表决结果等事宜出具本法律意见书，律师仅对会议程序相关合法性发表意见，不对议案内容及数据真实性负责，网络投票相关资格和结果由深交所交易系统和互联网投票系统认证。 本次临时股东会由公司董事会召集，董事会已于2026年7月4日通过法定信息披露渠道公开发布会议通知，载明了会议召开时间、地点、方式、审议事项等核心信息；本次会议采用现场投票加网络投票结合的方式召开，现场会议于2026年7月20日在指定地点如期召开，网络投票时段符合规则要求，所有安排均与会议通知内容一致，本次会议的召集、召开程序符合相关法律法规及公司章程规定。 本次会议召集人为公司董事会，符合法定资格要求；根据深交所相关自律规则，公司回购专用账户中的股份不享有表决权，扣减后本次股东会有表决权股份总数为2,030,065,984股；经核查确认，本次参会股东（股东代理人）合计2309人，代表股份806,499,316股，占公司有表决权股份总数的39.7277%，参会人员资格符合相关规定，合法有效。 本次会议对已公告的全部议案进行逐项审议表决，所有六项提案均获得通过，其中修订公司章程、董事会议事规则、股东会议事规则三项议案获得出席会议股东有效表决权三分之二以上通过，其余三项议案获得过半数通过，本次会议表决程序符合规则要求，表决结果合法有效。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,5,公告库,天赐材料:关于召开2026年第二次临时股东会的提示性公告,0.57,"公告标题：天赐材料:关于召开2026年第二次临时股东会的提示性公告；
发布时间：2026-07-15；
证券简称：天赐材料
原文：  广州天赐高新材料股份有限公司已通过第七届董事会第四次会议审议，决定于2026年7月20日召开2026年第二次临时股东会，本次会议由公司董事会召集，采用现场表决与网络投票相结合的方式召开，符合相关法律法规及公司章程的规定。本次会议的股权登记日为2026年7月14日，出席对象包括在股权登记日收市后登记在册的公司全体普通股股东（可委托代理人参会，代理人无需为公司股东）、公司董事与高级管理人员以及公司聘请的见证律师，现场会议举办地点为广州市黄埔区云埔工业区东诚片康达路8号公司办公楼二楼培训厅。  本次临时股东会共设置六项审议提案，全部为非累积投票提案，具体包括：《关于部分募投项目变更并将剩余募集资金投入新项目的议案》《关于变更公司注册资本暨修订<公司章程>部分条款的议案》《关于修订<股东会议事规则>的议案》《关于修订<董事会议事规则>的议案》《关于修订<投资决策管理制度>的议案》《关于子公司南通天赐终止年产24.3万吨锂电及含氟新材料项目的议案》，所有提案均已经董事会审议通过，其中变更注册资本并修订公司章程的议案为特别决议事项，需获得参会股东所持表决权三分之二以上通过，同时该议案涉及中小投资者利益，需对中小投资者的表决票单独计票并公开披露结果。  本次会议明确了现场参会的登记规则，法人股东与自然人股东需按照对应要求携带相关材料完成登记，可通过直接送达、电子邮件、信函或传真方式在2026年7月20日上午8:30-12:00完成登记，登记地点为公司办公楼二楼证券事务部，并公布了会议联系人及联系方式；同时明确了网络投票的操作规则，股东可通过深交所交易系统或互联网投票系统参与投票，投票时间分别对应设置，本次公告为经董事会发布的召开本次临时股东会的提示性公告，相关文件可在巨潮资讯网查询。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,6,公告库,天赐材料:2026年7月10日投资者关系活动记录表,0.98,"公告标题：天赐材料:2026年7月10日投资者关系活动记录表；
发布时间：2026-07-14；
证券简称：天赐材料
原文： 天赐材料于2026年7月10日召开分析师会议，对2026年半年度业绩预告进行介绍，并对投资者关心的行业供需、产能投放、业务布局等问题进行解答。根据业绩预告，2026年上半年度天赐材料实现归属于上市公司股东的净利润27.00-30.00亿元，同比增长907.84%-1019.82%，扣非后净利润为26.50-29.50亿元，同比增长1029.57%-1157.44%，基本每股收益为1.33-1.48元/股，核心盈利指标实现跨越式高增长。此次业绩高增长主要来源于锂离子电池电解液及六氟磷酸锂产品需求旺盛，上半年电解液出货量同比增长超40%，产能利用率接近满产，叠加行业供需格局优化推动产品价格上行，带动整体毛利率显著改善，实现了量价齐升的增长态势。 分季度来看，天赐材料2026年二季度电解液出货量环比一季度提升约20%，但二季度利润环比有所下降，主要原因是二季度核心原材料碳酸锂价格上涨，同时六氟磷酸锂产品市场均价有所下降。对于六氟磷酸锂行业供需，当前天赐材料的电解液和六氟磷酸锂产能利用率已接近满产，受储能电池需求增长提振，公司预计2026年三季度电解液排产数量将环比进一步增长，下游需求将保持持续旺盛的态势。 在产能布局方面，天赐材料原规划的3.5万吨六氟磷酸锂新增技改产能正按计划推进，将结合市场及订单需求调整投放节奏，预计在2026年下半年投产。针对LiFSI，截至2026年上半年，LiFSI在电解液中平均添加比例约1.5%-2%，高端快充电池添加比例可达4%以上，随着快充电池配方推广，未来平均添加比例有望提升至3%-4%，公司正在布局LiFSI配套新型添加剂技术专利，落地后有望加速添加比例提升。在其他业务布局上，公司目前拥有33万吨磷酸铁产能，可依托产业链协同实现成本优势，二季度正极业务已大幅减亏，后续有望对公司业绩产生积极影响；上游资源方面，公司已在津巴布韦布局锂资源，与头部锂矿企业绑定合作，同时将积极布局磷矿资源支撑磷酸铁产业链，并探索多地萤石资源；当前公司长单仅锁定供应量，不锁定价格，将持续推进核心客户长协合作。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,7,公告库,天赐材料:2026年半年度业绩预告,1.0,"公告标题：天赐材料:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：天赐材料
原文：广州天赐高新材料股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润区间为270000万元至300000万元，较上年同期的26790.05万元同比增长907.84%至1019.82%，扣非后净利润区间为265000万元至295000万元，同比增幅达1157.44%，基本每股收益预计为1.48元/股，较上年同期的0.14元/股大幅提升。本次业绩预增核心原因在于锂离子电池材料电解液及六氟磷酸锂产品市场需求旺盛，上半年电解液出货量同比增长超40%，截至2026年6月，公司电解液和六氟磷酸锂产能利用率接近满产水平，同时行业供需格局优化带动产品价格上行，推动整体毛利率提升。为匹配持续增长的下游需求，公司将推进九江、福鼎等电解液生产基地改扩建项目，增强产能储备以支撑业务中长期扩张，且2026年三季度电解液排产数量预计环比进一步增长。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,8,公告库,天赐材料:公司章程（2026年7月）,0.59,"公告标题：天赐材料:公司章程（2026年7月）；
发布时间：2026-07-04；
证券简称：天赐材料
原文：  本文件为广州天赐高新材料股份有限公司2026年7月修订的公司章程，是规范公司内部行为、约束各主体权利义务的基础性法律文件，内容覆盖公司组织架构、股份管理、股东权利、公司治理等全方面规则。  公司由原广州市天赐高新材料科技有限公司整体变更设立，2014年1月经中国证监会批准完成首次公开发行，同年1月23日在深交所上市，当前注册资本为203856.1744万元，为永久存续的股份有限公司；设立时21名发起人合计以原公司净资产折股认购8000万股发起股份，第一发起人徐金富认购5910.03万股，占发起股份比例73.8754%。  章程明确了公司股份相关规则：当前全部已发行股份均为普通股，合计203856.1744万股，每股面值1元，在中证登深圳分公司集中存管；允许公司在法定情形下回购股份，明确了不同回购情形的决策权限与处理要求，对特定持股主体的股份转让作出限制，同时明确了股东维权路径与连带责任规则；还明确股东会为公司权力机构，划定了股东会职权，规定了需经股东会审议的对外担保情形。  章程明确了董事任职的八类禁止情形，设立独立董事制度，要求独立董事至少一名为会计专业人士，任期最长不超过六年，明确了八类不具备独立性不得担任独立董事的情形；公司董事会共九名董事，含四名独立董事，明确了董事会核心职权与授权范围，设置审计委员会、战略与可持续发展等多个专门委员会，其中审计委员会行使原监事会职权，各专门委员会提案需提交董事会审议；财务分配方面明确了差异化现金分红政策，根据发展阶段设置不同现金分红占比要求，规范了利润分配的决策流程与披露要求。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,9,公告库,天赐材料:会计制度（2026年7月）,0.57,"公告标题：天赐材料:会计制度（2026年7月）；
发布时间：2026-07-04；
证券简称：天赐材料
原文：广州天赐高新材料股份有限公司2026年7月修订的会计制度，以《会计法》《企业会计准则》为制定依据，采用公历年度作为会计年度，以人民币为记账本位币，权责发生制为记账基础，财务报表以历史成本计量为主，外币业务按即期汇率近似汇率折算，资产负债表日根据项目类型采用对应汇率调整并计入当期损益。公司资产定义为过去交易形成、拥有或控制的预期带来经济利益的资源，金融资产分为以摊余成本、公允价值变动计入其他综合收益、当期损益三类，分别明确了分类标准、初始及后续计量规则，同时规范了衍生工具、公允价值计量、金融资产减值、转移及抵销的会计处理方式。公司存货采用加权平均法计价，按可变现净值计提跌价准备，盘存制度为永续盘存制，低值易耗品采用一次转销法摊销；长期股权投资根据合并类型、持有意图分别采用成本法、权益法核算，并明确了减值测试及减值准备计提方法。公司固定资产采用年限平均法计提折旧，根据不同类别确定使用年限、残值率及年折旧率，于资产负债表日进行减值测试，计提相应减值准备，同时规定了大修理费用的会计处理方式。本制度将企业合并分为同一控制下和非同一控制下两类，明确了两类合并的定义、会计计量规则及相关费用处理方式。合并财务报表反映母公司及全部子公司组成的企业集团整体财务状况、经营成果和现金流量，合并范围以控制为基础，需将全部子公司纳入合并范围。编制合并报表时需统一母子公司会计政策和会计期间，以母公司和子公司财务报表为基础，通过合并项目、抵销长期股权投资与所有者权益份额、抵销内部交易、调整特殊交易事项完成编制。",2026-08-13T12:13:18.757469+08:00
gildata,AnnouncementData,天赐材料2026年半年度业绩预告及近期经营公告,10,公告库,天赐材料:董事会议事规则（2026年7月）,0.61,"公告标题：天赐材料:董事会议事规则（2026年7月）；
发布时间：2026-07-04；
证券简称：天赐材料
原文：广州天赐高新材料股份有限公司2026年7月修订的董事会议事规则，依据《公司法》《证券法》等法律法规及公司章程制定，旨在规范董事会议事与决策程序，提升公司治理水平。规则明确董事任职资格与禁止情形，规定董事任期3年可连选连任，且兼任高管及职工代表董事总数不得超过董事总数的二分之一，同时细化了董事的忠实与勤勉义务，包括保密义务、履职要求及离任后责任延续。董事会由9名董事组成，含4名独立董事且至少1名会计专业人士，明确董事会16项核心职权，如召集股东会、制订利润分配方案、决定对外投资与担保事项等，并划分了股东会与董事会的权限边界，例如董事会可审批单笔或累计占最近一期经审计净资产50%以下的重大投资事项。规则对董事会会议的召集、通知、召开表决及档案管理作出详细规定，要求董事会每年至少召开2次定期会议，临时会议可在特定情形下快速召集，会议表决实行一人一票，关联交易事项需回避表决，董事会会议档案保存期限不少于10年，同时明确了董事会议案提出、专门委员会设置及决议执行监督的相关流程。",2026-08-13T12:13:18.757469+08:00
