vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,1,公告库,牧原股份:2026年2月份销售简报,0.95,"公告标题：牧原股份:2026年2月份销售简报；
发布时间：2026-03-06；
证券简称：牧原股份
原文：牧原股份2026年2月份销售简报显示，当月销售商品猪460.3万头，同比变动-0.77%；商品猪销售均价11.59元/公斤，同比变动-18.72%；商品猪销售收入64.05亿元，同比变动-23.98%。其中向全资子公司牧原肉食品有限公司及其子公司合计销售商品猪239.9万头。2026年1-2月累计销售商品猪1161.2万头，累计销售收入169.71亿元。公司提示风险：生猪市场价格大幅波动（下降或上升）可能对经营业绩产生重大影响，若未来价格大幅下滑或动物疫病发生，可能造成业绩下滑；生猪市场价格变动是行业系统风险，不可控制。2026年1月商品猪销量700.9万头，销售均价12.57元/公斤，销售收入105.66亿元，2月销量、均价、收入较1月均有所下降，显示月度销售数据存在波动。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,2,公告库,牧原股份:2026年5月份销售简报,0.94,"公告标题：牧原股份:2026年5月份销售简报；
发布时间：2026-06-06；
证券简称：牧原股份
原文：证券代码：002714 证券简称：牧原股份债券代码：127045 债券简称：牧原转债
牧原食品集团股份有限公司
2026 年 5 月份销售简报
本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、2026 年5 月份销售情况简报
1、2026 年 5 月份，公司销售商品猪 688.3 万头，同比变动 7.43%；商品猪销售均价9.80 元/公斤，同比变动-32.51%；商品猪销售收入85.65 亿元，同比变动-30.13%。商品猪销售价格、收入同比降幅较大，主要受生猪市场行情波动的影响。
| 月份 | 商品猪销量 |  | 商品猪销售收入 |  | 商品猪价格 |
| --- | --- | --- | --- | --- | --- |
|  | （万头） |  | （亿元） |  | （元/公斤） |
|  | 当月 | 累计 | 当月 | 累计 | 当月 |
| 2026年1月 | 700.9 | 700.9 | 105.66 | 105.66 | 12.57 |
| 2026年2月 | 460.3 | 1,161.2 | 64.05 | 169.71 | 11.59 |
| 2026年3月 | 675.1 | 1,836.2 | 86.06 | 255.77 | 9.91 |
| 2026年4月 | 714.3 | 2,550.5 | 85.03 | 340.80 | 9.45 |
| 2026年5月 | 688.3 | 3,238.8 | 85.65 | 426.45 | 9.80 |

注：因四舍五入，以上数据可能存在尾差。
上述销售数据未经审计，与定期报告披露的数据之间可能存在差异，因此上述数据仅作为阶段性数据供投资者参考。
2、2026 年5 月份，公司全资子公司牧原肉食品有限公司及其子公司屠宰生猪 301.0 万头。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,3,公告库,牧原股份:2026年3月份销售简报,0.94,"公告标题：牧原股份:2026年3月份销售简报；
发布时间：2026-04-09；
证券简称：牧原股份
原文： 牧原食品股份有限公司2026年3月销售简报显示，当月公司销售商品猪675.1万头，同比变动-2.65%，其中向全资子公司牧原肉食品有限公司及其子公司合计销售246.1万头。商品猪销售均价为9.91元/公斤，同比大幅下降30.70%，导致商品猪销售收入为86.06亿元，同比降幅达32.73%。价格与收入的大幅下滑主要归因于生猪市场行情的剧烈波动。从累计数据看，2026年一季度（1月至3月）累计销售商品猪1,836.2万头，累计实现销售收入255.77亿元。 截至2026年3月末，公司能繁母猪存栏量为312.9万头，这一关键产能指标反映了公司未来的生猪供应潜力。然而，文档也明确指出，生猪市场价格的大幅波动是行业面临的系统性风险，若未来猪价继续大幅下滑，将直接导致公司经营业绩出现下滑。此外，动物疫病也是畜牧行业发展中面临的主要风险，可能对经营业绩产生重大影响。投资者需审慎关注这些外部不可控因素带来的潜在挑战。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,4,公告库,牧原股份:2026年1月份销售简报,0.94,"公告标题：牧原股份:2026年1月份销售简报；
发布时间：2026-02-06；
证券简称：牧原股份
原文：牧原股份2026年1月销售商品猪700.9万头，同比增长2.73%，其中向全资子公司牧原肉食品有限公司及其子公司合计销售311.6万头；商品猪销售均价12.57元/公斤，同比下降16.92%；当月销售收入105.66亿元，同比下降11.93%。公司提示生猪市场价格大幅波动（下降或上升）、生猪市场价格变动的系统风险及动物疫病等风险，可能对经营业绩产生重大影响，提醒投资者审慎决策。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,5,公告库,牧原股份:2026年4月份销售简报,0.94,"公告标题：牧原股份:2026年4月份销售简报；
发布时间：2026-05-07；
证券简称：牧原股份
原文：证券代码：002714 证券简称：牧原股份债券代码：127045 债券简称：牧原转债
牧原食品股份有限公司2026 年 4 月份销售简报
本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、2026 年4 月份销售情况简报
1、2026 年 4 月份，公司销售商品猪 714.3 万头，同比变动 8.68%；商品猪销售均价9.45 元/公斤，同比变动-35.54%；商品猪销售收入85.03 亿元，同比变动-32.49%。商品猪销售价格、收入同比降幅较大，主要受生猪市场行情波动的影响。
| 月份 | 商品猪销量 |  | 商品猪销售收入 |  | 商品猪价格 |
| --- | --- | --- | --- | --- | --- |
|  | （万头） |  | （亿元） |  | （元/公斤） |
|  | 当月 | 累计 | 当月 | 累计 | 当月 |
| 2026年1月 | 700.9 | 700.9 | 105.66 | 105.66 | 12.57 |
| 2026年2月 | 460.3 | 1,161.2 | 64.05 | 169.71 | 11.59 |
| 2026年3月 | 675.1 | 1,836.2 | 86.06 | 255.77 | 9.91 |
| 2026年4月 | 714.3 | 2,550.5 | 85.03 | 340.80 | 9.45 |

注：因四舍五入，以上数据可能存在尾差。
上述销售数据未经审计，与定期报告披露的数据之间可能存在差异，因此上述数据仅作为阶段性数据供投资者参考。
2、2026 年4 月份，公司全资子公司牧原肉食品有限公司及其子公司屠宰生猪 298.9 万头。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,6,公告库,牧原股份:2026年3月份销售简报,0.94,"公告标题：牧原股份:2026年3月份销售简报；
发布时间：2026-04-09；
证券简称：牧原股份
原文：证券代码：002714 证券简称：牧原股份债券代码：127045 债券简称：牧原转债
牧原食品股份有限公司
2026 年 3 月份销售简报
本公司及董事会全体成员保证信息披露内容的真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、2026 年3 月份销售情况简报
1、2026 年3 月份，公司销售商品猪 675.1 万头，同比变动-2.65%（其中向全资子公司牧原肉食品有限公司及其子公司合计销售商品猪246.1 万头）；商品猪销售均价9.91 元/公斤，同比变动-30.70%。商品猪销售收入86.06 亿元，同比变动-32.73%。商品猪销售价格、收入同比降幅较大，主要受生猪市场行情波动的影响。
| 月份 | 商品猪销量 |  | 商品猪销售收入 |  | 商品猪价格 |
| --- | --- | --- | --- | --- | --- |
|  | （万头） |  | （亿元） |  | （元/公斤） |
|  | 当月 | 累计 | 当月 | 累计 | 当月 |
| 2026年1月 | 700.9 | 700.9 | 105.66 | 105.66 | 12.57 |
| 2026年2月 | 460.3 | 1,161.2 | 64.05 | 169.71 | 11.59 |
| 2026年3月 | 675.1 | 1,836.2 | 86.06 | 255.77 | 9.91 |

注：因四舍五入，以上数据可能存在尾差。
上述销售数据未经审计，与定期报告披露的数据之间可能存在差异，因此上述数据仅作为阶段性数据供投资者参考。
2、截至2026 年3 月末，公司能繁母猪存栏为312.9 万头。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,7,公告库,牧原股份:2026年5月份销售简报,0.93,"公告标题：牧原股份:2026年5月份销售简报；
发布时间：2026-06-06；
证券简称：牧原股份
原文： 牧原食品集团股份有限公司披露2026年5月份生猪销售简报，当月公司销售商品猪688.3万头，同比增长7.43%；商品猪销售均价为9.80元/公斤，同比下降32.51%；商品猪销售收入为85.65亿元，同比下降30.13%，公司指出价格与收入同比降幅较大主要受生猪市场行情波动影响。本次披露的销售数据为未经审计的阶段性数据，仅作参考，与后续定期报告数据可能存在差异。 从2026年1-5月累计销售数据来看，公司累计销售商品猪3238.8万头，累计实现商品猪销售收入426.45亿元，商品猪销售均价从1月的12.57元/公斤持续下滑至4月的9.45元/公斤，5月小幅回升至9.80元/公斤，整体呈现年初以来价格下行的趋势。此外，2026年5月公司全资子公司牧原肉食品有限公司及其子公司合计屠宰生猪301.0万头。 牧原股份提示了行业及公司经营面临的核心风险，其中生猪价格大幅波动是生猪生产行业的系统性风险，属于生猪生产者无法控制的外部风险，若未来生猪价格继续大幅下滑，仍可能造成公司业绩下滑；同时动物疫病作为畜牧行业的主要风险，也可能对公司经营业绩产生重大影响，提示投资者注意投资风险。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,8,公告库,牧原股份:牧原股份业绩说明会、路演活动信息,0.93,"公告标题：牧原股份:牧原股份业绩说明会、路演活动信息；
发布时间：2026-04-16；
证券简称：牧原股份
原文： 牧原股份在2026年4月15日举行的年度业绩说明会上披露，公司2025年度商品猪销售均重约为126公斤，能繁母猪存栏量已降至312.9万头，积极响应国家产能调控政策。 财务表现方面，公司2025年屠宰业务实现重大突破，全年屠宰生猪达2,866.3万头，同比增长翻倍，且该板块首次实现年度盈利，毛利率为2.67%。尽管行业进入微利时代，公司仍计划加大屠宰板块资本开支以深化全产业链管理，提升整体盈利能力。 展望未来，公司预计2026年全年销售商品猪7,500万至8,100万头，资本开支预计在100亿元左右，重点投向屠宰肉食业务的产能落地与海外布局。在海外战略上，公司将以越南为第一站，计划于2026年落地养殖产能并组建本地化团队，同时探索新加坡、菲律宾等市场，但海外业务资本需求将保持较低水平。此外，公司已修订分红规划，将现金分红比例由不低于20%提升至40%，致力于通过成本领先和数智化建设穿越周期，实现高质量稳健发展。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,9,公告库,牧原股份:2026年半年度业绩预告,0.92,"公告标题：牧原股份:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：牧原股份
原文： 牧原食品集团股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，预计本期公司业绩由上年同期的盈利转为亏损。具体来看，本期预计净利润亏损区间为57.00亿元-67.00亿元，上年同期盈利107.90亿元，同比下降152.83%-162.09%；归属于上市公司股东的净利润预计亏损57.00亿元-67.00亿元，上年同期盈利105.30亿元，同比下降154.13%-163.63%；归属于上市公司股东的扣除非经常性损益后的净利润预计亏损55.00亿元-65.00亿元，上年同期盈利106.77亿元，同比下降151.51%-160.88%；基本每股收益预计亏损1.03元/股-1.21元/股，上年同期盈利1.96元/股。 本次业绩预告未经注册会计师审计，本次业绩变动的原因为：牧原股份通过深化生猪健康与生产管理提升精细化能力，生猪养殖成本较上年同期有所下降，但本期商品猪销售均价约为10.4元/公斤，同比下降约28%，价格下降幅度超过成本降幅，最终导致公司2026年上半年出现经营亏损。同时业绩预告披露了公司面临的主要风险，包括生猪价格波动带来的行业系统性风险，若未来生猪价格继续大幅下滑，公司业绩可能进一步下滑；此外动物疫病作为畜牧行业主要风险，也可能对公司经营业绩产生重大影响。本次业绩仅为公司财务部门初步测算结果，具体财务数据需要以正式披露的2026年半年度报告为准。",2026-08-14T10:58:34.516063+08:00
gildata,AnnouncementData,牧原股份 2026年业绩预告和生猪销售简报,10,公告库,牧原股份:2026年半年度业绩预告,0.92,"公告标题：牧原股份:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：牧原股份
原文：二、与会计师事务所沟通情况
本次业绩预告未经注册会计师审计。
三 、业绩变动原因说明
报告期内，公司通过深化生猪健康管理与生产管理，提高精细化管理能力，生猪养殖成本较上年同期下降，但由于生猪销售价格同比出现较大幅度下降，商品猪销售均价约 10.4 元/公斤，同比下降约 28%，导致公司 2026 年上半年经营业绩出现亏损。
四、风险提示
1、生猪市场价格的大幅波动（下降或上升），都可能会对公司的经营业绩产生重大影响。如果未来生猪市场价格出现大幅下滑，仍然可能造成公司的业绩下滑。敬请广大投资者审慎决策，注意投资风险。2、生猪市场价格变动的风险是整个生猪生产行业的系统风险，对任何一家生猪生产者来讲都是客观存在的、不可控制的外部风险。3、动物疫病是畜牧行业发展中面临的主要风险，可能会对公司的经营业绩产生重大影响。敬请广大投资者审慎决策，注意投资风险。
五、其他相关说明
1、本次业绩预告是公司财务部门初步测算的结果，具体财务数据以公司在指定信息披露媒体上披露的2026 年半年度报告为准。
2、公司将严格依照有关法律法规的规定和要求，及时做好信息披露工作，敬请投资者注意投资风险。
牧原食品集团股份有限公司董 事 会2026 年 7 月 11 日",2026-08-14T10:58:34.516063+08:00
