vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,1,公告库,天味食品:2026年半年度业绩预增公告,0.92,"公告标题：天味食品:2026年半年度业绩预增公告；
发布时间：2026-07-09；
证券简称：天味食品
原文：四川天味食品集团股份有限公司2026年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。
 四川天味食品集团股份有限公司（以下简称“公司”）预计2026 年半年度实现归属于上市公司股东的净利润37,327.14 万元到38,850.70 万元，与上年同期相比，将增加 18,324.65 万元到 19,848.21 万元，同比增加 96.43%到 104.45%。预计 2026 年半年度实现归属于上市公司股东的扣除非经常性损益的净利润34,753.36 万元到 36,171.86 万元，与上年同期相比，将增加 18,500.42 万元到19,918.92 万元，同比增加 113.83%到 122.56%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经财务部门初步测算，预计 2026 年半年度实现归属于上市公司股东的净利润 37,327.14 万元到 38,850.70 万元，与上年同期相比，将增加 18,324.65 万元到19,848.21 万元，同比增加 96.43%到 104.45%。
预计2026 年半年度实现归属于上市公司股东的扣除非经常性损益的净利润34,753.36 万元到 36,171.86 万元，与上年同期相比，将增加 18,500.42 万元到19,918.92 万元，同比增加 113.83%到 122.56%。
（三）本次业绩预告未经注册会计师审计，且注册会计师未对公司本期业绩预告出具专项说明。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,2,公告库,佳禾食品:（0804）佳禾食品工业股份有限公司2026年半年度业绩预告【2026-051】,0.91,"公告标题：佳禾食品:（0804）佳禾食品工业股份有限公司2026年半年度业绩预告【2026-051】；
发布时间：2026-07-15；
证券简称：佳禾食品
原文：佳禾食品工业股份有限公司2026 年半年度业绩预告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示:
业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。
 佳禾食品工业股份有限公司（以下简称“公司”）预计 2026 年半年度实现归属于母公司所有者的净利润 2,724.18 万元到 3,921.15 万元。预计 2026 年半年度实现归属于母公司所有者的扣除非经常性损益的净利润 1,305.12 万元到1,900.17 万元。
 本期业绩预告为初步测算结果，具体准确的财务数据以公司正式披露的2026 年半年度报告为准。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经财务部门初步测算，预计 2026 年半年度实现归属于母公司所有者的净利润 2,724.18 万元到 3,921.15 万元，与上年同期（法定披露数据）相比，将增加1,480.90 万元到 2,677.87 万元，同比增加 119.11%到 215.39%。
预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益的净利润1,305.12 万元到 1,900.17 万元，与上年同期（法定披露数据）相比，将增加 1,064.73万元到 1,659.78 万元，同比增加 442.92%到 690.45%。
（三）本次业绩预告的2026 年半年度数据未经会计师审计。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,3,公告库,上海雅仕:2026年半年度业绩预增公告,0.89,"公告标题：上海雅仕:2026年半年度业绩预增公告；
发布时间：2026-07-09；
证券简称：上海雅仕
原文：上海雅仕投资发展股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
1、业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。
2、预计 2026 年半年度实现归属于母公司所有者的净利润为 10,300 万元到12,500 万元，与上年同期相比，将增加 8,267.37 万元到 10,467.37 万元，同比增加 406.73%到 514.97%。
3、预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润 10,100 万元到 12,300 万元，与上年同期相比，将增加 9,554.69 万元到11,754.69 万元，同比增加 1,752.16%到 2,155.60%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
1、预计 2026 年半年度实现归属于母公司所有者的净利润为 10,300 万元到12,500 万元，与上年同期相比，将增加 8,267.37 万元到 10,467.37 万元，同比增加 406.73%到 514.97%。
2、预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润 10,100 万元到 12,300 万元，与上年同期相比，将增加 9,554.69 万元到11,754.69 万元，同比增加 1,752.16%到 2,155.60%。
3、本期业绩预告为公司根据经营情况的初步测算，未经会计师事务所审计。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,4,公告库,湘财股份:湘财股份2026年半年度业绩预增公告,0.86,"公告标题：湘财股份:湘财股份2026年半年度业绩预增公告；
发布时间：2026-07-14；
证券简称：湘财股份
原文：湘财股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
 本业绩预告适用于实现盈利，且净利润与上年同期相比上升 50%以上的情形。
湘财股份有限公司（以下简称“公司”）预计2026 年半年度实现归属于母公司所有者的净利润45,000.00 万元到63,000.00 万元，与上年同期相比，预计将增长217.76%到344.86%；预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益的净利润 42,500.00 万元到 60,500.00 万元，与上年同期相比，预计将增长 274.57%到 433.21%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经财务部门初步测算，预计 2026 年半年度实现归属于母公司所有者的净利润 45,000.00 万元到 63,000.00 万元，与上年同期相比，预计将增加 30,838.25万元到 48,838.25 万元，同比增长 217.76%到 344.86%。
预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益的净利润42,500.00 万元到 60,500.00 万元，与上年同期相比，预计将增加 31,153.73 万元到 49,153.73 万元，同比增长 274.57%到 433.21%。
（三）本期业绩预告为公司根据经营情况的初步测算，未经会计师事务所审计。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,5,公告库,东方材料:新东方新材料股份有限公司2026年半年度业绩预告,0.86,"公告标题：东方材料:新东方新材料股份有限公司2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：东方材料
原文： 新东方新材料股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至2026年6月30日，本次预告业绩为公司财务部门初步测算结果，未经注册会计师审计，具体准确财务数据需以公司正式披露的半年报为准。本次业绩预告属于实现盈利且净利润同比上升50%以上的适用情形，公司预计2026年半年度实现归属于母公司所有者的净利润区间为935.65万元到1265.88万元，与上年同期相比增长幅度达到1330%到1834%，预计扣除非经常性损益后的归属于母公司所有者净利润区间为790.02万元到1120.25万元。上年同期公司归属于母公司所有者的净利润仅为65.44万元，扣除非经常性损益后的净利润为-45.47万元，上年同期每股收益为0.00元，业绩同比增长幅度极大，盈利改善十分显著。 新东方新材料披露了本次业绩大幅变动的核心原因，2026年上半年公司化工业务收入较上年同期实现增长，同时公司通过人员优化、降本增效持续提升经营效率，使得本期期间费用较上年同期有所下降，收入增长与费用管控共同推动了净利润的大幅提升。本次业绩预告不存在影响内容准确性的重大不确定因素，但仍提醒投资者注意投资风险。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,6,公告库,三祥新材:三祥新材股份有限公司2026年半年度业绩预增公告,0.85,"公告标题：三祥新材:三祥新材股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-15；
证券简称：三祥新材
原文：三祥新材股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
本业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。  
三祥新材股份有限公司（以下简称“上市公司”或“公司”）预计2026 年半年度实现归属于上市公司股东的净利润约为6,900.00 万元至8,000.00 万元，预计同比增加 2,409.21 万元到 3,509.21 万元，同比增长 53.65%到 78.14%。预计 2026 年半年度公司实现归属于上市公司股东的扣除非经常性损益的净利润预计约为 6,720.00 万元至 7,800.00 万元，预计同比增加 2,244.88 万元到3,324.88 万元，同比增长 50.16%到 74.30%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
1、经财务部门初步测算，2026 年半年度实现归属于上市公司股东的净利润约为 6,900.00 万元至 8,000.00 万元，预计同比增加 2,409.21 万元到 3,509.21 万元，同比增长 53.65%到 78.14%。
2、预计2026 年半年度公司实现归属于上市公司股东的扣除非经常性损益的
净利润预计约为 6,720.00 万元至 7,800.00 万元，预计同比增加 2,244.88 万元到3,324.88 万元，同比增长 50.16%到 74.30%。
（三）本期业绩预告为公司根据经营情况作出的初步测算，未经注册会计师审计。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,7,公告库,中信建投:2026年半年度业绩预增公告,0.85,"公告标题：中信建投:2026年半年度业绩预增公告；
发布时间：2026-07-15；
证券简称：中信建投
原文：中信建投证券股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
1、业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。2、中信建投证券股份有限公司（以下简称公司）预计2026 年半年度实现归属于母公司股东的净利润人民币72.14 亿元到人民币 81.16 亿元，同比增长60%到80%；归属于母公司股东的扣除非经常性损益的净利润人民币73.39 亿元到人民币 82.41 亿元，同比增长 64%到 84%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
1、经财务部门初步测算，预计2026 年半年度实现归属于母公司股东的净利润人民币 72.14 亿元到人民币 81.16 亿元，与上年同期相比增加人民币 27.05 亿元到人民币36.07 亿元，同比增长60%到80%。
2、经财务部门初步测算，预计2026 年半年度实现归属于母公司股东的扣除非经常性损益的净利润人民币 73.39 亿元到人民币 82.41 亿元，与上年同期相比增加人民币28.68 亿元到人民币37.70 亿元，同比增长64%到84%。
3、本次业绩预告数据仅为初步核算数据，未经会计师事务所审计。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,8,公告库,招商证券:2026年半年度业绩预增公告,0.85,"公告标题：招商证券:2026年半年度业绩预增公告；
发布时间：2026-07-08；
证券简称：招商证券
原文：招商证券股份有限公司2026年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。  
招商证券股份有限公司（以下简称公司）预计2026 年半年度实现归属于母公司股东的净利润为人民币100.00 亿元到人民币110.00 亿元，同比增长 93%到 112%。  
公司预计 2026 年半年度实现归属于母公司股东的扣除非经常性损益的净利润为人民币 100.00 亿元到人民币 110.00 亿元，同比增长 93%到  
112%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
1.经财务部门初步测算，预计2026 年半年度实现归属于母公司股东的净利润为人民币100.00 亿元到人民币110.00 亿元，与上年同期相比，将增加人民币48.14 亿元到人民币 58.14 亿元，同比增加 93%到 112%。
2.预计2026 年半年度实现归属于母公司股东的扣除非经常性损益的净利润为人民币100.00 亿元到人民币110.00 亿元，与上年同期相比，将增加人民币48.22 亿元到人民币 58.22 亿元，同比增加 93%到 112%。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,9,公告库,永杰新材:2026年半年度业绩预增公告,0.85,"公告标题：永杰新材:2026年半年度业绩预增公告；
发布时间：2026-07-15；
证券简称：永杰新材
原文：永杰新材料股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性依法承担法律责任。
重要内容提示：
业绩预告的情形:实现盈利，且净利润与上年同期相比上升50%以上。永杰新材料股份有限公司（以下简称“公司”）预计2026 年半年度实现归属于上市公司股东的净利润为50,000 万元-55,000 万元，与上年同期相比，预计增加 31,418 万元-36,418 万元，同比将增长 169.08%到 195.99%。 公司预计2026 年半年度实现归属于上市公司股东的扣除非经常性损益后的净利润24,000 万元-26,000 万元，与上年同期相比，预计增加5,189万元-7,189 万元，同比将增长 27.59%到 38.22%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
1.经财务部门初步测算，公司预计 2026 年半年度实现归属于上市公司股东的净利润为50,000 万元-55,000 万元，与上年同期相比，预计增加31,418 万元-36,418 万元，同比将增长 169.08%到 195.99%。
2.经财务部门初步测算，公司预计 2026 年半年度实现归属于上市公司股东的扣除非经常性损益后的净利润 24,000 万元-26,000 万元，与上年同期相比，预计增加 5,189 万元-7,189 万元，同比将增长 27.59%到 38.22%。
3.本期业绩预告数据未经审计。
4.公司已于 2026 年6 月披露《永杰新材料股份有限公司重大资产购买实施
情况报告书》，相关重大资产重组已实施完成，奥科宁克（秦皇岛）铝业有限公司、奥科宁克（昆山）铝业有限公司已于2026 年6 月纳入合并范围。",2026-08-15T21:23:25.497833+08:00
gildata,AnnouncementData,2026年半年报业绩预告净利润同比增长50%以上的A股食品饮料、家电公司公告,10,公告库,华泰证券:华泰证券股份有限公司2026年半年度业绩预增公告,0.85,"公告标题：华泰证券:华泰证券股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-15；
证券简称：华泰证券
原文：华泰证券股份有限公司2026 年半年度业绩预增公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
业绩预告的具体适用情形：实现盈利，且净利润与上年同期相比上升50%以上。华泰证券股份有限公司（以下简称“公司”）预计2026 年半年度实现归属于母公司股东的净利润为人民币 113.24 亿元到人民币117.02 亿元，同比增长 50%到 55%。公司预计2026 年半年度实现归属于母公司股东的扣除非经常性损益的净利润为人民币113.33 亿元到人民币117.06 亿元，同比增长52%到 57%。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经财务部门初步测算，预计2026 年半年度实现归属于母公司股东的净利润为人民币113.24 亿元到人民币117.02 亿元，与上年同期相比，将增加人民币37.75 亿元到人民币41.53 亿元，同比增加50%到 55%。
预计2026 年半年度实现归属于母公司股东的扣除非经常性损益的净利润人民币 113.33 亿元到人民币 117.06 亿元，与上年同期相比，将增加人民币38.77 亿元到人民币42.50 亿元，同比增加52%到57%。",2026-08-15T21:23:25.497833+08:00
