vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,1,公告库,章源钨业:2026年半年度业绩预告,0.97,"公告标题：章源钨业:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：章源钨业
原文： 崇义章源钨业2026年半年度业绩预告显示，报告期内归属于上市公司股东的净利润预计为6300万元—7500万元，较上年同期的1151.062万元同比增长447.32%—551.57%；扣除非经常性损益后的净利润预计为6200万元—7400万元，较上年同期的1068.439万元同比增长480.29%—592.60%；基本每股收益预计为0.52元/股—0.62元/股，上年同期为0.10元/股。 本次业绩预告数据未经会计师事务所审计，公司已与负责年度审计的会计师事务所就相关会计处理及判断进行预先沟通，双方不存在重大分歧。 本次业绩大幅增长主要得益于钨原料价格同比大幅上涨，公司依托自产资源优势优化产品结构，子公司刀具产品实现量价齐升，同时产品销售价格随原料价格上调推动毛利率显著提升，最终带动营业收入及归属于上市公司股东的净利润同比大幅增长。 公司基于谨慎性原则对各类资产进行全面检查和减值测试，对应收款项、存货计提了减值准备，最终减值金额将在2026年半年度报告中详细披露，本次业绩预告为初步测算结果，具体财务数据以半年度报告为准，同时提醒投资者注意投资风险。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,2,公告库,世龙实业:2026年半年度业绩预告,0.97,"公告标题：世龙实业:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：世龙实业
原文： 江西世龙实业股份有限公司发布2026年半年度业绩预告，业绩预告区间为2026年1月1日至2026年6月30日，预计本期业绩同向上升，净利润为正值。本次预告的核心财务数据显示，归属于上市公司股东的净利润预计盈利9000万元-11700万元，较上年同期的4064.56万元增长121.43%-187.85%；扣除非经常性损益后的净利润预计盈利9060万元-11760万元，较上年同期的4144.99万元增长118.58%-183.72%；基本每股收益预计盈利0.375元/股-0.4875元/股，上年同期为0.1694元/股，每股收益实现翻倍增长。本次业绩预告相关数据为公司财务部门初步测算结果，未经审计机构审计，公司已就本次业绩预告与会计师事务所预沟通，双方不存在重大分歧。 本次业绩大幅增长主要来自量价齐升与成本端的正向贡献：2026年上半年，公司及子公司江西世龙新材料有限公司的核心产品AC发泡剂、氯化亚砜、双氧水及DMPA销售价格较上年同期均有不同程度上涨；同时公司持续加大国内外市场营销力度，AC发泡剂、氯化亚砜及DMPA等产品销量同比实现增长，推动公司整体营业收入同比上升。成本端来看，报告期内工业盐及用电采购价格同比下降，尿素、煤、硫磺等大宗原材料采购成本虽同比上升，但涨幅低于主要产品销售价格的增幅，带动公司产品综合毛利率同比上升，最终实现经营业绩的大幅增长。本次业绩预告数据未经最终审计，具体财务数据将在公司《2026年半年度报告》中正式披露，公司提示投资者注意投资风险，谨慎决策。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,3,公告库,富瀚微:2026年半年度业绩预告,0.96,"公告标题：富瀚微:2026年半年度业绩预告；
发布时间：2026-07-31；
证券简称：富瀚微
原文： 上海富瀚微电子股份有限公司发布2026年半年度业绩预告，预计2026年1月1日至6月30日归属于上市公司股东的净利润盈利27000万元~35000万元，较上年同期增长1072.72%~1420.19%，扣除非经常性损益后的净利润盈利26600万元~34600万元，较上年同期增长1640.93%~2164.52%，预计整体营业收入为14亿元~15亿元，同比增长103.48%~118.01%，且二季度营业收入和归母净利润均创下单季度历史新高，业绩呈同向大幅上升趋势。 本次业绩预告未经会计师事务所审计，但公司已与会计师事务所预沟通，双方不存在重大分歧，具体财务数据将在正式半年度报告中披露。本次业绩大幅增长的核心原因包括两方面，一方面2026年上半年全球电子业存储价格大幅上涨，PCB、电阻电容等其他上游原材料也出现供应紧缺、价格上涨的情况，富瀚微对自身产品价格进行了上调；另一方面公司三大业务板块销售数量大幅增长，叠加产品价格上行，各项业务实现量价齐升，面对上游产能紧张下游需求高企的行业环境，公司凭借成熟的供应链管理和多样的产品方案保障了充足出货，构建了良好的商业生态，同时公司新产品AI-ISP芯片市场反馈积极，面向机器人等新领域的客户拓展也进展顺利。 长期来看，端边侧AI应用已实现规模化落地，AI技术在智能终端、边缘硬件等场景大规模应用，具身智能、机器人、家庭智能终端等市场逐步集中起量，将为富瀚微主营业务增长提供强劲支撑，公司将继续坚持内部研发和产业投资并重，维持高研发强度完善端边侧芯片产品矩阵，同时关注AI大视觉产业链推进多环节布局，搭建AI视觉生态平台。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,4,公告库,中稀有色:中稀有色金属股份有限公司2026年半年度业绩预告,0.95,"公告标题：中稀有色:中稀有色金属股份有限公司2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：中稀有色
原文： 中稀有色金属股份有限公司2026年半年度业绩预告显示，公司预计实现归属于上市公司股东的净利润为3.7亿元至4.3亿元，同比增加410.35%到493.11%；预计扣非净利润为3.68亿元至4.28亿元，同比增加301.00%到366.39%，业绩预增幅度显著。 上年同期公司归属于上市公司股东的净利润为7249.87万元，扣非净利润为9177.01万元，本次业绩预增主要源于稀土产品价格上涨带动主业盈利提升、亏损企业治理见效以及参股企业投资收益增加。其中稀土行业供需格局变化叠加产品价格同比上涨，公司通过一体化经营模式优化产品结构，稀土主业经营价值大幅提升；同时公司资源向核心主业集中，亏损企业大幅减亏，参股大宝山公司铜硫产品量价齐升，权益法核算的投资收益也有所增加。 本次业绩预告数据尚未经注册会计师审计，最终财务数据需以正式披露的2026年半年度报告为准，公司提示投资者注意投资风险。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,5,公告库,盐湖股份:2026年半年度业绩预告,0.95,"公告标题：盐湖股份:2026年半年度业绩预告；
发布时间：2026-07-03；
证券简称：盐湖股份
原文： 青海盐湖工业股份有限公司发布2026年半年度业绩预告，报告期为2026年1月1日至6月30日，业绩同向上升。归属于上市公司股东的净利润预计盈利600000.00万元至630000.00万元，较上年同期增长131.38%至142.95%；扣除非经常性损益后的净利润预计盈利600000.00万元至630000.00万元，较上年同期增长135.17%至146.93%；基本每股收益预计为1.1300元/股至1.1900元/股，上年同期为0.4901元/股。 本次业绩大幅增长主要源于两方面因素，一是氯化钾和碳酸锂板块量价齐升，报告期内氯化钾产量约168.17万吨、销量约224.73万吨，碳酸锂产量约4.94万吨、销量约3.91万吨，叠加4万吨/年基础锂盐项目量产带动碳酸锂产销量提升及市场价格上涨，推动氯化钾板块盈利显著增长；二是公司将五矿盐湖纳入合并财务报表范围，且收购前五矿盐湖同受中国盐湖工业集团有限公司控制，按企业会计准则对上年同期相关指标进行了追溯调整以保证报表可比性。本次业绩预告未经注册会计师审计，具体财务数据将在2026年半年度报告中详细披露。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,6,公告库,盛新锂能:2026年半年度业绩预告,0.95,"公告标题：盛新锂能:2026年半年度业绩预告；
发布时间：2026-07-09；
证券简称：盛新锂能
原文：盛新锂能2026年半年度业绩预告显示，公司预计实现扭亏为盈，归属于上市公司股东的净利润为100000.00万元-120000.00万元，较上年同期亏损84104.78万元大幅增长218.90%-242.68%。扣除非经常性损益后的净利润预计为130000.00万元-150000.00万元，较上年同期亏损89411.30万元增长245.40%-267.76%，基本每股收益预计为1.09元/股-1.31元/股，上年同期为亏损0.92元/股。本次业绩变动主要源于两方面因素，一是全球新能源行业快速发展带动锂盐产品销售价格较上年同期大幅上涨，二是公司通过优化生产效率、推行控本增效，印尼锂盐工厂产能大幅释放，实现锂盐产品量价齐升，推动经营业绩较去年同期大幅改善。本次业绩预告为公司财务部门初步测算结果，未经会计师事务所预审计，具体财务数据将以公司正式披露的2026年半年度报告为准，同时提醒投资者注意相关投资风险。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,7,公告库,盛屯矿业:盛屯矿业集团股份有限公司2026年半年度业绩预增公告,0.94,"公告标题：盛屯矿业:盛屯矿业集团股份有限公司2026年半年度业绩预增公告；
发布时间：2026-07-11；
证券简称：盛屯矿业
原文：盛屯矿业2026年半年度业绩预增公告显示，公司预计2026年1-6月实现归属于上市公司股东的净利润为175000万元到195000万元，较上年同期增加69727.56万元至89727.56万元，同比增幅66.24%至85.23%；预计扣除非经常性损益的净利润为185000万元到205000万元，同比增加68777.12万元至88777.12万元，同比增幅59.18%至76.39%。上年同期盛屯矿业归属于上市公司股东的净利润为105272.44万元，扣除非经常性损益的净利润为116222.88万元，每股收益0.341元。本次业绩预增主要有两方面原因，一是公司铜产品量价齐升，刚果（金）铜钴项目铜产品产量同比增长叠加铜价上涨，二是公司内部推进提质增效与精细化管理，部分子公司经营改善、可控成本下降。本次业绩预告为财务部门初步测算结果，未经注册会计师审计，最终数据以正式半年报披露为准。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,8,公告库,南亚新材:2026年半年度业绩预告的自愿性披露公告,0.94,"公告标题：南亚新材:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-14；
证券简称：南亚新材
原文： 南亚新材料科技股份有限公司发布2026年半年度业绩预告，预计2026年上半年归属于母公司所有者的净利润区间为42000万元到50000万元，同比上年同期的8719.02万元增长381.71%到473.46%；扣除非经常性损益后的归属于母公司所有者净利润区间为41000万元到48000万元，较上年同期的8120.23万元同比增长404.91%到491.12%，业绩同比大幅增长。 本次业绩大幅增长的核心驱动因素为，2026年上半年受AI算力爆发的持续影响，覆铜板行业进入高景气周期，市场需求支撑强劲，订单供给紧张，上游铜箔、电子玻纤布、树脂等核心原材料价格阶段性上行，整个行业迎来量价齐升的增长机遇。南亚新材依托自身技术积累与优质客户资源，抓住行业红利，顺利向下游传导原物料成本，同时持续优化自身产品结构，推动公司主要产品实现量价齐升，综合毛利水平持续改善，最终带动营业收入与净利润大幅增长。 本次业绩预告为未经审计的初步核算数据，公司也提示了持续盈利能力面临的多重不确定性：若下游AI相关终端需求释放不及预期，叠加行业新增产能持续投放，会导致产品售价下滑，若成本优化无法对冲售价下滑影响，将拉低产品毛利率；上游核心原材料价格大幅波动，无论涨跌都会挤压公司盈利空间。 此外，算力领域基材技术迭代速度快，若南亚新材未能及时跟上技术迭代完成产品升级，或是高端新品研发、客户认证进度不及预期，会影响公司中长期业务拓展。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,9,公告库,东芯股份:2026年半年度业绩预告的自愿性披露公告,0.94,"公告标题：东芯股份:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-21；
证券简称：东芯股份
原文： 东芯半导体股份有限公司发布2026年半年度业绩预告，经财务部门初步测算，预计报告期内实现营业收入149000万元至153000万元，同比上年同期增长334.41%至346.07%，增幅超三倍；预计实现归属于母公司所有者的净利润64000万元至68000万元，较上年同期扭亏为盈，同比增加75096.85万元至79096.85万元；预计扣除非经常性损益后的归属于母公司净利润为63000万元至67000万元，同样实现同比扭亏为盈，同比增加75672.40万元至79672.40万元。本次业绩预告数据未经注册会计师审计。 东芯股份本次业绩大幅增长主要受益于存储芯片市场的结构性变化：AI算力需求持续爆发叠加国内利基型存储技术竞争力提升，海外存储原厂加速退出利基型存储市场，供给端收缩明显；同时网络通信、工业控制、汽车电子等下游应用需求稳步复苏，利基型存储芯片供需缺口持续扩大，带动产品市场价格大幅攀升。公司紧抓市场机遇，以SLC NAND Flash为代表的存储业务实现量价齐升，推动营业收入大幅增长、整体毛利率显著提升，利润水平大幅提高。从季度表现看，公司业绩呈现环比持续向好趋势，2026年第二季度营业收入较第一季度增长110.85%至119.20%，归母净利润较第一季度增长262.81%至291.74%，盈利能力持续提升。此外，2026年上半年公司实施股权激励计划确认的股份支付费用，对当期税后利润的影响约为3900万元。 本次业绩预告为初步核算数据，具体准确的财务数据以公司后续正式披露的2026年半年度报告为准，公告中的前瞻性陈述不构成对未来业绩的承诺，提示投资者注意投资风险。",2026-08-15T21:22:08.426906+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品价格上涨、提价、量价齐升且净利润大幅增长的A股公司公告,10,公告库,永太科技:2026年半年度业绩预告,0.93,"公告标题：永太科技:2026年半年度业绩预告；
发布时间：2026-07-01；
证券简称：永太科技
原文： 浙江永太科技股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至2026年6月30日，本次预告相关财务数据未经会计师事务所预审计，最终具体财务数据以公司正式披露的2026年半年度报告为准。业绩预计为同向上升，归属于上市公司股东的净利润预计盈利26500万元-33000万元，较上年同期5880.02万元增长350.68%-461.22%，基本每股收益预计盈利0.29元/股-0.36元/股，上年同期为0.06元/股。 本次预计扣除非经常性损益后的净利润盈利23800万元-30300万元，上年同期为2252.04万元，同比增长956.82%-1245.45%，无论是归母净利润还是扣非净利润，均实现了大幅的同比增长，业绩增长幅度远超一倍。 公司此次业绩大幅增长的核心原因，是受益于新能源汽车及储能市场需求的快速增长，公司六氟磷酸锂、双氟磺酰亚胺锂、碳酸亚乙烯酯及电解液等锂电材料类核心产品的销量与价格均实现同比提升；同时公司在2025年底新投产的5000吨/年碳酸亚乙烯酯产能也在报告期内稳步释放，核心产品量价齐升叠加新增产能释放，共同推动公司营收规模扩大，经营效益持续向好，带动业绩实现同比大幅增长。",2026-08-15T21:22:08.426906+08:00
