vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,1,公告库,金安国纪:2026年半年度业绩预告,0.95,"公告标题：金安国纪:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：金安国纪
原文：金安国纪2026年半年度业绩预告显示，公司预计2026年1-6月归属于上市公司股东的净利润区间为73000万元至82000万元，同比增长935.75%至1063.45%；扣非净利润区间为73600万元至82500万元，同比增长908.22%至1030.14%；基本每股收益区间为1.003元至1.126元，上年同期仅为0.096元/股。本次业绩预告相关财务数据未经会计师事务所审计，公司未与会计师事务所就业绩预告事项进行预沟通。本次业绩大幅增长主要得益于两方面因素，一是2026年上半年覆铜板市场行情持续向好，公司主要产品覆铜板及半固化片供不应求，销售数量同比上升且销售价格持续上涨，带动毛利率提升；二是公司加强内部管理，提升产品技术含量，优化产能资源配置，增加市场急需产品的供应比例，进一步推动业绩同比实现大幅度增长。同时公告提示，公司所处覆铜板产业受宏观经济、市场供需、原材料价格等多重因素影响，若相关因素发生重大变化可能导致未来经营业绩波动，且本次预告数据为初步测算结果，最终以正式半年报披露为准。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,2,公告库,铜冠铜箔:2026年半年度业绩预告,0.93,"公告标题：铜冠铜箔:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：铜冠铜箔
原文：安徽铜冠铜箔集团股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润为20500万元-22500万元，较上年同期的3495.40万元同比增长486.49%-543.70%；扣非净利润为20000万元-22000万元，较上年同期的2427.05万元同比增长724.05%-806.45%。本次业绩预告相关财务数据为公司财务部门初步测算结果，未经注册会计师审计。业绩大幅提升主要源于两方面：一是聚焦头部客户需求，高频高速铜箔供不应求，销量同比增长；二是优化产品结构，高附加值的高频高速铜箔占比提升带动加工费收入增长，同时通过降本增效压降成本，产品毛利率实现提升。公司2026年半年度具体业绩数据将在正式半年度报告中详细披露，提醒投资者注意投资风险。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,3,公告库,北京君正:2026年半年度业绩预告,0.93,"公告标题：北京君正:2026年半年度业绩预告；
发布时间：2026-07-13；
证券简称：北京君正
原文：三、业绩变动原因说明
报告期内，受益于存储大周期的推动，公司存储芯片需求旺盛，其中公司 DRAM 产品由于供应持续紧张，产品售价涨幅较大，公司 Flash 产品受益于 AI 服务器、光模块等领
域的发展，销量同比明显增长，公司存储芯片销售收入总体实现了较大幅度的增长；同时，受原材料 KGD 缺货、涨价等因素影响，公司计算芯片产品进行了价格上调，销售收入同比实现强劲增长。
受上述等因素影响，报告期内公司总体营业收入同比实现了较好的增长，2026 年半年度公司实现营业总收入约为398,877 万元，同比增长约 77%；同时，公司毛利率持续增长，2026 年半年度归属于上市公司股东的净利润较去年同期实现大幅增长。
本报告期非经常性损益约为2,950 万元，去年同期为4,220 万元。
四、其他相关说明
本业绩预告是公司初步测算的结果，未经审计机构审计，具体财务数据公司将在 2026年半年度报告中详细披露，敬请广大投资者注意投资风险。
特此公告。
北京君正集成电路股份有限公司
董事会
2026 年 07 月 13 日",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,4,公告库,天赐材料:2026年半年度业绩预告,0.93,"公告标题：天赐材料:2026年半年度业绩预告；
发布时间：2026-07-10；
证券简称：天赐材料
原文：广州天赐高新材料股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润区间为270000万元至300000万元，较上年同期的26790.05万元同比增长907.84%至1019.82%，扣非后净利润区间为265000万元至295000万元，同比增幅达1157.44%，基本每股收益预计为1.48元/股，较上年同期的0.14元/股大幅提升。本次业绩预增核心原因在于锂离子电池材料电解液及六氟磷酸锂产品市场需求旺盛，上半年电解液出货量同比增长超40%，截至2026年6月，公司电解液和六氟磷酸锂产能利用率接近满产水平，同时行业供需格局优化带动产品价格上行，推动整体毛利率提升。为匹配持续增长的下游需求，公司将推进九江、福鼎等电解液生产基地改扩建项目，增强产能储备以支撑业务中长期扩张，且2026年三季度电解液排产数量预计环比进一步增长。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,5,公告库,铜冠铜箔:2026年半年度业绩预告,0.9,"公告标题：铜冠铜箔:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：铜冠铜箔
原文：安徽铜冠铜箔集团股份有限公司
2026年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026年1月1日-2026年6月30日
2、业绩预告情况:预计净利润为正值且属于同向上升情形
3、预计的业绩情况：
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股东的净利润 | 盈利:20,500万元-22,500万元 | 盈利3,495.40万元 |
|  | 比上年同期增长:486.49%-543.70% |  |
| 扣除非经常性损益后的净利润 | 盈利:20,000万元-22,000万元 | 盈利2,427.05万元 |
|  | 比上年同期增长:724.05%-806.45% |  |
二、业绩预告审计情况
本期业绩预告相关财务数据为公司财务部门初步测算的结果，未经注册会计师审计。
三、业绩变动原因说明
报告期内公司业绩同比大幅提升的主要原因是：
1、报告期内，公司聚焦头部客户需求，高频高速铜箔呈现供不应求的情况，销量实现同比增长；
2、报告期内，公司持续优化产品结构，高频高速铜箔等高附加值产品占比
提升，带动加工费收入增长；同时公司持续深化降本增效，不断提升运营效率与管理水平，相关成本有效压降，产品毛利率实现提升。
四、其他相关说明
2026年半年度业绩的具体数据将在本公司2026年半年度报告中详细披露，敬请广大投资者谨慎决策，注意投资风险。
特此公告。
安徽铜冠铜箔集团股份有限公司
董事会
2026年7月19日",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,6,公告库,日联科技:2026年半年度业绩预告的自愿性披露公告,0.9,"公告标题：日联科技:2026年半年度业绩预告的自愿性披露公告；
发布时间：2026-07-17；
证券简称：日联科技
原文： 日联科技发布2026年半年度业绩预告，预计2026年上半年（1月1日至6月30日）业绩将实现大幅增长，本次预告相关财务数据未经注册会计师审计。本次预告预计，公司2026年半年度实现营业收入约71500万元，较2025年同期的46039.14万元增加约25460.86万元，同比增幅约55.30%；预计实现归属于母公司所有者的净利润约12800万元，较2025年同期的8279.36万元增加约4520.64万元，同比增幅约54.60%；预计实现扣除非经常性损益后的归属于母公司净利润约10900万元，较2025年同期的5965.64万元增加约4934.36万元，同比增幅高达约82.71%。三项核心财务指标均实现超50%的同比增长，其中扣非净利润的增长幅度显著高于营业收入和归母净利润的增速，反映出公司核心业务盈利能力提升较为明显。 本次公告披露了业绩大幅增长的核心驱动因素，主要包括三方面：一是下游集成电路、高端电子制造领域行业景气度较高，市场对公司产品需求旺盛；二是公司持续加大研发投入以及全球营销网络建设，公司综合竞争力得到进一步提升；三是公司通过投资并购打造检测平台化能力，本次并入报表的收购标的为公司整体业绩增长贡献了增量收益。同时公告提示，本次预告为初步核算数据，最终准确财务数据以正式披露的2026年半年度报告为准，目前未发现影响预告准确性的重大不确定因素，提醒投资者注意投资风险。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,7,公告库,博杰股份:2026年半年度业绩预告,0.9,"公告标题：博杰股份:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：博杰股份
原文： 珠海博杰电子股份有限公司发布2026年半年度业绩预告，预计2026年1-6月归属于上市公司股东的净利润区间为15000.00万元至18500.00万元，同比上年同期的2019.21万元增长642.86%至816.20%；扣除非经常性损益后的净利润区间为14700.00万元至18200.00万元，同比上年同期的1428.13万元增长929.32%至1174.39%，基本每股收益预计为0.73元/股至0.90元/股，较上年同期的0.14元/股大幅提升。 本次业绩预告数据为公司财务部门初步测算结果，尚未经会计师事务所预审计，最终财务数据需以正式披露的2026年半年度报告为准。 本次业绩大幅增长主要源于公司坚持大客户战略，深度服务海外大客户并匹配其产品技术创新需求，同时聚焦高附加值业务优化业务结构；下游市场需求拉动下公司主要业务板块营收均实现同比大幅增长，其中AI服务器相关的ICT、功能测试、老化测试等测试解决方案销售规模同比大幅提升，消费电子业务中智能穿戴细分领域贡献显著结构性增量，MLCC设备业务通过高附加值产品占比提升及规模化效应实现收入与盈利质量同步提升，叠加精益化管理推动盈利大幅增长。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,8,公告库,多氟多:2026年半年度业绩预告,0.9,"公告标题：多氟多:2026年半年度业绩预告；
发布时间：2026-07-11；
证券简称：多氟多
原文： 多氟多新材料股份有限公司发布2026年半年度业绩预告，预告期间为2026年1月1日至6月30日，本次预告相关财务数据未经注册会计师审计，公司与会计师事务所在业绩预告方面不存在重大分歧，具体财务数据以正式披露的半年报为准。 本次业绩预计归属于上市公司股东的净利润盈利45000万元-56000万元，上年同期盈利5133.02万元，同比增长776.68%-990.98%；扣除非经常性损益后的净利润盈利43385万元-54385万元，上年同期亏损480.93万元；基本每股收益盈利0.38元/股-0.47元/股，上年同期盈利0.0441元/股，整体业绩属于净利润为正值的同向上升情形，同比增长幅度极大。 本次业绩大幅增长主要来自三方面驱动因素：一是新能源行业景气度持续向好，储能市场、新能源汽车等下游客户需求稳步增长，多氟多核心产品六氟磷酸锂受益于行业供需格局优化，销量和价格同比均实现显著回升，同时公司凭借与优质客户的长期稳定合作巩固了市场份额，依托上游原材料一体化布局为整体盈利提供了坚实支撑；二是公司新能源电池业务深度绑定各细分赛道头部企业，2026年上半年产销量实现大幅增长，再加上全产业链精细化成本管控，产品毛利水平显著提升，多重因素共同推动公司上半年经营业绩实现同比大幅增长。本次业绩预告为公司财务部门初步测算结果，存在一定调整风险，提示投资者谨慎决策注意投资风险。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,9,公告库,北京君正:2026年半年度业绩预告,0.89,"公告标题：北京君正:2026年半年度业绩预告；
发布时间：2026-07-13；
证券简称：北京君正
原文： 北京君正2026年半年度业绩预告显示，报告期内归属于上市公司股东的净利润区间为107861.44万元至128235.26万元，同比增长431.03%至531.34%，扣非净利润区间为104911.32万元至125285.14万元，同比增长551.97%至678.58%，业绩实现同向大幅上升。 本次业绩增长主要得益于两方面因素：一是存储芯片需求旺盛，DRAM产品售价涨幅较大，Flash产品因AI服务器、光模块等领域发展销量同比明显增长，存储芯片销售收入大幅提升；二是原材料KGD缺货涨价推动计算芯片产品价格上调，带动该业务销售收入强劲增长，最终推动公司营业总收入同比增长约77%，同时毛利率持续增长。 本次业绩预告相关数据为公司财务部门初步测算结果，未经审计机构审计，但公司与审计机构就业绩预告事项不存在重大分歧，本报告期非经常性损益约为2950万元，较去年同期的4220万元有所下降。",2026-08-15T21:21:50.647455+08:00
gildata,AnnouncementData,2026年半年报业绩预告中提到产品供不应求、需求旺盛、净利润大幅增长的A股公司公告,10,公告库,广合科技:2026年半年度业绩预告,0.89,"公告标题：广合科技:2026年半年度业绩预告；
发布时间：2026-07-08；
证券简称：广合科技
原文： 广州广合科技股份有限公司发布2026年半年度业绩预告，业绩预告期间为2026年1月1日至6月30日，公司预计本期业绩为净利润正值且同向上升。本次业绩预告相关数据为公司财务部门初步测算结果，未经会计师事务所审计，公司已与会计师事务所完成初步沟通，双方不存在重大分歧，具体财务数据将以正式披露的2026年半年度报告为准。 本次预计业绩核心财务指标表现亮眼，归属于上市公司股东的净利润预计区间为91000万元-96000万元，上年同期该指标为49158.34万元，同比预计增长85.12%-95.29%；扣除非经常性损益后的净利润预计区间为89000万元-94000万元，上年同期该指标为47755.32万元；基本每股收益预计在2.15元/股-2.27元/股区间，上年同期基本每股收益为1.16元/股，每股收益同比接近翻倍。 对于本次业绩大幅增长，公司披露了两大核心驱动因素：一是公司抓住算力硬件需求激增带来的市场机遇，通过技术创新优化产品结构，同时依托数字化手段实现提产增效，推动经营业绩稳步提升；二是公司海外工厂泰国广合已完成重点客户认证与产品导入，一期项目产能利用率持续提升，已经成为公司算力产品销售增长的第二增长引擎，带动公司整体盈利能力显著提升。本次业绩预告也提示投资者，需以正式半年报数据为准，注意投资风险。",2026-08-15T21:21:50.647455+08:00
