vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,1,公告库,岱勒新材:2026年半年度业绩预告,0.94,"公告标题：岱勒新材:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：岱勒新材
原文： 长沙岱勒新材料科技股份有限公司2026年半年度业绩预告显示，公司预计2026年1-6月归属于上市公司股东的净利润为750万元-850万元，实现扭亏为盈，上年同期亏损6721.23万元；扣除非经常性损益后的净利润预计为600万元-700万元，上年同期亏损6730.44万元。 本次业绩预告相关财务数据为公司财务部门初步测算结果，未经会计师事务所审计，最终数据将在2026年半年度报告中详细披露。 公司业绩扭亏为盈主要源于三方面：一是优化客户及产品结构，加大金刚线产品在消费电子、石材等非光伏行业的收入，提升整体盈利能力；二是推进金刚石线产品迭代升级，布局消费电子新业务，形成新的收入增量；三是推进降本增效、严控费用支出，经营效益持续向好。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,2,公告库,中兵红箭:2026年半年度业绩预告,0.93,"公告标题：中兵红箭:2026年半年度业绩预告；
发布时间：2026-07-14；
证券简称：中兵红箭
原文：中兵红箭2026年半年度业绩预告显示，公司预计2026年1-6月归属于上市公司股东的净利润区间为3000万元至4500万元，较上年同期的-4071万元实现扭亏为盈；扣除非经常性损益后的净利润区间为3400万元至4900万元，上年同期为-4042万元，基本每股收益区间为0.0215元/股至0.0323元/股，上年同期为-0.0292元/股。本次业绩预告数据为公司财务部门初步核算结果，尚未经会计师事务所审计，最终财务数据将在2026年半年度报告中正式披露。本次业绩扭亏主要得益于公司聚焦主责主业推动转型升级，特种装备产品生产交付平稳有序，超硬材料业务经营态势良好，其中面向消费领域的培育钻石业务随技术进步和市场渗透率提升，收入和利润实现较大幅度增长。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,3,公告库,领先股份:2026年半年度业绩预盈公告,0.92,"公告标题：领先股份:2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：领先股份
原文：深圳市领先半导体科技产业股份有限公司发布2026年半年度业绩预盈公告，预计2026年半年度实现归属于上市公司股东的净利润为18000万元左右，将实现扭亏为盈，同时预计扣除非经常性损益的净利润为18100万元左右。上年同期公司归属于母公司所有者的净利润为-2264.80万元，扣除非经常性损益的净利润为-2348.66万元，本次业绩实现大幅反转。公司本次业绩扭亏为盈的核心原因是2025年末完成重大资产重组，置入AAMI半导体引线框架业务并剥离传统线缆用高分子材料业务，资产质量、业务结构得到根本性优化，资产规模与盈利能力大幅改善。本次业绩预告未经注册会计师审计，预告数据仅为初步核算结果，具体准确财务数据需以正式披露的2026年半年度报告为准。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,4,公告库,申达股份:申达股份2026年半年度业绩预盈公告,0.91,"公告标题：申达股份:申达股份2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：申达股份
原文： 上海申达股份有限公司发布2026年半年度业绩预盈公告，公司预计2026年上半年（1月1日至6月30日）实现归属于母公司所有者的净利润区间为2881万元到4321万元，预计同期归属于母公司所有者的扣除非经常性损益后的净利润区间为2643万元到3964万元，相较于上年同期将实现扭亏为盈。上年同期公司经营业绩表现不佳，利润总额为-1798.82万元，归属于母公司所有者的净利润为-5363.66万元，归属于母公司所有者的扣除非经常性损益的净利润为-6086.81万元，每股收益为-0.0406元，整体处于亏损状态。本次业绩扭亏为盈是公司业绩的重要拐点，将改善公司的财务表现与市场预期。 本次业绩实现预盈扭亏的核心原因是汇兑损失因素消除，去年同期受汇率波动影响，公司主要境外子公司Auria Solutions Ltd.的欧元借款产生了8360万元人民币的汇兑损失，今年公司已经将欧元借款替换为美元借款，不再产生该笔大额汇兑损失，直接拉动公司半年度利润实现正向增长。本次业绩预告为公司财务部门初步测算的结果，尚未经注册会计师审计，公司不存在影响本次业绩预告内容准确性的重大不确定因素，最终准确财务数据以公司正式披露的2026年半年报为准，投资者需要注意相关投资风险。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,5,公告库,永辉超市:永辉超市股份有限公司2026年半年度业绩预盈公告,0.9,"公告标题：永辉超市:永辉超市股份有限公司2026年半年度业绩预盈公告；
发布时间：2026-07-15；
证券简称：永辉超市
原文：永辉超市股份有限公司2026 年半年度业绩预盈公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
本期业绩预告适用情形：公司净利润实现扭亏为盈。  
永辉超市股份有限公司（以下简称“公司”）预计2026 年半年度归属于上市公司股东的净利润2.5 亿元。  
公司预计 2026 年半年度归属于上市公司股东的扣除非经常性损益的净利润0.3 亿元。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经公司财务部门初步测算，预计2026 年半年度实现归属于上市公司股东的净利润2.5 亿元，较上年同期增加4.9 亿元，将实现扭亏为盈。
预计2026 年半年度实现归属于上市公司股东的扣除非经常性损益的净利润0.3 亿元，较上年同期增加8.3 亿元。
（三）本次业绩预告涉及的财务数据未经注册会计师审计。
二、上年同期经营业绩和财务状况
（一）利润总额：-2.1 亿元。归属于上市公司股东的净利润：-2.4 亿元。归属于上市公司股东的扣除非经常性损益的净利润：-8.0 亿元。
（二）每股收益：-0.03 元。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,6,公告库,亚通股份:亚通股份2026年半年度业绩预盈公告,0.9,"公告标题：亚通股份:亚通股份2026年半年度业绩预盈公告；
发布时间：2026-07-14；
证券简称：亚通股份
原文：上海亚通股份有限公司发布2026年半年度业绩预盈公告，预计2026年上半年实现归属于母公司所有者的净利润1650万元至1980万元，较上年同期扭亏为盈，同时预计扣非后净利润为1500万元至1830万元；上年同期公司归属于母公司所有者的净利润为-1031.54万元，扣非后净利润为-1094.23万元。本次业绩预盈的核心原因为主营业务改善，2026年上半年长兴岛38#地块征收安置房项目集中交付850套，贡献约5000万元利润，较上年同期房地产业务无新增交房项目的情况大幅增加，该业务贡献是本期利润增长的主要动力。报告期内公司非经常性损益约150万元，较上年同期增加约87.31万元，对本期净利润形成一定正向补充，但并非业绩扭亏的核心驱动因素。本次业绩预告未经注册会计师审计，最终财务数据需以正式披露的2026年半年报为准，同时公司不存在影响业绩预告准确性的重大不确定因素。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,7,公告库,华脉科技:2026年半年度业绩预盈公告,0.9,"公告标题：华脉科技:2026年半年度业绩预盈公告；
发布时间：2026-07-14；
证券简称：华脉科技
原文： 南京华脉科技股份有限公司2026年半年度业绩预盈公告显示，公司预计2026年1月1日至6月30日实现扭亏为盈，归属于母公司所有者的净利润为1600万元到2100万元，扣除非经常性损益后的净利润为1100万元到1600万元，而上一年同期归属于母公司所有者的净利润为-2180.04万元，扣非净利润为-2741.45万元。 本次业绩预盈主要源于两方面因素，一是受益于通信行业光纤光缆市场价格持续走高，公司产品毛利提升，同时公司强化精细化管理、推进降本增效，期间费用率同比下降；二是报告期内预计非经常性损益对净利润的影响金额约为500万元，主要系计入当期损益的政府补助。 本次业绩预告仅为公司财务部门初步核算的数据，未经注册会计师审计，具体准确的财务数据需以公司正式披露的2026年半年报为准，公司不存在影响本次业绩预告内容准确性的重大不确定因素。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,8,公告库,岱勒新材:2026年半年度业绩预告,0.89,"公告标题：岱勒新材:2026年半年度业绩预告；
发布时间：2026-07-20；
证券简称：岱勒新材
原文：长沙岱勒新材料科技股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
（一）业绩预告期间
2026年1月1日至2026年6月30日。
（二）业绩预告情况
预计净利润为正值且属于扭亏为盈情形
| 项目 | 本报告期 | 上年同期 |
| --- | --- | --- |
| 归属于上市公司股 东的净利润 | 盈利：750万元-850万元 | 亏损：6,721.23万元 |
| 扣除非经常性损益 后的净利润 | 盈利：600万元-700万元 | 亏损：6,730.44万元 |
二、与会计师事务所沟通情况
本次业绩预告相关的财务数据是公司财务部门初步测算的结果，未经会计师事务所审计。
三、业绩变动原因说明
公司2026年半年度归属于上市公司股东的净利润实现扭亏为盈，主要原因如下：
1、报告期内，针对光伏行业周期性不利因素的影响，在强化风险控制的同时，优化客户及产品结构，重点加大金刚线产品在非光伏行业的收入水平，如消费电子行业、石材等行业，综合提升了公司整体盈利能力。
2、报告期内，公司在持续推进金刚石线产品迭代升级的同时，加大新产品、新技术的研发投入，消费电子行业新业务得到有效推进，为公司的收入水平提供新的增量和收益贡献，加速公司业务转型。
3、报告期内，公司持续推进降本增效、强化内部管理、严控各项费用支出，经营效益持续向好。
四、其他相关说明
1、本次业绩预告数据是公司财务部门初步测算的结果，未经会计师事务所审计。
2、2026年半年度业绩的具体财务数据将在本公司2026年半年度报告中详细披露，敬请广大投资者谨慎决策，注意投资风险。
特此公告。
长沙岱勒新材料科技股份有限公司董事会2026年7月20日",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,9,公告库,亚通股份:亚通股份2026年半年度业绩预盈公告,0.89,"公告标题：亚通股份:亚通股份2026年半年度业绩预盈公告；
发布时间：2026-07-14；
证券简称：亚通股份
原文：上海亚通股份有限公司2026 年半年度业绩预盈公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
重要内容提示：
本期业绩预告适用净利润实现扭亏为盈的情形。
公司预计2026 年半年度实现归属于母公司所有者的净利润1650.00 万元到1980.00 万元，与上年同期（法定披露数据）相比，将实现扭亏为盈；预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润1500.00 万元到1830.00万元。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日。
（二）业绩预告情况
经财务部门初步测算，预计2026 年半年度实现归属于母公司所有者的净利润1650.00 万元到1980.00 万元，与上年同期（法定披露数据）相比，将实现扭亏为盈。
预计2026 年半年度实现归属于母公司所有者的扣除非经常性损益后的净利润 1500.00 万元到 1830.00 万元。
（三）公司本次所预计的业绩未经注册会计师审计。
二、上年同期经营业绩和财务状况
（一）利润总额：-674.47 万元。归属于母公司所有者的净利润：-1031.54 万元。归属于母公司所有者的扣除非经常性损益的净利润：-1094.23 万元。
（二）每股收益：-0.0293 元。",2026-08-15T21:23:11.171705+08:00
gildata,AnnouncementData,2026年半年报业绩预告中净利润扭亏为盈的A股消费行业公司公告,10,公告库,大湖股份:大湖健康产业股份有限公司2026年半年度业绩预盈的公告,0.89,"公告标题：大湖股份:大湖健康产业股份有限公司2026年半年度业绩预盈的公告；
发布时间：2026-07-15；
证券简称：大湖股份
原文：大湖健康产业股份有限公司2026 年半年度业绩预盈的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。
重要内容提示：
公司2026年半年度业绩预告适用“净利润实现扭亏为盈”的情形。
●经公司财务部门初步测算，预计2026年半年度实现归属于母公司所有者的净利润为1,500万元到2,000万元，实现归属于母公司所有者的扣除非经常性损益的净利润预计为900万元到1,300万元。
一、本期业绩预告情况
（一）业绩预告期间
2026 年 1 月 1 日至 2026 年 6 月 30 日
（二）业绩预告情况
1、经公司财务部门初步测算，预计2026年半年度实现归属于母公司所有者的净利润为1,500万元到2,000万元，同比增长1,757万元到2,257万元，实现扭亏为盈。
预计2026年半年度实现归属于母公司所有者的扣除非经常性损益的净利润为900万元到1,300万元，同比增长1,354万元到1,754万元。
2、本期业绩预告未经年审会计师审计。
二、上年同期经营业绩和财务状况
（一）利润总额:2,286 万元。归属于母公司所有者的净利润:-257万元。归属于母公司所有者的扣除非经常性损益的净利润：-454 万元。
（二）2025 年半年度基本每股收益:-0.0053 元/股。",2026-08-15T21:23:11.171705+08:00
