vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,1,公告库,贝泰妮:2026年7月投资者关系活动记录表,1.0,"公告标题：贝泰妮:2026年7月投资者关系活动记录表；
发布时间：2026-07-23；
证券简称：贝泰妮
原文：贝泰妮2026年7月开展投资者关系活动，共计22家机构参与，包括华商基金、景顺长城等公募、私募及外资机构，活动围绕产能、供应链、线上运营、研发等核心议题展开交流。公司新工厂项目按计划推进，建成后将提升自产能力与生产效率，优化产品供应体系，为中长期发展提供产能保障并预留新品类拓展空间。公司持续推进产销协同机制建设，通过优化计划管理、采购时效、工厂交期等环节，实现库存周转效率持续改善，后续将继续关注库存管理以提升整体供应链运营效率。公司在抖音、天猫、京东等主流电商平台推进精细化运营，根据各平台用户消费特点优化产品组合与运营策略，通过调整商品结构、优化主播选取等措施提升渠道运营效率，稳步推进线上业务发展。公司持续加大研发投入，关注植物新原料资源储备，特护霜核心成分从一代青刺果油迭代至二代青刺果多糖，同时构建起「机理研究—特色原料—配方工艺—临床验证—产业落地」全链条自主科研体系，累计筛选2000余种植物资源，锁定266种护肤活性品种，建成法国、日本两大国际研发中心并获批云南特色植物提取实验室。贝泰妮联合昆明医科大学第一附属医院等单位完成的“国产功效护肤品研发及产业化”项目，荣获2025年度云南省科学技术进步奖特等奖，该项目历经12年产学研联合攻关，贝泰妮也成为国产功效护肤领域极少数获此最高级别认定的企业之一。公司中央工厂在绿色制造与智能制造方面均有实践，2025年分布式光伏项目发电并自身消纳159.01万度，同时搭建了国内外领先的智能工厂管理体系与总体技术架构，引进纯化水制备及多套智能化设备，生产线可实现无人工干预下自动操作，提升生产效率与产品品质。",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,2,公告库,贝泰妮:2026年7月投资者关系活动记录表,0.99,"公告标题：贝泰妮:2026年7月投资者关系活动记录表；
发布时间：2026-07-23；
证券简称：贝泰妮
原文：云南贝泰妮生物科技集团股份有限公司
投资者关系活动记录表
编号:2026-002

| 投资者关系活动类别 | □特定对象调研 ☑分析师会议□媒体采访 □业绩说明会□新闻发布会 ☑路演活动☑现场参观□其他 |  |
| --- | --- | --- |
| 参与单位名称 | 华商基金、景顺长城、银华基金、财通资管、汇添富基金、华泰资管、海富通基金、保银(pinpoint)、重阳投资、东吴自营、崇山投资、中邮资管、华泰保险、汇丰晋信基金、Goldman Sachs、Jefferies、广发证券、国联民生、CLSA中信里昂证券、申万宏源、国泰君安、华泰证券等共计22家机构。 |  |
| 时间 | 2026年7月 |  |
| 地点 | 云南省昆明市呈贡区贝泰妮集团中央工厂上海市长宁区金钟路968号凌空soho2号楼线上交流 |  |
| 上市公司接待人员姓名 | 1. 投资者关系负责人 张圣烨2. 中央工厂执行总经理 李盼盼3. IR 王丹琦4. 公共事务团队等 |  |
| 投资者关系活动主要内容介绍 | Q:公司新工厂建设进展?A:公司工厂项目按计划推进,项目建成后,公司将进一步提升自产能力与生产效率,优化产品供应体系,为公司中长期发展提供产能保障,同时为公司未来新品类拓展预留空间。Q:公司供应链与库存管理情况如何?A:公司持续推进产销协同机制建设,通过计划管理、采购时效、工厂交期等环节的持续优化,实现库存周转效率的持续改善。公司将持续关注库存管理,提升整体供应链运营效率。Q:公司在线上电商平台的运营策略是什么?A:公司在抖音、天猫、京东等主流电商平台持续推进精细化运营。根据各平台用户消费特点,持续优化产品组合与运营策略,通过商品结构调整、主播选取优化等措施,提升渠道运营效率。公司将持续关注各平台动态,稳步推进线上业务发展。Q:产品迭代与技术护城河?A:公司关注植物新原料资源储备,持续创新研发投入,子品牌覆盖不同消费群体。特护霜核心成分从一代青刺果油到二代青刺果多糖,持续迭代。Q:公司近期在科研领域有什么进展?A:近日,云南省人民政府发布《关于2025年度科学技术奖励的决定》(云政发〔2026〕18号),由贝泰妮集团(300957.SZ)联合昆明医科大学第一附属医院、中国科学院昆明植物研究所和云南特色植物提取实验室共同完成的“国产功效护肤品研发及产业化”项目,荣获云南省科学技术进步奖特等奖。2025年度全省仅2项成果获此殊荣,贝泰妮成为国产功效护肤领域极少数获此最高级别认定的企业之一。该项目历经12年产学研联合攻关,充分体现了公司在国产功效护肤领域的科研实力与产业化能力。Q:公司产学研合作方面有哪些亮点?A:公司联合医院、科研院所历经多年持续攻关,构建起「机理研究—特色原料—配方工艺—临床验证—产业落地」全链条自主科研体系。团队累计筛选2000余种植物资源,锁定266种护肤活性品种,项目团队入选教育部创新团队,建成法国、日本两大国际研发中心,获批云南特色植物提取实验室,形成产学研医协同创新矩阵。Q:中央工厂在绿色制造方面有哪些实践?A:公司持续推进绿色低碳生产。云南中央工厂分布式光伏项目2025年发电并自身消纳159.01万度,为公司可持续发展提供清洁能源支撑。Q:公司智能制造水平如何?A:中央工厂搭建了国内外领先的智能工厂管理体系与总体技术架构,引进纯化水制备及多套智能化设备,生产线具备在无人工干预情况下按规定程序自动操作的能力,持续提升生产效率与产品品质。 |  |
| 附件清单(如有) |  |  |
| 日期 |  | 2026年7月23日 |",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,3,公告库,贝泰妮:2026年5月12日投资者关系活动记录表,0.99,"公告标题：贝泰妮:2026年5月12日投资者关系活动记录表；
发布时间：2026-05-12；
证券简称：贝泰妮
原文：云南贝泰妮生物科技集团股份有限公司投资者关系活动记录表
编号：2026-001
| 投资者关系活 动类别 | 特定对象调研 分析师会议 口媒体采访 业绩说明会 新闻发布会 路演活动 |
| --- | --- |
| 参与单位名称 | 其他 通过全景网(https://ir.p5w.net)参与2025年度业绩网上 |
| 时间 | 说明会的投资者 2026年5月12日(周二)15:30-16:30 |
| 地点 | 网上直播 |
| 上市公司接待 人员姓名 | 1、董事长、总经理GUOZHENYU（郭振宇） 2、副总经理、财务总监、董事会秘书王龙 |
| 投资者关系活 动主要内容介 绍 | 3、独立董事和国忠 Q：接下来的新品动销与库存消化周期目标是怎样的？ A：尊敬的投资者，您好。公司将不断通过技术手段，提升 产销预测准确性，逐步提升库存周转率。谢谢您的提问， Q：郭总您好，作为公司投资者兼产品的忠实用户，治好了 我的脸部泛红和起皮，也是从那个时候起关注到贝泰妮集 团，研究之后决定做长期投入，虽然一直是亏的，但也相信 如果能坚守初心专注于打造中国皮肤健康生态的使命感，认 认真真做产品，股价迟早能回去，时间是品牌专注力的朋友。 想问郭总非敏感肌可以用薇诺娜么，我家里人除开我是敏感 肌其他人不是，我问过客户说非敏感肌用是可以修厚屏障 的，想趁这个机会听郭总，如果是打算给家里买 A：尊敬的投资者，感谢您的提问。答案是肯定的：敏感肌 |
涵盖防晒、美白、保湿、抗老等多个产品系列，也有针对婴幼儿的 Winona baby，可以满足用户护肤的不同需求。谢谢
| Q：领导，您好！我来自四川大决策 请问，核心品牌薇诺娜在敏感肌赛道的市场份额情况如何？ 全年薇诺娜的增长目标与产品创新规划？ A：尊敬的投资者，感谢您的提问。根据Euromonitor的统 计数据显示，报告期内，公司旗下“薇诺娜（Winona）”品 牌在国内皮肤学级护肤品赛道的市场份额约19.4%，连续多 年稳居第一。2026年管理层将持续做好经营，提升业绩。具 体的业绩及新品发布，可关注公司定期报告。感谢您的提问。 Q：效率模型害怕时间，因为流量越来越贵，信息差越来越 小，竞争对手越挤越多。品牌模型需要时间，因为信任只会 慢慢长出来，一旦长成就很难被替代。国货护肤品牌的效率 红利持续5年到2024年，行业的流量越来越贵，效率竞赛 的终点似乎走到了尽头。雅思兰黛或者资生堂的CPB等一款 产品都经历的几十年的迭代与坚守赢得消费者信任，窄门长 出参天大树，非常欣赏郭总的专注与理想抱负，也请问如何 平衡专注与资本市场要求回报的问题 A：尊敬的投资人您好，我在内部管理时常说：长期来看消 费者会只会为品牌买单，而不会长期为流量买单。贝泰妮要 通过长期的品牌打造，产品的不断选代升级，持续为消费者 提供好的皮肤问题解决方案，带动品牌健康可持续的成长。 谢谢您的提问。 Q：今年海外市场拓展的预期是怎样的？ A：尊敬的投资者，您好。贝泰妮的国际化道路，会坚定不 移的走下去。我们将持续在海外注册新品，不断将云南的特 色植物，草本护肤的概念向海外输出。从东南亚、一带一路 国家开始，逐步的开拓合作伙伴，积极拥抱线上平台，希望 海外能成为公司业绩增长的重要引擎。谢谢。 Q：贝泰妮是中国品牌40强成分股，2026年业绩转好，可喜 可贺，资金充裕实力强，面对市场的失衡，错杀的股价，会 不会像腾讯一样不断的回购，谢谢 A：尊敬的投资者您好。感谢认可与关心。对于二级市场波 动，我们始终高度重视股东回报。回购方面公司已有合规落 地的相关方案并依规稳步推进，后续会结合自身规划与市场 情况，稳健做好价值守护，以扎实经营回馈广大投资者。谢 谢您的提问。 Q：敏感肌赛道竞争加剧，珀莱雅、华熙等加速布局，薇诺 |
| --- |",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,4,公告库,贝泰妮:2026年5月12日投资者关系活动记录表,0.99,"公告标题：贝泰妮:2026年5月12日投资者关系活动记录表；
发布时间：2026-05-12；
证券简称：贝泰妮
原文： 云南贝泰妮生物科技集团股份有限公司在2026年5月12日的投资者关系活动中披露，其核心品牌薇诺娜在国内皮肤学级护肤品赛道的市场份额约为19.4%，连续多年稳居行业第一。公司管理层明确表示，未来将坚定不移地推进国际化战略，从东南亚及“一带一路”国家起步，通过线上平台逐步开拓海外市场，期望海外业务能成为公司业绩增长的重要引擎。同时，针对线下渠道的主动调整与收缩，公司认为这是为了品牌长期健康发展，并计划2026年积极拥抱OTC渠道新趋势，打造专属货盘以寻求恢复增长。
 在产品矩阵方面，公司正致力于培育银核抗老、瑷科缦及薇诺娜宝贝三大子品牌，预计需3至5年时间使其成为集团发展的支柱力量，目前子品牌增速已超越主品牌。针对美白与抗老市场，公司专为敏感肌人群推出了修白瓶和银核霜系列，反响良好，未来将持续加大投入与创新。此外，公司强调聚焦主业打造皮肤健康生态，明确不会涉足半导体等无关领域，并在日常管理中应用成熟AI技术以提升设计、投流等环节的效率，但暂无投资AI企业的计划。
 关于股东回报与费用管控，公司已通过董事会审批回购议案，拟用于股权激励，回购价格依据监管规则确定，相关工作正在推进中。在薪酬与费用方面，公司制定了新的薪酬管理制度，将高管绩效薪酬占比提升至不低于50%以绑定经营目标；同时，2026年一季度管理费用同比减少了约1300万元，全年将进一步降本控费。尽管2025年海外营收因法规及物流等因素略有下滑，但公司资金充裕，生产经营正常，核心品牌市场地位稳固，对长期发展充满信心。",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,5,公告库,贝泰妮:2026年5月12日投资者关系活动记录表,0.97,"公告标题：贝泰妮:2026年5月12日投资者关系活动记录表；
发布时间：2026-05-12；
证券简称：贝泰妮
原文：Q：贵公司至今没有开展股票回购是不是嫌股价太高
A：尊敬的投资者，感谢您的提问。年度董事会审批通过回购议案后，公司正积极推进后续回购账户开立等相关流程。相关工作完成后会即可启动股票回购。和股价并无直接关系。敬请关注后续回购进展。
Q：贵公司的管理费用率为什么在今年一季度都居高不下，未来有什么解决举措没有？在薪酬水平上为什么给行政职能人员平均涨工资反而给研发人员降低工资呢？
A：尊敬的投资者，感谢您的提问。对于管理费用公司从董事会到管理层都给予高度重视。也在逐步的缩减相应支出2025 年全年管理费用较 2024 年相比金额减少约 1800 万。2026 年 Q1 单季度较 2025 年 Q1 减少约 1300 万元。2026 年全年公司将进一步降本控费，提升运营效率，请持续关注我们后续的变化。另人均薪酬受人员数量，职级等平均化的影响。并不能直接代表不同职级人员的薪酬增减。感谢您的提问。
Q：郭总您好，虽然现在薇娜诺在修复 防晒 美白 抗老甚至祛痘等产品线较为齐全了，但是修白瓶和去年推出的抗初老产品银核霜似乎都没有达到防嗮修复这种产品高度，请问接下来如何推进美白抗老这个市场规模很大的细分市场的产品，在可预期的三年内会有一个怎样的放量规模？
A：尊敬的投资者，感谢您的提问。近几年新出的修白和银核系列，我们也是发现美白和抗皱是敏感肌人群的重要诉求。我们为此专为敏肌人群设计了产品和解决方案。产品推出后反响和口碑都很不错。也迅速打开了市场。未来这两个系列也将是公司的核心系列，公司将持续进行市场投入，持续进行产品创新和迭代升级。推动公司业绩的持续发展。谢谢您的支持。
Q：请问郭总，股价连续五年低迷，公司一直倡导长期主义，那没什么除开公司用资金回购奖励管理层之外，为什么管理层自己不主动增持表示长期看好自家公司呢？
A：尊敬的投资者，感谢您对公司的关注。公司一直倡导长期主义，管理层对公司未来发展充满信心。目前管理层虽未主动增持，但公司通过回购股份拟用于管理层激励，这本身就是一种将管理层利益与公司长期发展深度绑定的方式，体现了管理层与公司共进退的决心。同时，管理层也在积极履行职责，推动公司业务持续发展，为股东创造价值。再次感谢您的提问，我们会持续关注您的关切并努力提升公司业绩。
|  | Q：出海作为公司的战略目标之一，但是2025年公司的海外 营收却相比2024年反而下降了1000万，请问郭总是什么原 因？对于出海2026年这一块的营收预期规划是怎样的，谢 谢 A：尊敬的投资人您好，感谢您对公司海外业务的关注。公 司从2023年开始积极的拓展贝泰妮旗下品牌的全球化发展， 并逐步在东南亚、一带一路等国家建立了销售网络，也通过 线上tiktok，Lazada,Shopee 等平台进行线上销售。海外销 售受各地注册法规、政策、物流及市场环境等综合因素的影 响。2025年同2024年相比海外业绩略有下滑，但我们也新 开拓了部分国家和地区，为未来的发展打下良好基础。贝泰 妮的国际化道路，还会坚定不移的走下去。感谢您的理解和 支持。 |  |
| --- | --- | --- |
|  |  |  |
| 附件清单（如有） 日期 |  | 无 2026年5月12日 |",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,6,公告库,贝泰妮:2026年5月12日投资者关系活动记录表,0.95,"公告标题：贝泰妮:2026年5月12日投资者关系活动记录表；
发布时间：2026-05-12；
证券简称：贝泰妮
原文：娜在用户粘性上的核心优势与应对策略是怎样的？
| 您的提问。 您的提问。 妮股价错杀，这次董事会回购，说明市值管理有方，对市场 纠错，请教市场股价多少是合理区间，看到回购计划书中的 数字，58.04元，请老总说说 A：尊敬的投资者，您好。回购价格在公告中有披露，是根 据现行监管规则，按照议案审核日前30个交易日的平均收 盘价150%确定的。公司将严格按照公告实施相应的股票回 购。谢谢您的提问。 Q：贵司利润弹性显著高于收入，核心驱动因素是什么，未 来几个季度能否持续？ A：尊敬的投资者，感谢您的提问。公司近年从内部考核导 向更关注品牌高质量的成长。公司希望能够通过长期的品牌 打造，运营的提质增效，管理的降本控费等综合手段，在收 入增长的同时，为股东创造更好的利润收益。谢谢您的支持。 Q：股权激励与回购对团队激励与费用管控的实际影响？ | A：尊敬的投资者，您好。公可在微诺娜主品牌上持续专注 敏感肌肤的产学研，通过持续的产品创新为消费者提供皮肤 问题的解决方案。谢谢您的提问。 Q：银核抗老、瑷科缦、薇诺娜宝贝三大新秀，何时能成为 真正支柱？ A：尊敬的投资者，您好。公司子品牌的占比已经逐步提升， |
| --- | --- |
|  | 近儿年子品牌的增速大于薇诺娜主品牌。集团很期待花3-5 年的时间，看到这些品牌能在各自的细分领域占据一定的市 场份额，支撑集团的未来发展。谢谢您的提问。 Q：线下分销下滑较多，渠道收缩是否已到尾声？ A：尊敬的投资人，您好。公司25年线下进行了主动调整， 也是为了品牌长期持续的健康发展。线下渠道公司高度重 视，也很期待线下渠道能为公司的业绩增长贡献力量。谢谢 |
|  | Q：近日贵公司某代言人代表祖国赢得乒乓球男团冠军，你 们就一点不感冒吗？贵公司品牌运营是否有短板。 A：尊敬的投资者，您好。公司的代言人王楚钦在伦敦获得 男团冠军，作为国人我们无比的开心和自豪。公司第一时间 就在微博、小红书等平台发布了“向前一步，WIN在伦敦” 的祝贺文章。关于品牌后续的运营还请多提宝贵意见。谢谢 Q：市场往往是情绪主导非理性的，市场的失衡，使得贝泰 |
| 回购计划。回购计划对当期财报费用并无直接影响。回购拟 用于股权激励，未来股权激励对财报的影响，请关注后续的 议案公布时会有相应的财务影响测算。目前暂无法计算预 估。谢谢您的提问。 |  |
| Q：这个价格大股东怎么还不回购？难道不认可这个价格？ 价格跌跌不止，屡创新低，连个象样的反弹都没有！ A：尊敬的投资者，感谢您的提问。年度董事会审批通过回 购议案后，公司正积极推进后续回购账户开立等相关流程。 相关工作完成后会即可启动股票回购。和股价并无直接关 |  |
| 系。敬请关注后续回购进展。 Q：郭董您好，请问贵公司未来有进军半导体行业打造第二 条创收路子的打算吗 A：尊敬的投资者，感谢您的提问。公司将聚焦主业，打造 皮肤健康生态。不会涉足半导体等领域。感谢您的提问。 |  |
| Q：0TC线下渠道2024年销售额是14.3亿，今年只有9.2 亿，减少了36，相对于2024年的12.7亿，也同比减少了 28，虽然2025年下半年跌幅收窄至10左右，但任然在下滑， |  |
| 请问郭总对这一块怎么看？有没有让其重新恢复增长的举 措？ A：尊敬的投资者，感谢您的提问。2026年公司将积极拥抱 OTC 渠道三盘货的行业趋势，为0TC打造专属货盘，通过专 业化运营和渠道进行深度战略合作。感谢您的关注和支持。 |  |
| Q：郭总您好，悦江并购进来之后一直没有达到公司的预期 目标，如今公司的现金流也改善了不少，今年对于悦江旗下 的两个品牌姬芮和泊美有怎样的预期要求？海外会如何推 进？ |  |
| A：尊敬的投资者，感谢您的提问。今年集团计划重新对ZA 和泊美两个品牌的产品线进行梳理，根据目标人群重新规划 核心产品线。依托集团研发和供应链的优势，充分挖掘这两 个品牌的品牌价值，制定好未来3年悦江的发展战略，通过 运营团队的高效运营，为这两个拥有30年左右历史的品牌， 注入新的活力。外海集团将整合薇诺娜和悦江的海外运营团 |  |
| 队，共同服务于集团旗下品牌的出海战略，做好战略协同。 感谢您的提问。 Q：郭总您好，初普的射频械三证大概今年什么时候可以拿 到？瑷科缦今年在抖音的直播间推广会推进么，大概在什么 时候？为什么公司选择的是初普和薇娜诺进行联合销售，而 没有考虑更加倾向于医美定位的瑷科缦呢？ |  |
| 前科医人在中国已有布局，联合国内头部公司已于2026年3 月拿到了器械证，产品在加紧生产中，预计5月底正式上线 销售。Aoxmed从今年Q2开始尝试在抖音布局。初普+薇诺娜 在“院线抗衰+安全修护”的契合度很高。集团希望借助薇 诺娜过去10多年积累的大量会员，快速的帮助初普实现在 市场上从0到1的突破。感谢您的提问。 Q：公司有没有投资AI方面的想法？在AI如此火热的情况 下，公司怎么能抓住AI的机遇呢？或者说公司怎么利用AI 来提升产品的销量，与公司的竞争力？ A：尊敬的投资人您好，公司无投资AI的想法。在日常管理 中公司已经在图片设计、视频制作、数据分析、投流等方面 运用市场成熟的AI软件，带来的效率提升，为公司提质增 效。感谢您的关注。 |  |
| Q：贝泰妮高管薪资行业属于大幅领先水平，可是近年业绩 却落后行业水平，请问公司管理层有没有考虑减薪降本 A：感谢提问。公司已经严格根据最新公司治理准则制定《董 事、高级管理人员薪酬管理制度》（第三届董事会第五次会 议已审议通过，尚需提交股东会审议)，未来的高管薪酬方 案薪酬由保障薪酬＋绩效薪酬两部分组成，绩效薪酬占比 不低于总额50%，绩效薪酬严格以经营绩效评价为核心依 据，和公司年度经营目标强挂钩，实现薪酬和公司业绩深度 绑定、同向联动。 Q：贝泰妮股票持续下跌，是公司资金结构有什么恶化吗， 管理层如何应对。 A：尊敬的投资人您好，二级市场股价受宏观经济、行业竞 争格局、市场情绪等多种因素综合影响，存在波动。公司目 前生产经营正常，资金充裕。2026年1季度主营业务恢复增 长，核心品牌市场地位稳固。公司严格按照相关规定履行信 息披露义务，暂无应披露而未披露的重大信息。公司将持续 聚焦主业，提升核心竞争力，以良好的业绩回报投资者。感 谢您的关注！ Q：请问今天的活动说是网络直播的，怎么没有视频，只有 文字吗？ |  |",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,7,公告库,贝泰妮:2025年12月投资者关系活动记录表,0.9,"公告标题：贝泰妮:2025年12月投资者关系活动记录表；
发布时间：2026-01-05；
证券简称：贝泰妮
原文：云南贝泰妮生物科技集团股份有限公司投资者关系活动记录表
编号：2025-010
| 投资者关系活 动类别 | 口特定对象调研 分析师会议 媒体采访 业绩说明会 |  |
| --- | --- | --- |
|  | 口新闻发布会 路演活动 现场参观 口其他 |  |
| 参与单位名称 | 南方基金、景顺长城基金、中信资管、中信研究、CLSA消费、 诺安基金、大家资管、众行远基金等8家机构 |  |
| 时间 | 2025年12月 |  |
| 地点 | 线上、线下交流 |  |
| 上市公司接待 人员姓名 | 1、投资者关系负责人张圣烨 2、IR王丹琦 |  |
| 投资者关系活 动主要内容介 绍 | Q：问：研发费用下降的原因是什么？是否会影响产品创新？ A：2025年前三季度研发费用同比有所下降，主要系公司依 据既定的研发计划和研究进度，有序开展研发活动所致。公 司依托云南省特色植物提取实验室平台和贝泰妮研究院的 资源和优势，结合日本、法国建设研究院和前沿联合实验室 资源和能力，有针对性地开展特色植物基础理论研究、创新 原料研发、原料筛选研发、功效性化妆品研发、功能性食品 研发、医疗器械研发、皮肤新药研发以及包装开发研究等多 维度深层次研发项目。公司的研发投入与研究方向、研究进 度基本匹配。 Q：行业竞争日益激烈，公司核心的、短期内难以被模仿的 护城河是什么？ A：是“医学背书+消费者心智”构成的品牌信任壁垒。这源 | 自公司多年深耕医院渠道建立的专业医生认可和大量临床 验证数据，由此积累的庞大且高忠诚度的敏感肌用户资产， |
|  | 是短期内难以复制的。 Q：近期公司产品盈利能力是否有所改善，原因是什么？ A：公司产品盈利能力有效改善，主要系公司坚持以“一个 中心两个基本点”为指引，即以品牌建设为中心，以会员运 营及全域协同增长为基本点，着力于会员分层运营与权益创 新，实施差异化会员运营和品牌运营策略；坚持渠道稳价维 价，适当减少促销权益占比以及精简产品系列和商品数量， |  |
| 经营策略有效落地实施所致。 附件清单（如有） |  | 无 |
| 日期 |  | 2026年1月4日 |",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,8,公告库,贝泰妮:关于“质量回报双提升”行动方案的进展公告,0.89,"公告标题：贝泰妮:关于“质量回报双提升”行动方案的进展公告；
发布时间：2026-04-27；
证券简称：贝泰妮
原文：六、提升信息披露质量，有效传递公司价值
公司严格遵守上市监管规则履行信息披露义务，遵循“真实、准确、完整、及时、公平”的原则，不断提高信息披露的有效性和透明性。主动披露对投资者投资决策有用的信息，强化行业发展、公司业务、技术创新、风险因素等关键信息披露，力求有效传递公司经营、管理、战略、财务、行业等方面的重要信息，减少冗余信息披露，准确传递公司内在价值，为投资者决策提供依据。2022\~2024年度，公司连续三年获得深圳证券交易所信息披露工作“A级”评定。公司也将继续提升信息披露质量，增加投资者特别是中小投资者对公司生产经营等情况的了解，更好地传达公司价值。
公司董事会高度重视投资者关系管理工作，设有专门的投资者关系负责部门，公平对待所有股东及潜在投资者。通过多种方式不断增进与投资者的沟通交流，积极听取投资者的意见建议，与资本市场建立双向沟通、良性互动。报告期内，公司组织了2024年度业绩说明会，参加了云南辖区上市公司2024年度投资者网上集体接待日活动，认真接待投资者来访、来电。
报告期内，公司董事会相关工作得到有关监管部门及社会各界的认可。2025年，贝泰妮获得中国上市公司协会“2025上市公司董事会办公室最佳实践”、“2025年度上市公司董事会最佳实践案例”、“上市公司投资者关系管理最佳实践”、“2025年中国上市公司内部控制最佳实践案例”及“2025年上市公司可持续发展最佳实践案例”。同时，公司还获得Wind“2025年度中国上市公司ESG最佳实践100强”和“2025年度中国上市公司ESG最佳实践100强及AA评级”、“中国基金报2025中国上市公司英华奖A股ESG示范案例”、“上海证券报2025年上证鹰·金质量ESG奖”等多项荣誉。
未来，公司将持续增强聚焦主业意识、提高创新发展能力、提升信息披露质量、强化规范运作水平，落实以投资者为本的理念，牢固树立回报股东意识，
履行上市公司的责任和义务，持续践行“质量回报双提升”行动方案，切实增  
强投资者的获得感，为稳市场、稳信心积极贡献力量。特此公告。
云南贝泰妮生物科技集团股份有限公司董事会2026年4月24日",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,9,公告库,贝泰妮:2025年12月投资者关系活动记录表,0.88,"公告标题：贝泰妮:2025年12月投资者关系活动记录表；
发布时间：2026-01-05；
证券简称：贝泰妮
原文： 云南贝泰妮生物科技集团股份有限公司于2025年12月举行了投资者关系活动，南方基金、中信资管等8家机构参与。公司在研发方面保持战略定力，2025年前三季度研发费用同比有所下降，这并非削减投入，而是依据既定研发计划和研究进度有序开展活动的结果。公司依托云南省特色植物提取实验室及贝泰妮研究院，结合日本、法国的前沿联合实验室资源，在基础理论、创新原料、功效化妆品、功能性食品及皮肤新药等多维度开展深层次研发项目，确保研发投入与方向、进度高度匹配，持续推动产品创新。 面对日益激烈的行业竞争，公司构建了难以被短期模仿的核心护城河，即由“医学背书”与“消费者心智”共同构成的品牌信任壁垒。这一优势源于公司多年深耕医院渠道所积累的医生专业认可度以及大量临床验证数据，进而转化为了庞大且高忠诚度的敏感肌用户资产，构成了公司独特的竞争壁垒。 近期公司产品盈利能力得到有效改善，主要得益于经营策略的精准落地。公司坚持以品牌建设为中心，以会员运营及全域协同增长为基本点，通过实施差异化会员分层运营与权益创新，提升了用户价值。同时，公司坚持渠道稳价维价策略，适当减少了促销权益占比，并精简了产品系列和商品数量，有效优化了成本结构，从而推动了盈利能力的回升。",2026-08-16T09:22:21.413141+08:00
gildata,AnnouncementData,贝泰妮投资者关系活动记录表 2026年,10,公告库,贝泰妮:关于2026年度对外担保额度预计的公告,0.83,"公告标题：贝泰妮:关于2026年度对外担保额度预计的公告；
发布时间：2026-04-27；
证券简称：贝泰妮
原文：云南贝泰妮生物科技集团股份有限公司于2026年4月23日召开董事会，审议通过《关于公司2026年度对外担保额度预计的议案》，决定为全资子公司海南贝泰妮投资有限公司提供不超过5亿元人民币的对外担保额度。该担保额度涵盖存量担保、新增担保及展期续保等情形，授权期限自批准之日起12个月，旨在满足子公司生产经营资金需求。根据公告，本次担保对象资产负债率为46.88%，未超过70%的红线，整体财务风险处于公司可控范围内。截至公告披露日，公司已累计提供担保余额为20,703万元，占最近一期经审计净资产比例为3.36%。本次拟新增担保额度29,297万元，使得总担保额度达到5亿元，占上市公司2025年末净资产的比例为8.12%。被担保方海南贝泰妮成立于2021年，注册资本5亿元，主要从事资产管理及投资活动，其2025年度净利润为922.08万元，2026年一季度净利润为51.58万元，经营状况良好且无逾期担保或诉讼记录。董事会经全面评估认为，被担保方资产质量优良、偿债能力强，无需提供反担保。此次担保事项符合监管规定及公司内部制度，有利于子公司顺利开展日常经营，不存在损害公司及股东利益的情形。该议案经董事会审议通过后，无需提交股东会审议，体现了公司对子公司融资效率的提升策略及对风险的有效管控。",2026-08-16T09:22:21.413141+08:00
