vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,1,公告库,圣农发展:2026年第一季度业绩预告,0.98,"公告标题：圣农发展:2026年第一季度业绩预告；
发布时间：2026-04-13；
证券简称：圣农发展
原文：福建圣农发展股份有限公司发布2026年第一季度业绩预告，预计归属于上市公司股东的净利润为2.5亿元至2.9亿元，较上年同期的1.48亿元大幅增长69.43%至96.54%，创下历史同期最佳盈利水平。扣除非经常性损益后的净利润预计为2.56亿元至2.96亿元，同比增长50.39%至73.89%，基本每股收益预计为0.2011元至0.2333元。业绩高增长主要得益于公司种鸡性能持续迭代优化及精益化生产管理的成效显著，多项养殖生产指标创历史新高，综合造肉成本优势进一步巩固。在消费环境充满挑战的背景下，公司全渠道业务协同发力，销售结构不断优化，产品价格韧性增强，特别是C端零售渠道收入实现超20%的同比增长，展现出强大的竞争优势。展望未来，圣农发展将依托种源自主可控与全产业链布局的独特优势，不断拓宽护城河，延续一季度的良好发展态势，在复杂多变的外部环境中继续保持发展的韧性和增长的势能。本次业绩预告未经会计师事务所预审计，具体财务数据将在后续正式报告中披露。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,2,公告库,圣农发展:2026年3月份销售情况简报,0.91,"公告标题：圣农发展:2026年3月份销售情况简报；
发布时间：2026-04-14；
证券简称：圣农发展
原文： 福建圣农发展股份有限公司2026年3月实现销售收入18.24亿元，较去年同期大幅增长19.11%，较上月环比激增38.57%。其中，家禽饲养加工板块鸡肉销售收入达14.05亿元，同比增长19.11%，环比增长97.00%；深加工肉制品板块销售收入为8.48亿元，同比增长28.79%，环比微增0.54%。销量方面，家禽板块鸡肉销售数量增至13.98万吨，同比增长13.28%，环比大幅攀升108.32%；深加工产品销量为4.26万吨，同比增长26.64%，环比增长0.87%。 公司依托全产业链一体化优势，通过持续迭代种鸡性能与精益化生产管理，多项养殖指标创历史同期最佳，综合造肉成本得到有效控制。特别是在消费场景重构背景下，C端零售渠道品牌效应显著增强，收入实现超20%的同比增长，有效促进了整体销售规模与经营效益的提升。 根据此前披露的业绩预告，预计2026年第一季度归属于上市公司股东的净利润为2.5亿元至2.9亿元，同比增长幅度在69.43%至96.54%之间。这一高增长态势延续了上年同期的表现，再次录得历史同期最佳盈利水平，显示出公司在行业周期中的强劲复苏能力与核心竞争力。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,3,公告库,圣农发展:圣农发展投资者关系管理信息,0.91,"公告标题：圣农发展:圣农发展投资者关系管理信息；
发布时间：2026-04-24；
证券简称：圣农发展
原文：福建圣农发展股份有限公司在2026年4月举行的投资者关系活动中披露，公司一季度累计净利润达到2.53亿元，同比大幅增长71.41%，展现出强劲的经营业绩。这一增长主要得益于全产业链协同效应下单羽价值的持续提升，特别是在成本端通过种鸡性能迭代和精益生产巩固了造肉成本优势，同时在销售端C端零售收入同比增长超过20%。关于核心育种品种“圣泽903”，公司确认该新品种在料肉比、生长速度及成活率等关键指标上较现有主力品种“圣泽901”实现了进一步优化提升。目前，“圣泽903”尚未通过正式审定，正处于有序筹备阶段，后续公司将严格按照监管要求及时披露审定进展及规模化养殖推广计划，预计其将逐步替代旧品种并对外推广。在食品加工业务方面，根据公司2025年年报数据，全年食品销量接近45万吨，而目前已建成的深加工产能已超过50万吨，显示出产能储备充足。尽管2026年3月份销量增速有所波动，但公司强调各板块销量整体稳健增长，且深加工产品占比持续提升，未来将继续加大对深加工板块的投入，加速向世界级食品企业迈进，以应对市场变化并挖掘新的增长空间。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,4,公告库,圣农发展:2026年6月份销售情况简报,0.85,"公告标题：圣农发展:2026年6月份销售情况简报；
发布时间：2026-07-11；
证券简称：圣农发展
原文：福建圣农发展2026年6月实现销售收入18.40亿元，同比增长10.62%，环比下降1.88%。其中家禽饲养加工板块鸡肉销售收入12.12亿元，同比增长3.60%、环比下降7.61%，销售数量12.21万吨，同比下降1.20%、环比下降8.61%；深加工肉制品板块销售收入10.37亿元，同比增长26.33%、环比增长2.15%，销售数量5.15万吨，同比增长22.98%、环比增长1.19%。2026年1-6月，公司屠宰量同比增长约10%，深加工板块销量同比增长超40%，深加工产品占比持续提升。依托全产业链一体化优势与种鸡性能迭代，公司综合造肉成本得到有效控制，养殖成绩向好。2026年上半年公司全渠道战略持续发力，各渠道均稳健增长，出口渠道销售收入同比增长超30%，C端零售板块保持高速增长，渠道结构优化成效显现。本次披露的6月销售数据未经审计，与定期报告数据或存在差异，仅作阶段性参考。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,5,公告库,圣农发展:2025年度业绩预告,0.85,"公告标题：圣农发展:2025年度业绩预告；
发布时间：2026-01-15；
证券简称：圣农发展
原文：福建圣农发展股份有限公司发布2025年度业绩预告，预计归属于上市公司股东的净利润为盈利13.7亿元至14.3亿元，较上年同期大幅增长89.16%至97.44%，成功实现扭亏为盈。扣除非经常性损益后的净利润预计增长20.12%至28.81%，显示出公司核心业务具备强劲的增长动能和经营韧性。业绩大幅增长的驱动力主要源于全渠道战略的深化与成本控制能力的提升。在销售端，C端零售渠道收入同比增长超30%，其中线下渠道增速超过40%，出口渠道更是实现超60%的高增长，高价值渠道占比提升优化了收入结构。在生产端，通过精益化管理，综合造肉成本同比下降超过5%，有效对冲了市场价格下行的压力，筑牢了盈利基础。此外，数智化建设提升了整体运营效率，进一步支撑了经营战略落地。值得注意的是，本次业绩中包含重大非经常性收益贡献。上市公司完成对太阳谷的控股合并，在合并报表层面确认了约5.5亿元的投资收益，这对全年归母净利润产生了重要积极影响。尽管面临严峻复杂的市场环境，公司凭借种源自给优势及全产业链布局，构建了抵御行业周期波动的坚实屏障，为未来可持续发展奠定了良好基础。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,6,公告库,圣农发展:2026年5月份销售情况简报,0.78,"公告标题：圣农发展:2026年5月份销售情况简报；
发布时间：2026-06-12；
证券简称：圣农发展
原文： 福建圣农发展股份有限公司披露2026年5月销售数据，当月总销售收入达18.75亿元，同比去年同期增长21.28%，较上月环比下降2.41%，整体营收保持同比增长态势，仅环比略有下滑。分板块来看，家禽饲养加工板块鸡肉销售收入为13.12亿元，同比增长13.82%，环比下降2.19%，对应销售数量为13.36万吨，同比增长12.02%，环比下降1.87%；深加工肉制品板块销售收入为10.15亿元，同比大幅增长44.05%，环比增长1.44%，对应销售数量为5.09万吨，同比增长36.10%，环比下降1.90%。 2026年5月圣农发展依托全产业链一体化优势与持续优化的种鸡性能，综合造肉成本保持良好控制，为盈利增长打下了坚实基础。当月公司各销售渠道协同发力，所有渠道营业收入实现同比全面增长，其中出口渠道表现尤为突出，同比增幅超过40%。 目前深加工板块延续了此前的高增长态势，收入占比持续攀升，该板块的增长带动公司产品结构持续优化，进一步增强了圣农发展整体的盈利韧性。需要注意的是，本次披露的家禽饲养加工板块鸡肉销售收入及销售数量为抵消前数据，且所有财务数据均未经审计，数据可能与后续定期报告披露内容存在差异，仅作阶段性参考。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,7,公告库,圣农发展:2026年2月份销售情况简报,0.77,"公告标题：圣农发展:2026年2月份销售情况简报；
发布时间：2026-03-11；
证券简称：圣农发展
原文： 福建圣农发展股份有限公司2026年2月实现销售收入13.17亿元，较去年同期增长15.10%，但较上月环比下降34.87%。其中，家禽饲养加工板块鸡肉销售收入为7.13亿元，同比下滑14.69%，销量6.71万吨同比减少21.54%；而深加工肉制品板块表现强劲，销售收入达8.44亿元，同比增长68.06%，销量4.22万吨同比增长65.34%，显示公司产品结构正加速向高附加值领域转型。 受春节假期影响，2月份实际生产天数减少导致经营数据波动较大，但公司1-2月累计销量仍实现超10%的同比增长，显示出整体业务需求的韧性。 公司依托全产业链一体化优势，通过精细化成本管控与生产效能提升，有效控制了综合造肉成本。同时，持续优化高附加值渠道与产品结构，增强了盈利韧性与稳定性，尽管短期单月数据受季节性因素干扰，但长期增长逻辑依然清晰。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,8,公告库,圣农发展:2026年4月份销售情况简报,0.77,"公告标题：圣农发展:2026年4月份销售情况简报；
发布时间：2026-05-12；
证券简称：圣农发展
原文：福建圣农发展股份有限公司2026年4月整体表现强劲，实现销售收入19.21亿元，较去年同期大幅增长25.35%，较上月环比增长5.31%。这一数据表明公司在当前市场环境下具备较强的销售扩张能力。其中，家禽饲养加工板块鸡肉销售收入为13.41亿元，同比增长15.28%，但较上月环比下降4.55%，显示出该传统业务板块在月度波动上存在一定压力。相比之下，深加工肉制品板块成为公司业绩增长的核心驱动力，其销售收入达到10.00亿元，同比激增61.42%，环比增长17.93%。销量方面，深加工产品销量达5.19万吨，同比增长62.59%，环比增长21.97%，增速远超家禽饲养板块。这反映出公司产品结构正在向高附加值的深加工领域快速转型，且市场需求旺盛。从运营层面看，2026年1月至4月期间，公司各板块销量保持稳健增长态势，深加工产品在公司总销量中的占比持续提升。公司依托全产业链一体化优势，通过持续迭代种鸡性能和实施精益化生产管理，有效控制了综合造肉成本。同时，全渠道策略的持续发力确保了各业务线业务的稳健增长，为公司未来的盈利能力提升奠定了坚实基础。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,9,公告库,圣农发展:第七届董事会第二十次会议决议公告,0.7,"公告标题：圣农发展:第七届董事会第二十次会议决议公告；
发布时间：2026-04-13；
证券简称：圣农发展
原文： 福建圣农发展股份有限公司第七届董事会第二十次会议于2026年4月10日召开，会议审议通过了包括2025年度总经理工作报告、董事会工作报告及多项重要议案。2025年，公司管理层持续推进精益化运营与数智化转型，深入贯彻“种源优势领先战略”、“成本领先战略”等核心策略，通过完成太阳谷并购整合及全渠道协同发力，实现了经营业绩的稳步提升，展现了强劲的经营韧性与可持续增长动能。 财务方面，根据容诚会计师事务所审计，公司2025年度实现归属于上市公司股东净利润1,380,058,462.24元。基于稳健的盈利能力和良好的财务状况，董事会拟提出利润分配预案：向全体股东每10股派发现金红利2元人民币（含税），预计派发现金红利总额约2.49亿元。同时，为真实反映资产价值，公司2025年度计提各项资产减值准备合计22,945.93万元。 在资本运作与治理优化方面，公司拟将回购专用账户剩余的341,399股库存股用途由股权激励变更为注销减少注册资本，注销后公司总股本将由1,243,111,721股变更为1,242,770,322股，注册资本相应减少。此外，为满足生产经营需求，公司拟申请不超过222亿元的银行授信额度，并续聘容诚会计师事务所担任2026年度审计机构。会议还通过了关于开展期货和衍生品交易、使用闲置资金购买理财产品以及预计2026年度关联交易等多项议案，以进一步提升资金使用效率和风险管理能力。",2026-08-16T09:22:17.783761+08:00
gildata,AnnouncementData,圣农发展2026年半年度业绩预告 业绩增长原因,10,公告库,圣农发展:2025年年度报告摘要,0.68,"公告标题：圣农发展:2025年年度报告摘要；
发布时间：2026-04-13；
证券简称：圣农发展
原文： 圣农发展在2025年实现了业绩的显著突破，全年营业收入达到200.94亿元，同比增长8.12%；归属于上市公司股东的净利润高达13.80亿元，同比大幅增长90.55%，扣非后净利润为8.45亿元，增幅达22.27%。这一强劲增长主要得益于公司全产业链优势的释放及成本领先战略的深入实施。 在业务规模方面，公司鸡肉生食销售量达157.68万吨，深加工肉制品销售量达44.76万吨，分别较2024年增长12.40%和41.25%。其中C端业务表现尤为亮眼，收入约35.5亿元，同比增长超60%，这主要得益于公司对太阳谷控股合并后的深度整合与协同效应释放，以及全渠道策略的成功落地。 公司的核心竞争力在于其全球最完整的白羽肉鸡全产业链布局，特别是自研种源“圣泽901""及其升级版“圣泽901plus""的成功推广，有效打破了国外种源垄断并大幅降低了料肉比等养殖成本。此外，公司经营性现金流净额为40.32亿元，同比增长32.25%，资金实力雄厚，融资成本处于行业低位，为其抵御周期波动和持续扩张提供了坚实保障。",2026-08-16T09:22:17.783761+08:00
