vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,1,公告库,有友食品:有友食品未来三年（2026-2028年）股东回报规划,0.68,"公告标题：有友食品:有友食品未来三年（2026-2028年）股东回报规划；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品于2026年8月15日经董事会制定未来三年（2026-2028年）股东回报规划，该规划需经公司股东会审议通过后生效，旨在建立科学、持续、稳定的利润分配政策，积极回报投资者，充分保障投资者合法权益。本规划制定过程中，有友食品着眼于长远可持续发展，兼顾全体股东尤其是中小股东的利益诉求，综合考量自身经营实际、战略目标、未来盈利规模、现金流状况、发展阶段、中长期规划以及日常运营资金需求等核心因素，合理平衡股东短期分红回报与公司长期价值成长的利益关系，构建规范稳定的投资者回报机制，规划制定严格遵循法律法规及《公司章程》规定，符合监管要求，在满足现金分红条件时优先采用现金分红方式。 本规划明确了具体的股东回报规则，利润分配可采取现金、股票或二者结合的方式，满足现金分红条件时优先考虑现金分红，董事会可根据公司盈利与资金需求开展中期利润分配；同时设置了差异化现金分红政策，根据公司发展阶段和重大资金支出安排，划分四类情形设定最低现金分红占比，其中成熟期无重大资金支出最低占比80%，成熟期有重大资金支出最低占比40%，成长期有重大资金支出最低占比20%；还明确了实施现金分红需同时满足的四项条件，以及可不实施利润分配的四类情形。 在分红比例要求上，符合规定条件下，有友食品2026-2028年每一年度以现金方式分配的利润不低于当年度归属于上市公司股东净利润的90%，以现金对价回购股份的金额纳入现金分红比例计算，同时明确了利润分配的审议决策程序，以及利润分配政策调整的规则与要求。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,2,公告库,有友食品:有友食品第五届董事会第七次会议决议公告,0.62,"公告标题：有友食品:有友食品第五届董事会第七次会议决议公告；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品股份有限公司于2026年8月14日召开第五届董事会第七次会议，会议召开程序符合《公司法》及《公司章程》规定，应到董事7人、实到7人，最终全票审议通过了包括2026年半年度报告在内的多项议案，所有议案均经过对应专门委员会前置审议，程序合规。本次董事会审议通过了2026年半年度利润分配方案，方案拟以实施分配时股权登记日的总股本为基数，向全体股东每10股派发现金红利2.70元（含税），同时还审议通过了2026年半年度募集资金存放、管理与实际使用情况的专项报告。 董事会全票通过了多项公司治理相关议案，包括因重庆市行政区划调整变更公司注册地址、修订《公司章程》部分条款、修订《董事会秘书工作细则》《内部审计制度》《子公司管理控制制度》，此外还审议通过了有友食品2026-2028年未来三年股东回报规划，上述议案中多项需提交公司2026年第二次临时股东会审议。 董事会最终审议通过了召开有友食品2026年第二次临时股东会的议案，确定了临时股东会的召开安排，相关通知已按照要求披露于上海证券交易所网站。本次董事会对公司半年度经营、股东回报、募集资金管理、公司治理等多项核心事项完成了审议梳理，为后续经营规划落地、合规调整明确了推进方向。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,3,公告库,有友食品:有友食品关于2026年半年度利润分配方案公告,0.54,"公告标题：有友食品:有友食品关于2026年半年度利润分配方案公告；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品2026年半年度实现归属于上市公司股东的净利润为124,119,438.78元，截至2026年6月30日母公司期末未分配利润为510,467,072.77元，上述财务数据未经审计。 公司拟以实施权益分派股权登记日登记的总股本为基数，向全体股东每股派发现金红利0.27元（含税），以截至2026年8月14日的总股本427,692,098股计算，合计拟派发现金红利115,476,866.46元（含税），占当期归属于上市公司股东净利润的比例高达93.04%。 若在公告披露日至实施权益分派股权登记日期间公司总股本发生变动，将维持每股分配比例不变并相应调整分配总额，后续将在权益分派实施公告中披露具体调整情况。 该利润分配方案已于2026年8月14日经公司第五届董事会第七次会议全票审议通过，符合《公司章程》规定的利润分配政策和公司已披露的股东回报规划，且已获得2025年年度股东会授权，无需再次提交股东会审议。 本次利润分配方案不会对公司经营现金流产生重大影响，不会影响公司正常经营和长期稳定发展。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,4,公告库,有友食品:有友食品2026年半年度主要经营数据公告,0.5,"公告标题：有友食品:有友食品2026年半年度主要经营数据公告；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品2026年半年度主营业务收入合计103,027.47万元，较2025年同期的76,291.54万元实现大幅增长。其中肉制品贡献绝对营收主力，2026年上半年肉制品收入98,904.57万元，占总营收比重达96.00%，较2025年同期的93.42%进一步提升，禽类制品作为肉制品核心品类收入92,289.55万元，占总营收89.58%，同比提升3.17个百分点。 从销售地区来看，东南区域为公司第一大营收来源，2026年上半年实现收入67,423.56万元，占总营收65.44%，较2025年同期的58.81%提升6.63个百分点；西南区域收入28,181.55万元，占比从2025年同期的33.63%下滑至27.35%；其他区域收入占比基本保持稳定。 销售渠道方面，线下渠道仍是公司核心销售通路，2026年上半年线下渠道收入97,659.47万元，占总营收94.79%，线上渠道收入5,368.00万元，占比小幅下滑至5.21%。公司期末经销商总数为730家，较期初的765家减少35家，其中东南区域经销商减少40家，西南区域小幅增加5家，其他区域减少20家。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,5,公告库,有友食品:公司章程,0.48,"公告标题：有友食品:公司章程；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品2026年8月修订的章程显示，公司2019年在上交所上市，注册资本42,769.2098万元，注册地重庆两江新区，股东以认购股份为限承担责任。 公司经营范围涵盖肉制品、蔬菜制品等食品生产销售，农副产品销售、食品技术研发及住房租赁等业务，同时明确许可经营事项变更登记可授权董事会办理。 公司股份发行遵循公开公平公正原则，已发行普通股42,769.2098万股，无其他种类股票，子公司违规为他人取得公司股份提供财务资助仅限员工持股计划等特定情形，且财务资助累计总额不超已发行股本总额10%。 章程规定董事任职资格，无民事行为能力、经济类犯罪判刑未满5年等不得担任，董事任期三年可连选连任，兼任高管的董事总数不超董事总数1/2，董事需履行忠实勤勉义务，违规所得归公司所有。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,6,公告库,有友食品:有友食品关于部分募集资金投资项目结项并将节余募集资金永久补充流动资金的公告,0.47,"公告标题：有友食品:有友食品关于部分募集资金投资项目结项并将节余募集资金永久补充流动资金的公告；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品发布关于部分募集资金投资项目结项并将节余募集资金永久补充流动资金的公告，本次结项的募投项目为营销网络建设和品牌推广项目，节余募集资金金额为6427.51万元（含利息、现金管理投资收益等，最终金额以转出当日实际金额为准），将用于永久补充流动资金，该事项已通过公司董事会及审计委员会审议，尚需提交股东会审议。 截至2026年8月5日，营销网络建设和品牌推广项目承诺使用募集资金24198.83万元，累计实际投入20777.69万元，节余资金包含项目闲置资金产生的现金管理收益及专户利息收入。 本次节余募集资金的主要原因包括：项目实施中管控成本费用、优化投资布局压降非必要开支，阶段性闲置资金开展低风险现金管理获得2778.20万元收益，以及募集资金专户累计产生利息收入229.30万元，进一步增厚了节余资金规模。 本次将节余募集资金永久补充流动资金，可充盈公司流动资金体量，提升资金使用效率与盈利能力，符合公司及全体股东利益，保荐机构认为该事项符合相关监管规定，无异议。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,7,公告库,有友食品:有友食品关于变更公司注册地址暨修订《公司章程》部分条款的公告,0.45,"公告标题：有友食品:有友食品关于变更公司注册地址暨修订《公司章程》部分条款的公告；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品于2026年8月14日召开第五届董事会第七次会议，审议通过变更公司注册地址及修订《公司章程》部分条款两项议案。因重庆市行政区划调整，原渝北区部分区域并入新设立的两江新区，公司注册地址将由“重庆市渝北区国家农业科技园区国际食品工业城宝环一路13号”变更为“重庆市两江新区国家农业科技园区国际食品工业城宝环一路13号”，该变更不会对公司经营产生实质性影响。 本次《公司章程》修订依据最新法律法规及监管规则完成，主要修订内容包括法定代表人表述细化、股份收购决议权限调整、股东会提案修改规则明确、董事任职资格条款优化、董事会秘书聘任及职责扩容等多项内容，修订后的《公司章程》全文将同步在上交所网站披露。 本次注册地址变更及《公司章程》修订事项尚需提交公司股东会审议，并授权管理层办理工商变更备案手续，最终变更结果以市场监督管理局核定登记为准。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,8,公告库,有友食品:有友食品关于2026年半年度募集资金存放、管理与实际使用情况的专项报告,0.43,"公告标题：有友食品:有友食品关于2026年半年度募集资金存放、管理与实际使用情况的专项报告；
发布时间：2026-08-15；
证券简称：有友食品
原文：  有友食品发布2026年半年度募集资金存放、管理与实际使用情况专项报告，披露了公司2019年首次公开发行股票的募集资金使用与结余情况。本次首次公开发行募集资金总金额为62566.50万元，扣除发行费用后募集资金净额为56112.33万元，该资金已于2019年4月29日到位，信永中和会计师事务所已出具验资报告，公司及相关子公司已按规定对募集资金进行专户储存管理，并与保荐机构、开户银行签订了募集资金监管协议。截至2026年6月30日，扣除以前年度已使用金额41597.04万元、本年度使用金额2047.80万元、现金管理金额4000万元、银行手续费等支出1.37万元、产业园项目节余永久补流资金8350.89万元，加上利息收入438.67万元与现金管理投资收益3824.01万元后，报告期末募集资金余额为4377.91万元。  有友食品已按照相关法律法规要求制定并修订了募集资金管理制度，先后签署了三方、四方募集资金监管协议，所有协议均与上海证券交易所范本不存在重大差异，截至报告期末，募集资金存储于公司、有友销售公司、上海有友食品有限公司的三个专户，合计余额4377.91万元，公司管理流程合规，未发生募集资金用途变更，不存在违规存储使用的情况。  本次报告期内，公司仅对营销网络建设和品牌推广项目投入募集资金2047.80万元，截至报告期末累计已投入该项目18825.31万元，投入进度为77.79%，该项目预计2026年8月达到预定可使用状态；已结项的有友食品产业园项目累计投入进度为98.69%，两个募投项目累计共投入募集资金43644.84万元。2026年上半年公司使用不超过5000万元闲置募集资金进行保本型现金管理，截至报告期末现金管理余额为4000万元，不存在违规使用募集资金的情形，信息披露也符合相关监管要求。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,9,公告库,有友食品:东北证券股份有限公司关于有友食品股份有限公司部分募投项目结项并将节余募集资金永久补充流动资金的核查意见,0.36,"公告标题：有友食品:东北证券股份有限公司关于有友食品股份有限公司部分募投项目结项并将节余募集资金永久补充流动资金的核查意见；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品首次公开发行A股股票募集资金净额为56,112.33万元，已于2019年4月29日到账，公司已按规定对募集资金进行专户储存并签订监管协议。 截至2026年8月5日，公司仅完成“有友食品产业园项目”和“营销网络建设和品牌推广”两个募投项目的部分投资，累计使用募集资金45,597.22万元，其中“营销网络建设和品牌推广项目”已于2026年8月5日完成结项，该项目承诺使用募集资金24,198.83万元，实际使用20,777.69万元，产生节余募集资金6,427.51万元（含利息、现金管理投资收益等，最终金额以转出当日实际为准）。 “营销网络建设和品牌推广项目”出现节余资金的主要原因包括：公司在项目实施中优化成本管控，压降非必要开支；对阶段性闲置资金开展低风险现金管理，累计获得投资收益2,778.20万元；专户存放期间累计产生利息收入229.30万元，进一步增厚节余规模。 有友食品拟将该项目节余的6,427.51万元募集资金永久补充流动资金，用于日常经营与业务发展，该事项已通过公司董事会、审计委员会审议，尚需提交股东会审议，保荐机构东北证券对该事项无异议，认为其符合监管规定，有利于提高资金使用效率，符合公司及全体股东利益。",2026-08-15T21:48:11.715769+08:00
gildata,AnnouncementData,新乳业、有友食品、洽洽食品 2026年2月以来回购或增持公告,10,公告库,有友食品:内部审计制度,0.33,"公告标题：有友食品:内部审计制度；
发布时间：2026-08-15；
证券简称：有友食品
原文： 有友食品股份有限公司于2026年8月修订完成内部审计制度，该制度依据《中华人民共和国审计法》、上海证券交易所自律监管规则及公司章程等制定，适用于公司各部门、子公司及对公司有重大影响的参股公司所有与公司治理、财务报告和信息披露相关的内部审计业务环节，明确了内部审计机构及人员的职责权限与工作流程，为公司内部审计工作提供统一开展标准，其核心目标是完善公司治理结构，规范经济行为，保障资产安全，维护股东合法权益，确保信息披露真实准确完整，推动内部控制制度有效实施。 有友食品设置独立审计部作为专职内部审计机构，配备符合专业资质要求的专职审计人员，该机构在董事会审计委员会领导下开展工作，独立行使审计监督职权，对董事会负责，不隶属于财务部门也不与财务部门合署办公，其履行职责所需经费列入公司预算，审计人员需具备对应专业能力，遵守职业道德规范，承担未公开信息保密义务，并持续接受后续教育提升审计质量。 该制度明确划分了审计委员会与内部审计机构的职责，审计委员会负责指导监督内部审计制度建立实施、审阅年度审计计划、督促计划执行、协调内外部审计关系，需向董事会报告内部审计重大问题；内部审计机构负责检查评估内部控制有效性、审计财务信息真实性合法性、建立反舞弊机制、定期向审计委员会报告工作、督促内部控制缺陷整改，同时拥有资料调阅、现场检查、参与会议、提出处理处罚建议等多项权限，内部审计报告还作为公司各部门及分子公司绩效考核的重要指标。 该制度对内部审计工作规范作出明确要求，内部审计需涵盖所有与财务报告和信息披露相关的业务环节，将对外投资、购买出售资产、关联交易等重大事项列为年度审计必备内容，董事会审计委员会需督导内部审计机构至少每半年对公司重大事项实施情况、大额资金往来情况进行一次检查，同时针对不同类型重大审计事项明确了各自的重点审计内容，要求审计证据满足充分性、相关性和可靠性要求，相关审计档案至少保存十年，最终需依据内部审计评价出具年度内部控制评价报告，同步披露会计师事务所出具的内部控制审计报告。",2026-08-15T21:48:11.715769+08:00
