vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,1,公告库,五 粮 液:2026年5月18日投资者关系活动记录表,0.92,"公告标题：五 粮 液:2026年5月18日投资者关系活动记录表；
发布时间：2026-05-19；
证券简称：五粮液
原文： 五粮液于2026年5月18日召开2026年第一次临时股东会，公司董事及高级管理人员参会接待投资者，会上明确公司当前经营基本面保持稳固，品质根基、品牌势能与市场底盘均未发生改变，终端动销保持稳健，阶段优化不会改变企业长期价值。为回报股东，公司将从三方面推进工作：一是全力扩大品牌声量、夯实品质根基、深化营销变革；二是按期实施百亿级分红、推进百亿级股票回购注销；三是持续实施大股东增持计划，同时公司将坚持打造核心大单品、树立高端新标杆、构筑产品护城河、夯实产品塔基座、拓展市场，以更好发展回馈股东。 当前白酒行业处于加速出清阶段，呈现“总量承压、结构优化”的发展态势，行业资源持续向优势品牌、优势企业集中；伴随宏观经济回升向好、政策环境稳定、产业支持政策加码、新兴消费潜力释放，行业出清筑底后将逐步步入修复期，最终回归良性发展轨道。2026年五粮液将以高质量市场动销为核心经营导向，聚焦渠道生态健康、量价关系平衡、终端消费扩面，集中资源做大核心单品，做强韧性市场基本盘，巩固提升主流市场占有率。 在产品布局上，第八代五粮液今年动销实现较好增长，开箱量、开瓶率持续提升，后续将实施精细化量价平衡管理，稳固市场份额；39度五粮液将建立重点区域攻坚体系，分市场推进稳价扩销；五粮浓香酒板块将分层打造五粮春、尖庄、特头曲、五粮醇多款核心大单品，构建梯次分明、覆盖不同市场与消费群体的产品布局。此外，五粮液集团已开始实施30-50亿元的6个月内大股东增持计划，后续将循序渐进推进，达到披露要求时及时公告。",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,2,公告库,五粮液:关于以集中竞价交易方式回购公司股份的回购报告书,0.9,"公告标题：五粮液:关于以集中竞价交易方式回购公司股份的回购报告书；
发布时间：2026-05-21；
证券简称：五粮液
原文：公司于 2026 年 5 月7 日披露了股东四川省宜宾五粮液集团有限公司增持公司股票计划，四川省宜宾五粮液集团有限公司计划自增持公告披露之日起6 个月内通过集中竞价交易方式增持公司股票，拟增持金额不低于300,000 万元，不超过500,000 万元，具体详见公司在巨潮资讯网（www.cninfo.com.cn）披露的《关于四川省宜宾五粮液集团有限公司增持公司股票计划公告》（公告编号：2026/第015 号）。截至本公告披露日，四川省宜宾五粮液集团有限公司已增持公司股份
111.6 万股，增持金额 9,943.59 万元。
除上述情况外，截至本公告披露日，公司未收到其他董事、高级管理人员、控股股东、实际控制人、持股 5%以上股东在回购期间的增减持计划以及未来三个月、六个月的减持计划。若未来相关主体拟实施股份增减持计划，公司将严格按照相关法律法规的规定及时履行信息披露义务。
（十）回购股份后依法注销的相关安排
本次回购股份将用于注销并减少公司注册资本。公司将在回购完成后，根据相关法律、行政法规和《公司章程》的规定，办理本次回购股份的注销事宜，并及时履行信息披露义务。
（十一）对办理本次回购股份事宜的具体授权
为保证本次股份回购的顺利实施，公司董事会已提请2026 年第一次临时股东会在有关法律、行政法规及规范性文件许可范围内，授权公司董事会及其授权人士办理本次回购股份事宜。授权内容及范围包括但不限于：
1.在法律、法规允许的范围内，根据公司和市场情况，制定本次回购股份的具体方案，包括但不限于回购时机、回购价格、回购数量等与本次回购有关的各项事宜；
2.设立回购专用证券账户及办理其他相关事务；
3.办理相关报批事宜，包括但不限于制作、修改、授权、签署、执行等与本次回购股份相关的所有必要的文件等；
4.如监管部门对于回购股份的相关条件发生变化或市场条件发生变化，除涉及有关法律、法规及《公司章程》规定须由股东会重新审议的事项外，授权公司董事会及其授权人士对本次回购股份的具体方案等相关事项进行相应调整，或根据实际情况决定是否继续实施本次回购的全部或部分工作；
5.根据实际情况决定是否聘请相关中介机构；
6.在回购股份实施完成后，对回购股份进行注销，对《公司章程》及其他可能涉及变动的资料及文件条款进行修改，并办理《公司章程》修改及工商变更登记等事宜；
7.其他以上虽未列明但为本次股份回购及注销回购股份所必须的事项。
以上授权有效期自公司股东会审议通过本次回购方案之日起至上述授权事项办理完毕之日止。",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,3,公告库,五粮液:关于以集中竞价交易方式回购公司股份方案的公告,0.89,"公告标题：五粮液:关于以集中竞价交易方式回购公司股份方案的公告；
发布时间：2026-04-30；
证券简称：五粮液
原文：宜宾五粮液股份有限公司于2026年4月30日发布公告，拟以集中竞价交易方式回购公司股份，用于减少公司注册资本。本次回购资金总额不低于人民币80亿元且不超过100亿元，资金来源为公司自有资金，回购价格上限设定为153.59元/股，即不高于董事会决议前30个交易日股票交易均价的150%。根据测算，若按回购金额下限80亿元、上限100亿元分别计算，预计回购股份数量将在52,086,724股至65,108,405股之间，约占公司目前总股本的1.34%至1.68%。回购实施期限为自股东会审议通过之日起12个月内，若达到资金上限或股东会决定终止则提前届满。截至2025年12月31日，公司总资产达1,899.84亿元，归属于上市公司股东的净资产为1,199.32亿元，现金及现金等价物高达1,241.15亿元。假设动用100亿元上限资金，该笔支出仅占公司总资产的5.26%、净资产的8.34%及现金的8.06%，显示公司具备充足的财务实力支撑此次大规模回购，且不会对日常经营、债务履行能力及未来发展产生重大不利影响。公告明确，截至披露日，公司董事、高管、控股股东等关键主体在未来三个月及六个月内均无减持计划，且过去六个月内不存在内幕交易行为。回购完成后，公司将依法注销股份并减少注册资本，同时履行通知债权人等法定程序，确保股权分布符合上市条件且不改变控制权。",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,4,公告库,五粮液:关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告,0.89,"公告标题：五粮液:关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告；
发布时间：2026-05-12；
证券简称：五粮液
原文：证券代码：000858
证券简称：五粮液 公告编号：2026/第 016 号
宜宾五粮液股份有限公司关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
宜宾五粮液股份有限公司（以下简称公司）于2026 年4 月28 日召开第七届董事会2026 年第 4 次会议，审议通过《关于以集中竞价交易方式回购公司股份的议案》，具体内容详见公司于2026 年4 月30 日在巨潮资讯网（https://www.cninfo.com.cn）披露的《关于以集中竞价交易方式回购公司股份方案的公告》（公告编号：2026/第012 号）。
根据《上市公司股份回购规则》《深圳证券交易所上市公司自律监管指引第9 号——回购股份》等相关规定，现将公司董事会公告回购股份决议的前一个交易日（即2026 年4 月29 日）登记在册的前十名股东和前十名无限售条件股东的名称及持股数量、比例情况公告如下：
一、公司前十大股东持股情况
二、公司前十大无限售条件股东持股情况

| 序号 | 股东名称 | 持股数量（股) | 占公司总股 本的比例(%) |
| --- | --- | --- | --- |
| １ | 宜宾发展控股集团有限公司 | 1,336,548,020.00 | 34.43 |
| ２ | 四川省宜宾五粮液集团有限公司 | 801,503,277.00 | 20.65 |
|  | 中国证券金融股份有限公司 | 83,328,789.00 | 2.15 |
| ４ | 香港中央结算有限公司 | 82,317,361.00 | 2.12 |
| 序号 | 股东名称 | 持股数量（股） | 占公司总股 本的比例（%） |
| 5 | 中国银行股份有限公司一招商中证白酒 指数分级证券投资基金 | 63,989,859.00 | 1.65 |
| ６ | 中央汇金资产管理有限责任公司 | 39,325,400.00 | 1.01 |
| 7 | 中国银行股份有限公司一易方达蓝筹精 选混合型证券投资基金 | 25,680,000.00 | 0.66 |
| 8 | 中国建设银行股份有限公司一鹏华中证 酒交易型开放式指数证券投资基金 | 25,649,049.00 | 0.66 |
| 9 | 瑞众人寿保险有限责任公司一自有资金 | 22,295,412.00 | 0.57 |
| 10 | 中国人寿保险股份有限公司一传统一普 通保险产品－005L－CT001沪 | 21,635,764.00 | 0.56 |
| 序号 | 股东名称 | 持股数量（股） | 占公司总股 本的比例(%) |
| １ | 宜宾发展控股集团有限公司 | 1,336,548,020.00 | 34.43 |
| ２ | 四川省宜宾五粮液集团有限公司 | 801,503,277.00 | 20.65 |
| 3 | 中国证券金融股份有限公司 | 83,328,789.00 | 2.15 |
| 4 | 香港中央结算有限公司 | 82,317,361.00 | 2.12 |
| ５ | 中国银行股份有限公司一招商中证白酒 指数分级证券投资基金 | 63,989,859.00 | 1.65 |
| ６ | 中央汇金资产管理有限责任公司 | 39,325,400.00 | 1.01 |
| 7 | 中国银行股份有限公司一易方达蓝筹精 选混合型证券投资基金 | 25,680,000.00 | 0.66 |
| 8 | 中国建设银行股份有限公司一鹏华中证 酒交易型开放式指数证券投资基金 | 25,649,049.00 | 0.66 |
| 9 | 瑞众人寿保险有限责任公司一自有资金 | 22,295,412.00 | 0.57 |
| 序号 | 股东名称 | 持股数量（股） | 占公司总股 本的比例(%) |
| 10 | 中国人寿保险股份有限公司－传统一普 通保险产品一005L－CT001沪 | 21,635,764.00 | 0.56 |
三、备查文件
中国证券登记结算有限责任公司深圳分公司下发的股东名册。
特此公告
宜宾五粮液股份有限公司董事会2026 年 5 月 12 日",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,5,公告库,五粮液:关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告,0.89,"公告标题：五粮液:关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告；
发布时间：2026-05-16；
证券简称：五粮液
原文：证券代码：000858
证券简称：五粮液 公告编号：2026/第 017 号
宜宾五粮液股份有限公司关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
宜宾五粮液股份有限公司（以下简称公司）于2026 年4 月28 日召开第七届董事会2026 年第 4 次会议，审议通过《关于以集中竞价交易方式回购公司股份的议案》，具体内容详见公司于2026 年4 月30 日在巨潮资讯网（https://www.cninfo.com.cn/）披露的《关于以集中竞价交易方式回购公司股份方案的公告》（公告编号：2026/第 012 号）。
根据《上市公司股份回购规则》《深圳证券交易所上市公司自律监管指引第9 号——回购股份》等相关规定，现将公司 2026 年第一次临时股东会股权登记日（即2026 年5 月11 日）登记在册的前十名股东和前十名无限售条件股东的名称及持股数量、比例情况公告如下：
一、公司前十名股东持股情况
| 序号 | 股东名称 | 持股数量（股） | 占公司总股本 的比例 (%) |
| --- | --- | --- | --- |
| 1 | 宜宾发展控股集团有限公司 | 1,336,548,020 | 34.43 |
| ２ | 四川省宜宾五粮液集团有限公司 | 801, 503, 277 | 20.65 |
| 3 | 中国证券金融股份有限公司 | 76, 044, 681 | 1.96 |
| ４ | 香港中央结算有限公司 | 70,792, 221 | 1.82 |
| ５ | 中国银行股份有限公司一招商中证白酒 | 64,228, 345 | 1.65 |
| 序号 | 股东名称 | 持股数量（股） | 占公司总股本 的比例 (%) |
|  | 指数分级证券投资基金 |  |  |
| 6 | 中央汇金资产管理有限责任公司 | 39,325,400 | 1.01 |
| 7 | 中国银行股份有限公司一易方达蓝筹精 选混合型证券投资基金 | 25,680,000 | 0.66 |
| 8 | 中国建设银行股份有限公司一鹏华中证 酒交易型开放式指数证券投资基金 | 25,564，949 | 0.66 |
| 9 | 瑞众人寿保险有限责任公司一自有资金 | 23,955,575 | 0.62 |
| 10 | 国丰兴华（北京）私募基金管理有限公 司一国丰兴华鸿志远二期私募证券投 资基金 | 19,768, 487 | 0.51 |

注：上表来源于合并普通账户和融资融券信用账户前N 名明细数据表",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,6,公告库,五粮液:关于回购公司股份进展的公告,0.88,"公告标题：五粮液:关于回购公司股份进展的公告；
发布时间：2026-07-03；
证券简称：五粮液
原文：证券代码：000858
证券简称：五粮液 公告编号：2026/第 030 号
宜宾五粮液股份有限公司关于回购公司股份进展的公告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
重要内容提示：
宜宾五粮液股份有限公司（以下简称公司）于2026年4月28日召开第七届董事会2026年第4次会议、于2026年5月18日召开2026年第一次临时股东会，审议通过了《关于以集中竞价交易方式回购公司股份的议案》，同意公司使用自有资金以集中竞价方式回购公司已发行的人民币普通股（A股）股票，用于减少注册资本。本次回购价格为不超过153.59元/股（含），回购金额不低于800,000万元（含）且不超过1,000,000万元（含），实施期限为自股东会审议通过本次回购方案之日起不超过12个月。具体内容详见公司披露于巨潮资讯网（www.cninfo.com.cn）的《关于以集中竞价交易方式回购公司股份方案的公告》（公告编号：2026/第12号）、《关于以集中竞价交易方式回购公司股份的回购报告书》（公告编号：2026/第20号）等相关公告。
根据《上市公司股份回购规则》《深圳证券交易所上市公司自律监管指引第9号——回购股份》等相关规定，公司应在每个月前三交易日内披露截至上月末的回购进展情况。现将有关情况公告如下：",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,7,公告库,五粮液:关于2026年第一次临时股东会增加临时提案暨股东会补充通知的公告,0.87,"公告标题：五粮液:关于2026年第一次临时股东会增加临时提案暨股东会补充通知的公告；
发布时间：2026-05-07；
证券简称：五粮液
原文： 宜宾五粮液股份有限公司于2026年5月7日发布公告，宣布将《2025年度利润分配方案》作为临时提案增加至2026年第一次临时股东会议程中。该提案由持有公司总股本20.65%的控股股东四川省宜宾五粮液集团有限公司提出，符合《公司法》关于单独或合计持有1%以上股份股东在股东会召开10日前提出临时提案的规定，董事会已同意将其提交审议。 本次股东会定于2026年5月18日9:00在五粮液多功能厅召开，采取现场表决与网络投票相结合的方式，股权登记日为2026年5月11日。会议审议事项包括以集中竞价交易方式回购公司股份、制定董事及高管薪酬管理制度、选举第七届董事会非独立董事以及2025年度利润分配方案等四项主要议案。其中，回购股份议案属于特别决议事项，需经出席会议股东所持表决权的三分之二以上通过。 公告详细列明了各项议案的具体编码及投票规则，股东可通过深交所交易系统（代码360858）或互联网投票系统进行表决。若同一表决权出现重复投票，以第一次有效投票结果为准。此外，会议还明确了法人股东与自然人股东的登记方式、截止时间及所需材料，并提示出席现场会议的股东食宿及交通费自理。",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,8,公告库,五粮液:关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告,0.87,"公告标题：五粮液:关于回购股份事项前十大股东及前十大无限售条件股东持股情况的公告；
发布时间：2026-05-12；
证券简称：五粮液
原文： 宜宾五粮液股份有限公司于2026年4月28日召开董事会，审议通过了以集中竞价交易方式回购公司股份的议案，该决议旨在通过股份回购措施稳定市场预期并优化资本结构。根据规定，公司披露了董事会公告回购事项前一个交易日即2026年4月29日登记在册的前十大股东及前十大无限售条件股东持股情况。 截至上述日期，宜宾发展控股集团有限公司作为第一大股东，持有公司股份数量为1,336,548,020股，占总股本比例高达34.43%，显示出国有资本对上市公司的绝对控股地位。四川省宜宾五粮液集团有限公司位列第二大股东，持股数量为801,503,277股，持股比例为20.65%，两大控股股东合计持股比例超过55%，股权结构高度集中且稳定，有利于公司长期战略的执行。 在前十大无限售条件股东中，机构投资者占据重要席位，其中香港中央结算有限公司（沪股通）持股82,317,361股，占比2.12%；招商中证白酒指数分级证券投资基金、易方达蓝筹精选混合型证券投资基金等公募基金产品也位列其中，分别持有约6399万股和2568万股。此外，中央汇金资产管理有限责任公司及瑞众人寿保险有限责任公司自有资金等险资与国家队资金均出现在名单前列，表明市场主流资金对五粮液未来发展的信心较强，机构持仓集中度较高，反映出白酒行业龙头在资本市场中的核心配置价值。",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,9,公告库,五粮液:关于首次回购公司股份暨回购进展的公告,0.86,"公告标题：五粮液:关于首次回购公司股份暨回购进展的公告；
发布时间：2026-06-02；
证券简称：五粮液
原文：证券代码：000858
证券简称：五粮液 公告编号：2026/第 021 号
宜宾五粮液股份有限公司关于首次回购公司股份暨回购进展的公告
本公司及董事会全体成员保证信息披露内容的真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。
重要内容提示：
宜宾五粮液股份有限公司（以下简称公司）于2026年4月28日召开第七届董事会2026年第4次会议、于2026年5月18日召开2026年第一次临时股东会，审议通过了《关于以集中竞价交易方式回购公司股份的议案》，同意公司使用自有资金以集中竞价方式回购公司已发行的人民币普通股（A股）股票，用于减少注册资本。本次回购价格为不超过153.59元/股（含），回购金额不低于800,000万元(含)且不超过1,000,000万元（含），实施期限为自股东会审议通过本次回购方案之日起不超过12个月。具体内容详见公司披露于巨潮资讯网（www.cninfo.com.cn）的《关于以集中竞价交易方式回购公司股份方案的公告》（公告编号：2026/第12号）、《关于以集中竞价交易方式回购公司股份的回购报告书》（公告编号：2026/第20号）等相关公告。
根据《上市公司股份回购规则》《深圳证券交易所上市公司自律监管指引第9号——回购股份》等相关规定，公司应在首次回购股份事实发生的次一交易日披露回购进展情况，并在每个月前三交易日内披露截至上月末的回购进展情况。现将有关情况公告如下：",2026-08-15T21:48:07.605046+08:00
gildata,AnnouncementData,五粮液2026年以来大股东减持 回购 增持公告,10,公告库,五粮液:关于回购公司股份进展的公告,0.85,"公告标题：五粮液:关于回购公司股份进展的公告；
发布时间：2026-07-03；
证券简称：五粮液
原文：宜宾五粮液股份有限公司于2026年4月28日召开第七届董事会2026年第4次会议、2026年5月18日召开2026年第一次临时股东会，审议通过以集中竞价交易方式回购公司A股股份用于减少注册资本，回购价格不超过153.59元/股，回购金额区间为80亿元至100亿元，实施期限不超过12个月。2026年6月，五粮液通过回购专用账户累计回购股份134.47万股，占总股本0.0346%，最高成交价75.30元/股、最低73.33元/股，支付总金额约1.00亿元；截至2026年6月30日，累计回购股份253.58万股，占总股本0.0653%，最高成交价85.25元/股、最低73.33元/股，累计支付总金额约2.00亿元，本次回购符合相关法律法规及公司既定方案。公司首次回购股份的时间、价格及委托时段均符合深交所相关监管要求，未在禁止回购的窗口期开展回购操作，且严格遵守委托价格、交易时段等回购规范。",2026-08-15T21:48:07.605046+08:00
