vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,1,公告库,五粮液:关于2025年度利润分配预案的公告,1.0,"公告标题：五粮液:关于2025年度利润分配预案的公告；
发布时间：2026-04-30；
证券简称：五粮液
原文： 宜宾五粮液股份有限公司董事会审议通过了2025年度利润分配预案，拟向全体股东每10股派发现金红利25.78元（含税），不送红股也不以公积金转增股本。截至2025年12月31日，公司总股本为3,881,608,005股，据此计算本次拟派发现金红利总额为10,006,785,436.89元（含税）。该预案基于天职国际会计师事务所审计结果，2025年度合并报表归属于母公司股东的净利润为8,954,257,202.51元。 根据《关于2024-2026年度股东回报规划》，公司承诺2024至2026年度每年现金分红总额占当年归母净利润比例不低于70%且不低于200亿元。若本方案通过，2025年度累计现金分红总额将达到20,013,570,873.78元，其中包含已实施的中期分红和本次拟实施的末期分红，合计分红金额占2025年度归母净利润的比例高达约223.51%，显示出极高的股东回报意愿。 财务数据显示，截至2025年末，公司总资产达1,899.84亿元，货币资金充裕，达1,270.14亿元，母公司未分配利润为506.23亿元，具备强大的现金分红能力。此外，公司最近三个会计年度累计现金分红总额约为604.41亿元，远高于年均净利润的30%，未触及任何风险警示情形，表明公司经营状况稳健，现金流健康，未来可持续发展能力强，此次高比例分红不会影响公司的持续经营能力。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,2,公告库,五粮液:关于2025年中期利润分配预案的公告,0.95,"公告标题：五粮液:关于2025年中期利润分配预案的公告；
发布时间：2025-10-31；
证券简称：五粮液
原文：宜宾五粮液股份有限公司（证券代码：000858）发布2025年中期利润分配预案公告，拟向全体股东每10股派发现金红利25.78元（含税）。截至2025年9月30日，公司总股本为3,881,608,005股，以此计算合计拟派发现金红利10,006,785,436.89元（含税）；同时，截至该日公司未分配利润为96,867,220,706.83元。本次利润分配预案已通过公司第七届董事会2025年第6次会议审议，因2024年度股东大会已授权董事会制定2025年中期分红方案，故无需提交股东会审议。本次利润分配以实施权益分派股权登记日公司总股本为基数，若股权登记日前总股本发生变动，将维持分配总额不变并相应调整每股分配比例，具体日期将在分配实施公告中明确。本次中期分红预案综合考虑了公司经营业绩、现金流、可持续发展与股东回报等因素，符合相关监管规定及公司股东回报规划承诺，具备合法性、合规性及合理性。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,3,公告库,五粮液:2025年度分红派息实施公告,0.95,"公告标题：五粮液:2025年度分红派息实施公告；
发布时间：2026-07-10；
证券简称：五粮液
原文： 宜宾五粮液股份有限公司发布2025年度分红派息实施公告，本次实际可参与权益分派的总股本为3,879,072,246股，调整后每股派发现金红利2.5796852元（含税），实际现金分红总额为10,006,785,262.74元，因回购专户持有的2,535,759股不参与分红，除权除息参考价计算将按公司总股本折算每股现金分红为2.5779999元。 公司2025年度利润分配方案已于2026年5月18日经2026年度第一次临时股东会审议通过，原方案为每10股派现25.78元（含税），分配总额固定，后因回购股份调整为以扣除回购股份后的总股本为基数，每10股派现25.796852元（含税），且不送红股、不进行公积金转增股本。 本次股权登记日为2026年7月15日，除权除息日为2026年7月16日，A股股东现金红利将于7月16日通过托管机构划入资金账户，其中宜宾发展控股集团有限公司、四川省宜宾五粮液集团有限公司的现金红利由公司自行派发。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,4,公告库,五粮液:第七届董事会2025年第6次会议决议公告,0.93,"公告标题：五粮液:第七届董事会2025年第6次会议决议公告；
发布时间：2025-10-31；
证券简称：五粮液
原文：宜宾五粮液股份有限公司（以下简称“五粮液”）第七届董事会2025年第6次会议于2025年10月29日以通讯及传阅方式召开，应到董事10人、实到10人，会议召开符合相关规定。会议审议通过4项议案：一是《2025年第三季度报告》，表决结果为10票同意、0票反对、0票弃权；二是《2025年中期利润分配方案》，以总股本3,881,608,005股为基数，每10股派发现金红利25.78元（含税），分红金额达10,006,785,436.89元（含税），因2024年度股东大会已授权董事会制定2025年中期分红方案，故无需提交股东会审议；三是修订《重大决策、重要人事任免、重大项目安排和大额度资金运作制度》，调整适用范围、完善子公司投资决策权限等条款；四是撤销监事会办公室，职能由审监部承接。上述议案均获全票通过，体现公司治理结构的规范运作及对股东回报的重视。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,5,公告库,五粮液:2025年中期分红派息实施公告,0.91,"公告标题：五粮液:2025年中期分红派息实施公告；
发布时间：2025-12-11；
证券简称：五粮液
原文：宜宾五粮液股份有限公司（以下简称“五粮液”）2025年中期分红方案经股东大会授权及董事会审议通过，以现有总股本3,881,608,005股为基数，每10股派发现金25.78元（含税），合计分配10,006,785,436.89元，不送红股、不转增股本。方案实施期间若总股本变动，将维持分配总额不变并调整每股比例。本次分红扣税后，不同类型股东持股期限对应的实际分红金额不同：通过深股通持有股份的香港市场投资者、QFII、RQFII及持有首发前限售股的个人和证券投资基金每10股派23.202元；持有首发后限售股等的个人股息红利税实行差别化税率，持股1个月内每10股补缴5.156元，1个月至1年补缴2.578元，超1年无需补缴；证券投资基金涉及红利税按投资者身份差异化征收。股权登记日为2025年12月17日，除权除息日为12月18日，分派对象为登记日收市后在册全体股东。现金红利于12月18日通过托管机构划入多数股东账户，部分股东（如宜宾发展控股集团等）由公司自行派发，权益分派申请期间若自派股东股份减少导致代派红利不足，公司承担法律责任。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,6,公告库,五粮液:关于提请股东大会授权董事会制定2025年中期分红方案的公告,0.9,"公告标题：五粮液:关于提请股东大会授权董事会制定2025年中期分红方案的公告；
发布时间：2025-04-26；
证券简称：五粮液
原文：宜宾五粮液股份有限公司（以下简称“五粮液”）公告编号2025/第016号，提请股东大会授权董事会制定并实施2025年中期分红方案。该授权依据《上市公司监管指引第3号——上市公司现金分红》等规定，旨在完善利润分配机制、简化中期分红程序、提升决策效率。授权事项包括董事会根据公司实际经营情况、现金流状况、未来发展需求及《2024—2026年度股东回报规划》，论证、制定并实施2025年中期分红方案，分红金额、频次、实施时间由董事会结合实际情况确定。授权期限自2024年度股东大会审议通过之日起至2025年度股东大会召开之日止，且该事项已通过第六届董事会2025年第6次会议审议，拟提交2024年度股东大会审批。需注意，此授权不构成对2025年中期分红的实质承诺，董事会届时将依据实际经营业绩、资金使用计划、中长期发展规划和未分配利润情况具体决策，投资者需关注投资风险。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,7,公告库,五粮液:第七届董事会2026年第4次会议决议公告,0.88,"公告标题：五粮液:第七届董事会2026年第4次会议决议公告；
发布时间：2026-04-30；
证券简称：五粮液
原文： 宜宾五粮液股份有限公司第七届董事会于2026年4月28日召开第4次会议，审议通过了包括2025年度报告、2026年第一季度报告在内的多项议案。会议应出席董事10人，实际出席9人，董事长因故缺席，会议由副董事长华涛主持。 公司公布了极具吸引力的2025年度利润分配方案，拟以总股本3,881,608,005股为基数，向全体股东每10股派发现金红利25.78元（含税），预计分红总额高达10,006,785,436.89元。该方案体现了公司对股东回报的高度重视，且尚需提交股东会审议。 在关联交易与金融服务方面，公司与四川省宜宾五粮液集团财务有限公司签署补充协议，约定2026年每日存款余额上限为550亿元，贷款余额上限为100亿元，维持了原有的限额标准，确保资金运作安全高效。此外，董事会还通过了关于制定《董事、高级管理人员薪酬管理制度》及《离职管理制度》的议案，旨在落实最新监管要求，完善公司治理结构。 公司积极履行社会责任，拟定2026年度帮扶工作计划，将出资1,050万元用于支持越西县特色产业发展和人才培养，由四川省五粮液公益慈善基金会具体执行。同时，董事会还授权制定2026年中期分红方案，并审议通过股份回购议案，显示出管理层对未来发展的信心及优化资本结构的决心。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,8,公告库,五粮液:2024年度分红派息实施公告,0.85,"公告标题：五粮液:2024年度分红派息实施公告；
发布时间：2025-07-12；
证券简称：五粮液
原文：宜宾五粮液股份有限公司2024年度利润分配方案经2025年6月20日股东大会审议通过，以现有总股本3,881,608,005股为基数，每10股派现31.69元（含税），分配总额12,300,815,767.85元，不送红股、不转增股本；方案披露至实施期间总股本未变动，若变动则维持总额不变调整每股比例。本次分红扣税后，通过深股通持股的香港投资者、QFII等每10股派28.521元；个人股东持股1个月内每10股补缴6.338元，1-1年补缴3.169元，超1年不补缴；证券投资基金对香港投资者按10%征税，内地投资者差别化征税。股权登记日为2025年7月17日，除权除息日7月18日，分派对象为登记日收市后在册股东；A股股东红利7月18日由托管机构划入账户，宜宾发展控股集团等4家股东由公司自行派发。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,9,公告库,五粮液:关于2025年度分红派息实施后调整回购股份价格上限的公告,0.85,"公告标题：五粮液:关于2025年度分红派息实施后调整回购股份价格上限的公告；
发布时间：2026-07-16；
证券简称：五粮液
原文： 宜宾五粮液股份有限公司于2026年4月28日召开董事会、同年5月18日召开临时股东会，审议通过了集中竞价交易方式回购股份的议案，本次回购用途为减少公司注册资本，回购资金来源为公司自有资金，回购总金额不低于80亿元（含）且不超过100亿元（含），原回购价格上限设定为153.59元/股，回购实施期限为自股东会审议通过方案之日起不超过12个月，相关事项已经公司发布专项公告披露。 公司2025年度利润分配方案已经2026年第一次临时股东会审议通过，具体方案为：以公司现有总股本扣除回购账户股份后的流通股本为基数，向全体股东每10股派发现金股利25.796852元（含税），合计派发现金总额约100.07亿元，本次不送红股，也不以资本公积转增股本，该权益分派的股权登记日为2026年7月15日，除权除息日为2026年7月16日，相关内容已对外披露。根据回购方案约定，回购期内公司实施派息等除权除息事项后，需要相应调整回购价格上限，本次调整按照既定公式计算得出调整后回购价格上限为151.01元/股，该价格自2026年7月16日除权除息日正式生效，除本次价格调整外，原回购方案的其他事项均未发生变化，公司将后续按市场情况推进回购并履行信息披露义务。",2026-08-15T21:48:11.924844+08:00
gildata,AnnouncementData,五粮液2025年度分红方案 利润分配 业绩预告公告,10,公告库,五粮液:董事会决议公告,0.84,"公告标题：五粮液:董事会决议公告；
发布时间：2025-04-26；
证券简称：五粮液
原文：宜宾五粮液股份有限公司第六届董事会2025年第6次会议于2025年4月24日召开，应到董事11人实到11人，会议审议通过多项议案。其中，2024年度报告及摘要、财务决算报告、2025年第一季度报告、2024年度ESG报告、内部控制自我评价报告等均获全票通过；2024年度利润分配方案、2025年度日常关联交易、续聘会计师事务所等议案尚需提交股东大会审议。2024年度利润分配方案以总股本3,881,608,005股为基数，每10股派现31.69元（含税），分红金额达12,300,815,767.85元，反映公司较强的现金分红能力。公司拟与四川省宜宾五粮液集团财务有限公司签署《金融服务协议之补充协议》，2025年存款余额最高不超550亿元、贷款余额最高不超100亿元，该协议需经股东大会审议。公司拟续聘天职国际会计师事务所为2025年度审计机构，审计费用预算合计205万元，其中财务报表审计142万元、内部控制审计63万元，此议案待股东大会审议。",2026-08-15T21:48:11.924844+08:00
