vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,1,公告库,凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告,0.87,"公告标题：凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文：一、权益变动的具体情况
| 1．基本情况 |  |
| --- | --- |
| 信息披露义务人 | 中国金谷国际信托有限责任公司 |
| 住所 | 北京市西城区金融大街33号通泰大厦C座10层 |
| 权益变动时间 | 2026年1月20日至2026年1月20日 |  |  |
| --- | --- | --- | --- |
| 股票简称 | 凯撒旅业 | 股票代码 | 000796 |
| 变动类型（可多选) | 增加 减少 | 一致行动人 | 有 无 |
| 是否为第一大股东或实际控制人 |  | 是 否 |  |
| 2．本次权益变动情况 |  |  |  |
| 股份种类 （A股、B股等） | 减持股数 |  | 减持比例 |
| A股 | 3,625,700 | 0.23% |  |
| 合计 | 3,625,700 | 0.23% |  |
| 本次权益变动方式 （可多选） | 通过证券交易所的集中交易 通过证券交易所的大宗交易 其他 (请注明) |  |  |
3．本次变动前后，投资者及其一致行动人拥有上市公司权益的股份情况

| 股份性质 | 本次变动前持有股份 |  | 本次变动后持有股份 |  |
| --- | --- | --- | --- | --- |
|  | 股数 | 占总股本比 例 | 股数 | 占总股本比 例 |
| 合计持有股份 | 83,815,144 | 5.23% | 80,189,444 | 4.9999% |
| 其中：无限售条件股份 | 83,815,144 | 5.23% | 80,189,444 | 4.9999% |
| 有限售条件股份 |  | 0 | 0 |  |
| 4．承诺、计划等履行情况 |  |  |  |  |
| 本次变动是否为履 行已作出的承诺、意 向、计划 | 是　否口 信息披露义务人拟于2026年1月20日至2026年4月19 日减持股份不超过48，113，667股，即减持不超过上市公 司总股本的3%。其中，通过集中竞价交易减持的，在任意 连续90个自然日内，减持股份总数不超过16,037,889股， 即不超过本公司总股本的1%；通过大宗交易减持的，在任 意连续90个自然日内，减持股份总数不超过32,075,778 股，即不超过本公司总股本的2%。本次减持情况与已披露 的减持承诺、计划一致，减持数量在已披露减持计划范围 |
| --- | --- |
| 本次变动是否存在 违反《证券法》《上 市公司收购管理办 法》等法律、行政法 规、部门规章、规范 性文件和本所业务 规则等规定的情况 | 是　否 如是，请说明违规的具体情况、整改计划和处理措施。 |
| 5．被限制表决权的股份情况 |  |
| 按照《证券法》第六 十三条的规定，是否 存在不得行使表决 权的股份 | 是　否 如是，请说明对应股份数量及占现有上市公司股本的比 例。 |
| 6．备查文件 |  |",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,2,公告库,凯撒旅业:关于原持股5%以上股东减持计划期满暨实施结果的公告,0.78,"公告标题：凯撒旅业:关于原持股5%以上股东减持计划期满暨实施结果的公告；
发布时间：2026-04-21；
证券简称：凯撒旅业
原文： 凯撒旅业集团股份有限公司原持股5%以上股东中国金谷国际信托有限责任公司（以下简称“金谷信托”）的减持计划于2026年4月19日期满，本次减持计划旨在通过集中竞价和大宗交易方式减持公司股份。根据公告，金谷信托在减持期间内仅通过集中竞价交易方式实施了减持，减持均价为6.37元/股，累计减持股数为3,625,700股，占公司总股本的0.23%。值得注意的是，金谷信托原计划通过大宗交易减持不超过公司总股本2%的股份，但实际执行中大宗交易减持股数为零，未发生任何大宗交易减持行为。 此次减持导致金谷信托的持股比例由减持前的5.23%下降至4.9999%，正式不再是持有公司5%以上股份的股东。减持股份来源为非交易过户受让的股份，具体包括司法裁定抵债及破产重整抵债所得。减持前后，金谷信托持有的无限售条件股份数量从83,815,144股减少至80,189,444股，有限售条件股份始终为零。这一变动标志着金谷信托完成了从重要战略投资者向一般财务投资者的身份转变，其对公司股权结构的影响显著降低。 公告明确指出，本次减持事项严格遵循了《证券法》及深交所相关监管指引，实际执行情况与预披露信息完全一致，不存在违规情形。金谷信托并非公司控股股东、实际控制人及其一致行动人，因此本次减持不会导致公司控制权发生变更，也不会对公司的治理结构及持续经营产生实质性负面影响。整个减持过程透明合规，体现了上市公司在股东权益变动管理上的规范性，同时也反映了当前资本市场环境下部分非核心股东优化资产配置的常态。",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,3,公告库,凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告,0.78,"公告标题：凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司关于持股 5%以上股东减持至 5%以下暨权益变动的提示性公告
公司持股 5%以上股东中国金谷国际信托有限责任公司保证向本公司提供的信息内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
本公司及董事会全体成员保证公告内容与信息披露义务人提供的信息一致。
凯撒旅业集团股份有限公司（以下简称“公司”）于 2025 年12 月25 日披露了《关于持股5%以上股东减持计划的预披露公告》（公告编号：2025-076），公司持股5%以上股东中国金谷国际信托有限责任公司（以下简称“金谷信托”）计划在减持计划公告披露之日起的 15 个交易日后的 3 个月内（即 2026 年 1 月20 日至2026 年4 月19 日），通过集中竞价方式减持公司股份不超过16,037,889股，即不超过公司总股本的 1%，通过大宗交易方式减持公司股份不超过32,075,778 股，即不超过公司总股本的 2%。
公司于近日收到金谷信托出具的《股份减持告知函》，金谷信托已通过集中竞价交易方式减持公司3,625,700 股，占公司总股本的0.23%，本次权益变动后，金谷信托持有公司 80,189,444 股，占公司总股本的 4.9999%。
根据《证券期货法律适用意见第19 号—<上市公司收购管理办法>第十三条、第十四条的适用意见》相关规定，金谷信托所持公司股份占公司已发行股份的比例由5.23%减少至4.9999%，变动触及1%的整数倍，并减少至5%以下，现将具体情况公告如下：",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,4,公告库,凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告,0.77,"公告标题：凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文： 凯撒旅业集团股份有限公司于2026年1月22日发布权益变动提示性公告，宣布持股5%以上股东中国金谷国际信托有限责任公司（以下简称“金谷信托”）已完成部分减持。根据公告披露，金谷信托通过集中竞价交易方式累计减持公司股份3,625,700股，占公司总股本的0.23%。此次减持后，金谷信托持有公司股份数量由83,815,144股减少至80,189,444股，持股比例由5.23%下降至4.9999%，正式从持股5%以上股东变为持股5%以下股东。该变动触及1%整数倍比例要求，且符合《证券期货法律适用意见第19号》等相关法规规定。 本次减持行为严格遵循公司于2025年12月25日披露的《关于持股5%以上股东减持计划的预披露公告》（公告编号：2025-076）。原计划显示，金谷信托拟在2026年1月20日至2026年4月19日期间，通过集中竞价和大宗交易两种方式合计减持不超过公司总股本3%的股份。其中，集中竞价减持上限为总股本的1%，大宗交易减持上限为总股本的2%。截至本公告日，金谷信托实际减持数量为3,625,700股，占其原计划集中竞价减持上限（16,037,889股）的约22.6%，表明当前减持进度处于计划范围内，尚未实施完毕。 公告明确指出，金谷信托并非公司控股股东或实际控制人，本次权益变动不会导致公司控制权发生变更，亦不会对公司的治理结构、股权结构及未来持续经营产生重大影响。作为非控制性股东的被动减持，此次股份变动主要体现为股东个人资金安排或投资策略调整，而非对公司基本面的负面信号。同时，金谷信托已按规定编制简式权益变动报告书，并在巨潮资讯网进行公开披露，确保了信息披露的合规性与透明度。",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,5,公告库,凯撒旅业:关于原持股5%以上股东减持计划期满暨实施结果的公告,0.76,"公告标题：凯撒旅业:关于原持股5%以上股东减持计划期满暨实施结果的公告；
发布时间：2026-04-21；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司关于原持股5%以上股东减持计划期满暨实施结果的公告
公司原持股5%以上股东中国金谷国际信托有限责任公司保证向本公司提供的信息内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
本公司及董事会全体成员保证公告内容与信息披露义务人提供的信息一致。
凯撒旅业集团股份有限公司（以下简称“公司”）于2025年12月25日披露了《关于持股5%以上股东减持计划的预披露公告》（公告编号：2025-076），公司原持股5%以上股东中国金谷国际信托有限责任公司（以下简称“金谷信托”计划在减持计划公告披露之日起的15个交易日后的3个月内（即2026年1月20日至2026年4月19日），通过集中竞价方式减持公司股份不超过16,037,889股，即不超过公司总股本的1%，通过大宗交易方式减持公司股份不超过32，075，778股，即不超过公司总股本的2%。
金谷信托于2026年1月20日通过集中竞价交易方式减持公司3,625,700股，持股比例由5.23%减少至4.9999%，不再是持有公司5%以上股份的股东。具体内容详见公司于2026年1月22日披露的《关于持股5%以上股东减持至5%以下暨权益变动的提示性公告》（公告编号：2026-009）和《简式权益变动报告书》。
截至2026年4月19日，本次减持计划期限已期满，公司收到金谷信托《股份减持实施情况告知函》。根据《上市公司股东减持股份管理暂行办法》《深圳证券交易所上市公司自律监管指引第18号——股东及董事、高级管理人员减持股份》等有关规定，现将本次股份减持计划实施情况公告如下：",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,6,公告库,凯撒旅业:简式权益变动报告书,0.76,"公告标题：凯撒旅业:简式权益变动报告书；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文： 中国金谷国际信托有限责任公司作为信息披露义务人，于2026年1月20日通过集中竞价方式减持凯撒旅业集团股份有限公司股票3,625,700股，约占上市公司总股本的0.23%。此次减持后，金谷信托持有凯撒旅业股份数量由83,815,144股减少至80,189,444股，持股比例从5.23%下降至4.9999%，导致其不再是持有凯撒旅业5%以上股份的股东。 本次权益变动的主要目的是出于金谷信托自身的资金安排需求。此前，金谷信托已于2025年12月25日预披露了减持计划，拟在3个月内通过集中竞价和大宗交易方式合计减持不超过公司总股本的3%。截至本报告书签署日，该减持计划尚未实施完毕，金谷信托不排除在未来12个月内继续减少持股，但暂无增持计划。 回顾过去六个月的交易记录，金谷信托曾在2025年9月5日至9月8日期间，通过集中竞价交易方式减持凯撒旅业股票16,037,800股，减持均价为6.00元/股，占总股本比例达1.00%。本次减持涉及的股份不存在任何权利限制，如质押或冻结等情况。整体来看，金谷信托正逐步降低其在凯撒旅业的持股比例，从主要股东转变为一般股东，这一变化可能影响公司的股权结构稳定性及后续资本运作空间。",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,7,公告库,凯撒旅业:简式权益变动报告书,0.75,"公告标题：凯撒旅业:简式权益变动报告书；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文：第一节 释义
本报告书，除非另有所指，下列简称具有如下特定含义：
| 本报告书 | 指 | 凯撒旅业集团股份有限公司简式权益变动报 告书 |
| --- | --- | --- |
| 上市公司、凯撒旅业、公司 | 指 | 凯撒旅业集团股份有限公司 |
| 信息披露义务人、金谷信托 | 指 | 中国金谷国际信托有限责任公司 |
| 证监会 | 指 | 中国证券监督管理委员会 |
| 深交所 | 指 | 深圳证券交易所 |
| 结算公司 | 指 | 中国证券登记结算有限责任公司深圳分公司 |
| 《公司法》 | 指 | 《中华人民共和国公司法》 |
| 《证券法》 | 指 | 《中华人民共和国证券法》 |
| 《收购办法》 | 指 | 《上市公司收购管理办法》 |
| 15号准则 | 指 | 《公开发行证券的公司信息披露内容与格式 准则第15号一—权益变动报告书》 |
| 元、万元 | 指 | 人民币元、人民币万元 |
| 本次权益变动 | 指 | 2026年1月20日，信息披露义务人通过集中 竞价方式减持其持有的凯撒旅业集团股份有 限公司3，625，700股无限售条件流通A股股 份，约占上市公司总股本的0.23%，导致信息 披露义务人持股比例触及5%的权益变动。 |",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,8,公告库,凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告,0.67,"公告标题：凯撒旅业:关于持股5%以上股东减持至5%以下暨权益变动的提示性公告；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文：二、相关风险提示
1、本次权益变动符合《公司法》《证券法》《深圳证券交易所上市公司自律监管指引第1 号——主板上市公司规范运作》《深圳证券交易所上市公司自律监管指引第 18 号——股东及董事、高级管理人员减持股份》等相关法律法规和规范性文件的规定。
2、金谷信托本次减持计划已按照相关规定进行了预披露，上述减持与已披露的减持计划一致。本次减持事项不存在违背金谷信托此前做出承诺的情形。截至本公告披露日，金谷信托减持计划尚未实施完毕。
3、本次权益变动后，金谷信托不再是持有公司5%以上股份的股东。金谷信托已按照《证券法》《上市公司收购管理办法》等有关规定编制简式权益变动报告书，具体内容详见公司同日在巨潮资讯网（www.cninfo.com.cn）披露的《简式权益变动报告书》。
4、金谷信托不属于公司控股股东、实际控制人，本次减持不会对公司治理结构、股权结构及未来持续经营产生重大影响，亦不会导致公司控制权发生变更。
特此公告。
凯撒旅业集团股份有限公司2026 年 1 月 22 日",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,9,公告库,凯撒旅业:凯撒旅业投资者关系管理信息,0.67,"公告标题：凯撒旅业:凯撒旅业投资者关系管理信息；
发布时间：2026-05-14；
证券简称：凯撒旅业
原文：| 准。 部”授牌。公司在三亚新增投资三亚游艇会，与三亚凯撒扬帆协 | 或引入战略投资者等事项，后续如有相关安排，公司将严格按照 相关法律法规及时履行信息披露义务，所有信息请以公司公告为 11、贵司一季报同比净利润扭亏，在国家海南封关政策加持 下公司基本面好转，股价却从年前一路下跌超35%。对此，作为 董事长，你这段时间在为此所做的工作有哪些，接下来要做的工 作有哪些，要达到的目标是什么？ 答：尊敬的投资者，您好！2026年第一季度，公司实现营 业收入1.96亿元，同比增长39.43%，归母净利润280.26万元， 同比扭亏为盈。2026年以来，公司加大发力海洋文旅板块的发 展，青岛地区小港湾休闲海钓基地建设完成，并和小管岛项目共 同启动试运营；同时紧抓海南自贸港机遇，获三亚市“大企业总 |
| --- | --- |
|  | 同启动试运营；同时紧抓海南自贸港机遇，获三亚市“大企业总 部”授牌。公司在三亚新增投资三亚游艇会，与三亚凯撒扬帆协 同发展，持续加快拓展海洋文旅业务布局。 二级市场股价波动受宏观环境、行业趋势、市场情绪、投资 者偏好等多种因素综合影响。控股股东彰显对公司发展的坚定信 心陆续开展增持计划。未来，公司将坚定致力于提升经营质量与 核心竞争力，推动公司内在价值在资本市场的合理体现，力争为 投资者创造长期可持续回报。 12、控股股东质押股份，金谷信托持续减持，后续是否还有 减持计划，加上最近股价已经连续下跌，所质押股份会被强制平 |
| --- | --- |
13、请问小管岛暂停预约，后续运营计划？
答：尊敬的投资者，您好！五一期间小管岛已开展试运营工作。为进一步提升游客出行体验，打磨完善岛上产品业态与服务配套，目前平台临时暂停登岛预约。公司正加紧对整体产品及服务体系进行升级优化，预计 5 月20 日前将重新开放登岛预约，后续相关开放动态敬请大家关注官方公众号：“凯撒海湾”通知。
14、2025 年四季度和 26 年一季度，演唱会收入多少？2026年公司在演唱会方向的力度和规划？
答：尊敬的投资者，您好！公司未单独披露演唱会收入。2026年公司持续发力“旅游+演艺”模式，将于6 月20 日在青岛举办“一声有你”演唱会，推动文旅深度融合。
15、前阵子接待拉美的 Despegar 和挪威代表团，为公司带来了什么实际性的合作，可带来怎么样的收益？
答：尊敬的投资者，您好！作为国内知名的旅游综合服务商，凯撒旅业旗下拥有旅游、配餐及海洋文旅三大核心业务板块，服务网络覆盖全球120 余个国家和地区，始终恪守“专业、品质、创新、高效”的经营之道，致力于为游客提供高品质的旅游体验。公司近期先后与拉美的 Despegar 公司及挪威特罗姆瑟代表团开展交流，相关接洽正在有序推进。其中，Despegar 方面，双方重点探讨了入境游业务合作，并围绕凯撒海外子公司与其在产品设计、渠道共享等层面的协同进行了初步对接；挪威特罗姆瑟代表团明确表达了与公司合作的积极意愿，希望借助凯撒旅业在中国及亚洲市场的渠道与品牌优势，吸引更多中国游客及亚洲游客前往该地区。",2026-08-15T21:48:03.990544+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年以来股东减持公告 监管处罚 立案调查,10,公告库,凯撒旅业:简式权益变动报告书,0.65,"公告标题：凯撒旅业:简式权益变动报告书；
发布时间：2026-01-22；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司简式权益变动报告书
上市公司名称：凯撒旅业集团股份有限公司
股票上市地点：深圳证券交易所
股票简称：凯撒旅业
股票代码：000796
信息披露义务人：中国金谷国际信托有限责任公司
注册地址：北京市西城区金融大街33 号通泰大厦C 座10 层 
通讯地址：北京市丰台区金泽路161 号院1 号楼锐中心40-43 层
股份变动性质：持有股份减少 
签署日期：二〇二六年一月二十一日
信息披露义务人声明
本部分所述词语或简称与本报告书“释义”所述词语或简称具有相同含义。
一、信息披露义务人依据《中华人民共和国公司法》（简称“公司法”）、《中华人民共和国证券法》（简称“《证券法》”）、《上市公司收购管理办法》（简称“《收购办法》”）、《公开发行证券的公司信息披露内容与格式准则第15 号权益变动报告书》（简称“15 号准则”）的规定及相关的法律、法规和规范性文件编写本报告书。
二、信息披露义务人签署本报告书已获得必要的授权和批准，其履行亦不违反信息披露义务人章程或内部规则中的任何条款，或与之相冲突。
三、依据《公司法》、《证券法》、《收购办法》及15 号准则的规定，本报告书已全面披露信息披露义务人在凯撒旅业集团股份有限公司中拥有权益的股份变动情况。截至本报告书签署日，除本报告书披露的持股信息外，信息披露义务人没有通过任何其他方式增加或减少其在凯撒旅业集团股份有限公司中拥有权益的股份。
四、本次权益变动是根据本报告书载明的资料进行的。除信息披露义务人外，没有委托或者授权任何其他人提供未在本报告书中列载的信息和对本报告书做出任何解释或者说明。
五、信息披露义务人承诺本报告书不存在虚假记载、误导性陈述或重大遗漏，并对其真实性、准确性、完整性承担个别和连带的法律责任。
目录
信息披露义务人声明  
目录  
第一节 释义  
第二节 信息披露义务人介绍  
第三节 权益变动目的及持股计划  
第四节 权益变动方式.  
第五节 前六个月内买卖上市交易股份的情况  
第六节 其他重大事项  
第七节 备查文件 10",2026-08-15T21:48:03.990544+08:00
