vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,1,公告库,凯撒旅业:凯撒旅业投资者关系管理信息,0.85,"公告标题：凯撒旅业:凯撒旅业投资者关系管理信息；
发布时间：2026-05-14；
证券简称：凯撒旅业
原文： 凯撒旅业在2026年5月13日召开2025年度业绩说明会，公司秉持“深耕主业、协同增效、稳中求进”经营方针，推动旅游、食品、海洋文旅三大业务板块协同发展。2025年公司主营业务收入合计79936.12万元，同比增长22.35%，其中旅游板块营业收入40483.04万元，同比大幅增长51.32%，航食板块营业收入36466.45万元，同比微降2.31%，海洋文旅板块营业收入2986.62万元，同比大幅增长138.27%。2025年前三季度公司亏损，第四季度实现盈利，一方面源于各板块业务增长，另一方面是因为子公司相关诉讼案件达成和解或取得生效判决，公司冲回前期已计提坏账准备或确认债务重组收益。 凯撒旅业控股股东环海湾文旅秉承“青岛的资源+凯撒的能力”协同策略，全力支持旗下优质文旅资产与上市公司开展业务互动，公司营业收入已连续四个季度实现双位数增长，2026年一季度营业收入同比增长39.43%，归母净利润同比增长161.71%，实现扭亏为盈。公司已完成2026美加墨世界杯观赛旅游产品筹备，推出多款覆盖不同赛事阶段的产品，并配套北美深度游和一站式签证服务，相关产品已上线“凯撒优选”小程序，受中美航班恢复限制，目前以小型球迷团和定制团为主。 截至2026年一季度末，凯撒旅业资产负债率为45.52%，货币资金为53383.48万元，青岛小港湾海钓基地项目及小管岛运营项目已进入试运营阶段，海南区域获三亚市“大企业总部”授牌，新增投资三亚游艇会，持续拓展海洋文旅业务布局。因当前公司未分配利润仍为负，暂不实施2025年度分红，后续将随盈利提升研究优化投资者回报机制。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,2,公告库,凯撒旅业:2026年半年度业绩预告,0.82,"公告标题：凯撒旅业:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：凯撒旅业
原文：  凯撒旅业集团股份有限公司发布2026年半年度业绩预告，预告区间为2026年1月1日至6月30日，预计当期归属于上市公司股东的净利润为-1300万元至-800万元，仍为负值，但较上年同期增长46.46%至67.05%；扣除非经常性损益后的净利润为-4500万元至-3500万元，较上年同期下降17.39%至50.93%；基本每股收益预计为-0.0080元至-0.0050元，上年同期为-0.0151元。本次业绩预告相关数据仅为公司财务部门初步测算结果，未经注册会计师预审计。  对于业绩变动，凯撒旅业当期净利润预计同比增长，核心原因为子公司债务重整和联营企业投资收益增加，该部分收益属于非经常性损益。分业务来看，旅游业务持续推进线上线下渠道建设、优化产品体系，收入预计同比增长，但受市场竞争、消费环境、目的地安全问题以及成本上升等多重因素影响，盈利未达预期；食品业务在稳固航空、铁路配餐核心业务的基础上，正在积极拓展新业务场景及销售渠道；海洋文旅业务相关投资建设项目本期刚投入运营，叠加板块业务拓展带来费用增长，经营收益和净利润暂未充分释放。  公司提示本次披露数据为初步估算结果，未经审计机构审计，最终数据将在2026年半年度报告中详细披露，提醒投资者以公司指定信息披露媒体发布的正式内容为准，注意投资风险。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,3,公告库,凯撒旅业:关于重整计划相关事项执行进展的公告,0.81,"公告标题：凯撒旅业:关于重整计划相关事项执行进展的公告；
发布时间：2026-05-28；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司关于重整计划相关事项执行进展的公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
2023 年12 月8 日，海南省三亚市中级人民法院（以下简称“三亚中院”）裁定批准了凯撒旅业集团股份有限公司（以下简称“公司”或“凯撒旅业”，曾用名：凯撒同盛发展股份有限公司）及六家子公司北京凯撒晟和国际旅行社有限公司、凯撒体坛国际旅游服务控股有限公司、北京新华空港航空食品有限公司、北京凯撒国际旅行社有限责任公司、凯撒同盛旅行社（集团）有限公司、凯撒易食控股有限公司《凯撒同盛发展股份有限公司及其六家子公司重整计划》（以下简称“重整计划”）。根据重整计划，重整的偿债资源包括凯撒旅业资本公积金转增形成的股票、重整投资人提供的投资总对价。公司对重整执行期间暂未确认的债权、未申报债权及未及时受领偿债资源的已裁定确认债权对应的偿债资源均依法进行预留并予以提存。公司将根据《企业破产法》有关规定和债权申报审查的实际情况，自法院裁定批准重整计划之日起3 年内，对符合清偿条件的债权人进行清偿。
一、股票清偿进展
2023 年 12 月 19 日，凯撒旅业资本公积金转增股份 801,894,458 股已登记至公司管理人开立的凯撒同盛发展股份有限公司破产企业财产处置专用账户（以下简称“公司管理人账户”）。前期公司管理人已将634,000,000 股过户至公司重整产业投资人及财务投资人，将132,404,962 股过户至部分债权人的证券账户，具体内容详见公司《关于重整计划资本公积金转增股本除权事项进展暨公司股票复牌的公告》（公告编号：2023-128）及《关于重整计划执行进展的公告》《关于重整计划相关事项执行进展的公告》（公告编号：2023-129、2024-025、2024-070、
2024-097）
近日，公司根据债权人申报债权的情况，经向法院申请将 12,272,374 股转至部分债权人的证券账户，并于2026 年5 月26 日在中国证券登记结算有限责任公司深圳分公司完成过户登记手续。根据《重整计划》，尚未完成过户的部分债权人，后续将由法院根据申请另行办理。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,4,公告库,凯撒旅业:关于重整计划相关事项执行进展的公告,0.81,"公告标题：凯撒旅业:关于重整计划相关事项执行进展的公告；
发布时间：2026-05-28；
证券简称：凯撒旅业
原文：二、其他情况说明
1、本次为公司管理人账户债权清偿涉及的股票变动，不会导致公司控股股东、实际控制人的变化，不会对公司日常经营活动产生影响。
2、公司将根据后续债权申报及清偿情况，及时履行信息披露义务。公司指定的信息披露媒体为《中国证券报》《证券时报》《证券日报》《上海证券报》和巨潮资讯网（www.cninfo.com.cn），有关公司的信息均以上述指定媒体刊登的公告为准。敬请广大投资者关注公司公告，并注意投资风险。
三、备查文件
《证券过户登记确认书》
特此公告。
凯撒旅业集团股份有限公司2026 年 5 月 28 日",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,5,公告库,凯撒旅业:关于重整计划相关事项执行进展的公告,0.79,"公告标题：凯撒旅业:关于重整计划相关事项执行进展的公告；
发布时间：2026-05-28；
证券简称：凯撒旅业
原文： 凯撒旅业集团股份有限公司于2023年12月8日获得三亚中院裁定批准的重整计划，明确了偿债资源主要来源于资本公积金转增股票及重整投资人投资对价。公司将在法院批准之日起3年内，依法对符合清偿条件的债权人进行分期清偿，并对暂未确认或未及时受领的债权资源进行预留提存。 在股票清偿进展方面，截至公告披露时，公司已完成资本公积金转增股份801,894,458股的登记工作。其中，6.34亿股已过户至重整产业及财务投资人账户，1.32亿股已过户至部分债权人账户。近期，公司再次向法院申请将12,272,374股转至部分债权人证券账户，并已于2026年5月26日完成在中国证券登记结算有限责任公司深圳分公司的过户登记手续。 本次股票变动仅涉及管理人账户内的债权清偿调整，不会导致公司控股股东及实际控制人发生变化，亦不会对凯撒旅业的日常经营活动产生实质性影响。对于尚未完成过户的部分债权人，后续将由法院根据申请另行办理相关手续。公司将持续根据债权申报及清偿情况履行信息披露义务，指定媒体包括《中国证券报》等四大报刊及巨潮资讯网。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,6,公告库,凯撒旅业:关于子公司股权将被司法拍卖暨诉讼进展的公告,0.77,"公告标题：凯撒旅业:关于子公司股权将被司法拍卖暨诉讼进展的公告；
发布时间：2026-07-08；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司
关于子公司股权将被司法拍卖暨诉讼进展的公告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
特别提示：
1. 案件所处的诉讼阶段：执行
2. 上市公司子公司所处的当事人地位：被执行人
3. 本次司法拍卖事项尚处于公告阶段，根据相关规定，法院有权在拍卖开始前、拍卖过程中依法中止拍卖或撤回拍卖，后续可能涉及竞拍、缴款、股份变更过户等环节，且可能涉及流拍的情况，最终是否完成拍卖及拍卖结果尚存在不确定性。本次拍卖对公司本期利润或期后利润的具体影响尚需根据拍卖成交价格及后续股权交割情况确定。
一、诉讼的基本情况
2022 年 6 月，凯撒旅业集团股份有限公司（以下简称“公司”）与海航集团财务有限公司（以下简称“海航财务公司”）签订了《关于17 凯撒03 债券场外兑付协议》，并以公司控股子公司海南凯撒世嘉饮料有限公司（以下简称“世嘉饮料”）持有的海南航旅饮品股份有限公司（以下简称“海旅饮品”）71,999,000股股票（占海旅饮品总股本的89.99875%）提供担保作为增信措施，并进行了赋强公证。在公司重整过程中，海航财务公司已申报债权并经法院确认部分普通债权，但其就该部分普通债权的偿债资源暂不实际受领，申请预留提存，同时向海南省第一中级人民法院（以下简称“海南一中院”）申请拍卖担保财产即海旅饮品71,999,000 股股票。后世嘉饮料向海南一中院提出撤销该案执行依据即公证文书之诉，经过一审、二审程序，世嘉饮料相关诉求最终未被支持。具体内容详见公司于 2024 年 4 月 12 日、2026 年 7 月 1 日披露的《关于累计诉讼、仲裁的公告》《关于公司累计诉讼、仲裁及进展的公告》（公告编号：2024-030、2026-047）。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,7,公告库,凯撒旅业:2025年度业绩预告,0.75,"公告标题：凯撒旅业:2025年度业绩预告；
发布时间：2026-01-30；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司发布2025年度业绩预告，预计归属于上市公司股东的净利润区间为3,200万元至4,800万元，较上年同期的-10,304.04万元实现扭亏为盈，同比增长幅度在131.06%至146.58%之间。扣除非经常性损益后的净利润为-16,000万元至-9,000万元，虽仍处亏损状态但同比减亏幅度达5.48%至87.51%。基本每股收益预计为0.0200元，较上年同期的-0.0660元显著改善。业绩变动的主要原因在于子公司相关诉讼案件达成和解或取得生效判决，公司据此冲回前期已计提的坏账准备并确认债务重组收益；同时，公司参与张家界旅游集团股份有限公司重整投资，因标的股价变动形成了公允价值变动收益。上述两项关键因素均属于非经常性损益，直接推动了整体净利润由负转正。尽管财务数据大幅改善，但公司核心业务板块仍面临挑战。旅游业务通过强化国际资源合作与创新主题产品巩固了高端邮轮优势，食品业务优化了供应链体系，海洋文旅业务推出了海钓、潜水等新产品且市场反响良好。然而，受市场消费环境及产品单位成本上升影响，部分业务增长未达预期。此外，基于谨慎性原则，公司计提了长期股权投资减值，对净利润产生负面影响。本次业绩预告数据未经审计，最终结果以年度报告为准。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,8,公告库,凯撒旅业:2025年年度报告,0.75,"公告标题：凯撒旅业:2025年年度报告；
发布时间：2026-04-29；
证券简称：凯撒旅业
原文：| 造成的损失为人民币52,370,172元， 因凯撒国际旅行社违反合同排他性条款 给其造成的损失为人民币26,746,263 元，要求凯撒国际旅行社承担上述损害 赔偿金，并要求阻止凯撒国际旅行社违 反合同排他性条款的行为和采取相应的 补救措施。 |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- |
| 2020年6月上海理朝投资管理中心(有 限合伙)与公司、海南同盛世嘉免税集 团有限公司共同签署《海南同盛世嘉免 税集团有限公司增资协议》。在协议履 行过程中发生纠纷，上海理朝向海南省 第一中级人民法院提起诉讼。 2017年6月16日，凯撒旅业发行海航 | 28,275.6 | 否 已结案 在本案执行过程中，申请执行人海航 集团财务有限公司在凯撒旅业重整程 | 2025年7月9日海南高院作出 终审判决：一、撤销海南省第 -中级人民法院（2023）琼96 民初857号民事判决。二、驳 回上海理朝投资管理中心（有 限合伙）对凯撒同盛发展股份 有限公司、凯撒同盛旅行社 （集团）有限公司、海口同盛 世嘉商贸有限公司、陈小兵、 陈杰、刘江涛的诉讼请求。 |  | 2025 年07 月11 日 | 《关于公司重大 诉讼的进展公 告》（公告编 号：2025-031) |
| 凯撒旅游集团股份有限公司2017年面 向合格投资者公开发行公司债券，海航 集团财务有限公司（以下简称“财务公 司”）持有本次债券1亿元。债券到期 后，因凯撒旅业不能按时兑付本次债券 本息，财务公司与凯撒旅业于2022年6 月14日签订了《凯撒同盛发展股份有 限公司与海航集团财务有限公司关于17 凯撒03债券场外兑付协议》和四份 《股权质押合同》，约定1亿元债券本 金和相应利息的相关展期事宜以及凯撒 旅业及其子公司提供相关股权质押作为 增信担保措施的事宜。并进行了赋强公 证。2023年2月，因凯撒旅业未履行协 议，财务公司向海口市椰城公证处申请 出具执行证书。随后，向海南省第一中 级人民法院申请强制执行。2023年5月 11日，海南省第一中级人民法院出具 （2023）琼96执529号执行裁定书， 裁定冻结包括凯撒旅业、凯撒易食控股 有限公司、海南凯撒世嘉饮料有限公 | 13,160.92 否 | 序中申报债权并经法院确认债权。因 海航集团财务有限公司认为重整企业 为该笔债权提供担保的部分不足以清 偿，向海南省第一中级人民法院申请 拍卖非重整企业被执行人海南凯撒世 嘉饮料有限公司资产，海南凯撒世嘉 饮料有限公司持有海南航旅饮品股份 有限公司89.99%股权，相关资产价值 评估工作已完成。2024年10月12 日，海南凯撒世嘉饮料有限公司收到 海南省第一中级人民法院执行裁定书 （2024）琼96执恢137号之一）， 裁定拍卖、变卖海南凯撒世嘉饮料有 限公司持有海南航旅饮品股份有限公 司71,999,000股及擎息。海南凯撒世 嘉饮料有限公司前期向海南省第一中 级人民法院提出撤销该案执行依据即 公证文书之诉，法院一审判决暂未予 支持，驳回相关诉求。公司正在积极 应对，依法向海南高级人民法院提起 | 暂无上诉审理结果 | 暂无上 诉审理 结果 | 2024 年12 月19 日 | 《关于公司累计 诉讼、仲裁及进 展的公告》（公 告编号：2024- 091) |",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,9,公告库,凯撒旅业:2026年半年度业绩预告,0.75,"公告标题：凯撒旅业:2026年半年度业绩预告；
发布时间：2026-07-15；
证券简称：凯撒旅业
原文：凯撒旅业集团股份有限公司2026 年半年度业绩预告
本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
一、本期业绩预计情况
1、业绩预告期间：2026 年 1 月 1 日至 2026 年 6 月 30 日。
2、业绩预告情况：预计净利润为负值 
（1）以区间数进行业绩预告的
单位：万元
| 项目 | 本报告期 |  |  |  |
| --- | --- | --- | --- | --- |
| 归属于上市公司股东的净利润 | -1,300 | -800 | -2,428.24 |  |
|  | 比上年同期增长：46.46%～67.05% |  |  |  |
| 扣除非经常性损益后的净利润 | -4,500 ～ | -3,500 | -2,981.42 |  |
|  | 比上年同期下降：17.39%～50.93% |  |  |  |
| 基本每股收益（元/股） | -0.0080 |  | -0.0050 | -0.0151 |
二、与会计师事务所沟通情况
本次业绩预告相关数据是公司财务部门初步测算的结果，未经注册会计师预审计。
三、业绩变动原因说明
报告期内，公司紧密围绕发展战略深耕主营业务。旅游业务持续推进线上线下渠道建设，优化产品体系布局，收入预计同比增长，但部分业务因受市场竞争、消费环境、目的地安全、成本上升等影响盈利未达预期；食品业务在稳固航空、铁路配餐核心业务的基础上，积极拓展业务场景及销售渠道；海洋文旅业务相关投资建设项目本期刚投入运营，加之板块业务拓展带来的费用增长等因素影响，经营收益和净利润暂未充分释放。
本报告期公司预计净利润同比增长，主要原因系子公司债务重整和联营企业投资收益增加所致，属于非经常性损益。",2026-08-15T21:48:08.877357+08:00
gildata,AnnouncementData,凯撒旅业000796 2026年重整进展 债务 业绩预告 诉讼 商誉减值,10,公告库,凯撒旅业:关于子公司股权将被司法拍卖暨诉讼进展的公告,0.74,"公告标题：凯撒旅业:关于子公司股权将被司法拍卖暨诉讼进展的公告；
发布时间：2026-07-08；
证券简称：凯撒旅业
原文： 凯撒旅业子公司海南凯撒世嘉饮料有限公司以所持海南航旅饮品股份有限公司71,999,000股股票（占总股本89.99875%）为海航财务公司债权提供担保，该担保事项经公证后，因公司重整海航财务公司申请拍卖担保财产，世嘉饮料提出撤销公证文书的诉讼未获法院支持，案件目前处于执行阶段。 海南第一中级人民法院将于2026年8月3日10时至8月4日10时在淘宝网司法拍卖网络平台公开拍卖该71,999,000股股票及孳息，评估价为38,906,800元，起拍价为31,125,440元。 本次司法拍卖尚处于公告阶段，法院有权中止或撤回拍卖，后续存在竞拍、缴款、过户等环节及流拍风险，最终拍卖完成情况及结果存在不确定性，对公司本期及期后利润的具体影响需待成交价格与股权交割情况确定后才能明确，凯撒旅业将持续跟进并及时披露进展。",2026-08-15T21:48:08.877357+08:00
