vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,1,公告库,迪阿股份:2026年4月29日投资者关系活动记录表,0.77,"公告标题：迪阿股份:2026年4月29日投资者关系活动记录表；
发布时间：2026-04-29；
证券简称：迪阿股份
原文：迪阿股份在2025年行业格局重构背景下，深化品牌建设与渠道优化，全年实现营业收入1.52亿元，同比增长2.54%；归属于上市公司股东的净利润达1.39亿元，同比大幅增长162.32%，扣非后净利润成功扭亏为盈至420.81万元。然而进入2026年一季度，公司营收降至3.61亿元，同比下降11.38%，虽净利润仍增长81.39%至3,758.64万元，但扣非后净利润为-858.98万元，出现阶段性亏损。针对现金流与业绩波动，管理层解释称，2025年及2026年一季度经营活动现金净额为负，主要系黄金租赁业务集中到期归还、为应对原材料价格波动加大自主采购力度，以及为锁定成本增加钻石采购支付所致，这些属于策略性安排，公司货币资金充裕且授信充足，不存在流动性风险。2026年一季度经营亏损主要源于国内业务毛利率下滑，受金价高位运行导致成本上升及下沉市场销售结构拖累影响，尽管海外业务及高毛利产品占比提升带动整体毛利率微增。渠道方面，截至2025年末门店总数精简至345家，单店收入提升至349.94万元，同比增长25.13%。2026年战略重心转向全球化与全生命周期覆盖，确立以大中华区与欧美区为核心、东南亚及新兴市场为增长极的布局。高端定制店杭州大厦“戴瑞”店已落地，总投资约1,466.99万元，旨在打造兼具东西方美学的高端婚嫁黄金产品，未来将根据运营效果评估是否复制至SKP等高奢商场。海外业务聚焦美国规模化增长与新加坡等新兴市场试水，目前处于打基础阶段，未设定具体收入指引。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,2,公告库,迪阿股份:关于召开2025年度暨2026年第一季度网上业绩说明会的公告,0.63,"公告标题：迪阿股份:关于召开2025年度暨2026年第一季度网上业绩说明会的公告；
发布时间：2026-04-20；
证券简称：迪阿股份
原文：迪阿股份有限公司（股票代码：301177）宣布将于2026年4月29日15:00至16:00举办2025年度暨2026年第一季度网上业绩说明会，会议将通过进门财经平台以网络和电话方式举行。公司计划披露《2025年年度报告》及其摘要和《2026年第一季度报告》，旨在向投资者详细解读公司2025年度的整体经营成果、未来战略规划以及2026年第一季度的具体财务表现。本次业绩说明会的高层阵容强大，出席人员包括公司董事长张国涛先生、董事兼总经理卢依雯女士、董事会秘书兼财务负责人黄水荣先生，以及三位独立董事钟敏先生、赵东平先生和王雅瑾女士。这种高管团队的全员参与，表明公司对此次沟通的高度重视，预计将针对市场关心的核心战略问题进行深入且权威的解答。为提升交流效率与针对性，公司提前启动投资者提问征集工作，截止时间设定为2026年4月28日18:00。投资者可通过官方邮箱ir@darryring.com或进门财经路演平台提交问题，公司承诺将对普遍关注的焦点问题进行集中回应。此举有助于投资者在会议前梳理关注点，确保沟通内容更具实质性和决策参考价值，同时也体现了公司在信息披露透明度和投资者关系管理方面的规范化运作。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,3,公告库,迪阿股份:2026年一季度报告,0.6,"公告标题：迪阿股份:2026年一季度报告；
发布时间：2026-04-28；
证券简称：迪阿股份
原文：迪阿股份2026年第一季度实现营业收入3.61亿元，同比下降11.38%，但归属于上市公司股东的净利润达到3758.64万元，同比大幅增长81.39%。这一显著背离主要得益于非经常性损益的强劲贡献，其中理财产品公允价值变动及投资收益合计增加约2790万元，同时所得税费用因冲回递延所得税负债而大幅减少1701万元。然而，若剔除非经常性损益影响，公司扣非后净利润为-858.98万元，同比下降241.78%，显示出核心主业盈利能力面临挑战。
 从业务结构来看，线上自营业务表现亮眼，营收同比增长20.30%，毛利率提升至70.42%；而线下直营渠道受市场环境影响，营收下滑18.95%。公司综合毛利率提升至68.65%，较上年同期增加5.12个百分点，主要得益于高毛利的线上业务占比提升及成本控制优化。尽管门店数量净增7家至352家，且并购了宫廷（北京）珠宝有限公司导致销售及管理费用短期增加，但剔除并购因素后费用实际有所减少。
 现金流方面，公司经营活动产生的现金流量净额为-1.55亿元，同比由正转负，主要系本期购买原材料同比增加所致。投资活动现金流净额大幅增至3.73亿元，主要源于赎回理财产品的资金回流。资产负债表显示，货币资金增至4.86亿元，交易性金融资产规模庞大，整体资产结构稳健，但存货余额上升至8.75亿元，需关注库存周转压力。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,4,公告库,迪阿股份:关于公司及子公司向银行申请综合授信并提供担保的进展公告,0.59,"公告标题：迪阿股份:关于公司及子公司向银行申请综合授信并提供担保的进展公告；
发布时间：2026-06-08；
证券简称：迪阿股份
原文：迪阿股份有限公司近期完成了对全资子公司好多钻石（深圳）有限公司的两笔新增银行授信担保业务。公司于2026年6月5日分别与平安银行和中信银行深圳分行签署合同，为好多钻石提供总额7,000万元的连带责任保证担保，其中平安银行额度为2,000万元，中信银行额度为5,000万元。此次担保后，公司对好多钻石的累计担保余额增至1.7亿元，占已审议额度的56.67%，剩余可用担保额度为1.3亿元。被担保人好多钻石作为公司全资子公司，截至2026年3月31日总资产为13,997.43万元，净资产为6,594.96万元，资产负债率为52.88%。财务数据显示，该子公司在2026年第一季度出现经营亏损，营业收入为2,081.55万元，净利润为-8.78万元；2025年度全年营业收入为13,594.56万元，净利润为-82.59万元，负债总额较2025年末有所下降。公告强调，上述担保对象不属于失信被执行人，且公司对其拥有完全控制权，能够实施有效监督，因此担保风险可控。截至披露日，公司及控股子公司对外担保总余额为1.78亿元，仅占公司最近一期经审计净资产的2.84%，且无任何逾期担保或涉及诉讼的情形，整体财务状况稳健，未损害上市公司利益。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,5,公告库,迪阿股份:2025年度业绩预告,0.55,"公告标题：迪阿股份:2025年度业绩预告；
发布时间：2026-01-28；
证券简称：迪阿股份
原文： 迪阿股份有限公司发布2025年度业绩预告，预计营业收入区间为148,242.32万元至159,614.53万元，较上年同期增长0.00%至7.67%。归属于上市公司股东的净利润预计为盈利12,779.31万元至14,651.82万元，同比大幅增长140.98%至176.30%。扣除非经常性损益后的净利润预计实现扭亏为盈，区间在391.57万元至586.74万元之间，同比增长超过103%，显示出公司核心业务盈利能力显著修复。 业绩大幅增长主要得益于公司持续推进渠道优化及门店运营能力的系统性提升。公司以深化用户体验为核心，通过精细化运营空间场景、商品组合及消费体验，有效增强了“人、货、场”的动态匹配与协同效能，从而提升了单店盈利质量与整体运营效率，为2025年的业绩增长奠定了坚实基础。 非经常性损益方面，预计金额为10,587.74万元至15,865.08万元，主要来源于交易性金融资产公允价值变动损益以及理财产品产生的投资收益。尽管非经常性损益金额较上年同期的17,943.34万元有所减少，但扣非后净利润的成功转正表明公司主营业务已摆脱亏损状态，经营基本面发生根本性好转。本次数据未经审计，具体财务数据以正式年报为准。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,6,公告库,迪阿股份:2025年年度报告,0.54,"公告标题：迪阿股份:2025年年度报告；
发布时间：2026-04-28；
证券简称：迪阿股份
原文： 迪阿股份2025年在行业消费萎缩及金价暴涨的严峻环境下，实现营业收入15.20亿元，同比增长2.54%，归母净利润达1.39亿元，同比大幅增长162.32%，成功实现扭亏为盈。这一业绩主要得益于渠道优化带来的单店收入提升至349.94万元，以及运营成本管控成效显著，租金、装修及人力成本同比减少逾1亿元。 然而，公司核心业务盈利能力仍面临挑战，扣除非经常性损益后的净利润仅为420.8万元，主要利润贡献来自持有交易性金融资产公允价值变动及理财产品投资收益约1.47亿元。报告期末存货余额增至7.12亿元，同比增长52.53%，主要为应对原材料价格波动提前储备裸石及增加黄金、铂金储备所致，其中铂金采购金额激增732.96%。 面对市场变化，公司确立了“品牌升级、场景拓展、品类拓展、全球化”的2026年战略，计划定位“全球高端婚嫁珠宝第一品牌”，重点突破对戒及高端婚嫁黄金品类，并依托美国线上业务加速全球化布局。同时，公司启动全球真爱地标计划，构建“红金店+黑金店”双轨模型，完成78家门店焕新，数字化赋能显著提升用户体验。 财务结构方面，公司短期借款激增至7.9亿元，经营活动现金流净额转为-2.77亿元，显示资金周转效率下降且偿债压力上升。尽管如此，德勤华永会计师事务所出具了标准无保留意见审计报告，确认公司治理结构完善，内部控制有效，未发现重大缺陷，控股股东承诺严格履行合规义务以维护中小股东权益。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,7,公告库,迪阿股份:关于续聘2026年度审计机构的公告,0.53,"公告标题：迪阿股份:关于续聘2026年度审计机构的公告；
发布时间：2026-04-28；
证券简称：迪阿股份
原文：迪阿股份有限公司于2026年4月24日召开第三届董事会第二次会议，审议通过续聘德勤华永会计师事务所（特殊普通合伙）为公司2026年度审计机构的议案。该事务所将负责2026年度财务报告及内部控制的审计工作，聘期为一年，自公司2025年年度股东会审议通过之日起生效。德勤华永拥有丰富的证券服务经验，过去二十多年一直从事相关服务业务，2024年度经审计的业务收入总额为38.93亿元，其中证券业务收入为6.60亿元。事务所已购买累计赔偿限额超过2亿元的职业保险，且近三年未因执业行为在民事诉讼中被判定需承担民事责任，具备较强的投资者保护能力。本次拟聘任的项目团队由合伙人彭金勇先生、质量控制复核人李渭华女士及签字注册会计师罗薇女士组成，三人均自2025年开始为公司提供审计专业服务，且近三年无刑事处罚或重大违规记录，能够确保审计工作的独立性与专业性。关于审计费用，2025年度年报审计费用为145万元，内控审计费用为27万元。2026年度审计费用将以2025年度收费水平为参考基础，最终费用由管理层按照市场原则与事务所协商确定，并需提交股东会审议批准后方可生效。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,8,公告库,迪阿股份:关于公司及子公司向银行申请综合授信并提供担保的公告,0.52,"公告标题：迪阿股份:关于公司及子公司向银行申请综合授信并提供担保的公告；
发布时间：2026-04-28；
证券简称：迪阿股份
原文：迪阿股份有限公司于2026年4月24日召开董事会，审议通过向银行申请总额不超过55亿元人民币的综合授信额度议案，该事项尚需提交2025年年度股东会审议。公司拟为全资子公司好多钻石、好多钻石智造及香港DR GROUP各提供不超过3亿元人民币的连带责任保证担保，授信期限自股东会审议通过之日起十二个月，涵盖银行贷款、承兑汇票、保函等多种信贷业务。截至2025年12月31日，被担保人财务状况分化明显：好多钻石资产总额1.75亿元，净资产6603.74万元，2025年营收1.36亿元但净利润为-82.59万元；好多钻石智造资产仅481.28万元，净利润亏损126.72万元；而香港DR GROUP表现优异，资产总额超21亿港元，2025年实现净利润4194.76万元。尽管部分子公司存在亏损或高负债率（如香港DR GROUP资产负债率达93.32%），但公司认为其财务管理稳健，担保风险可控。截至目前，公司及控股子公司累计对外担保总余额为1.18亿元，占最近一期经审计净资产的1.89%，无逾期担保或诉讼情形。本次新增担保后，预计担保额度将占公司净资产约14.37%，整体融资规模扩大旨在满足日常经营资金需求，提升子公司融资能力与经营效率，符合公司长远发展利益。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,9,公告库,迪阿股份:2025年度董事会工作报告,0.5,"公告标题：迪阿股份:2025年度董事会工作报告；
发布时间：2026-04-28；
证券简称：迪阿股份
原文： 迪阿股份有限公司2025年度经营业绩表现亮眼，实现营业收入152,012.33万元，同比增长2.54%；净利润达13,910.49万元，同比大幅增长162.32%，扣非后净利润420.81万元，成功实现扭亏为盈。这一显著增长主要得益于公司深化品牌建设与渠道优化策略，期末在营门店数量虽较上年净减少28家至345家，但单店收入大幅提升至349.94万元，增幅达25.99%。同时，公司运营成本管控成效显著，门店租金、装修及人力成本同比减少10,384.49万元，有效带动了销售费用的下降和整体盈利能力的提升，显示出公司经营质量持续优化，核心竞争力不断增强。
 在董事会运作与公司治理方面，2025年度公司董事会严格遵循法律法规及公司章程，全年共召开5次董事会会议，审议包括年度报告、限制性股票激励计划、黄金铂金衍生品业务及董事会换届选举等在内的40项议案。董事会下设审计、战略与可持续发展、薪酬与考核及提名四个专门委员会，报告期内各委员会高效履职，累计召开会议十余次，为董事会科学决策提供了专业支撑。此外，独立董事勤勉尽责，对各项议案均未提出异议，确保了决策的合规性与科学性。
 面向2026年，迪阿股份确立了清晰的战略升级路径，旨在从钻戒专业品牌向基于真爱价值观的生活方式新奢品牌转型。公司计划将业务场景从单一的求婚延伸至结婚、纪念日等全爱情生命周期，品类上拓展至对戒及高端婚嫁黄金等多品类珠宝，并实施以大中华区与欧美区为核心、东南亚及新兴市场为增长极的全球化布局。同时，公司将持续完善ESG体系建设，强化信息披露透明度，致力于成为全球代表真爱生活方式的领导品牌。",2026-08-15T21:48:15.773484+08:00
gildata,AnnouncementData,迪阿股份2026年业绩预告 业绩亏损 商誉减值公告,10,公告库,迪阿股份:关于使用部分闲置募集资金进行现金管理的进展公告,0.46,"公告标题：迪阿股份:关于使用部分闲置募集资金进行现金管理的进展公告；
发布时间：2026-07-31；
证券简称：迪阿股份
原文： 迪阿股份于2026年4月24日召开第三届董事会第二次会议，2026年5月19日召开2025年年度股东会，审议通过使用不超过16.5亿元闲置募集资金（含超募资金）进行现金管理、不超过55亿元自有资金委托理财的议案，额度有效期为股东会审议通过之日起12个月且资金可循环滚动使用。 截至本公告披露日，公司近期新增使用4.6亿元闲置募集资金进行现金管理，共涉及7款本金保障浮动收益型产品，购买金额从4000万元到1亿元不等，起息日集中在2026年6月至7月，到期日均为2027年6月至7月，预期年化收益率区间为0.00%-4.05%。 公司此前已完成多笔闲置募集资金现金管理产品赎回，累计赎回金额合计4.9亿元，涉及华泰证券、中信建投、国泰海通等多家券商发行的本金保障浮动收益型产品，赎回产品起息日多在2025年6月至12月，到期日集中在2026年6月至7月，预期年化收益率区间为0.00%-4.24%。 公司与本次现金管理签约机构均无关联关系，投资产品均为安全性高、流动性好且有保本约定的产品，虽总体风险可控但仍存在收益波动风险，公司已建立完善的风险控制措施，且本次现金管理不会影响日常经营和募集资金项目推进，可提升资金使用效率。",2026-08-15T21:48:15.773484+08:00
