vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,恒力石化、荣盛石化、东方盛虹的2026年与2027年一致预期净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|东方盛虹|000301|2026-08-11|2026|15058160.0|19.9|13158100.0|3.22|12.71|461440.0|-1841.3|458860.0|-1913.85|386820.0|3153.48|417690.0|3023.0|1650572.67|761300.0|0.59|10.76|2.1|3.74|21.2|2.19|-|14.58|14.58|
|东方盛虹|000301|2026-08-11|2027|16164149.67|7.34|14312180.0|8.77|13.14|571660.0|23.89|567100.0|23.59|472820.0|22.23|457320.13|9.49|1776176.0|846300.0|0.7|10.66|2.4|4.1|18.79|2.03|-|14.58|14.58|
|东方盛虹|000301|2026-08-11|2028|16979895.43|12.76|14989866.67|13.92|13.26|729450.0|58.08|727083.33|58.45|541866.67|40.08|533378.14|27.7|1985146.5|922500.0|0.82|11.19|2.75|3.96|16.7|1.87|-|14.58|14.58|
|荣盛石化|002493|2026-08-11|2026|34425384.58|11.55|28800598.17|-6.15|16.39|1923857.67|475.91|1920979.25|483.85|1716592.73|428.37|766586.0|803.66|5044825.83|2175200.0|0.75|15.86|2.52|7.28|16.79|2.53|0.41|15.64|15.59|
|荣盛石化|002493|2026-08-11|2027|35967527.64|4.48|29721291.69|3.2|17.08|2221484.85|15.47|2218197.15|15.47|1982771.33|15.51|880273.88|14.83|5814946.0|2501266.67|0.87|17.1|2.79|7.59|14.58|2.41|0.4|15.64|15.59|
|荣盛石化|002493|2026-08-11|2028|37034530.67|7.58|30384729.93|5.5|17.5|2536662.71|31.85|2533309.79|31.88|2264439.0|31.91|996453.19|29.99|6135258.63|2809933.33|0.99|18.04|3.09|8.22|12.94|2.26|0.39|15.64|15.59|
|恒力石化|600346|2026-08-11|2026|24214724.58|20.42|20935884.92|8.85|13.65|1517632.42|63.05|1525430.33|61.93|1169903.58|65.38|1180649.89|66.89|3096356.86|1757049.67|1.67|15.7|4.4|6.49|12.28|2.09|0.68|28.77|28.62|
|恒力石化|600346|2026-08-11|2027|24177255.21|-0.15|20598915.54|-1.61|14.41|1753958.54|15.57|1765648.85|15.75|1352386.85|15.6|1348399.61|14.21|3433908.75|1986649.67|1.95|16.19|4.91|7.03|10.63|1.88|0.66|28.77|28.62|
|恒力石化|600346|2026-08-11|2028|24660999.14|1.84|20805443.14|-0.62|15.18|2023856.43|33.36|2034261.0|33.36|1564174.29|33.7|1567807.76|32.79|3591199.78|2134393.67|2.29|17.18|5.44|7.53|9.41|1.74|0.66|28.77|28.62|",2026-08-12T22:28:35.298890+08:00
gildata,FinQuery,恒力石化、荣盛石化、东方盛虹的2026年与2027年一致预期净利润,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|东方盛虹|000301|2026-08-11|2026|15058160.0|19.9|13158100.0|3.22|12.71|461440.0|-1841.3|458860.0|-1913.85|386820.0|3153.48|417690.0|3023.0|1650572.67|761300.0|0.59|10.76|2.1|3.74|21.2|2.19|-|14.58|14.58|
|东方盛虹|000301|2026-08-11|2027|16164149.67|7.34|14312180.0|8.77|13.14|571660.0|23.89|567100.0|23.59|472820.0|22.23|457320.13|9.49|1776176.0|846300.0|0.7|10.66|2.4|4.1|18.79|2.03|-|14.58|14.58|
|东方盛虹|000301|2026-08-11|2028|16979895.43|12.76|14989866.67|13.92|13.26|729450.0|58.08|727083.33|58.45|541866.67|40.08|533378.14|27.7|1985146.5|922500.0|0.82|11.19|2.75|3.96|16.7|1.87|-|14.58|14.58|
|荣盛石化|002493|2026-08-11|2026|34425384.58|11.55|28800598.17|-6.15|16.39|1923857.67|475.91|1920979.25|483.85|1716592.73|428.37|766586.0|803.66|5044825.83|2175200.0|0.75|15.86|2.52|7.28|16.79|2.53|0.41|15.64|15.59|
|荣盛石化|002493|2026-08-11|2027|35967527.64|4.48|29721291.69|3.2|17.08|2221484.85|15.47|2218197.15|15.47|1982771.33|15.51|880273.88|14.83|5814946.0|2501266.67|0.87|17.1|2.79|7.59|14.58|2.41|0.4|15.64|15.59|
|荣盛石化|002493|2026-08-11|2028|37034530.67|7.58|30384729.93|5.5|17.5|2536662.71|31.85|2533309.79|31.88|2264439.0|31.91|996453.19|29.99|6135258.63|2809933.33|0.99|18.04|3.09|8.22|12.94|2.26|0.39|15.64|15.59|
|恒力石化|600346|2026-08-11|2026|24214724.58|20.42|20935884.92|8.85|13.65|1517632.42|63.05|1525430.33|61.93|1169903.58|65.38|1180649.89|66.89|3096356.86|1757049.67|1.67|15.7|4.4|6.49|12.28|2.09|0.68|28.77|28.62|
|恒力石化|600346|2026-08-11|2027|24177255.21|-0.15|20598915.54|-1.61|14.41|1753958.54|15.57|1765648.85|15.75|1352386.85|15.6|1348399.61|14.21|3433908.75|1986649.67|1.95|16.19|4.91|7.03|10.63|1.88|0.66|28.77|28.62|
|恒力石化|600346|2026-08-11|2028|24660999.14|1.84|20805443.14|-0.62|15.18|2023856.43|33.36|2034261.0|33.36|1564174.29|33.7|1567807.76|32.79|3591199.78|2134393.67|2.29|17.18|5.44|7.53|9.41|1.74|0.66|28.77|28.62|",2026-08-12T22:28:35.298890+08:00
