vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,恒逸石化、上海石化、东华能源的2026年与2027年一致预期净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|恒逸石化|000703|2026-08-11|2026|15022300.0|32.32|13597350.0|19.69|9.43|985325.0|2107.08|1005966.67|2126.01|785000.0|2562.54|707828.57|2640.0|1662100.0|921800.0|1.69|28.23|6.9|8.9|14.45|2.12|0.39|18.72|18.72|
|恒逸石化|000703|2026-08-11|2027|15354472.4|2.21|14208300.0|4.49|8.96|907225.0|-7.93|877900.0|-12.73|815266.67|3.86|741006.8|4.69|1277400.0|993400.0|1.69|23.07|5.43|8.45|12.12|1.94|0.37|18.72|18.72|
|恒逸石化|000703|2026-08-11|2028|16162788.4|7.59|14625550.0|7.56|9.58|1048850.0|6.45|1061466.67|5.52|831400.0|5.91|818805.0|15.68|-|1009400.0|1.91|22.55|5.35|8.77|10.48|1.62|0.35|18.72|18.72|
|东华能源|002221|2026-08-11|2026|3019900.0|9.71|2799900.0|1.55|7.0|69600.0|-431.56|69600.0|-169.9|54300.0|-159.03|40966.67|-144.5|-|-|0.34|5.2|1.2|-|32.72|1.21|-|9.05|9.05|
|东华能源|002221|2026-08-11|2027|3113600.0|3.1|2776700.0|-0.83|11.0|171800.0|146.84|171800.0|146.84|134000.0|146.78|101200.0|147.03|-|-|0.85|11.4|2.9|-|13.88|1.08|-|9.05|9.05|
|东华能源|002221|2026-08-11|2028|3270600.0|8.3|2905500.0|3.77|11.0|192700.0|176.87|192700.0|176.87|150300.0|176.8|150400.0|267.13|-|-|0.95|11.3|3.2|-|8.44|0.95|-|9.05|9.05|
|上海石化|600688|2026-08-11|2026|7565000.0|0.11|-|-|-|36600.0|-125.67|48500.0|-132.58|-|-|37000.0|-125.83|106100.0|-|0.04|1.5|0.9|-|86.35|1.3|-|3.3|3.3|
|上海石化|600688|2026-08-11|2027|7630900.0|0.87|-|-|-|71600.0|95.63|76900.0|58.56|-|-|61500.0|66.22|166100.0|-|0.06|2.4|1.6|-|53.3|1.3|-|3.3|3.3|",2026-08-12T22:28:43.540290+08:00
gildata,FinQuery,恒逸石化、上海石化、东华能源的2026年与2027年一致预期净利润,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|恒逸石化|000703|2026-08-11|2026|15022300.0|32.32|13597350.0|19.69|9.43|985325.0|2107.08|1005966.67|2126.01|785000.0|2562.54|707828.57|2640.0|1662100.0|921800.0|1.69|28.23|6.9|8.9|14.45|2.12|0.39|18.72|18.72|
|恒逸石化|000703|2026-08-11|2027|15354472.4|2.21|14208300.0|4.49|8.96|907225.0|-7.93|877900.0|-12.73|815266.67|3.86|741006.8|4.69|1277400.0|993400.0|1.69|23.07|5.43|8.45|12.12|1.94|0.37|18.72|18.72|
|恒逸石化|000703|2026-08-11|2028|16162788.4|7.59|14625550.0|7.56|9.58|1048850.0|6.45|1061466.67|5.52|831400.0|5.91|818805.0|15.68|-|1009400.0|1.91|22.55|5.35|8.77|10.48|1.62|0.35|18.72|18.72|
|东华能源|002221|2026-08-11|2026|3019900.0|9.71|2799900.0|1.55|7.0|69600.0|-431.56|69600.0|-169.9|54300.0|-159.03|40966.67|-144.5|-|-|0.34|5.2|1.2|-|32.72|1.21|-|9.05|9.05|
|东华能源|002221|2026-08-11|2027|3113600.0|3.1|2776700.0|-0.83|11.0|171800.0|146.84|171800.0|146.84|134000.0|146.78|101200.0|147.03|-|-|0.85|11.4|2.9|-|13.88|1.08|-|9.05|9.05|
|东华能源|002221|2026-08-11|2028|3270600.0|8.3|2905500.0|3.77|11.0|192700.0|176.87|192700.0|176.87|150300.0|176.8|150400.0|267.13|-|-|0.95|11.3|3.2|-|8.44|0.95|-|9.05|9.05|
