vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,海思科、荣昌生物、泽璟制药的2026年与2027年一致预期净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|海思科|002653|2026-08-12|2026|603110.2|37.45|143964.38|-65.93|75.42|108085.75|304.23|108848.25|297.87|101136.5|289.64|94686.69|264.77|134173.0|156726.0|0.87|20.25|16.01|14.69|76.43|12.65|9.89|77.17|77.04|
|海思科|002653|2026-08-12|2027|659591.1|9.36|158692.13|10.23|75.42|93733.25|-13.28|94798.25|-12.91|88548.63|-12.45|83168.0|-12.17|112268.0|90144.0|0.71|16.16|10.73|11.22|83.84|11.71|9.11|77.17|77.04|
|海思科|002653|2026-08-12|2028|797603.0|32.25|185682.33|28.98|76.1|112878.33|4.43|121563.13|11.68|107046.67|5.84|103795.69|9.62|147554.33|93115.5|0.92|18.47|11.15|12.78|63.32|11.26|7.63|77.17|77.04|
|泽璟制药|688266|2026-08-12|2026|181923.69|124.46|10781.7|-89.49|94.1|56676.8|-437.34|56627.4|-435.76|54821.0|-431.99|50781.75|-411.65|58462.5|72000.0|2.02|32.19|12.18|139.71|68.36|18.1|15.63|137.2|137.2|
|泽璟制药|688266|2026-08-12|2027|205684.0|13.06|16609.1|54.05|91.69|36510.7|-35.58|36481.3|-35.58|34817.75|-36.49|35423.86|-30.24|39513.17|46000.0|1.31|17.46|10.19|-1482.0|108.76|15.0|14.38|137.2|137.2|
|泽璟制药|688266|2026-08-12|2028|254498.92|39.89|21899.0|103.11|91.1|55627.45|-1.85|55582.55|-1.85|52681.22|-3.9|53767.0|5.88|51756.17|80000.0|1.94|20.87|15.51|300.36|60.04|11.87|10.87|137.2|137.2|
|荣昌生物|688331|2026-08-12|2026|700500.4|115.47|56392.22|-82.32|91.46|313563.22|333.93|313317.33|341.04|300729.25|323.77|320357.14|351.43|325649.75|318500.0|5.86|43.18|18.48|42.47|3.12|11.68|13.53|148.5|148.5|
|荣昌生物|688331|2026-08-12|2027|486947.6|-30.49|57213.56|1.46|87.75|77980.44|-75.13|77721.0|-75.19|75804.0|-74.79|78192.92|-75.59|79775.0|113550.0|1.68|8.97|10.44|7.99|48.12|10.68|15.81|148.5|148.5|
|荣昌生物|688331|2026-08-12|2028|564940.1|-19.35|68344.89|21.2|88.04|135885.22|-56.66|135617.0|-56.72|126073.75|-58.08|124901.25|-61.01|157523.75|122550.0|2.23|14.66|12.56|20.2|61.91|9.21|12.09|148.5|148.5|",2026-08-13T11:24:42.358026+08:00
gildata,FinQuery,海思科、荣昌生物、泽璟制药的2026年与2027年一致预期净利润,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|海思科|002653|2026-08-12|2026|603110.2|37.45|143964.38|-65.93|75.42|108085.75|304.23|108848.25|297.87|101136.5|289.64|94686.69|264.77|134173.0|156726.0|0.87|20.25|16.01|14.69|76.43|12.65|9.89|77.17|77.04|
|海思科|002653|2026-08-12|2027|659591.1|9.36|158692.13|10.23|75.42|93733.25|-13.28|94798.25|-12.91|88548.63|-12.45|83168.0|-12.17|112268.0|90144.0|0.71|16.16|10.73|11.22|83.84|11.71|9.11|77.17|77.04|
|海思科|002653|2026-08-12|2028|797603.0|32.25|185682.33|28.98|76.1|112878.33|4.43|121563.13|11.68|107046.67|5.84|103795.69|9.62|147554.33|93115.5|0.92|18.47|11.15|12.78|63.32|11.26|7.63|77.17|77.04|
|泽璟制药|688266|2026-08-12|2026|181923.69|124.46|10781.7|-89.49|94.1|56676.8|-437.34|56627.4|-435.76|54821.0|-431.99|50781.75|-411.65|58462.5|72000.0|2.02|32.19|12.18|139.71|68.36|18.1|15.63|137.2|137.2|
|泽璟制药|688266|2026-08-12|2027|205684.0|13.06|16609.1|54.05|91.69|36510.7|-35.58|36481.3|-35.58|34817.75|-36.49|35423.86|-30.24|39513.17|46000.0|1.31|17.46|10.19|-1482.0|108.76|15.0|14.38|137.2|137.2|
|泽璟制药|688266|2026-08-12|2028|254498.92|39.89|21899.0|103.11|91.1|55627.45|-1.85|55582.55|-1.85|52681.22|-3.9|53767.0|5.88|51756.17|80000.0|1.94|20.87|15.51|300.36|60.04|11.87|10.87|137.2|137.2|
|荣昌生物|688331|2026-08-12|2026|700500.4|115.47|56392.22|-82.32|91.46|313563.22|333.93|313317.33|341.04|300729.25|323.77|320357.14|351.43|325649.75|318500.0|5.86|43.18|18.48|42.47|3.12|11.68|13.53|148.5|148.5|
