vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,贝达药业、石药创新、美迪西的2026年与2027年一致预期净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|贝达药业|300558|2026-08-12|2026|419775.17|16.3|84141.5|-73.36|79.75|64516.75|54.21|65231.75|57.43|52932.0|84.94|59606.33|95.22|151610.0|71710.0|1.33|8.08|6.4|8.21|40.52|3.59|6.46|74.58|74.48|
|贝达药业|300558|2026-08-12|2027|513562.0|22.34|101235.0|20.32|80.12|88735.5|37.54|89450.5|37.13|72428.5|36.83|77891.13|30.68|185240.0|94880.0|1.82|10.3|8.1|11.69|30.97|3.28|5.47|74.58|74.48|
|贝达药业|300558|2026-08-12|2028|632484.33|50.67|120653.0|43.39|80.89|116767.8|80.99|118874.75|82.23|97986.0|85.12|101541.71|70.35|235160.0|124405.0|2.41|12.32|9.45|13.24|23.92|2.9|3.88|74.58|74.48|
|石药创新|300765|2026-08-12|2026|-|-|-|-|-|-|-|-|-|-|-|7000.0|-129.03|-|-|0.05|-|-|-|551.98|-|-|46.39|46.37|
|石药创新|300765|2026-08-12|2027|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0.18|-|-|-|144.6|-|-|46.39|46.37|
|美迪西|688202|2026-08-12|2026|152175.0|30.84|111266.67|-13.31|27.23|8366.67|-148.8|7766.67|-141.98|6900.0|-141.11|6378.75|-138.01|9190.0|-|0.44|3.47|2.6|3.7|171.85|4.63|5.9|95.84|95.84|
|美迪西|688202|2026-08-12|2027|195200.0|28.27|136800.0|22.95|30.5|19066.67|127.89|18433.33|137.34|16366.67|137.2|16660.17|161.18|16932.0|-|1.14|7.63|6.6|6.4|60.82|4.28|4.7|95.84|95.84|
|美迪西|688202|2026-08-12|2028|245000.0|61.0|162933.33|46.43|33.77|33200.0|296.81|32600.0|319.74|28833.33|317.87|29028.4|355.08|21652.0|-|1.99|11.9|11.6|7.5|35.4|3.78|3.8|95.84|95.84|",2026-08-13T11:25:23.317647+08:00
gildata,FinQuery,贝达药业、石药创新、美迪西的2026年与2027年一致预期净利润,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|贝达药业|300558|2026-08-12|2026|419775.17|16.3|84141.5|-73.36|79.75|64516.75|54.21|65231.75|57.43|52932.0|84.94|59606.33|95.22|151610.0|71710.0|1.33|8.08|6.4|8.21|40.52|3.59|6.46|74.58|74.48|
|贝达药业|300558|2026-08-12|2027|513562.0|22.34|101235.0|20.32|80.12|88735.5|37.54|89450.5|37.13|72428.5|36.83|77891.13|30.68|185240.0|94880.0|1.82|10.3|8.1|11.69|30.97|3.28|5.47|74.58|74.48|
|贝达药业|300558|2026-08-12|2028|632484.33|50.67|120653.0|43.39|80.89|116767.8|80.99|118874.75|82.23|97986.0|85.12|101541.71|70.35|235160.0|124405.0|2.41|12.32|9.45|13.24|23.92|2.9|3.88|74.58|74.48|
|石药创新|300765|2026-08-12|2026|-|-|-|-|-|-|-|-|-|-|-|7000.0|-129.03|-|-|0.05|-|-|-|551.98|-|-|46.39|46.37|
|石药创新|300765|2026-08-12|2027|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|0.18|-|-|-|144.6|-|-|46.39|46.37|
|美迪西|688202|2026-08-12|2026|152175.0|30.84|111266.67|-13.31|27.23|8366.67|-148.8|7766.67|-141.98|6900.0|-141.11|6378.75|-138.01|9190.0|-|0.44|3.47|2.6|3.7|171.85|4.63|5.9|95.84|95.84|
|美迪西|688202|2026-08-12|2027|195200.0|28.27|136800.0|22.95|30.5|19066.67|127.89|18433.33|137.34|16366.67|137.2|16660.17|161.18|16932.0|-|1.14|7.63|6.6|6.4|60.82|4.28|4.7|95.84|95.84|
|美迪西|688202|2026-08-12|2028|245000.0|61.0|162933.33|46.43|33.77|33200.0|296.81|32600.0|319.74|28833.33|317.87|29028.4|355.08|21652.0|-|1.99|11.9|11.6|7.5|35.4|3.78|3.8|95.84|95.84|",2026-08-13T11:25:23.317647+08:00
