vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,创新药指数、恒生创新药指数2026年年初至今涨跌幅,1,指数日行情,,,"|指数名称|指数代码|交易日|收盘价(点)|昨收盘(点)|今开盘(点)|最高价(点)|最低价(点)|涨跌(点)|涨跌幅(%)|成交量(万股)|成交额(亿元)|指数市值(亿元)|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|CS创新药|931152|2026-08-12|2071.42|2081.11|2072.15|2113.88|2062.53|-9.69|-0.47|113360.91|513.8|10947.95|
|创新药30|931440|2026-08-12|3143.84|3165.7|3150.14|3211.11|3137.15|-21.86|-0.69|56174.82|330.8|6672.75|
|创新药|980086|2026-08-12|2287.51|2306.1|2297.5|2331.72|2275.56|-18.59|-0.81|78431.65|298.31||
|CS创新药|931152|2026-08-11|2081.11|2071.19|2065.29|2137.15|2061.17|9.92|0.48|147637.85|701.96|10999.15|
|创新药30|931440|2026-08-11|3165.7|3145.77|3125.77|3250.86|3121.91|19.93|0.63|80445.03|478.21|6719.14|
|创新药|980086|2026-08-11|2306.1|2298.22|2302.02|2363.38|2301.16|7.88|0.34|106623.69|401.29||
|CS创新药|931152|2026-08-10|2071.19|2049.42|2076.76|2122.31|2047.15|21.77|1.06|159392.89|803.3|10946.76|
|创新药30|931440|2026-08-10|3145.77|3106.87|3159.79|3228.24|3105.06|38.9|1.25|86479.08|542.67|6676.84|
|创新药|980086|2026-08-10|2298.22|2287.97|2314.13|2357.0|2282.05|10.25|0.45|111730.8|415.16||
|CS创新药|931152|2026-08-07|2049.42|1919.67|1921.21|2049.53|1915.79|129.75|6.76|162103.97|694.28|10831.7|
|创新药30|931440|2026-08-07|3106.87|2900.53|2903.47|3106.89|2897.61|206.34|7.11|86498.39|462.67|6594.27|
|创新药|980086|2026-08-07|2287.97|2179.68|2171.43|2293.91|2171.12|108.29|4.97|122709.29|430.47||
|CS创新药|931152|2026-08-06|1919.67|1948.06|1963.78|1965.43|1914.59|-28.39|-1.46|95791.41|453.44|10145.93|
|创新药30|931440|2026-08-06|2900.53|2947.86|2978.87|2982.89|2891.57|-47.33|-1.61|52047.63|324.83|6156.34|
|创新药|980086|2026-08-06|2179.68|2182.15|2194.53|2205.82|2156.07|-2.47|-0.11|72961.4|270.1||
|CS创新药|931152|2026-08-05|1948.06|1924.22|1922.85|1961.91|1922.38|23.84|1.24|102328.36|518.0|10295.95|
|创新药30|931440|2026-08-05|2947.86|2890.15|2894.92|2962.47|2888.46|57.71|2.0|60025.03|389.59|6256.78|
|创新药|980086|2026-08-05|2182.15|2159.59|2159.12|2196.45|2157.98|22.56|1.04|71672.17|236.45||
|CS创新药|931152|2026-08-04|1924.22|1866.89|1903.46|1940.71|1903.46|57.33|3.07|100331.37|431.41|10169.98|
|创新药30|931440|2026-08-04|2890.15|2795.43|2856.28|2915.65|2856.28|94.72|3.39|50382.54|274.49|6134.3|
|创新药|980086|2026-08-04|2159.59|2135.96|2155.21|2191.82|2149.78|23.63|1.11|67509.86|220.36||
|CS创新药|931152|2026-08-03|1866.89|1898.59|1895.78|1916.42|1862.92|-31.7|-1.67|75306.93|328.82|9866.98|
|创新药30|931440|2026-08-03|2795.43|2867.65|2861.01|2891.19|2786.82|-72.22|-2.52|44184.0|234.0|5933.25|
|创新药|980086|2026-08-03|2135.96|2174.73|2172.6|2178.01|2125.32|-38.77|-1.78|60378.8|203.75||
|CS创新药|931152|2026-07-31|1898.59|1880.0|1865.79|1919.13|1865.12|18.59|0.99|87741.05|355.64|10034.51|
|创新药30|931440|2026-07-31|2867.65|2836.22|2818.03|2898.23|2816.47|31.43|1.11|46174.86|232.63|6086.53|
|创新药|980086|2026-07-31|2174.73|2179.1|2182.16|2200.34|2169.66|-4.37|-0.2|67780.51|220.41||
|CS创新药|931152|2026-07-30|1880.0|1912.54|1908.17|1920.15|1855.31|-32.54|-1.7|93698.11|381.22|9936.23|
