vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,天赐材料的2026年与2027年一致预期净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|天赐材料|002709|2026-08-12|2026|3202954.55|92.37|2081472.73|38.79|35.08|793418.18|395.86|786540.0|411.21|660580.0|391.44|704570.0|417.34|822114.5|788450.0|3.33|29.66|20.05|28.79|15.03|4.77|3.24|68.83|68.83|
|天赐材料|002709|2026-08-12|2027|3895241.67|21.61|2549833.33|22.5|34.62|959200.0|20.89|953154.55|21.18|785227.27|18.87|821395.0|16.58|1035023.6|948900.0|3.94|28.22|19.71|27.92|13.15|3.89|2.66|68.83|68.83|
|天赐材料|002709|2026-08-12|2028|4647000.0|45.08|3072513.33|47.61|33.97|1127626.67|42.12|1119178.57|42.29|914978.57|38.51|930794.74|32.11|1218811.71|1166066.67|4.57|26.96|19.04|28.34|11.19|3.13|2.15|68.83|68.83|",2026-08-13T12:13:25.250326+08:00
gildata,FinQuery,天赐材料的2026年与2027年一致预期净利润,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|天赐材料|002709|2026-08-12|2026|3202954.55|92.37|2081472.73|38.79|35.08|793418.18|395.86|786540.0|411.21|660580.0|391.44|704570.0|417.34|822114.5|788450.0|3.33|29.66|20.05|28.79|15.03|4.77|3.24|68.83|68.83|
|天赐材料|002709|2026-08-12|2027|3895241.67|21.61|2549833.33|22.5|34.62|959200.0|20.89|953154.55|21.18|785227.27|18.87|821395.0|16.58|1035023.6|948900.0|3.94|28.22|19.71|27.92|13.15|3.89|2.66|68.83|68.83|
|天赐材料|002709|2026-08-12|2028|4647000.0|45.08|3072513.33|47.61|33.97|1127626.67|42.12|1119178.57|42.29|914978.57|38.51|930794.74|32.11|1218811.71|1166066.67|4.57|26.96|19.04|28.34|11.19|3.13|2.15|68.83|68.83|",2026-08-13T12:13:25.250326+08:00
