vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,五粮液、新乳业、有友食品 2026年和2027年券商一致预测净利润及同比增速,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|五粮液|000858|2026-08-14|2026|5363487.88|32.34|1105736.36|-61.41|77.34|2254318.18|84.01|2250209.09|84.46|1708790.0|83.4|1724639.22|92.61|1996200.0|1989300.0|5.03|13.77|8.7|-4.18|18.85|2.93|6.89|132.79|130.21|
|五粮液|000858|2026-08-14|2027|5812398.13|8.37|1188818.18|7.51|77.74|2518590.91|11.72|2513390.91|11.7|1903470.0|11.39|1905776.56|10.5|2248966.67|2261800.0|5.39|14.52|9.75|-0.39|17.34|2.84|6.24|132.79|130.21|
|五粮液|000858|2026-08-14|2028|5844645.5|8.97|1267754.55|14.65|78.27|2761554.55|22.5|2756363.64|22.49|2091570.0|22.4|2048544.0|18.78|2439600.0|2444500.0|5.13|15.11|10.0|-25.5|17.73|2.72|5.7|132.79|130.21|
|新乳业|002946|2026-08-14|2026|1199951.27|6.82|840243.53|-18.5|29.84|104242.29|22.27|103530.53|21.78|90433.38|19.86|88523.54|21.07|157300.86|115555.0|1.03|20.61|9.67|17.81|17.53|3.76|1.38|23.65|23.42|
|新乳业|002946|2026-08-14|2027|1278734.68|6.57|887992.35|5.68|30.3|120202.65|15.31|119667.35|15.59|104381.44|15.42|103254.36|16.64|173922.0|129204.0|1.19|21.21|11.02|18.53|15.11|3.33|1.3|23.65|23.42|
|新乳业|002946|2026-08-14|2028|1362276.48|13.53|941157.68|12.01|30.54|136775.79|31.21|135880.0|31.25|119208.24|31.82|117762.5|33.03|192474.71|144896.0|1.36|21.06|12.08|19.39|13.42|2.89|1.22|23.65|23.42|
|有友食品|603697|2026-08-14|2026|192566.73|21.19|143178.17|2.35|26.28|29327.5|30.78|29510.83|31.22|24698.17|33.1|24099.15|29.87|33135.25|31500.0|0.57|12.92|9.84|17.84|18.48|2.43|2.32|14.02|13.96|
|有友食品|603697|2026-08-14|2027|221841.45|15.2|165140.67|15.34|26.22|35170.33|19.92|35420.33|20.02|29738.67|20.41|29133.23|20.89|39022.5|36500.0|0.69|14.53|11.35|21.34|15.64|2.24|1.99|14.02|13.96|
|有友食品|603697|2026-08-14|2028|248386.64|28.99|184169.5|28.63|26.01|39070.63|33.22|39366.43|33.4|32961.88|33.46|32563.18|35.12|43960.25|39300.0|0.77|15.7|12.47|21.05|14.07|2.19|1.76|14.02|13.96|",2026-08-15T21:38:17.727014+08:00
gildata,FinQuery,五粮液、新乳业、有友食品 2026年和2027年券商一致预测净利润及同比增速,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
