vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,洽洽食品、金种子酒、贝泰妮 2026年和2027年券商一致预测净利润及同比增速,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|洽洽食品|002557|2026-08-14|2026|738745.5|12.38|542496.06|-13.97|26.64|75752.25|128.78|82400.88|109.94|66458.54|107.95|66297.91|108.19|94989.29|69600.0|1.32|11.9|6.48|12.54|16.64|2.04|1.49|27.03|26.47|
|洽洽食品|002557|2026-08-14|2027|805506.17|9.04|585863.56|7.99|27.31|90795.44|19.86|97251.13|18.02|78570.46|18.22|77848.77|17.42|110750.57|93100.0|1.54|13.72|7.37|17.74|14.23|1.99|1.39|27.03|26.47|
|洽洽食品|002557|2026-08-14|2028|867006.32|17.36|625706.61|15.34|27.88|103219.61|36.26|110059.24|33.57|89087.8|34.05|87923.9|32.62|125589.75|104750.0|1.75|15.18|6.92|17.44|12.81|1.94|1.28|27.03|26.47|
|贝泰妮|300957|2026-08-14|2026|599694.83|11.91|154316.5|-68.27|74.18|78503.38|24.82|77777.25|26.15|65213.0|26.18|65072.6|28.67|85992.0|55700.0|1.56|9.62|7.33|11.82|24.79|2.62|2.7|50.21|49.93|
|贝泰妮|300957|2026-08-14|2027|663627.5|10.66|169891.88|10.09|74.21|91088.13|16.03|90133.63|15.89|75487.14|15.75|75808.33|16.5|96855.33|64800.0|1.82|10.39|8.07|12.94|21.31|2.45|2.4|50.21|49.93|
|贝泰妮|300957|2026-08-14|2028|722781.0|20.52|185383.36|20.13|74.22|102669.0|30.78|100829.3|29.64|85641.8|31.33|85612.4|31.56|114888.0|92130.67|2.04|11.03|8.87|13.94|19.1|2.25|2.29|50.21|49.93|
|金种子酒|600199|2026-08-14|2026|68700.0|-4.85|38300.0|-58.25|44.2|-12400.0|-35.78|-12000.0|-38.12|-12200.0|-38.54|-12200.0|-38.56|-|-|-0.19|-6.4|-|-5.3|-43.0|2.7|-|8.4|8.4|
|金种子酒|600199|2026-08-14|2027|86700.0|26.2|36900.0|-3.66|57.4|7800.0|-162.9|8300.0|-169.17|7800.0|-163.93|7800.0|-163.93|-|-|0.12|3.9|-|3.4|66.0|2.6|-|8.4|8.4|
|金种子酒|600199|2026-08-14|2028|106800.0|55.46|38700.0|1.04|63.7|16500.0|-233.06|16900.0|-240.83|15500.0|-227.05|15500.0|-227.05|-|-|0.24|7.2|-|6.7|34.0|2.4|-|8.4|8.4|",2026-08-15T21:39:18.240915+08:00
gildata,FinQuery,洽洽食品、金种子酒、贝泰妮 2026年和2027年券商一致预测净利润及同比增速,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|洽洽食品|002557|2026-08-14|2026|738745.5|12.38|542496.06|-13.97|26.64|75752.25|128.78|82400.88|109.94|66458.54|107.95|66297.91|108.19|94989.29|69600.0|1.32|11.9|6.48|12.54|16.64|2.04|1.49|27.03|26.47|
|洽洽食品|002557|2026-08-14|2027|805506.17|9.04|585863.56|7.99|27.31|90795.44|19.86|97251.13|18.02|78570.46|18.22|77848.77|17.42|110750.57|93100.0|1.54|13.72|7.37|17.74|14.23|1.99|1.39|27.03|26.47|
