vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,中国中免、永辉超市、孩子王 2026年和2027年券商一致预测净利润及同比增速,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|孩子王|301078|2026-08-14|2026|1164200.0|13.32|807890.0|-18.86|30.69|62300.0|45.13|61610.0|46.96|51350.0|44.15|43728.57|46.91|126483.33|70900.0|0.34|9.77|3.87|15.84|23.46|2.3|0.93|10.8|10.76|
|孩子王|301078|2026-08-14|2027|1286981.82|10.55|889040.0|10.04|31.23|77300.0|24.08|76500.0|24.17|63770.0|24.19|54578.57|24.81|141750.0|83700.0|0.42|11.16|4.45|17.29|18.85|2.13|0.83|10.8|10.76|
|孩子王|301078|2026-08-14|2028|1421120.0|22.07|971460.0|20.25|31.64|93900.0|50.72|93030.0|51.0|77510.0|50.94|65191.67|49.08|153266.67|93100.0|0.51|12.27|4.98|17.88|16.1|1.95|0.75|10.8|10.76|
|中国中免|601888|2026-08-14|2026|5904013.21|9.96|3925778.95|-17.48|33.5|711384.21|34.12|710815.79|33.93|544489.47|47.58|515884.0|43.85|803927.27|727000.0|2.48|8.58|6.93|8.52|25.65|2.3|2.36|88.77|88.5|
|中国中免|601888|2026-08-14|2027|6618561.85|12.1|4379687.5|11.56|33.83|837620.35|17.75|836940.35|17.74|633926.32|16.43|603574.92|17.0|938345.45|835100.0|2.92|9.44|7.81|9.4|21.91|2.11|2.05|88.77|88.5|
|中国中免|601888|2026-08-14|2028|7241689.91|22.66|4754562.59|21.11|34.36|965332.32|35.7|964191.0|35.65|723975.0|32.96|690150.09|33.78|1053363.64|940225.0|3.37|10.2|8.34|10.52|19.2|1.99|1.85|88.77|88.5|
|永辉超市|601933|2026-08-14|2026|5073644.44|-5.18|4055925.0|-28.68|21.02|38350.0|-120.14|24722.63|-109.01|20907.13|-107.86|20346.42|-107.97|190700.0|24200.0|0.01|6.11|0.9|3.28|116.46|17.82|-|5.11|5.11|
|永辉超市|601933|2026-08-14|2027|5723544.44|12.81|4595575.0|13.31|21.38|80775.0|110.63|72362.5|192.7|63887.5|205.58|61650.75|203.01|234320.0|99200.0|0.07|23.55|1.7|6.67|60.72|13.7|-|5.11|5.11|
|永辉超市|601933|2026-08-14|2028|6401922.22|26.18|5038922.22|24.24|21.3|132033.33|244.29|122375.0|394.99|108255.56|417.79|98549.42|384.36|291580.0|161400.0|0.11|27.91|2.65|9.89|35.52|9.6|0.52|5.11|5.11|",2026-08-15T21:44:31.780181+08:00
