vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,岭南控股、圣农发展、石头科技 2026年和2027年券商一致预测净利润及同比增速,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|岭南控股|000524|2026-08-14|2026|494100.0|9.7|404725.0|-8.0|18.1|14675.0|34.14|14950.0|31.38|10650.0|42.38|9500.0|35.6|24550.0|12100.0|0.17|4.02|2.44|5.55|66.1|2.93|1.55|11.56|11.56|
|岭南控股|000524|2026-08-14|2027|542250.0|9.74|443775.0|9.65|18.14|17900.0|21.98|18175.0|21.57|12850.0|20.66|11525.0|21.32|28250.0|14100.0|0.17|4.7|2.88|6.54|60.99|2.84|1.45|11.56|11.56|
|岭南控股|000524|2026-08-14|2028|586375.0|18.68|479975.0|18.59|18.14|21400.0|45.83|21625.0|44.65|15350.0|44.13|13725.0|44.47|32600.0|17800.0|0.2|5.35|3.35|7.8|51.1|2.71|1.38|11.56|11.56|
|圣农发展|002299|2026-08-14|2026|2194828.57|9.23|1886583.33|-1.16|13.95|146000.0|-2.81|141150.0|-1.81|132866.67|-4.22|128490.91|-6.89|310132.67|173681.0|1.02|10.89|6.23|8.54|17.13|1.86|1.1|21.42|21.3|
|圣农发展|002299|2026-08-14|2027|2390597.78|8.92|2019236.63|7.03|15.39|197642.75|35.37|193142.75|36.84|184757.14|39.05|174043.17|35.45|374035.33|227164.0|1.35|13.6|7.47|10.76|13.13|1.72|1.01|21.42|21.3|
|圣农发展|002299|2026-08-14|2028|2625075.38|19.6|2219316.25|17.64|15.45|221359.58|51.62|217201.36|53.88|204009.09|53.54|204486.92|59.15|403030.5|231325.5|1.6|14.23|7.9|11.26|11.7|1.59|0.96|21.42|21.3|
|石头科技|688169|2026-08-14|2026|2290046.67|22.5|1289760.43|-26.07|43.75|203042.29|40.28|203060.21|40.34|188150.0|38.01|191742.6|40.64|222708.38|197566.67|7.64|12.15|8.87|23.13|15.71|1.99|1.24|167.72|167.72|
|石头科技|688169|2026-08-14|2027|2761822.35|20.6|1547404.13|19.98|44.0|271640.13|33.79|271704.44|33.8|253155.0|34.55|253648.9|32.29|290276.89|259866.67|9.82|14.33|10.17|22.87|12.25|1.77|1.04|167.72|167.72|
|石头科技|688169|2026-08-14|2028|3262811.07|42.48|1812208.67|40.51|44.45|330768.6|62.91|331115.07|63.06|307174.79|63.26|306936.06|60.08|354435.38|331400.0|11.85|15.05|10.96|25.76|9.84|1.58|0.87|167.72|167.72|",2026-08-15T21:39:00.956239+08:00
gildata,FinQuery,岭南控股、圣农发展、石头科技 2026年和2027年券商一致预测净利润及同比增速,2,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|岭南控股|000524|2026-08-14|2026|494100.0|9.7|404725.0|-8.0|18.1|14675.0|34.14|14950.0|31.38|10650.0|42.38|9500.0|35.6|24550.0|12100.0|0.17|4.02|2.44|5.55|66.1|2.93|1.55|11.56|11.56|
|岭南控股|000524|2026-08-14|2027|542250.0|9.74|443775.0|9.65|18.14|17900.0|21.98|18175.0|21.57|12850.0|20.66|11525.0|21.32|28250.0|14100.0|0.17|4.7|2.88|6.54|60.99|2.84|1.45|11.56|11.56|
|岭南控股|000524|2026-08-14|2028|586375.0|18.68|479975.0|18.59|18.14|21400.0|45.83|21625.0|44.65|15350.0|44.13|13725.0|44.47|32600.0|17800.0|0.2|5.35|3.35|7.8|51.1|2.71|1.38|11.56|11.56|
|圣农发展|002299|2026-08-14|2026|2194828.57|9.23|1886583.33|-1.16|13.95|146000.0|-2.81|141150.0|-1.81|132866.67|-4.22|128490.91|-6.89|310132.67|173681.0|1.02|10.89|6.23|8.54|17.13|1.86|1.1|21.42|21.3|
|圣农发展|002299|2026-08-14|2027|2390597.78|8.92|2019236.63|7.03|15.39|197642.75|35.37|193142.75|36.84|184757.14|39.05|174043.17|35.45|374035.33|227164.0|1.35|13.6|7.47|10.76|13.13|1.72|1.01|21.42|21.3|
|圣农发展|002299|2026-08-14|2028|2625075.38|19.6|2219316.25|17.64|15.45|221359.58|51.62|217201.36|53.88|204009.09|53.54|204486.92|59.15|403030.5|231325.5|1.6|14.23|7.9|11.26|11.7|1.59|0.96|21.42|21.3|
|石头科技|688169|2026-08-14|2026|2290046.67|22.5|1289760.43|-26.07|43.75|203042.29|40.28|203060.21|40.34|188150.0|38.01|191742.6|40.64|222708.38|197566.67|7.64|12.15|8.87|23.13|15.71|1.99|1.24|167.72|167.72|
|石头科技|688169|2026-08-14|2027|2761822.35|20.6|1547404.13|19.98|44.0|271640.13|33.79|271704.44|33.8|253155.0|34.55|253648.9|32.29|290276.89|259866.67|9.82|14.33|10.17|22.87|12.25|1.77|1.04|167.72|167.72|
|石头科技|688169|2026-08-14|2028|3262811.07|42.48|1812208.67|40.51|44.45|330768.6|62.91|331115.07|63.06|307174.79|63.26|306936.06|60.08|354435.38|331400.0|11.85|15.05|10.96|25.76|9.84|1.58|0.87|167.72|167.72|",2026-08-15T21:39:00.956239+08:00
