vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,五粮液、新乳业、有友食品 近五年PE区间和历史分位数,1,股票价值分析,,,"|股票名称|股票代码|交易日|总市值（亿元）|流通市值（亿元）|市盈率PE(LYR)|市盈率PE(TTM)|市净率PB(MRQ)|市净率PB(LF)|市现率PCF(LYR)|市现率PCF(TTM)|市销率PS(LYR)|市销率PS(TTM)|股息率|滚动股息率|PEG|企业价值(含货币资金)EV1(亿元)|企业价值(剔除货币资金)EV2(亿元)|企业价值倍数EV2/EBITDA|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|五粮液|000858.SZ|2026-08-14|2862.69|2862.62|31.97|22.72|2.24|2.43|9.64|25.28|7.06|6.19|11.29|6.99|-95.71|2866.08|1623.49|15.02|
|新乳业|002946.SZ|2026-08-14|136.07|134.5|18.61|17.35|3.56|3.89|9.01|8.32|1.21|1.19|1.8|2.85|62.62|158.97|155.69|11.13|
|有友食品|603697.SH|2026-08-14|41.19|41.19|22.2|20.49|2.24|2.35|10.27|10.18|2.59|2.37|4.57|4.36|-296.19|41.2|39.68|15.4|
|五粮液|000858.SZ|2026-08-13|2915.86|2915.79|32.56|23.14|2.28|2.48|9.82|25.75|7.19|6.3|11.08|6.86|-97.48|2919.25|1676.66|15.51|
|新乳业|002946.SZ|2026-08-13|141.93|140.28|19.41|18.1|3.71|4.06|9.4|8.68|1.26|1.24|1.73|2.73|65.31|164.82|161.55|11.54|
|有友食品|603697.SH|2026-08-13|43.03|43.03|23.19|21.4|2.34|2.45|10.73|10.64|2.71|2.47|4.37|4.17|-309.41|43.04|41.51|16.11|
|五粮液|000858.SZ|2026-08-12|2922.07|2922|32.63|23.19|2.28|2.48|9.84|25.81|7.21|6.31|11.06|6.85|-97.69|2925.46|1682.87|15.57|
|新乳业|002946.SZ|2026-08-12|145.03|143.35|19.84|18.49|3.79|4.15|9.6|8.87|1.29|1.27|1.69|2.67|66.73|167.92|164.65|11.77|
|有友食品|603697.SH|2026-08-12|43.11|43.11|23.23|21.45|2.35|2.45|10.75|10.66|2.71|2.48|4.37|4.17|-310.03|43.12|41.6|16.15|
|五粮液|000858.SZ|2026-08-11|2911.21|2911.14|32.51|23.1|2.27|2.47|9.8|25.71|7.18|6.29|11.1|6.87|-97.33|2914.6|1672.01|15.47|
|新乳业|002946.SZ|2026-08-11|145.89|144.2|19.95|18.6|3.82|4.17|9.66|8.92|1.3|1.27|1.68|2.65|67.13|168.78|165.51|11.83|
|有友食品|603697.SH|2026-08-11|42.85|42.85|23.1|21.32|2.33|2.44|10.69|10.6|2.7|2.46|4.39|4.19|-308.18|42.87|41.34|16.05|
|五粮液|000858.SZ|2026-08-10|2957.4|2957.33|33.03|23.47|2.31|2.51|9.96|26.12|7.3|6.39|10.92|6.77|-98.87|2960.79|1718.2|15.9|
|新乳业|002946.SZ|2026-08-10|146.06|144.37|19.98|18.62|3.82|4.18|9.67|8.93|1.3|1.28|1.68|2.65|67.21|168.95|165.68|11.84|
|有友食品|603697.SH|2026-08-10|43.28|43.28|23.33|21.53|2.36|2.46|10.79|10.7|2.72|2.49|4.35|4.15|-311.26|43.29|41.77|16.21|
|五粮液|000858.SZ|2026-08-07|2915.48|2915.4|32.56|23.14|2.28|2.48|9.81|25.75|7.19|6.3|11.08|6.86|-97.47|2918.86|1676.27|15.51|
