vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,天味食品2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|天味食品|603317|2026-08-15|2026|404392.71|17.26|240036.87|-13.53|40.86|89908.13|22.23|89884.07|22.35|74421.64|23.47|70721.13|24.14|104411.5|78900.0|0.67|15.34|11.99|24.27|22.2|3.42|3.82|17.85|17.44|
|天味食品|603317|2026-08-15|2027|452015.25|11.78|268113.47|11.7|41.06|102575.6|14.09|102568.73|14.11|84651.93|13.75|81279.09|14.93|116601.25|93500.0|0.76|17.13|13.09|27.56|19.46|3.37|3.41|17.85|17.44|
|天味食品|603317|2026-08-15|2028|495060.73|22.42|290638.47|21.08|41.36|113041.68|25.73|112547.61|25.21|93467.41|25.59|89050.04|25.92|122328.0|101400.0|0.84|18.41|13.97|29.97|17.43|3.24|3.06|17.85|17.44|",2026-08-16T09:31:59.728415+08:00
gildata,FinQuery,拉芳家化2026年券商一致预期归母净利润，单位亿元,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|拉芳家化|603630|2026-08-15|2026|-|-|-|-|-|-|-|-|-|-|-|10000.0|-420.98|-|-|-|-|-|-|33.0|-|-|24.65|24.56|
|拉芳家化|603630|2026-08-15|2027|-|-|-|-|-|-|-|-|-|-|-|13300.0|33.0|-|-|-|-|-|-|25.0|-|-|24.65|24.56|",2026-08-16T09:32:05.983523+08:00
gildata,FinQuery,莲花控股2026年一致预测归属母公司净利润,1,一致预期,,,"|股票名称|股票代码|截止日期|预测年度|营业收入（万元）|营业收入同比（%）|营业成本（万元）|营业成本同比（%）|毛利率（%）|营业利润（万元）|营业利润同比（%）|利润总额（万元）|利润总额同比（%）|净利润（万元）|净利润同比（%）|归属母公司净利润（万元）|归属母公司净利润同比（%）|息税及折旧摊销前利润（万元）|息税前利润（万元）|每股收益EPS（元/股）|净资产收益率ROE（%）|总资产收益率ROA（%）|投资回报率ROIC（%）|市盈率PE|市净率PB|市销率PS|目标价（元）|目标价_除权（元）|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|莲花控股|600186|2026-08-15|2026|436983.33|26.58|311660.0|3.87|28.58|59260.0|49.82|59040.0|49.65|45525.0|42.22|45183.33|46.17|64050.0|55700.0|0.25|18.85|11.4|44.02|40.4|7.32|3.65|10.8|10.8|
|莲花控股|600186|2026-08-15|2027|543000.0|24.26|380180.0|21.99|29.78|82440.0|39.12|82320.0|39.43|63450.0|39.37|61383.33|35.85|88350.0|78700.0|0.35|21.08|12.55|219.71|28.9|5.92|2.9|10.8|10.8|
|莲花控股|600186|2026-08-15|2028|663400.0|51.81|456440.0|46.45|30.81|110460.0|86.4|110320.0|86.86|85275.0|87.31|83866.67|85.61|119600.0|112300.0|0.46|22.12|13.3|-112.72|20.73|4.63|2.35|10.8|10.8|",2026-08-16T09:33:29.906840+08:00
