vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,南方航空 600029.SH 最新总股本是多少股？其中A股股本和H股股本分别是多少股？,1,股本结构,,,"|股票名称|股票代码|截止日期|总股本(仅普通股)(万股)|流通股本(万股)|限售股本(万股)|非流通股本(万股)|总股本(含优先股)(万股)|优先股(万股)|A股合计(万股)|流通A股(万股)|有限售条件流通A股(万股)|国家持股(万股)|国有法人持股(万股)|其他内资持股合计(万股)|其中：境内法人持股(万股)|其中：高管持股(万股)|其中：其他境内自然人持股(万股)|外资持股合计(万股)|其中：境外法人持股(万股)|其中：境外自然人持股(万股)|无限售条件流通A股(万股)|未流通A股(万股)|B股合计(万股)|流通B股(万股)|有限售条件流通B股(万股)|无限售条件流通B股(万股)|未流通B股(万股)|H股合计(万股)|有限售条件流通H股(万股)|无限售条件流通H股(万股)|海外上市股合计(万股)|S股合计(万股)|N股合计(万股)|三板A股(万股)|三板B股(万股)|股本变动原因说明|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|南方航空|600029.SH|2026-07-31|1812096.98|1812096.98|||1812096.98||1347697.25|1347697.25|||||||||||1347697.25|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,924.3562万股(本次转股0.0324万股)|
|南方航空|600029.SH|2026-06-30|1812096.95|1812096.95|||1812096.95||1347697.22|1347697.22|||||||||||1347697.22|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,924.3238万股(本次转股0.0648万股)|
|南方航空|600029.SH|2026-05-31|1812096.89|1812096.89|||1812096.89||1347697.16|1347697.16|||||||||||1347697.16|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,924.259万股(本次转股0.0972万股)|
|南方航空|600029.SH|2026-04-30|1812096.79|1812096.79|||1812096.79||1347697.06|1347697.06|||||||||||1347697.06|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,924.1618万股(本次转股0.1782万股)|
|南方航空|600029.SH|2026-03-31|1812096.61|1812096.61|||1812096.61||1347696.88|1347696.88|||||||||||1347696.88|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,923.9836万股(本次转股4.1815万股)|
|南方航空|600029.SH|2026-02-28|1812092.43|1812092.43|||1812092.43||1347692.7|1347692.7|||||||||||1347692.7|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.8021万股(本次转股0.1782万股)|
|南方航空|600029.SH|2026-01-31|1812092.25|1812092.25|||1812092.25||1347692.52|1347692.52|||||||||||1347692.52|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.6239万股(本次转股0.0486万股)|
|南方航空|600029.SH|2025-12-31|1812092.2|1812092.2|||1812092.2||1347692.47|1347692.47|||||||||||1347692.47|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.5753万股(本次转股0.0324万股)|
|南方航空|600029.SH|2025-11-30|1812092.17|1812092.17|||1812092.17||1347692.44|1347692.44|||||||||||1347692.44|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.5429万股(本次转股0.1134万股)|
|南方航空|600029.SH|2025-11-24|1812092.06|1812092.06|||1812092.06||1347692.33|1347692.33|||||||||||1347692.33|||||||464399.73||464399.73||||-|-|80357.1428万股增发A股原股东配售股份上市|
|南方航空|600029.SH|2025-10-31|1812092.06|1812092.06|80357.14||1812092.06||1347692.33|1347692.33|80357.14||80357.14||||||||1267335.18|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.4295万股(本次转股0.2268万股)|
|南方航空|600029.SH|2025-09-30|1812091.83|1812091.83|80357.14||1812091.83||1347692.1|1347692.1|80357.14||80357.14||||||||1267334.96|||||||464399.73||464399.73||||-|-||
|南方航空|600029.SH|2025-08-31|1812091.83|1812091.83|80357.14||1812091.83||1347692.1|1347692.1|80357.14||80357.14||||||||1267334.96|||||||464399.73||464399.73||||-|-|南航转债(110075)累计转股161,919.2027万股(本次转股0.0648万股)|
