vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,紫金矿业 601899.SH 最新总股本是多少股？其中A股股本和H股股本分别是多少股？,1,股本结构,,,"|股票名称|股票代码|截止日期|总股本(仅普通股)(万股)|流通股本(万股)|限售股本(万股)|非流通股本(万股)|总股本(含优先股)(万股)|优先股(万股)|A股合计(万股)|流通A股(万股)|有限售条件流通A股(万股)|国家持股(万股)|国有法人持股(万股)|其他内资持股合计(万股)|其中：境内法人持股(万股)|其中：高管持股(万股)|其中：其他境内自然人持股(万股)|外资持股合计(万股)|其中：境外法人持股(万股)|其中：境外自然人持股(万股)|无限售条件流通A股(万股)|未流通A股(万股)|B股合计(万股)|流通B股(万股)|有限售条件流通B股(万股)|无限售条件流通B股(万股)|未流通B股(万股)|H股合计(万股)|有限售条件流通H股(万股)|无限售条件流通H股(万股)|海外上市股合计(万股)|S股合计(万股)|N股合计(万股)|三板A股(万股)|三板B股(万股)|股本变动原因说明|
|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|----------|
|紫金矿业|601899.SH|2026-04-03|2659071.46|2659071.46|||2659071.46||2060179.31|2060179.31|0||||||||||2060179.31|||||||598892.15||598892.15||||-|-||
|紫金矿业|601899.SH|2026-03-31|2659071.46|2659071.46|||2659071.46||2060179.31|2060179.31|0||||||||||2060179.31|||||||598892.15||598892.15||||-|-|转股H股8.1482万股|
|紫金矿业|601899.SH|2026-03-27|2659063.31|2659063.31|||2659063.31||2060179.31|2060179.31|0||||||||||2060179.31|||||||598884||598884||||-|-|本次股票期权行权90万份|
|紫金矿业|601899.SH|2026-02-28|2658973.31|2658973.31|||2658973.31||2060089.31|2060089.31|0||||||||||2060089.31|||||||598884||598884||||-|-||
|紫金矿业|601899.SH|2026-01-30|2658973.31|2658973.31|||2658973.31||2060089.31|2060089.31|0||||||||||2060089.31|||||||598884||598884||||-|-||
|紫金矿业|601899.SH|2025-12-31|2658973.31|2658973.31|||2658973.31||2060089.31|2060089.31|0||||||||||2060089.31|||||||598884||598884||||-|-||
|紫金矿业|601899.SH|2025-12-18|2658973.31|2658973.31|||2658973.31||2060089.31|2060089.31|0||||||||||2060089.31|||||||598884||598884||||-|-|本次回购注销限制性股票1.02万股|
|紫金矿业|601899.SH|2025-12-16|2658974.33|2658974.33|1.02||2658974.33||2060090.33|2060090.33|1.02|||1.02|||1.02||||2060089.31|||||||598884||598884||||-|-|本次股票期权行权255万份|
|紫金矿业|601899.SH|2025-12-12|2658719.33|2658719.33|1.02||2658719.33||2059835.33|2059835.33|1.02|||1.02|||1.02||||2059834.31|||||||598884||598884||||-|-|本次股票期权行权400万份|
|紫金矿业|601899.SH|2025-12-11|2658319.33|2658319.33|1.02||2658319.33||2059435.33|2059435.33|1.02|||1.02|||1.02||||2059434.31|||||||598884||598884||||-|-|本次股票期权行权340万份|
|紫金矿业|601899.SH|2025-12-10|2657979.33|2657979.33|1.02||2657979.33||2059095.33|2059095.33|1.02|||1.02|||1.02||||2059094.31|||||||598884||598884||||-|-|本次股票期权行权225万份|
|紫金矿业|601899.SH|2025-12-08|2657754.33|2657754.33|1.02||2657754.33||2058870.33|2058870.33|1.02|||1.02|||1.02||||2058869.31|||||||598884||598884||||-|-|本次股权激励有限售条件股份解除限售上市75.48万股|
|紫金矿业|601899.SH|2025-11-04|2657754.33|2657754.33|76.5||2657754.33||2058870.33|2058870.33|76.5|||76.5|||76.5||||2058793.83|||||||598884||598884||||-|-|本次回购注销限制性股票3.06万股|
|紫金矿业|601899.SH|2025-06-30|2657757.39|2657757.39|79.56||2657757.39||2058873.39|2058873.39|79.56|||79.56|||79.56||||2058793.83|||||||598884||598884||||-|-||
|紫金矿业|601899.SH|2025-02-05|2657757.39|2657757.39|79.56||2657757.39||2058873.39|2058873.39|79.56|||79.56|||79.56||||2058793.83|||||||598884||598884||||-|-|本次股权激励有限售条件股份解除限售上市3090.2804万股|
|紫金矿业|601899.SH|2025-01-16|2657757.39|2657757.39|3169.84||2657757.39||2058873.39|2058873.39|3169.84|||3169.84|||3169.84||||2055703.55|||||||598884||598884||||-|-|本次回购注销限制性股票31.5万股|
