vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,1,资讯舆情库,石头科技（688169）披露以集中竞价交易方式首次回购公司股份公告，8月14日股价上涨0.83%,0.61,"报告标题：石头科技（688169）披露以集中竞价交易方式首次回购公司股份公告，8月14日股价上涨0.83%；
撰写时间：2026-08-14 22:19:09；
新闻舆情来源：证券之星（头条号）
原文：截至2026年8月14日收盘，石头科技（688169）报收于106.63元，较前一交易日上涨0.83%，最新总市值为276.76亿元。该股当日开盘106.5元，最高108.74元，最低105.55元，成交额达4.37亿元，换手率为1.57%。近日，北京石头世纪科技股份有限公司发布《关于以集中竞价交易方式首次回购公司股份的公告》。公告显示，公司于2026年8月14日通过集中竞价交易方式首次回购股份30,501股，占公司总股本的0.0118%，成交价格区间为106.40元/股至108.64元/股，已支付总金额326.8320万元（不含交易费用）。本次回购股份用于员工持股计划或股权激励，回购期限为2026年8月12日至2027年8月11日，预计回购金额为1,500万元至3,000万元，回购价格不超过154.95元/股。最新公告列表《北京石头世纪科技股份有限公司关于以集中竞价交易方式首次回购公司股份的公告》以上内容为证券之星据公开信息整理，由AI算法生成（网信算备310104345710301240019号），仅供参考不构成投资建议。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,2,资讯舆情库,石头科技：公司首次回购股份30501股,0.72,"报告标题：石头科技：公司首次回购股份30501股；
撰写时间：2026-08-14 19:56:00；
新闻舆情来源：证券日报网
原文：证券日报网讯 8月14日，石头科技发布公告称，2026年8月14日，公司通过集中竞价交易方式首次回购股份30，501股，已回购股份占公司总股本的比例为0.0118%，成交的最高价为108.64元/股，最低价为106.40元/股，已支付的总金额为人民币3，268，320.36元(不含印花税、交易佣金等交易费用)。本次回购股份符合法律法规的规定及公司回购股份方案。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,3,资讯舆情库,石头科技：首次回购3.0501万股,0.61,"报告标题：石头科技：首次回购3.0501万股；
撰写时间：2026-08-14 17:17:10；
新闻舆情来源：21快讯
原文：南财智讯8月14日电，石头科技公告，2026年8月14日，公司通过集中竞价交易方式首次回购股份30,501股，占公司总股本的0.0118%，成交价格区间为106.40元/股至108.64元/股，已支付总金额326.8320万元。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,4,资讯舆情库,石头科技:关于以集中竞价交易方式回购公司股份的回购报告书,0.56,"报告标题：石头科技:关于以集中竞价交易方式回购公司股份的回购报告书；
撰写时间：2026-08-14 01:20:00；
新闻舆情来源：ZAKER（手机版）
原文：中访网数据 石头科技（688169）发布回购报告书，拟以集中竞价交易方式回购公司股份。本次回购资金总额不低于人民币 1,500 万元（含），不超过人民币 3,000 万元（含），资金来源为自有资金。回购股份将用于实施员工持股计划及 / 或股权激励，并在股份回购实施结果暨股份变动公告后三年内予以转让；若未能在规定期限内使用完毕，尚未使用的已回购股份将予以注销。回购价格不超过人民币 154.95 元 / 股（含），该价格不高于董事会审议通过回购决议前 30 个交易日公司股票交易均价的 150%。回购期限为自董事会审议通过之日起 12 个月内。
2026 年 8 月 12 日，公司召开第三届董事会第十九次会议，审议通过了《关于以集中竞价交易方式回购公司股份方案的议案》，会议以 8 票同意、0 票反对、0 票弃权的结果通过。根据相关规定，本次回购方案无需提交股东会审议。
按回购价格上限测算，预计回购股份数量为 96,806 股至 193,610 股，占公司总股本的比例为 0.0373% 至 0.0746%。公司已在中国证券登记结算有限责任公司上海分公司开立回购专用证券账户，账户号码为 B884922431。
经公司发函问询，截至本公告披露日，公司董事、高级管理人员、控股股东、实际控制人、持股 5% 以上股东在未来 3 个月、未来 6 个月暂不存在减持公司股份的计划。若上述主体未来拟实施减持，公司将按规定履行信息披露义务。
公司提示了相关风险，包括回购期限内股价超出回购价格上限导致无法实施或部分实施的风险，以及回购方案调整、变更或终止的风险等。公司将在回购期限内根据市场情况择机做出回购决策，并及时履行信息披露义务。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,5,资讯舆情库,石头科技2026年事业合伙人持股计划(草案)摘要公告,0.68,"报告标题：石头科技2026年事业合伙人持股计划(草案)摘要公告；
撰写时间：2026-08-14 01:00:00；
新闻舆情来源：ZAKER（手机版）
原文：中访网数据 石头科技发布 2026 年事业合伙人持股计划（草案）摘要公告。本次持股计划参与对象为公司（含控股子公司）部分董事、高级管理人员、核心技术人员及核心业务人员，预计参与人数不超过 35 人（不含预留份额）。其中，董事、高管参与认购人数为 4 人，认购份额占比 20.7527%。
持股计划资金来源为员工合法薪酬、自筹资金及法律、行政法规允许的其他方式，不存在公司向持有人提供财务资助或为其贷款提供担保的情况。股票来源为公司回购专用账户回购的 A 股普通股股票，拟持有标的股票数量不超过 38.2600 万股，约占公司股本总额的 0.1474%。受让价格为 56.32 元 / 股，不低于草案公布前 1 个、20 个、60 个、120 个交易日股票交易均价较高值的 50%。
持股计划存续期不超过 60 个月，自公司公告最后一笔标的股票过户至持股计划名下之日起计算。锁定期分四期，分别为 12 个月、24 个月、36 个月、48 个月，每期解锁比例为 25%。
业绩考核包括公司层面和个人层面。公司层面以 2025 年营业收入为基数，2026 年至 2029 年各年度营业收入增长率触发值分别为 15%、20%、25%、30%，目标值分别为 17%、22%、27%、32%。若达到触发值，公司层面解锁系数为 80%；达到目标值，解锁系数为 100%；未达到触发值，解锁系数为 0%。个人层面绩效考核结果划分为 A+、A、B 三档，若最近两次考核中任意一次为 B，则当期计划解锁的股票权益不得解锁。
持股计划设立时资金总额不超过 2,154.8032 万元，份额上限为 2,154.8032 万份。预留份额占比 5.2274%，对应标的股票数量不超过 2.0000 万股。
公司已披露的回购情况显示，截至 2026 年 4 月 1 日，公司已累计回购股份 57.9127 万股，使用资金总额 9,999.23 万元；截至 2026 年 7 月 3 日，累计回购股份 301.3028 万股，使用资金总额 30,000.5991 万元。此外，公司于 2026 年 8 月 12 日召开董事会审议通过新的回购方案，回购资金总额不低于 1,500 万元，不超过 3,000 万元，回购股份将用于员工持股计划及 / 或股权激励。
本持股计划尚需经公司股东会审议通过后方可实施。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,6,资讯舆情库,石头科技（688169）披露2026年限制性股票激励计划（草案），8月13日股价下跌3.06%,0.89,"报告标题：石头科技（688169）披露2026年限制性股票激励计划（草案），8月13日股价下跌3.06%；
撰写时间：2026-08-13 22:13:08；
新闻舆情来源：证券之星（头条号）
原文：截至2026年8月13日收盘，石头科技(688169)报收于105.75元，较前一交易日下跌3.06%，最新总市值为274.48亿元。该股当日开盘109.3元，最高110.14元，最低105.67元，成交额达4.82亿元，换手率为1.73%。近日，石头科技披露《2026年限制性股票激励计划(草案)》，拟授予87名骨干员工89.2600万股第二类限制性股票，占公司总股本的0.3439%。授予价格为56.32元/股，股票来源为定向发行。激励计划有效期不超过60个月，自授予日起满12个月后分四期归属，每期归属比例均为25%。公司层面业绩考核以2025年营业收入为基数，2026年至2029年营业收入增长率分别不低于15%、20%、25%、30%。本激励计划不涉及董事、高管及持股5%以上股东。最新公告列表《北京石头世纪科技股份有限公司2026年限制性股票激励计划(草案)》《北京石头世纪科技股份有限公司董事会薪酬与考核委员会关于公司2026年事业合伙人持股计划相关事项的核查意见》《北京石头世纪科技股份有限公司2026年限制性股票激励计划(草案)摘要公告》《北京石头世纪科技股份有限公司2026年限制性股票激励计划激励对象名单》《北京石头世纪科技股份有限公司2026年限制性股票激励计划实施考核管理办法》《北京石头世纪科技股份有限公司2026年事业合伙人持股计划(草案)》《北京石头世纪科技股份有限公司2026年事业合伙人持股计划(草案)摘要公告》《北京市通商律师事务所关于北京石头世纪科技股份有限公司2026年限制性股票激励计划(草案)的法律意见书》《北京石头世纪科技股份有限公司董事会薪酬与考核委员会关于公司2026年限制性股票激励计划(草案)的核查意见》《北京石头世纪科技股份有限公司关于以集中竞价交易方式回购公司股份的回购报告书》《北京石头世纪科技股份有限公司第三届董事会第十九次会议决议公告》《北京市通商律师事务所关于北京石头世纪科技股份有限公司2026年事业合伙人持股计划(草案)的法律意见书》《北京石头世纪科技股份有限公司关于召开2026年第一次临时股东会的通知》《北京石头世纪科技股份有限公司2026年事业合伙人持股计划管理办法》以上内容为证券之星据公开信息整理，由AI算法生成(网信算备310104345710301240019号)，仅供参考不构成投资建议。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,7,资讯舆情库,石头科技：2026年限制性股票激励计划（草案）摘要公告,0.61,"报告标题：石头科技：2026年限制性股票激励计划（草案）摘要公告；
撰写时间：2026-08-13 21:20:00；
新闻舆情来源：证券日报（百家号）
原文：证券日报网讯  8月13日，石头科技发布2026年限制性股票激励计划（草案）摘要公告称，公司拟实施2026年限制性股票激励计划，以56.32元/股的授予价格向87名管理骨干人员、技术骨干和业务骨干人员授予第二类限制性股票892600股，占公司总股本的0.3439%，股份来源为发行股份，一次性授予且无预留权益，有效期60个月，激励对象占公司员工总数的2.52%。本激励计划已经董事会审议通过，尚需提交股东会审议。（编辑 任世碧）",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,8,资讯舆情库,石头科技(688169.SH)：拟斥资1500万元至3000万元回购股份,0.46,"报告标题：石头科技(688169.SH)：拟斥资1500万元至3000万元回购股份；
撰写时间：2026-08-13 20:55:18；
新闻舆情来源：格隆汇
原文：格隆汇8月13日|石头科技(688169.SH)公布，公司回购股份拟用于实施员工持股计划及/或股权激励，回购资金总额不低于人民币1,500万元(含)，不超过人民币3,000万元(含);回购股份价格不超过人民币154.95元/股(含)。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,9,资讯舆情库,石头科技(688169.SH)：拟推2026年限制性股票激励计划,0.6,"报告标题：石头科技(688169.SH)：拟推2026年限制性股票激励计划；
撰写时间：2026-08-13 20:55:06；
新闻舆情来源：格隆汇
原文：格隆汇8月13日|石头科技(688169.SH)公布2026年限制性股票激励计划，本激励计划拟授予激励对象的限制性股票数量为89.2600万股，约占本激励计划草案公布日公司股本总额的0.3439%。本次授予为一次性授予，无预留权益。截至本激励计划草案公布日，公司全部在有效期内的股权激励计划所涉及的标的股票总数累计未超过公司股本总额的20.00%。本激励计划中任何一名激励对象通过全部在有效期内的股权激励计划获授的公司股票数量累计未超过公司股本总额的1.00%。",2026-08-16T09:18:41.807905+08:00
gildata,NewsDataQuery,石头科技 2026年 股价下跌 关税 减持 业绩 利空,10,资讯舆情库,焦点热议:石头科技(688169):北京石头世纪科技股份有限公司2026年限制性股票激励计划激励对象名单,0.6,"报告标题：焦点热议:石头科技(688169):北京石头世纪科技股份有限公司2026年限制性股票激励计划激励对象名单；
撰写时间：2026-08-13 20:36:43；
新闻舆情来源：财讯网
原文：北京石头世纪科技股份有限公司2026年限制性股票激励计划激励对象名单一、激励对象名单及拟授出权益分配情况姓名职务获授的限制性股票数量(万股)获授的限制性股票数量占本激励计划拟授出限制性股票总量的比例获授的限制性股票数量占本激励计划草案公布日股本总额比例管理骨干人员、技术骨干和业务骨干人员(87人)89.2600100.00%0.3439%合计89.2600100.00%0.3439%注：1、公司全部在有效期内的股权激励计划所涉及的标的股票总数累计未超过公司股本总额的20.00%。上述任何一名激励对象通过全部在有效期内的股权激励计划获授的本公司股票均累计未超过公司股本总额的1.00%。2、本激励计划涉及的激励对象不包括公司董事(含独立董事)、高级管理人员、单独或合计持有公司5%以上股份的股东或实际控制人及其配偶、父母、子女以及外籍员工。北京石头世纪科技股份有限公司董事会2026年8月13日",2026-08-16T09:18:41.807905+08:00
