vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%且2026年以来股价下跌的食品饮料上市公司,1,智能选股,,,"智能选股工具共筛选出 28 个符合条件标的，以下列出前 28 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|区间涨跌幅(%)<[日期区间]:20260101~20260814><[复权方式]:前复权>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|002726|ST龙大|99.2|食品饮料-食品加工-肉制品|-43.31|2.33|9.91|0.21|2.33|2.12|9.01|122507724.0|276677162.61|-|31.71|3169535359.65|
|601579|会稽山|27.96|食品饮料-非白酒-其他酒类|-6.16|18.68|7.05|1.23|19.2|17.96|11.99|57464851.0|1081551487.0|1.58|89.56|8956376480.12|
|000716|黑芝麻|1361.48|食品饮料-休闲食品-零食|-18.3|5.09|4.3|0.21|5.37|4.73|10.23|75255624.0|387183560.44|0.98|38.32|3744835857.33|
|600238|ST椰岛|114.18|食品饮料-非白酒-其他酒类|-29.23|4.48|0.45|0.02|4.53|4.4|0.63|2806798.0|12481538.0|-|20.08|1994816678.4|
|600084|*ST尼雅|193.28|食品饮料-非白酒-其他酒类|-21.14|4.14|0.24|0.01|4.17|4.11|0.15|1661200.0|6872576.0|-|46.52|4652229076.2|
|002650|ST加加|124.34|食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ|-3.1|6.26|0.16|0.01|6.32|6.12|0.32|3551890.0|22065917.2|-|69.3|6930109988.24|
|002991|甘源食品|25.73|食品饮料-休闲食品-零食|-23.05|42.85|-0.07|-0.03|43.07|42.11|1.75|873909.0|37287345.62|3.65|39.94|2139659302.1|
|600573|惠泉啤酒|30.2|食品饮料-非白酒-啤酒|-18.0|9.68|-1.02|-0.1|9.83|9.61|1.59|3969810.0|38400858.0|1.03|24.2|2420000000.0|
|605300|佳禾食品|356.29|食品饮料-饮料乳品-乳品|-15.13|9.77|-1.11|-0.11|9.95|9.64|0.73|3315503.0|32381807.0|0.71|44.39|4439474292.69|
|002956|西麦食品|85.86|食品饮料-休闲食品-烘焙食品|-9.58|17.84|-1.33|-0.24|18.13|17.47|1.29|4016960.0|71159232.89|2.16|55.76|5575192065.44|
|600419|天润乳业|140.58|食品饮料-饮料乳品-乳品|-10.2|8.87|-1.44|-0.13|8.97|8.73|2.35|7424258.0|65682938.0|0.23|27.99|2798616346.96|
|300915|海融科技|153.72|食品饮料-饮料乳品-乳品|-12.63|20.41|-1.5|-0.31|20.81|20.27|1.81|1042100.0|21333664.0|1.95|25.68|1174376868.08|
|605338|巴比食品|26.93|食品饮料-食品加工-预加工食品|-34.34|19.51|-1.81|-0.36|19.82|19.42|0.82|1963000.0|38391317.0|6.15|46.74|4673945575.62|
|000858|五粮液|82.57|食品饮料-白酒Ⅱ-白酒Ⅲ|-27.95|73.75|-1.82|-1.37|75.03|73.7|0.93|36023341.0|2670378468.45|6.99|2862.69|286261612586.25|
|002557|洽洽食品|117.82|食品饮料-休闲食品-零食|-8.01|18.97|-2.01|-0.39|19.34|18.92|1.57|7932793.0|151124553.13|5.17|95.96|9565980198.32|
|603719|良品铺子|231.96|食品饮料-休闲食品-零食|-13.76|9.85|-2.18|-0.22|10.05|9.76|1.1|4362500.0|42980491.0|2.55|39.2|3920136490.0|
|605499|东鹏饮料|28.31|食品饮料-饮料乳品-软饮料|-39.42|122.93|-2.41|-3.04|126.26|122.58|1.18|7981009.0|988202129.0|3.13|902.55|89001173877.98|
|600199|金种子酒|60.85|食品饮料-白酒Ⅱ-白酒Ⅲ|-20.66|7.68|-2.66|-0.21|7.91|7.62|3.95|26010700.0|201058874.0|-|50.52|5051879608.32|
|603536|惠发食品|103.89|食品饮料-食品加工-预加工食品|-13.13|9.66|-2.91|-0.29|9.9|9.57|2.69|6474940.0|62702048.0|-|23.24|2323541631.6|
|002847|盐津铺子|29.48|食品饮料-休闲食品-零食|-28.68|47.67|-2.97|-1.46|49.05|47.5|2.14|5215387.0|250644931.79|2.94|128.8|11625326661.06|
|300106|西部牧业|150.52|食品饮料-饮料乳品-乳品|-8.56|9.83|-3.06|-0.31|10.09|9.71|4.64|9802524.0|96213480.52|-|20.77|2077396607.3|
|603711|香飘飘|597.41|食品饮料-饮料乳品-软饮料|-12.24|11.72|-3.54|-0.43|12.15|11.62|2.05|8465647.0|99685678.0|0.6|48.39|4838884452.0|
|002702|海欣食品|830.26|食品饮料-食品加工-预加工食品|-30.2|4.97|-3.68|-0.19|5.2|4.91|9.49|43544500.0|216763133.0|-|27.62|2279956437.5|
|920726|朱老六|136.7|食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ|-19.13|16.33|-4.05|-0.69|17.04|16.28|6.98|3900661.0|64707205.84|1.17|16.54|913066720.15|
