vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%且2026年以来股价下跌的纺织服饰行业上市公司（含黄金珠宝饰品）,1,智能选股,,,"智能选股工具共筛选出 26 个符合条件标的，以下列出前 26 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|区间涨跌幅(%)<[日期区间]:20260101~20260814><[复权方式]:前复权>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|300591|万里马|121.8|纺织服饰-服装家纺-鞋帽及其他|-16.43|8.29|8.37|0.64|8.3|7.6|13.02|45616555.0|369083218.95|-|33.63|2905187615.83|
|603196|璞源材料|214.86|纺织服饰-服装家纺-非运动服装|-17.43|21.08|1.74|0.36|21.15|20.53|0.58|1373700.0|28723380.0|-|88.26|4995712984.56|
|600107|*ST尔雅|145.2|纺织服饰-服装家纺-非运动服装|-17.87|5.7|1.24|0.07|5.76|5.58|0.35|1244300.0|7035521.0|-|20.52|2052000000.0|
|002780|三夫户外|141.94|纺织服饰-服装家纺-运动服装|-7.26|13.27|0.61|0.08|13.31|13.09|2.36|3086800.0|40745084.0|0.38|21.94|1733748841.93|
|603001|奥康国际|157.62|纺织服饰-服装家纺-鞋帽及其他|-16.31|7.49|0.54|0.04|7.55|7.29|3.04|12191200.0|90728021.0|-|30.03|3003340200.0|
|605138|盛泰集团|711.74|纺织服饰-服装家纺-非运动服装|-14.65|5.89|0.34|0.02|5.93|5.81|0.53|2961248.0|17379941.0|0.92|32.72|3272317195.2|
|002042|华孚时尚|180.98|纺织服饰-纺织制造-棉纺|-8.42|3.88|0.26|0.01|3.9|3.8|1.49|25260235.0|97580686.49|0.29|65.99|6598643657.4|
|603587|地素时尚|21.84|纺织服饰-服装家纺-非运动服装|-9.55|11.68|0.17|0.02|11.73|11.54|0.24|1129400.0|13137100.0|3.42|55.21|5521168552.16|
|003016|欣贺股份|191.5|纺织服饰-服装家纺-非运动服装|-29.0|6.88|0.0|0.0|6.94|6.8|0.69|2838800.0|19511549.0|-|28.93|2826873952.96|
