vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%且2026年以来股价下跌的商贸零售行业上市公司,1,智能选股,,,"智能选股工具共筛选出 34 个符合条件标的，以下列出前 34 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|区间涨跌幅(%)<[日期区间]:20260101~20260814><[复权方式]:前复权>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|601061|中信金属|141.13|商贸零售-贸易Ⅱ-贸易Ⅲ|-17.32|11.71|0.95|0.11|11.74|11.55|0.29|14426240.0|168124206.0|1.88|573.79|57379000000.0|
|600415|小商品城|23.29|商贸零售-一般零售-商业物业经营|-23.53|11.66|0.6|0.07|11.74|11.35|1.56|85325541.0|984882545.0|4.29|639.38|63938300575.16|
|301110|青木科技|320.54|商贸零售-互联网电商-电商服务|-20.18|37.48|0.54|0.2|37.89|36.25|3.83|3492252.0|129411001.56|0.76|48.56|3415122167.08|
|603214|爱婴室|27.92|商贸零售-专业连锁Ⅱ-专业连锁Ⅲ|-19.13|13.66|0.44|0.06|13.76|13.46|1.08|1496200.0|20355479.0|2.8|18.92|1892456891.76|
|600628|新世界|31.31|商贸零售-一般零售-百货|-20.86|6.18|0.32|0.02|6.21|6.09|1.12|7261897.0|44692075.0|0.65|39.98|3997689873.12|
|000701|厦门信达|33.47|商贸零售-贸易Ⅱ-贸易Ⅲ|-22.53|5.09|0.0|0.0|5.12|5.0|1.32|8832500.0|44649259.0|-|34.02|3398830351.79|
|605136|丽人丽妆|156.42|商贸零售-互联网电商-电商服务|-24.02|8.32|-0.12|-0.01|8.86|8.21|4.14|16574200.0|139713862.0|-|33.32|3331814720.0|
|600128|苏豪弘业|288.99|商贸零售-贸易Ⅱ-贸易Ⅲ|-24.3|8.17|-0.12|-0.01|8.25|8.09|1.07|2641500.0|21524227.0|1.77|20.56|2016090475.0|
|000151|中成股份|185.68|商贸零售-贸易Ⅱ-贸易Ⅲ|-16.16|9.96|-0.2|-0.02|10.1|9.88|1.27|3897500.0|38892178.0|-|34.95|3067029562.2|
|000419|通程控股|231.55|商贸零售-一般零售-多业态零售|-21.61|4.88|-0.2|-0.01|4.91|4.82|1.23|6704500.0|32618286.0|2.66|26.53|2652683356.4|
|600790|轻纺城|1079.78|商贸零售-一般零售-商业物业经营|-10.72|3.31|-0.3|-0.01|3.33|3.28|0.61|8948809.0|29550928.0|3.36|48.52|4851767971.68|
|300792|壹网壹创|20.74|商贸零售-互联网电商-电商服务|-11.98|24.82|-0.72|-0.18|25.35|24.32|3.0|6407988.0|158467043.96|0.56|58.99|5292944448.82|
|600824|益民集团|38.27|商贸零售-一般零售-多业态零售|-21.09|3.54|-0.84|-0.03|3.57|3.5|0.8|8444050.0|29829077.0|0.99|37.31|3731255838.42|
|603123|翠微股份|62.92|商贸零售-一般零售-百货|-45.15|9.22|-0.86|-0.08|9.58|9.1|3.29|21487664.0|198724372.0|-|73.64|6013984249.78|
