vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%且2026年以来股价下跌的社会服务行业上市公司（酒店旅游餐饮出行）,1,智能选股,,,"智能选股工具共筛选出 26 个符合条件标的，以下列出前 26 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|区间涨跌幅(%)<[日期区间]:20260101~20260814><[复权方式]:前复权>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|300215|电科院|110.25|社会服务-专业服务-检测服务|-0.6|6.32|1.28|0.08|6.32|6.1|1.23|9249800.0|57372251.0|0.03|47.34|4734275261.84|
|000430|张家界|1079.33|社会服务-旅游及景区-自然景区|-13.92|6.68|0.6|0.04|6.72|6.59|1.55|5754400.0|38252817.25|-|54.08|2475317326.48|
|002186|全聚德|60.9|社会服务-酒店餐饮-餐饮|-19.95|9.43|0.43|0.04|9.5|9.24|1.47|4519500.0|42309831.0|-|28.94|2893138974.84|
|601007|金陵饭店|29.2|社会服务-酒店餐饮-酒店|-12.46|6.69|0.15|0.01|6.8|6.66|2.11|8222899.0|55251665.0|2.02|26.09|2609100000.0|
|002967|广电计量|251.01|社会服务-专业服务-检测服务|-19.61|17.53|-0.23|-0.04|17.76|17.41|0.52|3153350.0|55281277.5|1.85|112.13|10585835578.05|
|603099|长白山|84.23|社会服务-旅游及景区-自然景区|-11.05|39.99|-0.25|-0.1|40.83|39.7|2.27|6191200.0|248567908.0|0.36|108.92|10891510841.4|
|600754|锦江酒店|280.09|社会服务-酒店餐饮-酒店|-22.27|19.18|-0.26|-0.05|19.47|19.0|0.97|8782455.0|168842065.0|2.67|204.09|18962034741.14|
|300887|谱尼测试|37.38|社会服务-专业服务-检测服务|-22.81|7.41|-0.27|-0.02|7.48|7.28|4.15|15016086.0|110516423.48|-|40.44|2683881400.2|
|600826|兰生股份|46.14|社会服务-专业服务-会展服务|-23.16|7.91|-0.38|-0.03|8.0|7.89|0.46|3360820.0|26634742.0|3.79|57.28|5728292022.88|
|600250|南京商旅|31.32|社会服务-旅游及景区-旅游综合|-26.24|8.49|-0.59|-0.05|8.6|8.38|1.71|5354099.0|45277294.0|-|26.56|2655599019.96|
|600593|大连圣亚|292.79|社会服务-旅游及景区-人工景区|-0.51|41.21|-0.82|-0.34|42.3|40.9|3.32|4274048.0|177251127.0|-|53.76|5307848000.0|
|000524|岭南控股|23.63|社会服务-旅游及景区-旅游综合|-21.66|9.34|-0.95|-0.09|9.49|9.29|0.9|6003561.0|56081361.03|0.55|62.6|6257494936.92|
|300797|钢研纳克|46.66|社会服务-专业服务-检测服务|-23.89|12.76|-1.01|-0.13|13.11|12.72|0.89|3413911.0|43917531.9|1.01|48.84|4871708844.64|
|301632|广东建科|124.82|社会服务-专业服务-检测服务|-41.83|13.97|-1.06|-0.15|14.1|13.91|3.09|5680286.0|79376739.64|0.86|58.47|2567860625.0|
|002059|云南旅游|30.31|社会服务-旅游及景区-人工景区|-16.73|4.48|-1.1|-0.05|4.55|4.44|0.67|6544000.0|29299825.0|-|45.36|4404046339.84|
|600706|曲江文旅|66.93|社会服务-旅游及景区-人工景区|-27.26|7.71|-1.15|-0.09|7.83|7.61|1.84|4672720.0|35980291.0|-|19.67|1958572726.35|
|600880|博瑞传播|24.64|社会服务-教育-教育运营及其他|-19.43|3.98|-1.24|-0.05|4.06|3.91|1.63|17798500.0|70662480.0|-|43.51|4350260096.5|
|600158|中体产业|79.34|社会服务-体育Ⅱ-体育Ⅲ|-18.79|7.09|-1.25|-0.09|7.2|6.99|2.81|26966000.0|190813218.0|-|68.03|6802947645.03|
|000796|凯撒旅业|161.71|社会服务-旅游及景区-旅游综合|-46.81|3.83|-1.29|-0.05|3.88|3.78|1.93|25650800.0|97839691.0|-|61.43|5096818211.05|
|920160|北矿检测|35.42|社会服务-专业服务-检测服务|-22.57|19.77|-1.84|-0.37|20.15|19.57|1.52|388620.0|7692713.33|1.26|22.4|503897760.0|
