vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年以来股价跌幅超过20%的家用电器行业上市公司,1,智能选股,,,"智能选股工具共筛选出 36 个符合条件标的，以下列出前 36 条
|证券代码|证券简称|行业名称|区间涨跌幅(%)<[日期区间]:20260101~20260814><[复权方式]:前复权>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|688169|石头科技|家用电器-小家电-清洁小家电|-29.52|106.63|0.83|0.88|108.74|105.55|1.57|4072155.0|437143307.0|0.71|276.76|27675935712.34|
|300247|融捷健康|家用电器-其他家电Ⅱ-其他家电Ⅲ|-24.56|3.87|0.78|0.03|4.04|3.83|4.11|33081320.0|129652607.4|-|31.12|3111636011.31|
|603677|奇精机械|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-23.51|13.73|0.66|0.09|13.79|13.58|0.65|1242400.0|17007111.0|1.46|26.44|2644409876.45|
|603366|日出东方|家用电器-厨卫电器-卫浴电器|-26.98|6.97|0.58|0.04|7.02|6.86|1.22|9890300.0|68698110.0|0.65|56.67|5666945263.97|
|600619|海立股份|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-32.48|14.22|0.42|0.06|14.32|14.04|2.0|15782167.0|223925618.0|0.2|152.63|12446908532.95|
|605365|立达信|家用电器-照明设备Ⅱ-照明设备Ⅲ|-47.17|13.79|0.29|0.04|13.88|13.66|0.5|2530600.0|34796850.0|1.52|69.23|6922757560.04|
|000801|四川九洲|家用电器-黑色家电-其他黑色家电|-32.9|11.36|0.26|0.03|11.54|11.3|0.81|8193938.0|93430695.08|0.18|115.45|11541398104.48|
|920124|南特科技|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-29.99|12.62|0.24|0.03|12.67|12.54|0.83|635306.0|7995851.73|1.19|18.77|966457381.58|
|002676|顺威股份|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-39.34|4.99|0.2|0.01|5.01|4.93|0.95|6870400.0|34117543.0|0.2|35.93|3592682530.41|
|600336|澳柯玛|家用电器-白色家电-冰洗|-23.48|6.29|0.16|0.01|6.32|6.19|0.59|4686046.0|29293511.0|0.16|50.2|5019512897.01|
|301135|瑞德智能|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-23.09|16.53|0.12|0.02|16.65|16.32|1.19|1198080.0|19742765.1|1.37|21.45|1669266379.56|
|300403|汉宇集团|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-33.71|9.49|0.11|0.01|9.61|9.4|1.45|6365200.0|60398011.0|1.37|57.22|4158146115.37|
|000521|长虹美菱|家用电器-白色家电-冰洗|-22.67|4.88|0.0|0.0|4.9|4.85|0.49|4283532.0|20856599.2|4.19|50.26|4563381512.21|
|301187|欧圣电气|家用电器-小家电-清洁小家电|-42.3|15.36|-0.13|-0.02|15.47|15.16|0.83|2113764.0|32425018.36|1.3|39.16|3915778944.0|
|601956|东贝集团|家用电器-家电零部件Ⅱ-家电零部件Ⅲ|-30.07|4.88|-0.2|-0.01|4.93|4.85|0.55|3402800.0|16584018.0|2.02|30.33|3033488959.2|
