vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%的纺织服饰行业上市公司（含黄金珠宝饰品）,1,智能选股,,,"智能选股工具共筛选出 41 个符合条件标的，以下列出前 41 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|300591|万里马|121.8|纺织服饰-服装家纺-鞋帽及其他|8.29|8.37|0.64|8.3|7.6|13.02|45616555.0|369083218.95|-|33.63|2905187615.83|
|300901|中胤时尚|127.9|纺织服饰-服装家纺-非运动服装|16.98|7.54|1.19|17.1|15.62|1.84|4428076.0|71661763.18|-|40.75|4075200000.0|
|603958|哈森股份|207.92|纺织服饰-服装家纺-鞋帽及其他|15.25|3.81|0.56|15.37|14.46|2.59|5682700.0|84646752.0|-|33.45|3345240000.0|
|603116|红蜻蜓|127.14|纺织服饰-服装家纺-鞋帽及其他|6.22|1.97|0.12|6.23|6.04|0.83|4791680.0|29335561.0|3.47|35.84|3583968976.0|
|603196|璞源材料|214.86|纺织服饰-服装家纺-非运动服装|21.08|1.74|0.36|21.15|20.53|0.58|1373700.0|28723380.0|-|88.26|4995712984.56|
|002293|罗莱生活|30.54|纺织服饰-服装家纺-家纺|11.07|1.56|0.17|11.15|10.83|0.59|4894829.0|53981881.64|5.58|92.68|9190753899.66|
|600107|*ST尔雅|145.2|纺织服饰-服装家纺-非运动服装|5.7|1.24|0.07|5.76|5.58|0.35|1244300.0|7035521.0|-|20.52|2052000000.0|
|605189|富春染织|1415.88|纺织服饰-纺织制造-印染|16.14|1.13|0.18|16.35|15.79|5.9|14054347.0|226019664.0|0.64|38.45|3845111915.46|
|002780|三夫户外|141.94|纺织服饰-服装家纺-运动服装|13.27|0.61|0.08|13.31|13.09|2.36|3086800.0|40745084.0|0.38|21.94|1733748841.93|
|603001|奥康国际|157.62|纺织服饰-服装家纺-鞋帽及其他|7.49|0.54|0.04|7.55|7.29|3.04|12191200.0|90728021.0|-|30.03|3003340200.0|
|002762|金发拉比|105.45|纺织服饰-服装家纺-非运动服装|10.18|0.49|0.05|10.8|10.08|12.75|26953740.0|278794194.88|0.49|36.04|2151832458.12|
|605138|盛泰集团|711.74|纺织服饰-服装家纺-非运动服装|5.89|0.34|0.02|5.93|5.81|0.53|2961248.0|17379941.0|0.92|32.72|3272317195.2|
|600400|红豆股份|128.9|纺织服饰-服装家纺-非运动服装|3.14|0.32|0.01|3.2|3.1|2.49|56979718.0|178859006.0|-|71.95|7194907615.28|
|603608|天创时尚|1453.41|纺织服饰-服装家纺-鞋帽及其他|19.23|0.31|0.06|19.76|18.67|3.98|16930944.0|324912826.0|-|81.73|8173320823.32|
|002042|华孚时尚|180.98|纺织服饰-纺织制造-棉纺|3.88|0.26|0.01|3.9|3.8|1.49|25260235.0|97580686.49|0.29|65.99|6598643657.4|
|603587|地素时尚|21.84|纺织服饰-服装家纺-非运动服装|11.68|0.17|0.02|11.73|11.54|0.24|1129400.0|13137100.0|3.42|55.21|5521168552.16|
|003016|欣贺股份|191.5|纺织服饰-服装家纺-非运动服装|6.88|0.0|0.0|6.94|6.8|0.69|2838800.0|19511549.0|-|28.93|2826873952.96|
|002494|华斯股份|563.59|纺织服饰-服装家纺-非运动服装|4.74|0.0|0.0|4.78|4.66|2.79|7990600.0|37748800.0|-|17.88|1359291876.12|
|002397|梦洁股份|108.36|纺织服饰-服装家纺-家纺|3.52|0.0|0.0|3.54|3.44|1.91|12370700.0|43183080.0|-|26.32|2280425304.96|
|002083|孚日股份|41.52|纺织服饰-纺织制造-棉纺|11.79|-0.17|-0.02|12.25|11.6|5.99|56695701.0|670965118.77|2.44|111.61|11157150669.48|
|002154|报喜鸟|39.03|纺织服饰-服装家纺-非运动服装|4.21|-0.24|-0.01|4.26|4.18|2.0|23652618.0|99608148.6|4.04|61.44|4968335263.61|
|603558|健盛集团|51.92|纺织服饰-纺织制造-棉纺|11.89|-0.25|-0.03|12.03|11.81|0.69|2372400.0|28198189.0|4.96|40.74|4073966402.61|
|603839|安正时尚|31.86|纺织服饰-服装家纺-非运动服装|7.0|-0.28|-0.02|7.11|6.96|0.79|3038800.0|21293426.0|-|27.09|2709113400.0|
|603900|莱绅通灵|88.83|纺织服饰-饰品-钟表珠宝|6.04|-0.49|-0.03|6.1|5.95|1.87|6406540.0|38482489.0|1.66|20.71|2070051993.6|
|301177|迪阿股份|81.39|纺织服饰-饰品-钟表珠宝|22.88|-0.52|-0.12|23.06|22.72|0.15|610500.0|13957989.0|2.19|91.58|9152228800.0|
|603518|锦泓集团|24.47|纺织服饰-服装家纺-非运动服装|7.94|-0.63|-0.05|8.04|7.88|1.01|3468860.0|27559231.0|2.52|27.42|2731947432.96|
|002574|明牌珠宝|132.38|纺织服饰-饰品-钟表珠宝|4.56|-0.65|-0.03|4.62|4.52|0.84|4439100.0|20225564.98|-|24.08|2407680000.0|
|600630|龙头股份|36.33|纺织服饰-服装家纺-非运动服装|6.61|-0.75|-0.05|6.69|6.58|1.73|7333828.0|48532668.0|0.59|28.08|2808335156.17|
|000026|飞亚达|43.64|纺织服饰-饰品-钟表珠宝|20.92|-1.09|-0.23|21.24|20.62|3.21|11707894.0|244622393.48|0.57|84.89|7921822625.88|
|002563|森马服饰|45.25|纺织服饰-服装家纺-非运动服装|5.76|-1.37|-0.08|5.84|5.73|0.69|15262300.0|88107061.5|5.21|155.18|12712854470.4|
|603130|云中马|38.85|纺织服饰-纺织制造-其他纺织|41.98|-1.55|-0.66|42.79|41.5|0.91|1248400.0|52367406.0|0.55|57.73|5772846116.0|
|300945|曼卡龙|32.81|纺织服饰-饰品-钟表珠宝|11.79|-1.67|-0.2|11.96|11.65|3.89|9295533.0|109620107.75|1.44|30.9|2814317766.63|
|301066|万事利|30.6|纺织服饰-纺织制造-其他纺织|12.09|-1.71|-0.21|12.35|12.03|1.26|2942575.0|35707221.5|0.82|28.4|2818380540.3|
|601339|百隆东方|39.83|纺织服饰-纺织制造-棉纺|7.71|-1.78|-0.14|7.88|7.62|0.66|9915440.0|76624321.0|5.19|115.62|11561676990.0|
