vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%的社会服务行业上市公司（酒店旅游餐饮免税出行）,1,智能选股,,,"智能选股工具共筛选出 37 个符合条件标的，以下列出前 37 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|003032|传智教育|127.18|社会服务-教育-培训教育|12.26|5.51|0.64|12.28|11.06|30.31|86228788.0|1025348064.24|-|49.34|3487744514.08|
|300938|信测标准|20.66|社会服务-专业服务-检测服务|29.79|4.42|1.26|29.84|28.54|4.44|13149977.0|384007303.12|0.72|101.54|8813374598.16|
|300795|米奥会展|32.9|社会服务-专业服务-会展服务|17.1|2.83|0.47|18.8|16.72|28.54|49657959.0|867678326.17|1.54|51.11|2975146253.1|
|300050|世纪鼎利|61.85|社会服务-教育-培训教育|6.29|1.78|0.11|6.33|6.1|2.41|13133000.0|81651637.0|-|34.27|3424996513.21|
|002033|丽江股份|93.34|社会服务-旅游及景区-自然景区|8.96|1.59|0.14|9.07|8.82|4.27|23485119.0|210542558.72|3.91|49.23|4923342421.76|
|300215|电科院|110.25|社会服务-专业服务-检测服务|6.32|1.28|0.08|6.32|6.1|1.23|9249800.0|57372251.0|0.03|47.34|4734275261.84|
|300860|锋尚文化|468.91|社会服务-专业服务-会展服务|27.12|0.71|0.19|27.2|26.68|1.02|1119780.0|30132322.4|0.77|51.11|2967386572.08|
|000430|张家界|1079.33|社会服务-旅游及景区-自然景区|6.68|0.6|0.04|6.72|6.59|1.55|5754400.0|38252817.25|-|54.08|2475317326.48|
|301169|零点有数|24.79|社会服务-专业服务-其他专业服务|52.99|0.47|0.25|54.21|51.88|1.39|999687.0|52761348.74|-|38.17|3815758817.64|
