vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,2026年一季报归母净利润同比增速大于20%的农林牧渔行业上市公司（养殖、饲料、食品链）,1,智能选股,,,"智能选股工具共筛选出 33 个符合条件标的，以下列出前 33 条
|证券代码|证券简称|归属母公司股东的净利润(同比增长率)(%)<[日期]:20260331>|行业名称|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|300871|回盛生物|74.56|农林牧渔-动物保健Ⅱ-动物保健Ⅲ|24.37|5.0|1.16|24.44|22.82|5.05|10196396.0|242193528.59|1.23|49.17|4917484780.09|
|301116|益客食品|144.0|农林牧渔-养殖业-肉鸡养殖|9.51|4.62|0.42|10.5|8.91|3.81|17097143.0|163777133.35|-|42.7|4269767399.43|
|600737|中粮糖业|22.04|农林牧渔-农产品加工-其他农产品加工|13.06|3.08|0.39|13.21|12.63|2.12|45350579.0|587274210.0|2.6|279.33|27933357857.68|
|002086|东方海洋|49.01|农林牧渔-农产品加工-其他农产品加工|2.12|1.92|0.04|2.29|2.04|12.61|199424730.0|425592399.25|-|41.53|3352324490.44|
|300313|天山生物|183.91|农林牧渔-养殖业-其他养殖|8.94|1.82|0.16|9.21|8.62|6.83|13470704.0|120782246.84|-|21.44|1764333933.66|
|688098|申联生物|42.68|农林牧渔-动物保健Ⅱ-动物保健Ⅲ|8.61|0.82|0.07|9.1|8.48|1.84|7549605.0|66478179.0|0.0|35.36|3535644840.0|
|001366|播恩集团|278.79|农林牧渔-饲料-畜禽饲料|12.06|0.58|0.07|12.06|11.8|1.51|2421891.0|28917879.45|-|19.38|1937800800.0|
|600251|冠农股份|57.31|农林牧渔-农产品加工-果蔬加工|9.76|0.41|0.04|9.81|9.63|0.89|6948467.0|67514464.0|1.64|75.83|7583457370.08|
|600883|博闻科技|68.1|农林牧渔-种植业-食用菌|7.56|0.4|0.03|7.58|7.35|1.08|2560800.0|19216509.0|0.46|17.85|1784825280.0|
|300087|ST荃银|418.29|农林牧渔-种植业-种子|5.26|0.19|0.01|5.3|5.22|0.75|6781713.0|35647241.38|-|49.83|4746076434.0|
|300970|华绿生物|7014.32|农林牧渔-种植业-食用菌|17.31|0.12|0.02|17.49|17.04|2.21|2706760.0|46730466.7|2.19|27.47|2120139411.03|
