vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,筛选近3个月盈利预测上调超过10%的A股公司,1,智能选股,,,"智能选股工具共筛选出 128 个符合条件标的，以下列出前 128 条
|证券代码|证券简称|板块代码|预告净利润同比增长上限(%)<[日期]:20260331><[预告对象]:累计利润>|收盘价(元)<[日期]:20260814><[复权方式]:前复权>|涨跌幅(%)<[日期]:20260814><[复权方式]:前复权>|涨跌(元)<[日期]:20260814><[复权方式]:前复权>|最高价(元)<[日期]:20260814><[复权方式]:前复权>|最低价(元)<[日期]:20260814><[复权方式]:前复权>|换手率(%)<[日期]:20260814>|成交量(股)<[日期]:20260814>|成交额(元)<[日期]:20260814>|最新股息率(%)<[日期]:20260814>|总市值(亿元)<[日期]:20260814>|流通市值(元)<[日期]:20260814>|行业名称|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|920083|金戈新材|北交所股票|55.4|40.89|29.97|9.43|40.89|31.65|23.33|8872359.0|327160841.09|-|36.5|1554769547.58|基础化工-非金属材料Ⅱ-非金属材料Ⅲ|
|600186|莲花控股|主板|53.46|12.02|9.97|1.09|12.02|10.75|16.88|302083704.0|3518677943.0|-|215.49|21505442257.82|食品饮料-调味发酵品Ⅱ-调味发酵品Ⅲ|
|920117|龙鑫智能|北交所股票|43.3|34.65|9.9|3.12|35.88|31.54|48.13|9729288.0|330120532.07|-|31.13|700415203.95|电力设备-电池-锂电专用设备|
|002437|誉衡药业|主板|62.65|4.53|6.59|0.28|4.68|4.14|44.45|929751663.0|4194545607.89|-|101.01|9476079825.03|医药生物-化学制药-化学制剂|
|600176|中国巨石|主板|80.0|44.39|5.94|2.49|44.62|41.9|7.01|278486976.0|12173014901.0|0.81|1776.99|176298748172.92|建筑材料-玻璃玻纤-玻纤制造|
|600768|宁波富邦|主板|588.46|15.82|5.82|0.87|16.08|14.81|6.42|8590585.0|132178141.0|0.32|21.16|2115880704.0|有色金属-工业金属-铝|
|301531|春光集团|创业板|27.87|53.2|4.97|2.52|53.5|50.55|8.77|4112041.0|214337627.99|-|116.9|2494210339.6|有色金属-金属新材料-磁性材料|
|300390|天华新能|创业板|32120.45|67.27|4.77|3.06|68.0|64.83|6.38|42892210.0|2853844896.45|-|558.85|45223440173.87|电力设备-电池-电池化学品|
|600259|中稀有色|主板|280.78|92.2|4.68|4.12|94.35|88.0|4.74|15963060.0|1464319066.0|0.16|310.19|31019390902.0|有色金属-小金属-稀土|
|002538|ST司特|主板|109.67|7.25|4.02|0.28|7.28|6.99|2.14|18225202.0|130023338.4|1.66|61.88|6184223182.25|基础化工-农化制品-复合肥|
|600111|北方稀土|主板|118.43|42.66|4.0|1.64|42.98|41.02|2.93|105942112.0|4480326412.0|0.3|1542.19|154218708819.72|有色金属-小金属-稀土|
|300857|协创数据|创业板|402.33|265.99|3.9|9.99|269.96|256.51|6.09|29658050.0|7786344742.16|0.09|1301.66|129499890868.02|电子-消费电子-消费电子零部件及组装|
|920189|康美特|北交所股票|32.83|20.95|3.71|0.75|21.25|20.28|6.05|5134255.0|107012662.06|-|29.63|1777972030.0|电子-半导体-半导体材料|
|002443|金洲管道|主板|64.53|9.1|3.64|0.32|9.13|8.7|6.03|31381818.0|280553353.33|0.32|47.37|4736873232.0|钢铁-特钢Ⅱ-特钢Ⅲ|
|920193|吉和昌|北交所股票|85.49|33.09|3.6|1.15|33.62|31.7|17.95|4523973.0|148862980.37|-|36.84|833868000.0|基础化工-化学制品-其他化学制品|
|300821|东岳硅材|创业板|451.34|17.03|3.59|0.59|17.41|16.48|4.99|59855169.0|1014599271.33|0.12|204.36|20432436472.5|基础化工-化学制品-有机硅|
|002552|宝鼎科技|主板|289.64|60.65|3.39|1.99|60.8|57.3|11.5|42384253.0|2503895345.88|0.33|235.31|22349724477.85|电子-元件-印制电路板|
|002738|中矿资源|主板|308.07|54.1|3.24|1.7|54.98|52.6|2.91|20663199.0|1112360641.26|0.91|394.6|38465925782.4|有色金属-小金属-其他小金属|
|301086|鸿富瀚|创业板|114.0|121.42|3.13|3.69|122.38|118.39|3.88|2708341.0|326332700.99|0.35|152.82|8470363985.46|电子-消费电子-消费电子零部件及组装|
|002132|恒星科技|主板|1090.48|4.4|3.04|0.13|4.4|4.22|3.81|53253752.0|230648227.24|1.09|61.67|6156420208.4|机械设备-通用设备-金属制品|
|001389|广合科技|主板|66.41|169.46|2.87|4.73|170.2|163.84|3.49|5322116.0|890519106.09|0.38|801.05|31388999257.24|电子-元件-印制电路板|
|000988|华工科技|主板|56.13|109.79|2.57|2.75|109.98|106.84|5.16|51867531.0|5633782977.82|0.23|1103.94|110337375282.03|机械设备-自动化设备-激光设备|
|002376|新北洋|主板|95.0|6.82|2.56|0.17|6.92|6.67|2.89|22777044.0|155195968.2|2.87|55.28|5368249822.1|计算机-计算机设备-其他计算机设备|
|000960|锡业股份|主板|84.2|38.61|2.5|0.94|38.84|37.37|2.34|38445532.0|1473873469.73|0.93|635.3|63530127666.72|有色金属-小金属-其他小金属|
|300620|光库科技|创业板|323.0|321.91|2.47|7.76|331.99|312.76|4.81|11891581.0|3844189439.27|0.06|802.14|79544987249.08|通信-通信设备-通信网络设备及器件|
|001309|德明利|主板|5383.14|406.19|2.44|9.66|415.09|399.0|8.53|14069408.0|5714460673.53|0.1|921.41|67033151444.26|电子-半导体-数字芯片设计|
|000657|中钨高新|主板|276.0|68.29|2.38|1.59|68.98|66.25|5.46|79383554.0|5368636613.07|0.34|1556.06|99250981959.63|有色金属-小金属-钨|
|300475|香农芯创|创业板|8747.18|161.03|2.29|3.6|163.18|157.6|5.75|25890894.0|4154481526.39|0.07|756.1|72469259560.01|电子-其他电子Ⅱ-其他电子Ⅲ|
|002466|天齐锂业|主板|1818.01|48.73|2.03|0.97|49.11|47.92|3.34|49323225.0|2392655023.92|-|834.85|79199984092.4|有色金属-能源金属-锂|
|301563|云汉芯城|创业板|164.6|127.9|2.01|2.52|128.2|126.08|8.56|1638756.0|208642475.15|0.3|108.27|2447455390.5|电子-其他电子Ⅱ-其他电子Ⅲ|
|002935|天奥电子|主板|28.07|16.88|1.99|0.33|16.88|16.54|0.96|3994455.0|66863803.25|0.3|71.21|7006734105.04|国防军工-军工电子Ⅱ-军工电子Ⅲ|
|300201|海伦哲|创业板|64.11|14.98|1.97|0.29|15.59|14.41|3.66|36737970.0|551778575.39|0.2|151.15|15034725160.7|机械设备-工程机械-工程机械整机|
