reportDate,thscode,secName,ctime,reportTitle,pdfURL,seq,time
2026-08-04,,恒力石化,2026-08-03 15:36:23,恒力石化：恒力石化关于股份回购进展公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5222961650&token=NTIyMjk2MTY1MDo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTo4NWQ4MzFjM2M1M2E1NTJhMWQ4M2M1OTU2NGViMjNmMQ==&userid=839213290&ip=47.94.84.113,5222961650,
2026-07-23,,恒力石化,2026-07-22 15:50:18,恒力石化：恒力石化关于回购股份事项前十名股东持股信息的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5203517645&token=NTIwMzUxNzY0NTo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTphZDkzOTMxZmQ2MDMyNGE2OTc3Y2U3YzA0ZTI4MGQ5ZA==&userid=839213290&ip=47.94.84.113,5203517645,
2026-07-22,,恒力石化,2026-07-21 16:41:11,恒力石化：恒力石化关于以集中竞价交易方式首次回购公司股份的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5201658046&token=NTIwMTY1ODA0Njo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTo2YTVlZDc1NGU0MzMyZDY5ZDA5NzczNTlkYjhmYWE4Mw==&userid=839213290&ip=47.94.84.113,5201658046,
2026-07-21,,恒力石化,2026-07-20 15:40:43,恒力石化：恒力石化关于2026年度第二期短期融资券发行结果的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5200371237&token=NTIwMDM3MTIzNzo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTpiZGQxNzA5NDgyZmZkYzU0MTc0MjUxMjg0YjFjNmJmOA==&userid=839213290&ip=47.94.84.113,5200371237,
2026-07-20,,恒力石化,2026-07-20 12:24:51,恒力石化：恒力石化第十届董事会第六次会议决议公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5200270157&token=NTIwMDI3MDE1Nzo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTo4ZDhmZjdiMWVhNjc4N2E1MTkyMjQyNjAzZDQ1ZTg3NA==&userid=839213290&ip=47.94.84.113,5200270157,
2026-07-20,,恒力石化,2026-07-20 12:24:50,恒力石化：恒力石化关于第五期以集中竞价交易方式回购股份的回购报告书,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5200270156&token=NTIwMDI3MDE1Njo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNToyOWQwNTQ2NDc5NzA4OWUxYjdhNzU1MTU4NDNlZmZiNw==&userid=839213290&ip=47.94.84.113,5200270156,
2026-07-07,,恒力石化,2026-07-06 15:55:42,恒力石化：恒力石化2026年半年度业绩预增公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5180044696&token=NTE4MDA0NDY5Njo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTplYmRkYzg3MTUwODY1NzYzN2UzZDlkODBiY2ZhMzJkZQ==&userid=839213290&ip=47.94.84.113,5180044696,
2026-06-26,,恒力石化,2026-06-25 15:53:20,恒力石化：恒力石化关于2025年度第一期科技创新债券兑付完成的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5162791481&token=NTE2Mjc5MTQ4MTo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTo0OWVlZjA0MTRlNmZiZTFmMDlhYTc0MTQ4ZjY5ZDM1MQ==&userid=839213290&ip=47.94.84.113,5162791481,
2026-06-17,,恒力石化,2026-06-16 15:35:58,恒力石化：恒力石化关于控股股东之一致行动人部分股份质押及解除质押的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5151525863&token=NTE1MTUyNTg2Mzo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNToyMGVjOWUzY2E2NTA4ODI1OTJlZDdjMTY1NWU2YTY3ZA==&userid=839213290&ip=47.94.84.113,5151525863,
2026-06-13,,恒力石化,2026-06-12 15:45:06,恒力石化：恒力石化第十届董事会第五次会议决议公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5148163244&token=NTE0ODE2MzI0NDo6OmRzc2VydmljZTo4MzkyMTMyOTA6NDcuOTQuODQuMTEzOjoxOjA6MTc4NjU0NzYyNTo0YTQ4YzFmNDMzNmQ5MjljZTNjYmY5MjQ3NjBjNTg2Yw==&userid=839213290&ip=47.94.84.113,5148163244,
