open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
58.36,59.84,57.45,59.0,4701000.0,603605.SH,20260701,珀莱雅,NA,CNY
59.3,59.63,57.54,57.7,4031200.0,603605.SH,20260702,珀莱雅,NA,CNY
57.79,59.26,57.79,58.68,3486500.0,603605.SH,20260703,珀莱雅,NA,CNY
58.53,58.67,56.96,57.65,4587500.0,603605.SH,20260706,珀莱雅,NA,CNY
57.79,58.27,56.71,56.71,2768300.0,603605.SH,20260707,珀莱雅,NA,CNY
56.46,58.88,56.05,56.73,3780100.0,603605.SH,20260708,珀莱雅,NA,CNY
56.61,57.04,55.4,55.84,3269300.0,603605.SH,20260709,珀莱雅,NA,CNY
55.35,57.34,55.02,56.53,3709700.0,603605.SH,20260710,珀莱雅,NA,CNY
55.97,56.56,54.56,55.02,4351800.0,603605.SH,20260713,珀莱雅,NA,CNY
55.04,56.4,54.73,56.2,5158700.0,603605.SH,20260714,珀莱雅,NA,CNY
55.95,59.25,55.44,58.77,7444400.0,603605.SH,20260715,珀莱雅,NA,CNY
58.44,59.8,58.24,58.98,5617900.0,603605.SH,20260716,珀莱雅,NA,CNY
58.98,59.35,55.4,55.56,8298600.0,603605.SH,20260717,珀莱雅,NA,CNY
55.56,56.89,55.32,56.32,4404800.0,603605.SH,20260720,珀莱雅,NA,CNY
56.32,58.09,56.11,56.62,5961700.0,603605.SH,20260721,珀莱雅,NA,CNY
56.5,58.49,56.06,58.49,5646400.0,603605.SH,20260722,珀莱雅,NA,CNY
57.8,58.5,57.14,58.28,3514800.0,603605.SH,20260723,珀莱雅,NA,CNY
57.86,58.26,56.2,56.25,3237700.0,603605.SH,20260724,珀莱雅,NA,CNY
56.4,58.98,56.16,58.74,5010600.0,603605.SH,20260727,珀莱雅,NA,CNY
58.13,60.65,57.75,60.26,5586300.0,603605.SH,20260728,珀莱雅,NA,CNY
60.3,62.16,60.0,61.13,6680300.0,603605.SH,20260729,珀莱雅,NA,CNY
62.01,63.86,61.11,61.8,7329100.0,603605.SH,20260730,珀莱雅,NA,CNY
60.8,62.37,60.45,61.29,5068700.0,603605.SH,20260731,珀莱雅,NA,CNY
61.28,61.97,60.58,60.8,3645600.0,603605.SH,20260803,珀莱雅,NA,CNY
60.9,61.2,58.81,58.99,5915100.0,603605.SH,20260804,珀莱雅,NA,CNY
58.98,60.11,58.12,58.9,6363900.0,603605.SH,20260805,珀莱雅,NA,CNY
58.99,59.12,57.33,57.9,5251500.0,603605.SH,20260806,珀莱雅,NA,CNY
57.9,57.93,57.03,57.72,4075200.0,603605.SH,20260807,珀莱雅,NA,CNY
