open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
22.54,22.74,22.34,22.51,8890400.0,002747.SZ,20230810,埃斯顿,NA,CNY
22.53,22.6,21.84,21.84,17818000.0,002747.SZ,20230811,埃斯顿,NA,CNY
21.42,21.98,21.37,21.97,10743100.0,002747.SZ,20230814,埃斯顿,NA,CNY
21.99,23.63,21.99,23.53,45044200.0,002747.SZ,20230815,埃斯顿,NA,CNY
23.27,23.82,23.27,23.35,27476500.0,002747.SZ,20230816,埃斯顿,NA,CNY
23.4,24.56,23.08,24.34,32945700.0,002747.SZ,20230817,埃斯顿,NA,CNY
24.3,24.31,23.1,23.19,23111600.0,002747.SZ,20230818,埃斯顿,NA,CNY
23.17,23.44,22.53,22.57,15458800.0,002747.SZ,20230821,埃斯顿,NA,CNY
22.7,23.15,22.31,23.07,17303000.0,002747.SZ,20230822,埃斯顿,NA,CNY
22.89,22.98,22.21,22.23,12416200.0,002747.SZ,20230823,埃斯顿,NA,CNY
22.22,22.67,21.86,22.07,12251100.0,002747.SZ,20230824,埃斯顿,NA,CNY
21.91,21.91,20.51,20.63,22396900.0,002747.SZ,20230825,埃斯顿,NA,CNY
21.89,22.21,21.06,21.13,19413400.0,002747.SZ,20230828,埃斯顿,NA,CNY
21.12,23.09,21.12,23.06,23833700.0,002747.SZ,20230829,埃斯顿,NA,CNY
22.98,23.27,22.61,23.01,16188900.0,002747.SZ,20230830,埃斯顿,NA,CNY
23.28,23.5,22.8,23.13,15096100.0,002747.SZ,20230831,埃斯顿,NA,CNY
23.05,23.25,22.7,23.13,10054700.0,002747.SZ,20230901,埃斯顿,NA,CNY
23.37,23.47,22.99,23.25,13670800.0,002747.SZ,20230904,埃斯顿,NA,CNY
23.13,23.33,22.91,23.01,12100800.0,002747.SZ,20230905,埃斯顿,NA,CNY
22.86,23.02,22.64,22.96,8860200.0,002747.SZ,20230906,埃斯顿,NA,CNY
22.96,22.96,22.28,22.3,9709400.0,002747.SZ,20230907,埃斯顿,NA,CNY
22.19,22.85,22.12,22.51,7612600.0,002747.SZ,20230908,埃斯顿,NA,CNY
22.47,22.67,22.07,22.24,13708100.0,002747.SZ,20230911,埃斯顿,NA,CNY
22.3,22.76,22.23,22.58,9710400.0,002747.SZ,20230912,埃斯顿,NA,CNY
22.64,22.7,21.83,22.02,10201100.0,002747.SZ,20230913,埃斯顿,NA,CNY
22.1,22.22,21.69,21.81,6073000.0,002747.SZ,20230914,埃斯顿,NA,CNY
21.88,22.08,21.66,21.76,7070000.0,002747.SZ,20230915,埃斯顿,NA,CNY
21.69,22.18,21.51,22.05,7827000.0,002747.SZ,20230918,埃斯顿,NA,CNY
21.98,22.04,21.5,21.55,6467000.0,002747.SZ,20230919,埃斯顿,NA,CNY
21.55,22.0,21.5,21.55,8655000.0,002747.SZ,20230920,埃斯顿,NA,CNY
21.53,21.75,21.35,21.4,5418500.0,002747.SZ,20230921,埃斯顿,NA,CNY
