open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
42.73,42.95,42.16,42.75,7731400.0,603288.SH,20230810,海天味业,NA,CNY
42.75,42.78,41.08,41.11,14626800.0,603288.SH,20230811,海天味业,NA,CNY
40.34,40.59,39.53,40.16,17442200.0,603288.SH,20230814,海天味业,NA,CNY
40.43,40.43,39.32,39.63,10364600.0,603288.SH,20230815,海天味业,NA,CNY
39.35,39.79,39.32,39.4,7427000.0,603288.SH,20230816,海天味业,NA,CNY
39.13,39.72,38.68,39.63,12749500.0,603288.SH,20230817,海天味业,NA,CNY
39.55,39.55,38.28,38.35,12081200.0,603288.SH,20230818,海天味业,NA,CNY
38.35,38.46,37.65,37.65,13034600.0,603288.SH,20230821,海天味业,NA,CNY
37.7,38.09,37.0,37.55,15421600.0,603288.SH,20230822,海天味业,NA,CNY
37.55,37.59,36.91,36.94,11035200.0,603288.SH,20230823,海天味业,NA,CNY
37.02,37.56,36.65,37.35,12865500.0,603288.SH,20230824,海天味业,NA,CNY
37.17,37.6,37.01,37.17,8887600.0,603288.SH,20230825,海天味业,NA,CNY
38.56,38.92,36.79,36.93,19643300.0,603288.SH,20230828,海天味业,NA,CNY
36.72,37.35,36.69,37.09,17942600.0,603288.SH,20230829,海天味业,NA,CNY
36.98,37.62,36.67,36.93,21186700.0,603288.SH,20230830,海天味业,NA,CNY
36.78,37.24,36.11,36.26,18711900.0,603288.SH,20230831,海天味业,NA,CNY
36.47,36.85,36.35,36.58,9439700.0,603288.SH,20230901,海天味业,NA,CNY
36.94,37.21,36.42,37.13,19567600.0,603288.SH,20230904,海天味业,NA,CNY
36.97,37.32,36.88,37.08,10026900.0,603288.SH,20230905,海天味业,NA,CNY
36.92,37.28,36.67,37.17,10398400.0,603288.SH,20230906,海天味业,NA,CNY
37.19,37.23,36.27,36.28,10045100.0,603288.SH,20230907,海天味业,NA,CNY
36.2,36.2,35.53,35.67,9449600.0,603288.SH,20230908,海天味业,NA,CNY
35.42,36.4,35.28,36.19,10171400.0,603288.SH,20230911,海天味业,NA,CNY
36.17,36.44,35.93,36.35,8264700.0,603288.SH,20230912,海天味业,NA,CNY
36.64,36.84,36.12,36.49,10987100.0,603288.SH,20230913,海天味业,NA,CNY
36.54,36.66,35.95,36.18,11021300.0,603288.SH,20230914,海天味业,NA,CNY
36.18,36.82,36.0,36.24,11883600.0,603288.SH,20230915,海天味业,NA,CNY
36.17,36.66,35.81,36.22,10700100.0,603288.SH,20230918,海天味业,NA,CNY
36.17,36.2,35.43,36.12,9861500.0,603288.SH,20230919,海天味业,NA,CNY
36.09,36.23,35.67,35.86,6903500.0,603288.SH,20230920,海天味业,NA,CNY
35.8,35.89,35.07,35.07,11249200.0,603288.SH,20230921,海天味业,NA,CNY
35.06,36.44,34.87,36.44,16075500.0,603288.SH,20230922,海天味业,NA,CNY
36.44,36.49,35.61,35.62,13009800.0,603288.SH,20230925,海天味业,NA,CNY
35.51,36.34,35.11,35.21,13193900.0,603288.SH,20230926,海天味业,NA,CNY
35.32,36.86,35.19,36.19,21636600.0,603288.SH,20230927,海天味业,NA,CNY
36.29,36.39,35.13,35.23,18750100.0,603288.SH,20230928,海天味业,NA,CNY
35.22,35.46,34.68,35.25,14104200.0,603288.SH,20231009,海天味业,NA,CNY
35.55,36.33,35.38,35.49,18470700.0,603288.SH,20231010,海天味业,NA,CNY
36.06,37.78,35.68,37.43,39870900.0,603288.SH,20231011,海天味业,NA,CNY
37.77,37.8,36.93,37.2,15821600.0,603288.SH,20231012,海天味业,NA,CNY
37.03,37.03,35.9,36.09,15188300.0,603288.SH,20231013,海天味业,NA,CNY
36.07,36.07,33.2,33.25,48140800.0,603288.SH,20231016,海天味业,NA,CNY
33.54,34.39,33.54,33.83,31784700.0,603288.SH,20231017,海天味业,NA,CNY
33.64,34.09,33.57,33.83,13307300.0,603288.SH,20231018,海天味业,NA,CNY
33.62,33.71,32.8,32.86,16536500.0,603288.SH,20231019,海天味业,NA,CNY
32.92,33.05,32.46,32.54,12897000.0,603288.SH,20231020,海天味业,NA,CNY
32.51,33.06,32.06,32.52,12381500.0,603288.SH,20231023,海天味业,NA,CNY
32.52,32.68,31.81,32.08,15651900.0,603288.SH,20231024,海天味业,NA,CNY
32.36,33.14,32.14,32.5,14310900.0,603288.SH,20231025,海天味业,NA,CNY
32.38,32.78,32.19,32.7,9313900.0,603288.SH,20231026,海天味业,NA,CNY
32.7,34.78,32.44,34.62,26647400.0,603288.SH,20231027,海天味业,NA,CNY
34.27,35.24,34.14,35.12,16578500.0,603288.SH,20231030,海天味业,NA,CNY
