open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
51.05,51.47,50.88,51.36,29926300.0,601318.SH,20230810,中国平安,NA,CNY
51.3,51.41,49.35,49.37,74892000.0,601318.SH,20230811,中国平安,NA,CNY
48.3,48.82,48.28,48.53,60472100.0,601318.SH,20230814,中国平安,NA,CNY
48.52,49.08,48.02,48.68,52183600.0,601318.SH,20230815,中国平安,NA,CNY
48.32,48.94,48.13,48.35,47660300.0,601318.SH,20230816,中国平安,NA,CNY
48.01,48.18,47.33,47.91,59827300.0,601318.SH,20230817,中国平安,NA,CNY
47.9,49.0,47.52,47.52,63666200.0,601318.SH,20230818,中国平安,NA,CNY
47.4,47.49,46.67,46.67,62808000.0,601318.SH,20230821,中国平安,NA,CNY
46.9,47.3,46.47,47.0,51849500.0,601318.SH,20230822,中国平安,NA,CNY
46.72,47.1,46.39,46.46,47623900.0,601318.SH,20230823,中国平安,NA,CNY
46.53,47.01,46.19,46.5,41863700.0,601318.SH,20230824,中国平安,NA,CNY
46.31,47.38,46.25,47.01,41763500.0,601318.SH,20230825,中国平安,NA,CNY
50.5,50.53,47.78,48.11,109010800.0,601318.SH,20230828,中国平安,NA,CNY
48.04,48.97,47.89,48.56,57380600.0,601318.SH,20230829,中国平安,NA,CNY
48.88,48.99,47.9,48.25,60012200.0,601318.SH,20230830,中国平安,NA,CNY
48.63,49.55,48.51,48.79,63953700.0,601318.SH,20230831,中国平安,NA,CNY
49.35,50.5,49.26,50.1,85575600.0,601318.SH,20230901,中国平安,NA,CNY
50.45,51.9,50.44,51.45,92193100.0,601318.SH,20230904,中国平安,NA,CNY
51.2,51.2,50.13,50.2,50624300.0,601318.SH,20230905,中国平安,NA,CNY
50.0,51.19,49.88,51.03,51436200.0,601318.SH,20230906,中国平安,NA,CNY
50.71,50.88,50.16,50.22,40329000.0,601318.SH,20230907,中国平安,NA,CNY
50.03,50.45,49.8,50.12,27366700.0,601318.SH,20230908,中国平安,NA,CNY
50.38,50.77,49.85,50.36,49151400.0,601318.SH,20230911,中国平安,NA,CNY
50.1,50.15,49.49,49.95,36114300.0,601318.SH,20230912,中国平安,NA,CNY
50.14,50.22,49.22,49.5,43398900.0,601318.SH,20230913,中国平安,NA,CNY
49.64,49.8,48.99,49.19,39131200.0,601318.SH,20230914,中国平安,NA,CNY
49.49,50.12,49.0,49.2,55753100.0,601318.SH,20230915,中国平安,NA,CNY
48.92,49.48,48.7,49.3,29526700.0,601318.SH,20230918,中国平安,NA,CNY
49.28,49.35,49.02,49.28,26652400.0,601318.SH,20230919,中国平安,NA,CNY
49.26,49.26,48.58,48.89,32873200.0,601318.SH,20230920,中国平安,NA,CNY
48.7,48.86,48.37,48.49,33547900.0,601318.SH,20230921,中国平安,NA,CNY
48.5,50.33,48.37,50.33,66300600.0,601318.SH,20230922,中国平安,NA,CNY
50.01,50.1,49.03,49.06,49975800.0,601318.SH,20230925,中国平安,NA,CNY
49.05,49.34,48.52,48.56,40093000.0,601318.SH,20230926,中国平安,NA,CNY
48.6,48.99,48.5,48.66,32486300.0,601318.SH,20230927,中国平安,NA,CNY
48.83,48.88,48.15,48.3,42146600.0,601318.SH,20230928,中国平安,NA,CNY
48.0,48.27,47.52,48.07,39401200.0,601318.SH,20231009,中国平安,NA,CNY
48.28,48.53,47.52,47.6,33077700.0,601318.SH,20231010,中国平安,NA,CNY
47.85,47.97,47.51,47.69,32529600.0,601318.SH,20231011,中国平安,NA,CNY
48.87,48.89,48.21,48.43,44871000.0,601318.SH,20231012,中国平安,NA,CNY
47.87,48.28,47.67,47.97,26126900.0,601318.SH,20231013,中国平安,NA,CNY
47.85,48.13,47.41,47.54,31900200.0,601318.SH,20231016,中国平安,NA,CNY
47.8,47.98,47.46,47.68,27014100.0,601318.SH,20231017,中国平安,NA,CNY
47.51,47.77,47.38,47.39,32569000.0,601318.SH,20231018,中国平安,NA,CNY
47.11,47.16,46.01,46.05,69408500.0,601318.SH,20231019,中国平安,NA,CNY
45.6,46.09,45.55,45.84,48177600.0,601318.SH,20231020,中国平安,NA,CNY
45.79,46.2,45.5,45.94,38706800.0,601318.SH,20231023,中国平安,NA,CNY
46.03,46.5,45.68,46.1,43231000.0,601318.SH,20231024,中国平安,NA,CNY
45.98,46.0,45.43,45.51,37446200.0,601318.SH,20231025,中国平安,NA,CNY
