open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
43.94,44.3,43.79,44.21,29926300.0,601318.SH,20230810,中国平安,NA,CNY
44.16,44.25,42.48,42.49,74892000.0,601318.SH,20230811,中国平安,NA,CNY
41.57,42.02,41.56,41.77,60472100.0,601318.SH,20230814,中国平安,NA,CNY
41.76,42.25,41.33,41.9,52183600.0,601318.SH,20230815,中国平安,NA,CNY
41.59,42.12,41.43,41.62,47660300.0,601318.SH,20230816,中国平安,NA,CNY
41.32,41.47,40.74,41.24,59827300.0,601318.SH,20230817,中国平安,NA,CNY
41.23,42.18,40.9,40.9,63666200.0,601318.SH,20230818,中国平安,NA,CNY
40.8,40.88,40.17,40.17,62808000.0,601318.SH,20230821,中国平安,NA,CNY
40.37,40.71,40.0,40.45,51849500.0,601318.SH,20230822,中国平安,NA,CNY
40.21,40.54,39.93,39.99,47623900.0,601318.SH,20230823,中国平安,NA,CNY
40.05,40.46,39.76,40.02,41863700.0,601318.SH,20230824,中国平安,NA,CNY
39.86,40.78,39.81,40.46,41763500.0,601318.SH,20230825,中国平安,NA,CNY
43.47,43.49,41.13,41.41,109010800.0,601318.SH,20230828,中国平安,NA,CNY
41.35,42.15,41.22,41.8,57380600.0,601318.SH,20230829,中国平安,NA,CNY
42.07,42.17,41.23,41.53,60012200.0,601318.SH,20230830,中国平安,NA,CNY
41.86,42.65,41.75,42.0,63953700.0,601318.SH,20230831,中国平安,NA,CNY
42.48,43.47,42.4,43.12,85575600.0,601318.SH,20230901,中国平安,NA,CNY
43.42,44.67,43.42,44.29,92193100.0,601318.SH,20230904,中国平安,NA,CNY
44.07,44.07,43.15,43.21,50624300.0,601318.SH,20230905,中国平安,NA,CNY
43.04,44.06,42.93,43.92,51436200.0,601318.SH,20230906,中国平安,NA,CNY
43.65,43.79,43.17,43.23,40329000.0,601318.SH,20230907,中国平安,NA,CNY
43.06,43.42,42.87,43.14,27366700.0,601318.SH,20230908,中国平安,NA,CNY
43.36,43.7,42.91,43.35,49151400.0,601318.SH,20230911,中国平安,NA,CNY
43.12,43.17,42.6,42.99,36114300.0,601318.SH,20230912,中国平安,NA,CNY
43.16,43.23,42.37,42.61,43398900.0,601318.SH,20230913,中国平安,NA,CNY
42.73,42.87,42.17,42.34,39131200.0,601318.SH,20230914,中国平安,NA,CNY
42.6,43.14,42.18,42.35,55753100.0,601318.SH,20230915,中国平安,NA,CNY
42.11,42.59,41.92,42.43,29526700.0,601318.SH,20230918,中国平安,NA,CNY
42.42,42.48,42.19,42.42,26652400.0,601318.SH,20230919,中国平安,NA,CNY
42.4,42.4,41.81,42.08,32873200.0,601318.SH,20230920,中国平安,NA,CNY
41.92,42.06,41.63,41.74,33547900.0,601318.SH,20230921,中国平安,NA,CNY
41.75,43.32,41.63,43.32,66300600.0,601318.SH,20230922,中国平安,NA,CNY
43.05,43.12,42.2,42.23,49975800.0,601318.SH,20230925,中国平安,NA,CNY
42.22,42.47,41.76,41.8,40093000.0,601318.SH,20230926,中国平安,NA,CNY
41.83,42.17,41.75,41.88,32486300.0,601318.SH,20230927,中国平安,NA,CNY
