open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
7.2,7.34,6.81,6.83,68086200.0,600531.SH,20230811,豫光金铅,NA,CNY
6.71,6.93,6.68,6.86,48574300.0,600531.SH,20230814,豫光金铅,NA,CNY
6.84,6.93,6.69,6.77,38329100.0,600531.SH,20230815,豫光金铅,NA,CNY
6.71,6.78,6.6,6.66,31518400.0,600531.SH,20230816,豫光金铅,NA,CNY
6.59,6.71,6.52,6.66,27971900.0,600531.SH,20230817,豫光金铅,NA,CNY
6.65,6.66,6.4,6.43,34072400.0,600531.SH,20230818,豫光金铅,NA,CNY
6.38,6.48,6.33,6.35,22976000.0,600531.SH,20230821,豫光金铅,NA,CNY
6.39,6.52,6.37,6.46,24847700.0,600531.SH,20230822,豫光金铅,NA,CNY
6.46,6.51,6.38,6.39,21603700.0,600531.SH,20230823,豫光金铅,NA,CNY
6.44,6.65,6.44,6.57,40929600.0,600531.SH,20230824,豫光金铅,NA,CNY
6.52,6.55,6.38,6.41,24166600.0,600531.SH,20230825,豫光金铅,NA,CNY
6.8,6.86,6.49,6.52,34174400.0,600531.SH,20230828,豫光金铅,NA,CNY
6.52,6.68,6.48,6.65,25496700.0,600531.SH,20230829,豫光金铅,NA,CNY
6.65,6.83,6.64,6.66,27939200.0,600531.SH,20230830,豫光金铅,NA,CNY
6.71,6.75,6.63,6.68,23248100.0,600531.SH,20230831,豫光金铅,NA,CNY
6.72,6.85,6.72,6.82,32472600.0,600531.SH,20230901,豫光金铅,NA,CNY
6.82,6.99,6.79,6.95,36367900.0,600531.SH,20230904,豫光金铅,NA,CNY
6.88,6.91,6.78,6.8,28475900.0,600531.SH,20230905,豫光金铅,NA,CNY
6.74,6.8,6.65,6.71,29931400.0,600531.SH,20230906,豫光金铅,NA,CNY
6.7,6.71,6.52,6.56,22406500.0,600531.SH,20230907,豫光金铅,NA,CNY
6.58,6.61,6.42,6.48,20295300.0,600531.SH,20230908,豫光金铅,NA,CNY
6.47,6.6,6.4,6.56,22446200.0,600531.SH,20230911,豫光金铅,NA,CNY
6.54,6.58,6.43,6.44,18347300.0,600531.SH,20230912,豫光金铅,NA,CNY
6.42,6.55,6.41,6.52,20714700.0,600531.SH,20230913,豫光金铅,NA,CNY
6.42,6.65,6.29,6.61,38360700.0,600531.SH,20230914,豫光金铅,NA,CNY
6.63,6.73,6.55,6.6,30021400.0,600531.SH,20230915,豫光金铅,NA,CNY
6.6,6.63,6.44,6.51,23656400.0,600531.SH,20230918,豫光金铅,NA,CNY
6.48,6.53,6.42,6.44,17029000.0,600531.SH,20230919,豫光金铅,NA,CNY
6.4,6.45,6.36,6.38,17915900.0,600531.SH,20230920,豫光金铅,NA,CNY
6.35,6.39,6.26,6.29,17188400.0,600531.SH,20230921,豫光金铅,NA,CNY
6.29,6.33,6.2,6.31,17705000.0,600531.SH,20230922,豫光金铅,NA,CNY
6.28,6.31,6.13,6.16,22586700.0,600531.SH,20230925,豫光金铅,NA,CNY
6.2,6.2,6.09,6.1,17062100.0,600531.SH,20230926,豫光金铅,NA,CNY
6.09,6.13,6.08,6.09,16176600.0,600531.SH,20230927,豫光金铅,NA,CNY
6.09,6.16,6.09,6.13,13258100.0,600531.SH,20230928,豫光金铅,NA,CNY
6.09,6.11,5.96,6.09,21911100.0,600531.SH,20231009,豫光金铅,NA,CNY
6.09,6.14,6.01,6.03,12445800.0,600531.SH,20231010,豫光金铅,NA,CNY
6.07,6.09,5.95,5.97,15465200.0,600531.SH,20231011,豫光金铅,NA,CNY
6.02,6.09,5.99,6.07,12583200.0,600531.SH,20231012,豫光金铅,NA,CNY
6.03,6.03,5.86,5.89,25729600.0,600531.SH,20231013,豫光金铅,NA,CNY
5.95,6.03,5.88,5.92,17655700.0,600531.SH,20231016,豫光金铅,NA,CNY
5.88,5.95,5.8,5.84,13761600.0,600531.SH,20231017,豫光金铅,NA,CNY
5.83,5.89,5.79,5.79,13269700.0,600531.SH,20231018,豫光金铅,NA,CNY
5.77,5.85,5.74,5.75,14286800.0,600531.SH,20231019,豫光金铅,NA,CNY
5.74,5.84,5.72,5.73,12679600.0,600531.SH,20231020,豫光金铅,NA,CNY
5.69,5.7,5.52,5.56,14487200.0,600531.SH,20231023,豫光金铅,NA,CNY
5.57,5.66,5.56,5.65,11213400.0,600531.SH,20231024,豫光金铅,NA,CNY
5.67,5.77,5.67,5.68,14162400.0,600531.SH,20231025,豫光金铅,NA,CNY
5.67,5.74,5.59,5.73,10943000.0,600531.SH,20231026,豫光金铅,NA,CNY
5.67,5.83,5.65,5.8,14503500.0,600531.SH,20231027,豫光金铅,NA,CNY
5.81,5.94,5.79,5.83,18433600.0,600531.SH,20231030,豫光金铅,NA,CNY
5.87,5.93,5.74,5.76,25152100.0,600531.SH,20231031,豫光金铅,NA,CNY
5.78,6.0,5.74,5.92,41659600.0,600531.SH,20231101,豫光金铅,NA,CNY
