open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
18.97,19.2,18.81,19.1,4233100.0,002299.SZ,20230816,圣农发展,NA,CNY
19.05,19.09,18.69,19.08,5857000.0,002299.SZ,20230817,圣农发展,NA,CNY
19.06,19.13,18.72,18.73,3916300.0,002299.SZ,20230818,圣农发展,NA,CNY
18.73,18.91,18.49,18.49,5223200.0,002299.SZ,20230821,圣农发展,NA,CNY
18.47,18.74,18.19,18.34,5425200.0,002299.SZ,20230822,圣农发展,NA,CNY
18.28,18.64,18.23,18.41,3916800.0,002299.SZ,20230823,圣农发展,NA,CNY
18.41,18.76,18.23,18.7,5828800.0,002299.SZ,20230824,圣农发展,NA,CNY
18.76,19.1,18.63,18.82,7105200.0,002299.SZ,20230825,圣农发展,NA,CNY
19.44,19.62,18.79,18.81,9018900.0,002299.SZ,20230828,圣农发展,NA,CNY
18.75,18.93,18.57,18.82,7549700.0,002299.SZ,20230829,圣农发展,NA,CNY
18.82,18.93,18.44,18.47,8266100.0,002299.SZ,20230830,圣农发展,NA,CNY
18.39,18.56,18.03,18.03,6251100.0,002299.SZ,20230831,圣农发展,NA,CNY
18.05,18.57,18.05,18.51,7695400.0,002299.SZ,20230901,圣农发展,NA,CNY
18.5,18.69,18.32,18.55,6783400.0,002299.SZ,20230904,圣农发展,NA,CNY
18.51,18.51,18.36,18.4,3398700.0,002299.SZ,20230905,圣农发展,NA,CNY
18.42,18.47,18.26,18.28,3172200.0,002299.SZ,20230906,圣农发展,NA,CNY
18.26,18.41,18.07,18.1,3691000.0,002299.SZ,20230907,圣农发展,NA,CNY
18.06,18.2,18.05,18.1,2704900.0,002299.SZ,20230908,圣农发展,NA,CNY
18.13,18.38,18.13,18.24,3730200.0,002299.SZ,20230911,圣农发展,NA,CNY
18.26,18.94,18.2,18.89,11768000.0,002299.SZ,20230912,圣农发展,NA,CNY
18.93,18.95,18.49,18.57,7217000.0,002299.SZ,20230913,圣农发展,NA,CNY
18.53,18.61,18.27,18.3,6177300.0,002299.SZ,20230914,圣农发展,NA,CNY
18.32,18.5,18.16,18.27,3961400.0,002299.SZ,20230915,圣农发展,NA,CNY
18.22,18.35,18.05,18.28,3457900.0,002299.SZ,20230918,圣农发展,NA,CNY
18.23,18.42,18.11,18.27,2870800.0,002299.SZ,20230919,圣农发展,NA,CNY
18.2,18.68,18.17,18.56,6516800.0,002299.SZ,20230920,圣农发展,NA,CNY
18.51,18.62,18.28,18.32,4631000.0,002299.SZ,20230921,圣农发展,NA,CNY
18.26,18.35,18.07,18.29,5283600.0,002299.SZ,20230922,圣农发展,NA,CNY
18.29,18.54,18.12,18.15,5198100.0,002299.SZ,20230925,圣农发展,NA,CNY
18.15,18.19,17.95,18.05,4352900.0,002299.SZ,20230926,圣农发展,NA,CNY
18.05,18.33,18.02,18.1,4037900.0,002299.SZ,20230927,圣农发展,NA,CNY
18.19,18.21,17.73,17.77,5303100.0,002299.SZ,20230928,圣农发展,NA,CNY
17.79,17.79,17.21,17.7,5604500.0,002299.SZ,20231009,圣农发展,NA,CNY
17.89,17.96,17.72,17.78,5605700.0,002299.SZ,20231010,圣农发展,NA,CNY
17.8,17.86,17.49,17.51,4957200.0,002299.SZ,20231011,圣农发展,NA,CNY
17.57,17.72,17.53,17.62,3597800.0,002299.SZ,20231012,圣农发展,NA,CNY
17.58,17.6,17.33,17.43,3511100.0,002299.SZ,20231013,圣农发展,NA,CNY
