open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
39.5,39.6,39.29,39.55,888800.0,002557.SZ,20230816,洽洽食品,NA,CNY
39.46,39.74,38.77,39.62,1166600.0,002557.SZ,20230817,洽洽食品,NA,CNY
39.55,39.62,38.92,39.04,2212300.0,002557.SZ,20230818,洽洽食品,NA,CNY
38.89,39.0,37.78,38.0,2909300.0,002557.SZ,20230821,洽洽食品,NA,CNY
38.25,38.45,37.0,37.22,3927000.0,002557.SZ,20230822,洽洽食品,NA,CNY
37.52,37.54,36.53,36.8,2198800.0,002557.SZ,20230823,洽洽食品,NA,CNY
36.7,37.78,36.55,37.39,2274500.0,002557.SZ,20230824,洽洽食品,NA,CNY
35.53,35.55,33.65,33.65,11900800.0,002557.SZ,20230825,洽洽食品,NA,CNY
34.3,34.47,30.88,32.3,14714500.0,002557.SZ,20230828,洽洽食品,NA,CNY
32.13,32.43,31.22,32.33,12442100.0,002557.SZ,20230829,洽洽食品,NA,CNY
32.4,33.01,32.04,33.0,8343100.0,002557.SZ,20230830,洽洽食品,NA,CNY
33.18,33.65,32.81,33.05,4939100.0,002557.SZ,20230831,洽洽食品,NA,CNY
33.1,34.06,33.1,33.88,5387400.0,002557.SZ,20230901,洽洽食品,NA,CNY
34.0,35.4,33.37,34.38,9315900.0,002557.SZ,20230904,洽洽食品,NA,CNY
34.5,35.3,34.5,34.96,5454900.0,002557.SZ,20230905,洽洽食品,NA,CNY
34.9,35.26,34.56,34.85,1987300.0,002557.SZ,20230906,洽洽食品,NA,CNY
34.8,34.92,34.56,34.65,1661200.0,002557.SZ,20230907,洽洽食品,NA,CNY
34.65,34.65,33.94,34.4,1894300.0,002557.SZ,20230908,洽洽食品,NA,CNY
34.28,35.0,33.9,34.76,3497400.0,002557.SZ,20230911,洽洽食品,NA,CNY
34.8,35.87,34.67,35.52,4049900.0,002557.SZ,20230912,洽洽食品,NA,CNY
35.44,36.1,34.93,35.08,3897900.0,002557.SZ,20230913,洽洽食品,NA,CNY
34.93,35.28,34.29,35.0,4656300.0,002557.SZ,20230914,洽洽食品,NA,CNY
35.0,35.25,34.12,34.27,2995900.0,002557.SZ,20230915,洽洽食品,NA,CNY
34.28,34.88,33.98,34.7,4497500.0,002557.SZ,20230918,洽洽食品,NA,CNY
34.59,34.84,34.11,34.8,2677300.0,002557.SZ,20230919,洽洽食品,NA,CNY
34.67,34.84,34.23,34.29,2518700.0,002557.SZ,20230920,洽洽食品,NA,CNY
34.2,34.3,33.61,33.95,3911600.0,002557.SZ,20230921,洽洽食品,NA,CNY
33.85,34.49,33.65,34.33,1960400.0,002557.SZ,20230922,洽洽食品,NA,CNY
34.31,34.31,33.93,33.97,1650900.0,002557.SZ,20230925,洽洽食品,NA,CNY
33.96,33.99,33.52,33.63,2135100.0,002557.SZ,20230926,洽洽食品,NA,CNY
33.52,34.02,33.12,33.35,3824000.0,002557.SZ,20230927,洽洽食品,NA,CNY
33.41,33.68,32.6,32.69,4071000.0,002557.SZ,20230928,洽洽食品,NA,CNY
32.73,33.47,32.34,33.23,2964700.0,002557.SZ,20231009,洽洽食品,NA,CNY
33.1,33.71,32.48,32.62,5010600.0,002557.SZ,20231010,洽洽食品,NA,CNY
32.63,33.18,32.59,32.69,3117900.0,002557.SZ,20231011,洽洽食品,NA,CNY
32.85,33.22,32.5,32.96,2298700.0,002557.SZ,20231012,洽洽食品,NA,CNY
32.86,32.89,32.3,32.67,1783900.0,002557.SZ,20231013,洽洽食品,NA,CNY
32.5,32.8,32.22,32.32,2298000.0,002557.SZ,20231016,洽洽食品,NA,CNY
32.32,32.66,32.08,32.4,3356200.0,002557.SZ,20231017,洽洽食品,NA,CNY
32.4,32.4,31.9,31.99,2110800.0,002557.SZ,20231018,洽洽食品,NA,CNY
31.67,32.0,31.2,31.25,2758200.0,002557.SZ,20231019,洽洽食品,NA,CNY
31.1,31.65,30.89,31.33,2331200.0,002557.SZ,20231020,洽洽食品,NA,CNY
31.13,31.7,30.86,31.27,2395400.0,002557.SZ,20231023,洽洽食品,NA,CNY
31.54,32.19,31.14,31.8,3295100.0,002557.SZ,20231024,洽洽食品,NA,CNY
32.16,33.14,31.84,32.81,3938200.0,002557.SZ,20231025,洽洽食品,NA,CNY
32.76,33.27,32.52,32.96,2747400.0,002557.SZ,20231026,洽洽食品,NA,CNY
34.0,36.26,33.75,36.26,7482800.0,002557.SZ,20231027,洽洽食品,NA,CNY
36.49,37.82,36.0,37.42,12026900.0,002557.SZ,20231030,洽洽食品,NA,CNY
37.35,37.62,36.92,37.0,6084800.0,002557.SZ,20231031,洽洽食品,NA,CNY
37.5,37.62,35.99,36.04,3429800.0,002557.SZ,20231101,洽洽食品,NA,CNY
36.14,36.14,35.21,35.59,3722100.0,002557.SZ,20231102,洽洽食品,NA,CNY
35.69,37.0,35.6,36.71,4222700.0,002557.SZ,20231103,洽洽食品,NA,CNY
36.75,37.24,36.41,36.89,3527800.0,002557.SZ,20231106,洽洽食品,NA,CNY
37.0,37.43,36.7,36.83,2307800.0,002557.SZ,20231107,洽洽食品,NA,CNY
36.78,36.88,36.23,36.53,2821500.0,002557.SZ,20231108,洽洽食品,NA,CNY
36.53,37.11,36.43,36.75,2063400.0,002557.SZ,20231109,洽洽食品,NA,CNY
36.45,36.99,36.34,36.8,2334500.0,002557.SZ,20231110,洽洽食品,NA,CNY
36.72,36.98,36.0,36.52,2698000.0,002557.SZ,20231113,洽洽食品,NA,CNY
36.53,36.75,36.4,36.63,1544200.0,002557.SZ,20231114,洽洽食品,NA,CNY
36.77,37.07,36.54,36.88,1865200.0,002557.SZ,20231115,洽洽食品,NA,CNY
36.96,36.99,36.45,36.8,2059700.0,002557.SZ,20231116,洽洽食品,NA,CNY
36.71,37.05,36.16,36.45,3238200.0,002557.SZ,20231117,洽洽食品,NA,CNY
36.32,37.28,36.11,37.23,4062500.0,002557.SZ,20231120,洽洽食品,NA,CNY
37.21,38.72,37.01,38.29,5287800.0,002557.SZ,20231121,洽洽食品,NA,CNY
38.29,38.53,37.89,38.12,3686100.0,002557.SZ,20231122,洽洽食品,NA,CNY
38.04,38.04,37.1,37.61,5311100.0,002557.SZ,20231123,洽洽食品,NA,CNY
37.57,37.98,37.42,37.8,1766800.0,002557.SZ,20231124,洽洽食品,NA,CNY
37.66,37.71,36.91,37.3,3108300.0,002557.SZ,20231127,洽洽食品,NA,CNY
37.3,37.95,36.86,37.78,3005900.0,002557.SZ,20231128,洽洽食品,NA,CNY
37.88,37.88,36.8,37.38,2884900.0,002557.SZ,20231129,洽洽食品,NA,CNY
37.77,38.29,37.34,38.18,3320400.0,002557.SZ,20231130,洽洽食品,NA,CNY
37.81,38.01,37.41,37.84,3313900.0,002557.SZ,20231201,洽洽食品,NA,CNY
37.59,38.0,37.03,37.55,2657100.0,002557.SZ,20231204,洽洽食品,NA,CNY
37.35,37.71,36.97,37.14,2594000.0,002557.SZ,20231205,洽洽食品,NA,CNY
36.99,36.99,35.75,36.66,3636300.0,002557.SZ,20231206,洽洽食品,NA,CNY
36.51,36.71,35.67,36.11,4439900.0,002557.SZ,20231207,洽洽食品,NA,CNY
