open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
34.54,34.63,34.36,34.59,888800.0,002557.SZ,20230816,洽洽食品,NA,CNY
34.51,34.75,33.9,34.65,1166600.0,002557.SZ,20230817,洽洽食品,NA,CNY
34.59,34.65,34.04,34.14,2212300.0,002557.SZ,20230818,洽洽食品,NA,CNY
34.01,34.11,33.04,33.23,2909300.0,002557.SZ,20230821,洽洽食品,NA,CNY
33.45,33.62,32.36,32.55,3927000.0,002557.SZ,20230822,洽洽食品,NA,CNY
32.81,32.83,31.95,32.18,2198800.0,002557.SZ,20230823,洽洽食品,NA,CNY
32.09,33.04,31.96,32.7,2274500.0,002557.SZ,20230824,洽洽食品,NA,CNY
31.07,31.09,29.43,29.43,11900800.0,002557.SZ,20230825,洽洽食品,NA,CNY
30.0,30.14,27.0,28.25,14714500.0,002557.SZ,20230828,洽洽食品,NA,CNY
28.1,28.36,27.3,28.27,12442100.0,002557.SZ,20230829,洽洽食品,NA,CNY
28.33,28.87,28.02,28.86,8343100.0,002557.SZ,20230830,洽洽食品,NA,CNY
29.02,29.43,28.69,28.9,4939100.0,002557.SZ,20230831,洽洽食品,NA,CNY
28.95,29.79,28.95,29.63,5387400.0,002557.SZ,20230901,洽洽食品,NA,CNY
29.73,30.96,29.18,30.07,9315900.0,002557.SZ,20230904,洽洽食品,NA,CNY
30.17,30.87,30.17,30.57,5454900.0,002557.SZ,20230905,洽洽食品,NA,CNY
30.52,30.83,30.22,30.48,1987300.0,002557.SZ,20230906,洽洽食品,NA,CNY
30.43,30.54,30.22,30.3,1661200.0,002557.SZ,20230907,洽洽食品,NA,CNY
30.3,30.3,29.68,30.08,1894300.0,002557.SZ,20230908,洽洽食品,NA,CNY
29.98,30.61,29.65,30.4,3497400.0,002557.SZ,20230911,洽洽食品,NA,CNY
30.43,31.37,30.32,31.06,4049900.0,002557.SZ,20230912,洽洽食品,NA,CNY
30.99,31.57,30.55,30.68,3897900.0,002557.SZ,20230913,洽洽食品,NA,CNY
30.55,30.85,29.99,30.61,4656300.0,002557.SZ,20230914,洽洽食品,NA,CNY
30.61,30.83,29.84,29.97,2995900.0,002557.SZ,20230915,洽洽食品,NA,CNY
29.98,30.5,29.72,30.35,4497500.0,002557.SZ,20230918,洽洽食品,NA,CNY
30.25,30.47,29.83,30.43,2677300.0,002557.SZ,20230919,洽洽食品,NA,CNY
30.32,30.47,29.93,29.99,2518700.0,002557.SZ,20230920,洽洽食品,NA,CNY
29.91,30.0,29.39,29.69,3911600.0,002557.SZ,20230921,洽洽食品,NA,CNY
29.6,30.16,29.43,30.02,1960400.0,002557.SZ,20230922,洽洽食品,NA,CNY
30.0,30.0,29.67,29.71,1650900.0,002557.SZ,20230925,洽洽食品,NA,CNY
29.7,29.72,29.31,29.41,2135100.0,002557.SZ,20230926,洽洽食品,NA,CNY
29.31,29.75,28.96,29.16,3824000.0,002557.SZ,20230927,洽洽食品,NA,CNY
29.22,29.45,28.51,28.59,4071000.0,002557.SZ,20230928,洽洽食品,NA,CNY
28.62,29.27,28.28,29.06,2964700.0,002557.SZ,20231009,洽洽食品,NA,CNY
28.95,29.48,28.4,28.53,5010600.0,002557.SZ,20231010,洽洽食品,NA,CNY
28.53,29.02,28.5,28.59,3117900.0,002557.SZ,20231011,洽洽食品,NA,CNY
28.73,29.05,28.42,28.82,2298700.0,002557.SZ,20231012,洽洽食品,NA,CNY
28.74,28.76,28.25,28.57,1783900.0,002557.SZ,20231013,洽洽食品,NA,CNY
28.42,28.68,28.18,28.26,2298000.0,002557.SZ,20231016,洽洽食品,NA,CNY
28.26,28.56,28.05,28.33,3356200.0,002557.SZ,20231017,洽洽食品,NA,CNY
28.33,28.33,27.9,27.98,2110800.0,002557.SZ,20231018,洽洽食品,NA,CNY
27.7,27.98,27.28,27.33,2758200.0,002557.SZ,20231019,洽洽食品,NA,CNY
27.2,27.68,27.01,27.4,2331200.0,002557.SZ,20231020,洽洽食品,NA,CNY
27.22,27.72,26.99,27.35,2395400.0,002557.SZ,20231023,洽洽食品,NA,CNY
27.58,28.15,27.23,27.81,3295100.0,002557.SZ,20231024,洽洽食品,NA,CNY
28.12,28.98,27.84,28.69,3938200.0,002557.SZ,20231025,洽洽食品,NA,CNY
28.65,29.09,28.44,28.82,2747400.0,002557.SZ,20231026,洽洽食品,NA,CNY
29.73,31.71,29.51,31.71,7482800.0,002557.SZ,20231027,洽洽食品,NA,CNY
31.91,33.07,31.48,32.72,12026900.0,002557.SZ,20231030,洽洽食品,NA,CNY
32.66,32.9,32.29,32.36,6084800.0,002557.SZ,20231031,洽洽食品,NA,CNY
32.79,32.9,31.47,31.52,3429800.0,002557.SZ,20231101,洽洽食品,NA,CNY
31.6,31.6,30.79,31.12,3722100.0,002557.SZ,20231102,洽洽食品,NA,CNY
31.21,32.36,31.13,32.1,4222700.0,002557.SZ,20231103,洽洽食品,NA,CNY
32.14,32.57,31.84,32.26,3527800.0,002557.SZ,20231106,洽洽食品,NA,CNY
32.36,32.73,32.09,32.21,2307800.0,002557.SZ,20231107,洽洽食品,NA,CNY
32.16,32.25,31.68,31.95,2821500.0,002557.SZ,20231108,洽洽食品,NA,CNY
31.95,32.45,31.86,32.14,2063400.0,002557.SZ,20231109,洽洽食品,NA,CNY
31.88,32.35,31.78,32.18,2334500.0,002557.SZ,20231110,洽洽食品,NA,CNY
32.11,32.34,31.48,31.94,2698000.0,002557.SZ,20231113,洽洽食品,NA,CNY
31.95,32.14,31.83,32.03,1544200.0,002557.SZ,20231114,洽洽食品,NA,CNY
32.16,32.42,31.95,32.25,1865200.0,002557.SZ,20231115,洽洽食品,NA,CNY
32.32,32.35,31.88,32.18,2059700.0,002557.SZ,20231116,洽洽食品,NA,CNY
32.1,32.4,31.62,31.88,3238200.0,002557.SZ,20231117,洽洽食品,NA,CNY
31.76,32.6,31.58,32.56,4062500.0,002557.SZ,20231120,洽洽食品,NA,CNY
32.54,33.86,32.37,33.48,5287800.0,002557.SZ,20231121,洽洽食品,NA,CNY
33.48,33.69,33.13,33.34,3686100.0,002557.SZ,20231122,洽洽食品,NA,CNY
33.27,33.27,32.44,32.89,5311100.0,002557.SZ,20231123,洽洽食品,NA,CNY
32.85,33.21,32.72,33.06,1766800.0,002557.SZ,20231124,洽洽食品,NA,CNY
32.93,32.98,32.28,32.62,3108300.0,002557.SZ,20231127,洽洽食品,NA,CNY
32.62,33.19,32.23,33.04,3005900.0,002557.SZ,20231128,洽洽食品,NA,CNY
33.13,33.13,32.18,32.69,2884900.0,002557.SZ,20231129,洽洽食品,NA,CNY
33.03,33.48,32.65,33.39,3320400.0,002557.SZ,20231130,洽洽食品,NA,CNY
33.06,33.24,32.72,33.09,3313900.0,002557.SZ,20231201,洽洽食品,NA,CNY
32.87,33.23,32.38,32.84,2657100.0,002557.SZ,20231204,洽洽食品,NA,CNY
32.66,32.98,32.33,32.48,2594000.0,002557.SZ,20231205,洽洽食品,NA,CNY
32.35,32.35,31.26,32.06,3636300.0,002557.SZ,20231206,洽洽食品,NA,CNY
31.93,32.1,31.19,31.58,4439900.0,002557.SZ,20231207,洽洽食品,NA,CNY
31.63,31.8,31.2,31.44,2173400.0,002557.SZ,20231208,洽洽食品,NA,CNY
31.14,31.74,30.56,31.33,4237100.0,002557.SZ,20231211,洽洽食品,NA,CNY
31.33,31.77,31.14,31.67,2796800.0,002557.SZ,20231212,洽洽食品,NA,CNY
31.95,31.95,30.92,31.31,2429000.0,002557.SZ,20231213,洽洽食品,NA,CNY
31.39,31.57,31.01,31.17,1757000.0,002557.SZ,20231214,洽洽食品,NA,CNY
31.18,31.46,30.99,31.24,1796000.0,002557.SZ,20231215,洽洽食品,NA,CNY
31.04,31.35,30.63,30.89,2097100.0,002557.SZ,20231218,洽洽食品,NA,CNY
30.69,30.99,30.49,30.75,1331800.0,002557.SZ,20231219,洽洽食品,NA,CNY
30.8,30.8,30.11,30.18,3127600.0,002557.SZ,20231220,洽洽食品,NA,CNY
29.98,30.46,29.8,29.93,3363800.0,002557.SZ,20231221,洽洽食品,NA,CNY
30.07,30.07,29.42,29.65,2806100.0,002557.SZ,20231222,洽洽食品,NA,CNY
29.65,30.29,29.54,29.79,2344900.0,002557.SZ,20231225,洽洽食品,NA,CNY
29.78,29.87,29.01,29.25,1634800.0,002557.SZ,20231226,洽洽食品,NA,CNY
29.14,30.14,29.14,30.0,2578900.0,002557.SZ,20231227,洽洽食品,NA,CNY
30.0,30.49,29.57,30.32,3715200.0,002557.SZ,20231228,洽洽食品,NA,CNY
30.21,30.61,30.13,30.45,2220300.0,002557.SZ,20231229,洽洽食品,NA,CNY
30.43,30.43,28.87,29.55,6204700.0,002557.SZ,20240102,洽洽食品,NA,CNY
29.32,29.38,28.85,29.31,3325800.0,002557.SZ,20240103,洽洽食品,NA,CNY
29.16,29.24,28.41,28.45,3495300.0,002557.SZ,20240104,洽洽食品,NA,CNY
28.35,28.53,28.03,28.12,3970400.0,002557.SZ,20240105,洽洽食品,NA,CNY
28.1,28.4,27.84,28.03,3041400.0,002557.SZ,20240108,洽洽食品,NA,CNY
28.08,28.42,28.08,28.34,3546000.0,002557.SZ,20240109,洽洽食品,NA,CNY
28.22,28.91,27.99,28.55,5583500.0,002557.SZ,20240110,洽洽食品,NA,CNY
28.52,29.61,28.34,29.36,4456800.0,002557.SZ,20240111,洽洽食品,NA,CNY
29.26,30.49,29.26,30.07,4283200.0,002557.SZ,20240112,洽洽食品,NA,CNY
29.95,30.11,29.55,29.93,3567500.0,002557.SZ,20240115,洽洽食品,NA,CNY
29.84,30.13,29.51,30.11,2214600.0,002557.SZ,20240116,洽洽食品,NA,CNY
29.9,30.01,29.37,29.38,2641800.0,002557.SZ,20240117,洽洽食品,NA,CNY
29.38,29.55,28.6,29.03,2887900.0,002557.SZ,20240118,洽洽食品,NA,CNY
28.88,29.24,28.54,28.9,2193900.0,002557.SZ,20240119,洽洽食品,NA,CNY
28.81,28.81,27.56,27.7,3151500.0,002557.SZ,20240122,洽洽食品,NA,CNY
27.72,28.29,27.11,27.43,2726100.0,002557.SZ,20240123,洽洽食品,NA,CNY
27.64,28.26,27.03,27.77,3338800.0,002557.SZ,20240124,洽洽食品,NA,CNY
27.79,28.81,27.62,28.62,3346800.0,002557.SZ,20240125,洽洽食品,NA,CNY
28.51,28.67,27.74,27.93,4018900.0,002557.SZ,20240126,洽洽食品,NA,CNY
27.98,29.86,27.98,28.47,4526700.0,002557.SZ,20240129,洽洽食品,NA,CNY
27.88,28.38,27.16,27.55,2663900.0,002557.SZ,20240130,洽洽食品,NA,CNY
27.59,27.81,26.37,26.65,4442500.0,002557.SZ,20240131,洽洽食品,NA,CNY
26.39,27.28,26.17,26.58,3437800.0,002557.SZ,20240201,洽洽食品,NA,CNY
26.51,27.58,25.54,26.39,7299400.0,002557.SZ,20240202,洽洽食品,NA,CNY
26.1,27.89,25.62,27.1,6887600.0,002557.SZ,20240205,洽洽食品,NA,CNY
27.07,29.81,26.58,29.81,6310100.0,002557.SZ,20240206,洽洽食品,NA,CNY
29.81,30.72,29.54,30.71,8287200.0,002557.SZ,20240207,洽洽食品,NA,CNY
30.62,32.43,29.53,30.15,8255800.0,002557.SZ,20240208,洽洽食品,NA,CNY
30.27,30.56,29.16,29.58,6661900.0,002557.SZ,20240219,洽洽食品,NA,CNY
29.52,30.04,28.86,29.69,4270200.0,002557.SZ,20240220,洽洽食品,NA,CNY
29.24,31.04,29.08,29.98,4557600.0,002557.SZ,20240221,洽洽食品,NA,CNY
29.68,29.98,29.25,29.47,4082200.0,002557.SZ,20240222,洽洽食品,NA,CNY
29.47,29.47,28.86,29.38,3538900.0,002557.SZ,20240223,洽洽食品,NA,CNY
29.12,29.4,28.86,29.06,4264500.0,002557.SZ,20240226,洽洽食品,NA,CNY
28.93,29.69,28.86,29.61,4531700.0,002557.SZ,20240227,洽洽食品,NA,CNY
29.44,29.87,29.13,29.21,3463600.0,002557.SZ,20240228,洽洽食品,NA,CNY
29.21,29.89,29.08,29.83,3572200.0,002557.SZ,20240229,洽洽食品,NA,CNY
29.65,29.81,29.25,29.52,3333300.0,002557.SZ,20240301,洽洽食品,NA,CNY
29.49,30.02,29.3,29.86,4057200.0,002557.SZ,20240304,洽洽食品,NA,CNY
29.86,29.96,29.43,29.68,2970400.0,002557.SZ,20240305,洽洽食品,NA,CNY
29.65,29.86,29.3,29.43,1939800.0,002557.SZ,20240306,洽洽食品,NA,CNY
29.65,29.65,29.12,29.12,1974000.0,002557.SZ,20240307,洽洽食品,NA,CNY
29.12,29.4,28.93,29.29,1875100.0,002557.SZ,20240308,洽洽食品,NA,CNY
29.12,30.36,29.07,30.35,3838700.0,002557.SZ,20240311,洽洽食品,NA,CNY
30.21,30.92,30.05,30.75,2784300.0,002557.SZ,20240312,洽洽食品,NA,CNY
30.68,30.83,30.0,30.14,2175800.0,002557.SZ,20240313,洽洽食品,NA,CNY
30.08,30.51,29.79,30.28,3143000.0,002557.SZ,20240314,洽洽食品,NA,CNY
30.2,30.31,29.72,30.13,2035700.0,002557.SZ,20240315,洽洽食品,NA,CNY
