open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
9.42,9.52,9.28,9.38,1811800.0,603697.SH,20230816,有友食品,NA,CNY
9.34,9.49,9.18,9.49,1910400.0,603697.SH,20230817,有友食品,NA,CNY
9.48,9.56,9.28,9.29,1580200.0,603697.SH,20230818,有友食品,NA,CNY
9.28,9.34,8.85,8.87,4792300.0,603697.SH,20230821,有友食品,NA,CNY
8.96,9.02,8.66,8.79,2892400.0,603697.SH,20230822,有友食品,NA,CNY
8.87,8.87,8.58,8.58,2100400.0,603697.SH,20230823,有友食品,NA,CNY
8.58,8.92,8.49,8.78,3941200.0,603697.SH,20230824,有友食品,NA,CNY
8.87,8.87,8.63,8.65,2062700.0,603697.SH,20230825,有友食品,NA,CNY
8.98,9.06,8.6,8.65,2815100.0,603697.SH,20230828,有友食品,NA,CNY
8.59,8.81,8.54,8.8,2492900.0,603697.SH,20230829,有友食品,NA,CNY
8.75,8.95,8.71,8.84,2008800.0,603697.SH,20230830,有友食品,NA,CNY
8.76,8.94,8.68,8.72,3022600.0,603697.SH,20230831,有友食品,NA,CNY
8.76,8.98,8.75,8.88,3469700.0,603697.SH,20230901,有友食品,NA,CNY
8.95,9.14,8.92,9.11,3797200.0,603697.SH,20230904,有友食品,NA,CNY
9.09,9.19,9.06,9.08,2251500.0,603697.SH,20230905,有友食品,NA,CNY
9.06,9.12,9.01,9.04,1422100.0,603697.SH,20230906,有友食品,NA,CNY
8.99,9.08,8.9,8.92,1878100.0,603697.SH,20230907,有友食品,NA,CNY
8.92,8.97,8.81,8.83,1466700.0,603697.SH,20230908,有友食品,NA,CNY
8.76,9.02,8.75,8.99,2436400.0,603697.SH,20230911,有友食品,NA,CNY
9.02,9.17,8.96,9.11,2134200.0,603697.SH,20230912,有友食品,NA,CNY
9.04,9.08,8.9,9.03,2515400.0,603697.SH,20230913,有友食品,NA,CNY
8.99,9.02,8.83,8.96,1769500.0,603697.SH,20230914,有友食品,NA,CNY
8.88,9.05,8.88,8.94,1534600.0,603697.SH,20230915,有友食品,NA,CNY
8.87,9.1,8.73,9.07,1828400.0,603697.SH,20230918,有友食品,NA,CNY
9.05,9.07,8.92,9.02,1483500.0,603697.SH,20230919,有友食品,NA,CNY
8.93,9.14,8.93,9.03,1809300.0,603697.SH,20230920,有友食品,NA,CNY
9.01,9.08,8.85,8.89,1563200.0,603697.SH,20230921,有友食品,NA,CNY
8.93,9.04,8.82,9.0,1724200.0,603697.SH,20230922,有友食品,NA,CNY
8.99,9.0,8.78,8.84,2015600.0,603697.SH,20230925,有友食品,NA,CNY
8.83,8.86,8.71,8.72,1317600.0,603697.SH,20230926,有友食品,NA,CNY
8.7,8.87,8.65,8.77,2003500.0,603697.SH,20230927,有友食品,NA,CNY
8.81,8.82,8.66,8.7,1765300.0,603697.SH,20230928,有友食品,NA,CNY
8.66,8.71,8.44,8.48,3055600.0,603697.SH,20231009,有友食品,NA,CNY
8.43,8.55,8.33,8.38,2282000.0,603697.SH,20231010,有友食品,NA,CNY
8.38,8.5,8.35,8.38,2664800.0,603697.SH,20231011,有友食品,NA,CNY
8.4,8.49,8.32,8.33,2487600.0,603697.SH,20231012,有友食品,NA,CNY
8.32,8.34,8.13,8.2,3094300.0,603697.SH,20231013,有友食品,NA,CNY
8.2,8.25,8.1,8.18,2181500.0,603697.SH,20231016,有友食品,NA,CNY
8.13,8.23,8.11,8.18,1900800.0,603697.SH,20231017,有友食品,NA,CNY
8.14,8.16,8.0,8.03,1402800.0,603697.SH,20231018,有友食品,NA,CNY
8.0,8.12,7.93,7.94,1690400.0,603697.SH,20231019,有友食品,NA,CNY
7.93,8.0,7.91,7.93,1299700.0,603697.SH,20231020,有友食品,NA,CNY
7.88,7.94,7.69,7.75,1999800.0,603697.SH,20231023,有友食品,NA,CNY
7.77,8.06,7.75,8.03,2406300.0,603697.SH,20231024,有友食品,NA,CNY
8.02,8.13,8.01,8.09,1323100.0,603697.SH,20231025,有友食品,NA,CNY
8.01,8.15,7.98,8.13,1531600.0,603697.SH,20231026,有友食品,NA,CNY
8.13,8.45,8.05,8.42,3068300.0,603697.SH,20231027,有友食品,NA,CNY
8.41,8.44,8.27,8.33,2815000.0,603697.SH,20231030,有友食品,NA,CNY
