open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
8.25,8.34,8.13,8.21,1811800.0,603697.SH,20230816,有友食品,NA,CNY
8.18,8.31,8.04,8.31,1910400.0,603697.SH,20230817,有友食品,NA,CNY
8.3,8.37,8.13,8.13,1580200.0,603697.SH,20230818,有友食品,NA,CNY
8.13,8.18,7.75,7.77,4792300.0,603697.SH,20230821,有友食品,NA,CNY
7.85,7.9,7.58,7.7,2892400.0,603697.SH,20230822,有友食品,NA,CNY
7.77,7.77,7.51,7.51,2100400.0,603697.SH,20230823,有友食品,NA,CNY
7.51,7.81,7.43,7.69,3941200.0,603697.SH,20230824,有友食品,NA,CNY
7.77,7.77,7.56,7.57,2062700.0,603697.SH,20230825,有友食品,NA,CNY
7.86,7.93,7.53,7.57,2815100.0,603697.SH,20230828,有友食品,NA,CNY
7.52,7.71,7.48,7.71,2492900.0,603697.SH,20230829,有友食品,NA,CNY
7.66,7.84,7.63,7.74,2008800.0,603697.SH,20230830,有友食品,NA,CNY
7.67,7.83,7.6,7.64,3022600.0,603697.SH,20230831,有友食品,NA,CNY
7.67,7.86,7.66,7.78,3469700.0,603697.SH,20230901,有友食品,NA,CNY
7.84,8.0,7.81,7.98,3797200.0,603697.SH,20230904,有友食品,NA,CNY
7.96,8.05,7.93,7.95,2251500.0,603697.SH,20230905,有友食品,NA,CNY
7.93,7.99,7.89,7.92,1422100.0,603697.SH,20230906,有友食品,NA,CNY
7.87,7.95,7.79,7.81,1878100.0,603697.SH,20230907,有友食品,NA,CNY
7.81,7.85,7.71,7.73,1466700.0,603697.SH,20230908,有友食品,NA,CNY
7.67,7.9,7.66,7.87,2436400.0,603697.SH,20230911,有友食品,NA,CNY
7.9,8.03,7.85,7.98,2134200.0,603697.SH,20230912,有友食品,NA,CNY
7.92,7.95,7.79,7.91,2515400.0,603697.SH,20230913,有友食品,NA,CNY
7.87,7.9,7.73,7.85,1769500.0,603697.SH,20230914,有友食品,NA,CNY
7.78,7.92,7.78,7.83,1534600.0,603697.SH,20230915,有友食品,NA,CNY
7.77,7.97,7.64,7.94,1828400.0,603697.SH,20230918,有友食品,NA,CNY
7.92,7.94,7.81,7.9,1483500.0,603697.SH,20230919,有友食品,NA,CNY
7.82,8.0,7.82,7.91,1809300.0,603697.SH,20230920,有友食品,NA,CNY
7.89,7.95,7.75,7.78,1563200.0,603697.SH,20230921,有友食品,NA,CNY
7.82,7.92,7.72,7.88,1724200.0,603697.SH,20230922,有友食品,NA,CNY
7.87,7.88,7.69,7.74,2015600.0,603697.SH,20230925,有友食品,NA,CNY
7.73,7.76,7.63,7.64,1317600.0,603697.SH,20230926,有友食品,NA,CNY
7.62,7.77,7.57,7.68,2003500.0,603697.SH,20230927,有友食品,NA,CNY
7.71,7.72,7.58,7.62,1765300.0,603697.SH,20230928,有友食品,NA,CNY
7.58,7.63,7.39,7.43,3055600.0,603697.SH,20231009,有友食品,NA,CNY
7.38,7.49,7.29,7.34,2282000.0,603697.SH,20231010,有友食品,NA,CNY
7.34,7.44,7.31,7.34,2664800.0,603697.SH,20231011,有友食品,NA,CNY
7.36,7.43,7.29,7.29,2487600.0,603697.SH,20231012,有友食品,NA,CNY
7.29,7.3,7.12,7.18,3094300.0,603697.SH,20231013,有友食品,NA,CNY
7.18,7.22,7.09,7.16,2181500.0,603697.SH,20231016,有友食品,NA,CNY
7.12,7.21,7.1,7.16,1900800.0,603697.SH,20231017,有友食品,NA,CNY
7.13,7.14,7.0,7.03,1402800.0,603697.SH,20231018,有友食品,NA,CNY
7.0,7.11,6.94,6.95,1690400.0,603697.SH,20231019,有友食品,NA,CNY
6.94,7.0,6.93,6.94,1299700.0,603697.SH,20231020,有友食品,NA,CNY
6.9,6.95,6.73,6.79,1999800.0,603697.SH,20231023,有友食品,NA,CNY
6.8,7.06,6.79,7.03,2406300.0,603697.SH,20231024,有友食品,NA,CNY
7.02,7.12,7.01,7.08,1323100.0,603697.SH,20231025,有友食品,NA,CNY
7.01,7.14,6.99,7.12,1531600.0,603697.SH,20231026,有友食品,NA,CNY
7.12,7.4,7.05,7.37,3068300.0,603697.SH,20231027,有友食品,NA,CNY
7.36,7.39,7.24,7.29,2815000.0,603697.SH,20231030,有友食品,NA,CNY
7.25,7.32,7.21,7.28,2296700.0,603697.SH,20231031,有友食品,NA,CNY
7.29,7.36,7.27,7.35,1738900.0,603697.SH,20231101,有友食品,NA,CNY
7.3,7.38,7.26,7.3,1849500.0,603697.SH,20231102,有友食品,NA,CNY
7.29,7.41,7.22,7.37,1406900.0,603697.SH,20231103,有友食品,NA,CNY
7.43,7.46,7.29,7.39,2210700.0,603697.SH,20231106,有友食品,NA,CNY
7.45,7.45,7.29,7.33,1860000.0,603697.SH,20231107,有友食品,NA,CNY
7.34,7.35,7.26,7.31,1258400.0,603697.SH,20231108,有友食品,NA,CNY
7.3,7.36,7.24,7.26,1995400.0,603697.SH,20231109,有友食品,NA,CNY
7.26,7.27,7.18,7.21,2714600.0,603697.SH,20231110,有友食品,NA,CNY
7.21,7.29,7.12,7.23,2548000.0,603697.SH,20231113,有友食品,NA,CNY
7.27,7.32,7.23,7.27,2176000.0,603697.SH,20231114,有友食品,NA,CNY
7.27,7.36,7.27,7.33,1567900.0,603697.SH,20231115,有友食品,NA,CNY
7.28,7.37,7.28,7.29,1404800.0,603697.SH,20231116,有友食品,NA,CNY
7.26,7.34,7.26,7.28,1511300.0,603697.SH,20231117,有友食品,NA,CNY
7.3,7.43,7.27,7.42,1990300.0,603697.SH,20231120,有友食品,NA,CNY
7.45,7.45,7.36,7.37,1587200.0,603697.SH,20231121,有友食品,NA,CNY
7.37,7.43,7.35,7.35,1602100.0,603697.SH,20231122,有友食品,NA,CNY
7.37,7.4,7.32,7.37,1587800.0,603697.SH,20231123,有友食品,NA,CNY
7.39,7.47,7.33,7.45,2612600.0,603697.SH,20231124,有友食品,NA,CNY
7.46,7.69,7.39,7.57,6753900.0,603697.SH,20231127,有友食品,NA,CNY
7.57,7.59,7.39,7.56,4273000.0,603697.SH,20231128,有友食品,NA,CNY
7.52,7.67,7.42,7.64,4590900.0,603697.SH,20231129,有友食品,NA,CNY
7.54,7.78,7.48,7.78,7937300.0,603697.SH,20231130,有友食品,NA,CNY
7.7,8.55,7.7,8.55,26002300.0,603697.SH,20231201,有友食品,NA,CNY
8.23,9.19,8.1,8.93,36307900.0,603697.SH,20231204,有友食品,NA,CNY
8.41,9.77,8.41,9.19,37584400.0,603697.SH,20231205,有友食品,NA,CNY
8.86,9.26,8.62,8.83,27039400.0,603697.SH,20231206,有友食品,NA,CNY
8.58,9.13,8.27,9.0,23067100.0,603697.SH,20231207,有友食品,NA,CNY
8.76,8.97,8.53,8.57,17936100.0,603697.SH,20231208,有友食品,NA,CNY
8.34,8.41,8.08,8.4,14745400.0,603697.SH,20231211,有友食品,NA,CNY
8.41,8.65,8.36,8.48,12187500.0,603697.SH,20231212,有友食品,NA,CNY
8.46,8.48,8.18,8.23,12468200.0,603697.SH,20231213,有友食品,NA,CNY
8.3,8.34,7.97,8.03,10879800.0,603697.SH,20231214,有友食品,NA,CNY
7.99,8.06,7.88,7.99,5965700.0,603697.SH,20231215,有友食品,NA,CNY
7.98,8.01,7.85,7.88,4162400.0,603697.SH,20231218,有友食品,NA,CNY
7.92,8.01,7.89,8.01,4560700.0,603697.SH,20231219,有友食品,NA,CNY
8.01,8.06,7.86,7.86,4253900.0,603697.SH,20231220,有友食品,NA,CNY
7.84,8.02,7.75,7.99,4830100.0,603697.SH,20231221,有友食品,NA,CNY
8.05,8.05,7.87,7.93,4177100.0,603697.SH,20231222,有友食品,NA,CNY
7.92,8.09,7.79,8.07,5545000.0,603697.SH,20231225,有友食品,NA,CNY
8.04,8.14,7.88,7.91,5223400.0,603697.SH,20231226,有友食品,NA,CNY
7.87,8.23,7.82,8.2,8946000.0,603697.SH,20231227,有友食品,NA,CNY
8.11,8.3,8.03,8.15,8585100.0,603697.SH,20231228,有友食品,NA,CNY
8.07,8.15,8.03,8.14,6409100.0,603697.SH,20231229,有友食品,NA,CNY
8.14,8.25,8.05,8.22,6638900.0,603697.SH,20240102,有友食品,NA,CNY
8.19,8.23,8.06,8.13,3871400.0,603697.SH,20240103,有友食品,NA,CNY
8.13,8.13,7.94,7.94,4184100.0,603697.SH,20240104,有友食品,NA,CNY
7.93,8.04,7.85,7.88,3364900.0,603697.SH,20240105,有友食品,NA,CNY
7.85,7.92,7.71,7.73,2379800.0,603697.SH,20240108,有友食品,NA,CNY
7.73,7.87,7.72,7.87,2522400.0,603697.SH,20240109,有友食品,NA,CNY
7.83,8.03,7.66,7.99,5256300.0,603697.SH,20240110,有友食品,NA,CNY
7.97,8.06,7.92,7.99,5500100.0,603697.SH,20240111,有友食品,NA,CNY
8.06,8.19,7.91,7.91,5073700.0,603697.SH,20240112,有友食品,NA,CNY
7.87,8.11,7.79,8.03,4437000.0,603697.SH,20240115,有友食品,NA,CNY
8.03,8.1,7.85,8.09,4323000.0,603697.SH,20240116,有友食品,NA,CNY
8.1,8.12,7.81,7.81,3741500.0,603697.SH,20240117,有友食品,NA,CNY
7.75,7.78,7.38,7.63,6130100.0,603697.SH,20240118,有友食品,NA,CNY
7.64,7.68,7.46,7.52,3214800.0,603697.SH,20240119,有友食品,NA,CNY
7.51,7.52,6.91,6.99,4910300.0,603697.SH,20240122,有友食品,NA,CNY
6.87,6.98,6.7,6.79,3807300.0,603697.SH,20240123,有友食品,NA,CNY
6.81,6.92,6.59,6.87,3388400.0,603697.SH,20240124,有友食品,NA,CNY
6.87,7.14,6.81,7.13,3089300.0,603697.SH,20240125,有友食品,NA,CNY
7.07,7.3,7.06,7.13,2882900.0,603697.SH,20240126,有友食品,NA,CNY
7.13,7.19,6.93,7.0,2340600.0,603697.SH,20240129,有友食品,NA,CNY
6.93,6.93,6.71,6.72,2275000.0,603697.SH,20240130,有友食品,NA,CNY
6.72,6.74,6.28,6.3,3243300.0,603697.SH,20240131,有友食品,NA,CNY
6.25,6.33,6.08,6.25,2888700.0,603697.SH,20240201,有友食品,NA,CNY
6.26,6.39,5.74,6.0,4541500.0,603697.SH,20240202,有友食品,NA,CNY
5.96,5.96,5.4,5.4,5677400.0,603697.SH,20240205,有友食品,NA,CNY
5.13,5.65,4.88,5.45,7590100.0,603697.SH,20240206,有友食品,NA,CNY
5.38,5.5,5.17,5.25,7717400.0,603697.SH,20240207,有友食品,NA,CNY
5.26,5.78,4.96,5.78,9542800.0,603697.SH,20240208,有友食品,NA,CNY
5.81,6.3,5.77,6.05,7943300.0,603697.SH,20240219,有友食品,NA,CNY
6.05,6.13,5.95,6.08,2812600.0,603697.SH,20240220,有友食品,NA,CNY
6.01,6.37,6.01,6.2,3798100.0,603697.SH,20240221,有友食品,NA,CNY
6.2,6.29,6.1,6.21,2844300.0,603697.SH,20240222,有友食品,NA,CNY
6.23,6.48,6.18,6.43,3860900.0,603697.SH,20240223,有友食品,NA,CNY
6.43,6.63,6.37,6.51,3665700.0,603697.SH,20240226,有友食品,NA,CNY
6.51,6.66,6.39,6.65,2703000.0,603697.SH,20240227,有友食品,NA,CNY
6.72,6.92,6.15,6.15,6403400.0,603697.SH,20240228,有友食品,NA,CNY
6.15,6.32,6.06,6.3,3421100.0,603697.SH,20240229,有友食品,NA,CNY
6.34,6.38,6.24,6.3,3034100.0,603697.SH,20240301,有友食品,NA,CNY
6.34,6.38,6.14,6.27,3384800.0,603697.SH,20240304,有友食品,NA,CNY
6.29,6.29,6.09,6.12,3234400.0,603697.SH,20240305,有友食品,NA,CNY
6.14,6.16,5.97,6.07,3626800.0,603697.SH,20240306,有友食品,NA,CNY
6.09,6.27,6.09,6.15,4167400.0,603697.SH,20240307,有友食品,NA,CNY
6.13,6.19,6.07,6.17,2403200.0,603697.SH,20240308,有友食品,NA,CNY
6.16,6.38,6.14,6.36,3755700.0,603697.SH,20240311,有友食品,NA,CNY
6.35,6.48,6.33,6.47,3265800.0,603697.SH,20240312,有友食品,NA,CNY
6.46,6.49,6.35,6.49,2972800.0,603697.SH,20240313,有友食品,NA,CNY
6.43,6.64,6.3,6.48,3506900.0,603697.SH,20240314,有友食品,NA,CNY
6.47,6.59,6.45,6.55,3320000.0,603697.SH,20240315,有友食品,NA,CNY
6.37,6.39,6.17,6.39,14375900.0,603697.SH,20240318,有友食品,NA,CNY
6.37,6.39,6.28,6.29,8737100.0,603697.SH,20240319,有友食品,NA,CNY
6.28,6.35,6.23,6.3,5505900.0,603697.SH,20240320,有友食品,NA,CNY
6.3,6.34,6.15,6.29,6619600.0,603697.SH,20240321,有友食品,NA,CNY
6.32,6.39,5.96,6.08,13100100.0,603697.SH,20240322,有友食品,NA,CNY
6.0,6.05,5.81,5.81,5923800.0,603697.SH,20240325,有友食品,NA,CNY
5.75,5.92,5.74,5.85,4867300.0,603697.SH,20240326,有友食品,NA,CNY
5.85,6.0,5.81,5.81,6309600.0,603697.SH,20240327,有友食品,NA,CNY
5.75,5.9,5.71,5.85,5743200.0,603697.SH,20240328,有友食品,NA,CNY
5.85,5.92,5.81,5.92,3356400.0,603697.SH,20240329,有友食品,NA,CNY
5.92,6.05,5.92,6.03,4922600.0,603697.SH,20240401,有友食品,NA,CNY
6.05,6.05,5.95,6.02,4209500.0,603697.SH,20240402,有友食品,NA,CNY
5.99,6.09,5.95,6.09,4025700.0,603697.SH,20240403,有友食品,NA,CNY
