content,date,doc_type,relevance,title,url
"### 珀莱雅2025年度薪酬确认及2026年度薪酬方案摘要

**一、2025年度董事、高级管理人员薪酬确认**  
2025年公司董事与高级管理人员税前薪酬总额已确认，董事长侯军呈薪酬为260.94万元，总经理侯亚孟为262.24万元，副总经理金衍华为258.49万元，职工代表董事王顺国为11.46万元，独立董事马冬明、葛伟军均为15.00万元，新任独立董事范明曦自2025年9月起任职，获薪酬4.08万元。财务负责人金昶（2025年10月聘任）薪酬为79.78万元，董事会秘书薛霞（2025年8月聘任）为44.87万元。原副总经理、董秘、财务负责人王莉于2025年5月离任，全年薪酬为81.78万元。

**二、2026年度董事、高级管理人员薪酬方案**  
2026年度薪酬方案适用于全体董事与高级管理人员，期限为2026年1月1日至12月31日。非独立董事薪酬由基本薪酬、绩效薪酬（占比不低于50%）及中长期激励（如限制性股票、期权、员工持股计划）构成，绩效与公司及个人年度业绩挂钩。独立董事薪酬维持年度固定津贴15万元/人（含税），按月发放。高级管理人员薪酬结构与非独立董事一致，同样强调绩效薪酬占比不低于50%，并可实施中长期激励。所有薪酬均为税前，公司依法代扣个税及社保等。

**三、其他规定**  
董事薪酬须经股东大会审议通过后生效，高级管理人员薪酬方案自董事会审议通过（2026年4月20日）起生效。因换届、辞职、解聘等原因离职者，薪酬按实际任期与绩效核算发放。证券代码：603605
证券简称：珀莱雅
公告编号：2026-014
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于2025年度董事、高级管理人员薪酬确认及2026年度薪酬方案的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
珀莱雅化妆品股份有限公司（以下简称“公司”）于2026年4月20日召开了第四届董事会第十二次会议，审议通过了《关于2025年度董事薪酬确认及2026年度薪酬方案的议案》，董事会逐项表决了上述议案，相关董事回避表决，并提交公司2025年年度股东会审议。同时，审议通过了《关于2025年度高级管理人员薪酬确认及2026年度薪酬方案的议案》，现将具体情况公告如下：
",2026-04-22,announcement,0.5641,珀莱雅:关于2025年度董事、高级管理人员薪酬确认及2026年度薪酬方案的公告,https://m.wind.com.cn/mobwftweb/M/?code=A4ABA44D22A6&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/EA2C61B8F81DEE7658C4FF017B601CB0
"### 珀莱雅调整2025年半年度现金分红总额  
- **利润分配方案调整**  
  - 公司原计划以2025年6月30日总股本396,247,646股为基数，扣除回购股份2,210,825股后，向全体股东每10股派发8.00元现金红利（含税），预计派发现金红利总额为315,229,456.80元（含税），占归属于上市公司股东净利润的39.48%。  
  - 因“珀莱转债”转股导致总股本变动，截至2025年10月9日，公司总股本已调整为396,005,292股，扣除回购股份后为393,794,467股，据此调整后的现金分红总额为315,035,573.60元（含税），占归属于上市公司股东净利润的比例为39.45%。  
- **权益分派期间“珀莱转债”停止转股**  
  - 自2025年10月10日至权益分派股权登记日（2025年10月16日）期间，“珀莱转债”停止转股，确保总股本不再变动。  
- **利润分配方案执行原则**  
  - 公司坚持每股分配比例不变的原则，仅根据总股本变动调整现金分红总额。证券代码：603605
证券简称：珀莱雅
公告编号：2025-064
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于调整2025年半年度利润分配现金分红总额的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
珀莱雅化妆品股份有限公司（以下简称“公司”）分别于2025年8月25日、2025年9月11日召开第四届董事会第六次会议、第四届监事会第五次会议及2025年第一次临时股东大会，审议通过了《公司2025年半年度利润分配方案》。本次利润分配方案如下：以实施权益分派股权登记日的总股本（扣除公司回购专用证券账户中的股份）为基数，向在册全体股东每10股派发8.00元现金红利（含税）。以2025年6月30日的总股本396,247,646股为测算基数，扣除公司回购专用证券账户中的股份2,210,825股，预计合计派发现金红利315,229,456.80元（含税），占合并报表中归属于上市公司股东的净利润的比例为39.48%。不进行资本公积金转增股本，不送红股。
如在实施权益分派股权登记日前，因可转债转股等事项致使公司总股本发生变动的，公司拟维持每股分配比例不变，相应调整分配总额。
具体内容详见公司于2025年8月27日在上海证券交易所网站（www.sse.com.cn）及指定媒体披露的《2025年半年度利润分配方案公告》（公告编号：2025-044）。
",2025-10-13,announcement,0.5353,珀莱雅:关于调整2025年半年度利润分配现金分红总额的公告,https://m.wind.com.cn/mobwftweb/M/?code=46FD44DE9C8E&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/086D85710A4DAF8E4D2B1878AD0B902F
"### 珀莱雅回购注销29,344股限制性股票

- **回购原因及数量**  
  - 因3名激励对象离职不再符合激励条件，公司按《激励计划》规定回购其已获授但未解除限售的29,344股限制性股票（变动后有限售条件股份为570,752股，总股本降至395,975,838股）。  
  - 回购价格根据权益分派情况调整，资金来源于公司自有资金（具体调整见公告2025-045）。

- **决策程序及历史实施**  
  - 2022年7月启动激励计划，经董事会、监事会及股东大会审议通过，并于2022年9月完成210万股限制性股票登记。  
  - 2023年至2025年期间多次因激励对象离职或条件未达标，累计回购注销1,053,302股（含本次29,344股）。

- **对公司影响**  
  - 本次回购注销不影响公司经营业绩及财务状况，股权分布仍符合上市条件，剩余激励计划将继续执行。  
  - 需依法履行减资程序，并完成股份注销手续（以中登公司最终股本结构表为准）。

- **监事会及法律意见**  
  - 监事会确认回购符合《激励计划》及法规要求。  
  - 法律意见书指出本次操作已获必要授权，后续需履行信息披露及减资程序。  

- **备查文件**  
  - 第四届董事会第六次会议决议、监事会决议及法律意见书。证券代码：603605
证券简称：珀莱雅
公告编号：2025-046
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于回购注销部分股权激励限制性股票的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
珀莱雅化妆品股份有限公司（以下简称“公司”）第四届董事会第六次会议、第四届监事会第五次会议于2025年8月25日审议通过了《关于回购注销部分股权激励限制性股票的议案》。鉴于公司2022年限制性股票激励计划（以下简称“《激励计划》”或“本激励计划”）授予的3名激励对象已离职而不再符合激励条件，同意将对其已获授但尚未解除限售的29,344股限制性股票进行回购注销。现将相关情况公告如下：
",2025-08-27,announcement,0.5113,珀莱雅:关于回购注销部分股权激励限制性股票的公告,https://m.wind.com.cn/mobwftweb/M/?code=A84BEA970AAF&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/456A739CDAFBE1831E28436DB409D00F
"### 珀莱雅2025年年度业绩说明会召开安排公告

**会议时间与方式**：公司定于2026年4月29日13:00-14:30通过视频录制结合网络文字互动方式召开2025年年度业绩说明会，会议平台为上海证券交易所上证路演中心（https://roadshow.sseinfo.com/）。

**参与人员**：董事长侯军呈先生、董事兼总经理侯亚孟先生、独立董事马冬明先生、董事会秘书薛霞女士及财务负责人金昶先生将出席说明会，就公司2025年经营成果与财务状况与投资者互动交流。

**投资者参与方式**：投资者可于2026年4月22日至4月28日16:00前，通过上证路演中心“提问预征集”栏目（https://roadshow.sseinfo.com/preCallQa）或公司投资者关系邮箱（proyazq@proya.com）提交问题，公司将在说明会上对普遍关注问题予以回应；会议当日也可在线实时提问。

**信息披露与后续查阅**：公司已于2026年4月22日披露《2025年年度报告》，说明会内容将在会后通过上证路演中心网站公开，供投资者回看。

**联系方式**：董事会办公室，电话0571-87352850，邮箱proyazq@proya.com。证券代码：603605
证券简称：珀莱雅
公告编号：2026-022
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于召开2025年年度业绩说明会的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。

---
一、说明会类型
本次投资者说明会以视频录制结合网络文字互动方式召开，公司将针对2025年年度的经营成果及财务指标的具体情况与投资者进行互动交流和沟通，在信息披露允许的范围内就投资者普遍关注的问题进行回答。
二、说明会召开时间及地点
（一）说明会召开时间：2026年4月29日（星期三）13:00-14:30
（二）说明会召开地点：上证路演中心（https://roadshow.sseinfo.com/）
（三）说明会召开方式：视频录制结合网络文字互动
三、参加人员
董事长：侯军呈先生
董事、总经理：侯亚孟先生
独立董事：马冬明先生
董事会秘书：薛霞女士
财务负责人：金昶先生
四、投资者参加方式
（一）投资者可在2026年4月29日（星期三）13:00-14:30，通过互联网登录上证路演中心（https://roadshow.sseinfo.com/），在线参与本次业绩说明会，公司将及时回答投资者的提问。
（二）投资者可于2026年4月22日（星期三）至4月28日（星期二）16:00前登录上证路演中心网站首页，点击“提问预征集”栏目（https://roadshow.sseinfo.com/preCallQa），根据活动时间，选中本次活动或通过公司投资者关系邮箱（proyazq@proya.com）向公司提问，公司将在说明会上在信息披露允许的范围内对投资者普遍关注的问题进行回答。
五、联系人及咨询办法
联系人：董事会办公室
电话：0571-87352850
邮箱：proyazq@proya.com
六、其他事项
本次投资者说明会召开后，投资者可以通过上证路演中心网站（https://roadshow.sseinfo.com/）查看本次投资者说明会的召开情况及主要内容。
特此公告。
珀莱雅化妆品股份有限公司
董事会
2026年4月22日
",2026-04-22,announcement,0.5042,珀莱雅:关于召开2025年年度业绩说明会的公告,https://m.wind.com.cn/mobwftweb/M/?code=DD9BCCAE9F09&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/AE6B233BA950EFE36CF457C10299E652
"### 珀莱雅调整限制性股票回购价格至52.213元/股

- **决策程序及信息披露**  
  - 2022年7月8日启动激励计划，经董事会、监事会及股东大会审议通过，授予210万股限制性股票，初始回购价格为78.56元/股。  
  - 2023年至2025年期间多次调整回购价格及回购数量，累计注销不符合条件的限制性股票923,958股，并完成两期解除限售（共1,415,946股）。  

- **本次调整依据及结果**  
  - **调整事由**：因2025年半年度拟实施每10股派8元现金分红，根据《激励计划》规定需同步调整回购价格。  
  - **调整方法**：按公式`P＝P0-V`（P0为原价，V为每股派息额）计算，调整后回购价格由78.56元/股降至53.013元/股；若分红方案通过并实施，将进一步降至52.213元/股。  
  - **资金安排**：预计回购总金额为1,532,138.27元（按52.213元/股计算），资金来源为自有资金。  

- **影响与合规性**  
  - **财务影响**：本次调整不会对公司财务状况和经营成果产生实质性影响。  
  - **合规意见**：监事会及法律意见书确认调整程序符合《上市公司股权激励管理办法》及公司《激励计划》规定，无损害股东利益情形。  

- **备查文件**  
  - 第四届董事会第六次会议决议、监事会决议及法律意见书。证券代码：603605
证券简称：珀莱雅
公告编号：2025-045
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于调整2022年限制性股票激励计划回购价格的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
珀莱雅化妆品股份有限公司（以下简称“公司”）第四届董事会第六次会议、第四届监事会第五次会议于2025年8月25日审议通过了《关于调整2022年限制性股票激励计划回购价格的议案》，根据《珀莱雅化妆品股份有限公司2022年限制性股票激励计划（草案）》（以下简称“《激励计划》”或“本激励计划”）的规定和公司2022年第一次临时股东大会授权，公司董事会对尚未解除限售的限制性股票的回购价格做相应的调整。现对有关事项说明如下：
",2025-08-27,announcement,0.4948,珀莱雅:关于调整2022年限制性股票激励计划回购价格的公告,https://m.wind.com.cn/mobwftweb/M/?code=CF486072E004&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/CF3ECC8CFADD43A629E99AF1EDE5017F
"### 珀莱雅第四届董事会第十二次会议决议主要内容

珀莱雅化妆品股份有限公司于2026年4月20日召开了第四届董事会第十二次会议，会议由董事长侯军呈主持，全体7名董事均出席，相关高管列席。会议审议并通过了多项议案，涉及公司治理、财务、战略及员工激励等多个方面。

公司审议通过了2025年度董事会、总经理、独立董事述职报告，以及2025年年度报告、第一季度报告、财务决算报告、内部控制评价报告等。其中，独立董事述职报告和内部控制评价报告由天健会计师事务所出具相关审计意见。此外，董事会还通过了关于募集资金使用情况的专项报告，以及可持续发展报告。

在利润分配方面，公司拟以2025年12月31日的总股本395,975,998股为基数，扣除回购股份2,210,825股后，向全体股东每10股派发12.00元现金红利（含税），预计派发现金红利472,518,207.60元，占归属于上市公司股东净利润的31.55%。该方案需提交股东会审议。

董事会还决定续聘天健会计师事务所为2026年度财务和内控审计机构，并授权董事会确定相关报酬。同时，董事会通过了2026年员工持股计划及其管理办法，并授权董事会办理相关事宜。此外，董事会同意公司及子公司使用不超过30亿元的闲置自有资金进行委托理财，以及为控股子公司提供不超过16亿元的担保额度。

会议最后决定适时召开2025年年度股东会，审议相关议案。证券代码：603605
证券简称：珀莱雅
公告编号：2026-010
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于第四届董事会第十二次会议决议的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
",2026-04-22,announcement,0.4773,珀莱雅:关于第四届董事会第十二次会议决议的公告,https://m.wind.com.cn/mobwftweb/M/?code=10F2511EED03&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/E8F29613B900A625F57090E1064AA9C8
"**珀莱雅部分募投项目延期公告摘要**

公司拟将“信息化系统升级建设项目”达到预定可使用状态的日期由2025年12月延期至2026年12月31日，其余募投项目进度保持不变。该项目原承诺投资9,050万元，调整后投资总额为8,801.27万元，截至2025年9月30日累计投入7,923.17万元，投资进度达90.02%，剩余募集资金专户余额1,228.43万元。延期原因为市场环境变化与技术升级导致系统复杂度提升，需强化全域新零售中台与数字化营运平台的定制化开发，以匹配公司精细化运营需求。本次延期未改变项目内容、投资总额与建设规模，不涉及募集资金投向变更，亦无损股东利益，已获董事会、审计委员会及保荐机构中信建投证券审议通过。此前该募投项目已于2024年8月从2024年12月延期至2025年12月，本次为第二次延期。其他募投项目如湖州生产基地、龙坞研发中心均已超投并完成建设，补充流动资金亦完成投入。证券代码：603605
证券简称：珀莱雅
公告编号：2025-069
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于部分募集资金投资项目延期的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
珀莱雅化妆品股份有限公司（以下简称“公司”“本公司”）于2025年10月30日召开第四届董事会第九次会议，审议通过了《关于部分募集资金投资项目延期的议案》，根据项目的实际建设情况并经过审慎的研究论证，公司决定调整“信息化系统升级建设项目”的实施进度，将“信息化系统升级建设项目”延期至2026年12月31日。除上述变更以外，募投项目其他事项均无任何变更。现就相关情况公告如下：
",2025-10-31,announcement,0.4769,珀莱雅:关于部分募集资金投资项目延期的公告,https://m.wind.com.cn/mobwftweb/M/?code=BAB0252611BB&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/5B6239C3226D781535E5C9E4FF1FBCCF
"### 股东方玉友部分股份被司法冻结，累计冻结占比超五成

本次公告披露，珀莱雅持股5%以上股东方玉友先生所持股份部分被司法冻结。截至公告日，方玉友持有公司股份59,625,258股，占总股本15.0578%；累计被冻结股份达32,826,269股，占其持股比例55.0543%，占公司总股本8.2900%。本次新增冻结15,785,000股，系杭州市中级人民法院依据（2026）浙01执保27号《财产保全事项通知书》执行，冻结起始日为2026年2月12日，到期日为2029年2月11日；另有17,041,269股为此前2023年5月26日启动的继续冻结，原冻结公告编号为2023-032，两批冻结股份均非限售股。

方玉友非公司控股股东或实际控制人，本次股份冻结不会导致公司控制权变更，亦不会对持续经营产生不利影响。公司已明确说明，所涉冻结股份系因司法保全程序所致，与公司日常运营无关。公司承诺将持续关注进展，并依法履行信息披露义务。

公司于2023年5月29日完成2022年年度权益分派，以资本公积金每10股转增4股，故本公告中所有持股及冻结数据均为转增后调整数量，确保数据口径一致。证券代码：603605
证券简称：珀莱雅
公告编号：2026-009
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于股东部分股份被冻结的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
",2026-04-04,announcement,0.4748,珀莱雅:关于股东部分股份被冻结的公告,https://m.wind.com.cn/mobwftweb/M/?code=63374F21AE63&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/C973CEFB58BFDE13115874F251298FF2
"### 珀莱雅拟聘安永香港为H股上市审计机构

- **拟聘任会计师事务所的基本情况**  
  - 安永香港为香港法律设立的合伙制事务所，是安永全球网络成员，具备H股发行上市所需的专业能力。  
  - 拥有公众利益实体核数师资质，并获中国财政部批准在中国内地临时执行审计业务。  
  - 近三年执业质量检查未发现重大问题，具备良好的诚信记录。

- **拟聘任会计师事务所履行的审议程序**  
  - 公司第四届董事会审计委员会第七次会议审议通过聘请安永香港为审计机构的议案，认为其具备独立性和专业能力。  
  - 独立董事认可安永香港在境外上市项目中的丰富经验，认为此次聘请符合相关规定及公司实际需求。  
  - 第四届董事会第八次会议以7票全票通过该议案。  
  - 本次聘请事项尚需提交公司2025年第二次临时股东会审议，自审议通过后生效。证券代码：603605
证券简称：珀莱雅
公告编号：2025-062
债券代码：113634
债券简称：珀莱转债
珀莱雅化妆品股份有限公司关于聘请H股发行上市审计机构的公告
本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。
珀莱雅化妆品股份有限公司（以下简称“公司”）于2025年10月10日召开的第四届董事会第八次会议审议通过了《关于聘请公司发行H股股票并上市的审计机构的议案》，同意公司聘请安永会计师事务所（以下简称“安永香港”）为公司发行H股股票并申请在香港联合交易所有限公司（以下简称“香港联交所”）主板挂牌上市（以下简称“本次发行上市”）的审计机构，并提请股东会授权董事会及/或董事会授权人士决定本次发行上市审计机构的具体工作范围、工作报酬、聘用期限等内容。本事项尚需提交公司2025年第二次临时股东会审议，现将有关事宜公告如下：
",2025-10-11,announcement,0.4747,珀莱雅:关于聘请H股发行上市审计机构的公告,https://m.wind.com.cn/mobwftweb/M/?code=D8C6A5668015&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/CE374B8BC93F1BBAA60DEC9BFFDD64B9
"# 珀莱雅限制性股票回购注销实施公告摘要

## 核心结论
**珀莱雅完成限制性股票回购注销**

1. 公司根据《2022年限制性股票激励计划（草案）》规定，对3名已离职激励对象持有的29,344股尚未解除限售的限制性股票进行回购注销。
2. 回购价格由53.013元/股调整为52.213元/股，调整原因是2025年半年度权益分派已于2025年10月17日实施完毕，按照每股分配比例不变的原则，相应调整分配总额。
3. 回购注销手续已在中国证券登记结算有限责任公司上海分公司办理，预计于2025年11月18日完成注销，公司后续将依法办理工商变更登记。

## 关键数据对比
| 项目 | 变动前 | 变动后 |
| --- | --- | --- |
| 有限售条件股份 | 29,344股 | 0股 |
| 总股本 | 396,005,182股 | 395,975,838股 |
| 回购价格 | 53.013元/股 | 52.213元/股 |

## 风险提示
1. 回购注销事项涉及公司注册资本减少，需依法履行相关程序，包括通知债权人及工商变更登记。
2. 公司承诺已核实并保证本次回购注销信息真实、准确、完整，但若与激励对象产生纠纷，公司需自行承担相关法律责任。
3. 根据《激励计划》规定，离职人员需在离职前缴纳完毕限制性股票已解除限售部分的个人所得税，公司需确保相关税务合规。（一）2025年8月25日，公司召开第四届董事会第六次会议和第四届监事会第五次会议，审议通过了《关于调整2022年限制性股票激励计划回购价格的议案》、《关于回购注销部分股权激励限制性股票的议案》。鉴于公司2025年半年度权益分派已于2025年10月实施完成，根据本激励计划的规定，将授予的限制性股票回购价格由53.013元/股调整为52.213元/股；鉴于授予的3名激励对象已离职而不再符合激励条件，同意将对其已获授但尚未解除限售的29,344股限制性股票进行回购注销。综上，本次回购注销的限制性股票合计29,344股。
（二）公司本次回购注销限制性股票将涉及注册资本减少，根据《中华人民共和国公司法》等相关法律、法规的规定，公司已就上述股份回购注销事项履行了通知债权人程序，具体内容详见公司于2025年8月27日披露的《珀莱雅化妆品股份有限公司关于回购注销部分限制性股票通知债权人的公告》（公告编号：2025-050）。在前述公告约定的申报时间内，公司未收到相关债权人向公司提出清偿债务或者提供相应担保的要求。
",2025-11-14,announcement,0.4717,珀莱雅:关于2022年限制性股票激励计划部分限制性股票回购注销实施公告,https://m.wind.com.cn/mobwftweb/M/?code=DA0FCBA37A6D&lan=zh&device=pc&terminaltype=COM.WINDRAG&version=26.5.0.39845&gateway=na#/NA/2A3569E785B5070F0BC84CA49033EBCD
