trade_date,wind_code,open,high,low,close,volume,amt
2025-12-29,000300.SH,4658.27,4672.04,4629.06,4639.37,20039713300,482613536400
2025-12-30,000300.SH,4617.32,4664.33,4616.63,4651.28,18037497400,457185489000
2025-12-31,000300.SH,4656.48,4667.05,4622.10,4629.94,17076022400,444491545700
2026-01-05,000300.SH,4661.62,4721.64,4661.62,4717.75,23414483900,630577351300
2026-01-06,000300.SH,4719.21,4790.69,4718.01,4790.69,29697068600,725414566800
2026-01-07,000300.SH,4796.93,4802.60,4751.07,4776.67,25909556400,664897929300
2026-01-08,000300.SH,4761.01,4765.49,4717.01,4737.65,23880495700,630655637900
2026-01-09,000300.SH,4725.96,4771.43,4719.13,4758.92,25468803800,668788811100
2026-01-12,000300.SH,4769.65,4795.93,4737.57,4789.92,29483316500,799954082300
2026-01-13,000300.SH,4798.05,4836.95,4745.52,4761.03,30144949700,801054979600
2026-01-14,000300.SH,4767.70,4818.10,4720.25,4741.93,36495102300,891334219100
2026-01-15,000300.SH,4721.80,4769.55,4720.94,4751.43,25400363600,674058683600
2026-01-16,000300.SH,4778.43,4792.55,4715.36,4731.87,32527892900,785624166000
2026-01-19,000300.SH,4720.19,4761.63,4715.09,4734.46,26761249200,655149256200
2026-01-20,000300.SH,4736.91,4748.23,4684.97,4718.88,28271957900,671960685300
2026-01-21,000300.SH,4714.55,4758.28,4714.24,4723.07,26635333200,665330511200
2026-01-22,000300.SH,4741.75,4757.76,4700.45,4723.71,27419993200,690235248100
2026-01-23,000300.SH,4729.59,4734.79,4684.62,4702.50,31463544500,755617735500
2026-01-26,000300.SH,4715.38,4754.18,4693.16,4706.96,36300448100,796832970300
2026-01-27,000300.SH,4705.17,4736.99,4675.64,4705.69,30147569700,715267914800
2026-01-28,000300.SH,4725.60,4739.63,4697.91,4717.99,38225560200,829414067000
2026-01-29,000300.SH,4733.09,4770.96,4696.05,4753.87,41551305500,917966160300
2026-01-30,000300.SH,4723.08,4738.87,4645.47,4706.34,31978653100,750564885100
2026-02-02,000300.SH,4674.28,4716.61,4601.76,4605.98,30477350000,725920381200
2026-02-03,000300.SH,4648.36,4662.13,4578.21,4660.11,26554940500,666626842800
2026-02-04,000300.SH,4647.97,4701.48,4641.84,4698.68,26488103200,636018589800
2026-02-05,000300.SH,4664.75,4687.02,4639.43,4670.42,23785635100,550433167100
2026-02-06,000300.SH,4622.97,4678.26,4606.64,4643.60,20271647700,505759806200
2026-02-09,000300.SH,4693.67,4719.96,4679.90,4719.06,20725193800,522757267100
2026-02-10,000300.SH,4718.26,4732.09,4713.87,4724.30,18700095800,450339578900
2026-02-11,000300.SH,4715.67,4723.70,4703.69,4713.82,17339168100,433428613400
2026-02-12,000300.SH,4720.01,4726.04,4707.74,4719.58,19784143900,490473852200
2026-02-13,000300.SH,4693.41,4703.63,4658.40,4660.41,18916775600,452878594000
2026-02-24,000300.SH,4727.30,4727.37,4698.35,4707.54,21848889000,526084235500
2026-02-25,000300.SH,4713.58,4766.56,4713.34,4735.89,28426835400,596903872600
2026-02-26,000300.SH,4741.39,4742.15,4706.69,4726.87,23484764400,599848915400
2026-02-27,000300.SH,4698.30,4721.01,4692.89,4710.65,26142086500,578820992500
2026-03-02,000300.SH,4681.01,4735.41,4667.28,4728.67,34926075200,752681937700
2026-03-03,000300.SH,4737.32,4744.60,4651.40,4655.90,37062427200,801659243700
2026-03-04,000300.SH,4609.19,4639.42,4575.82,4602.62,30303566600,608923128500
2026-03-05,000300.SH,4651.94,4671.53,4630.30,4647.69,25931782500,570443777000
2026-03-06,000300.SH,4621.49,4671.71,4612.79,4660.44,23852792600,487807080100
2026-03-09,000300.SH,4600.25,4625.98,4548.97,4615.46,32278761700,665821508000
2026-03-10,000300.SH,4648.79,4677.60,4648.79,4674.76,26390374800,557607876100
2026-03-11,000300.SH,4681.03,4711.87,4674.71,4704.50,27017544300,579564397500
2026-03-12,000300.SH,4700.72,4704.38,4654.31,4687.56,30298681600,572105482400
2026-03-13,000300.SH,4669.06,4707.42,4659.50,4669.14,31077200900,580305608100
2026-03-16,000300.SH,4669.22,4673.69,4621.81,4671.56,29621507000,598799098300
2026-03-17,000300.SH,4685.57,4720.86,4637.37,4637.44,26302191300,578501505800
2026-03-18,000300.SH,4648.75,4662.29,4604.52,4658.33,23469070500,524173911400
2026-03-19,000300.SH,4611.44,4634.55,4570.39,4583.25,25413044900,547850295700
2026-03-20,000300.SH,4602.82,4628.71,4563.07,4567.02,25787370300,615463088500
2026-03-23,000300.SH,4499.10,4514.72,4397.57,4418.00,32808194500,671719761000
2026-03-24,000300.SH,4458.91,4474.83,4394.29,4474.72,25553251700,530149390300
2026-03-25,000300.SH,4506.62,4542.18,4502.03,4537.47,26263927900,550428161100
2026-03-26,000300.SH,4525.33,4541.05,4468.96,4477.53,21373678800,471127498400
2026-03-27,000300.SH,4431.50,4519.89,4431.42,4502.57,19240038800,440517561600
2026-03-30,000300.SH,4461.74,4496.41,4447.14,4491.95,20929309200,444629519700
2026-03-31,000300.SH,4491.92,4523.17,4450.05,4450.05,22454158500,484558113000
2026-04-01,000300.SH,4517.27,4532.11,4492.05,4526.07,21648319600,503744056900
2026-04-02,000300.SH,4514.44,4519.69,4459.61,4478.91,19099216100,429949131600
2026-04-03,000300.SH,4492.85,4494.46,4437.60,4440.79,16832170500,373234910100
