trade_date,wind_code,open,high,low,close,volume,amt
2025-12-29,000932.SH,15390.23,15458.24,15336.25,15347.72,1016071900,22453669500
2025-12-30,000932.SH,15334.56,15403.62,15315.30,15348.42,765029800,19670307000
2025-12-31,000932.SH,15342.24,15363.33,15212.14,15248.57,703750700,18842089700
2026-01-05,000932.SH,15258.85,15453.84,15247.65,15430.12,813510400,28325872000
2026-01-06,000932.SH,15430.58,15564.91,15375.78,15564.91,909132900,24541968800
2026-01-07,000932.SH,15557.60,15586.52,15442.93,15456.00,834738900,21590880800
2026-01-08,000932.SH,15420.26,15420.26,15321.99,15357.93,792729900,22135541000
2026-01-09,000932.SH,15383.34,15463.51,15336.56,15414.98,825675600,22116571000
2026-01-12,000932.SH,15402.33,15510.69,15387.05,15496.58,919900500,26227018600
2026-01-13,000932.SH,15508.33,15525.50,15308.16,15342.44,973037100,26245357400
2026-01-14,000932.SH,15326.75,15427.45,15183.53,15271.59,1098874000,30634713300
2026-01-15,000932.SH,15244.62,15345.33,15190.97,15213.56,768930200,22874085200
2026-01-16,000932.SH,15237.52,15253.28,15007.81,15035.57,870313900,27534295400
2026-01-19,000932.SH,15016.33,15102.16,15001.02,15047.21,823679700,24337767700
2026-01-20,000932.SH,15052.43,15139.05,15037.10,15098.35,1000957200,25242940800
2026-01-21,000932.SH,15087.07,15087.07,14880.51,14899.85,819357600,29045625500
2026-01-22,000932.SH,14903.44,14983.93,14843.78,14860.58,823626800,26581703300
2026-01-23,000932.SH,14875.53,14923.64,14829.28,14860.61,919059100,28752618100
2026-01-26,000932.SH,14837.29,14888.62,14623.36,14819.21,1496071300,40868769800
2026-01-27,000932.SH,14814.83,14814.83,14571.28,14583.67,1090934700,29341505900
2026-01-28,000932.SH,14570.25,14649.05,14502.18,14575.33,1405431700,36922404000
2026-01-29,000932.SH,14591.51,15341.87,14576.96,15341.69,1937675400,77130493700
2026-01-30,000932.SH,15290.01,15302.17,14964.99,14964.99,2106039400,57289645500
2026-02-02,000932.SH,14936.32,15305.41,14919.89,14936.87,1742931300,48152877100
2026-02-03,000932.SH,14942.85,15145.83,14907.23,15073.75,1071455300,36317323300
2026-02-04,000932.SH,15072.47,15411.09,15035.63,15391.33,1101223200,44315003700
2026-02-05,000932.SH,15364.53,15619.09,15349.05,15518.61,1127576500,45118404000
2026-02-06,000932.SH,15454.84,15553.18,15301.87,15333.48,885085300,34940310600
2026-02-09,000932.SH,15320.63,15428.94,15291.29,15363.38,763112200,26795233500
2026-02-10,000932.SH,15343.11,15343.78,15146.93,15179.84,675845500,22640384200
2026-02-11,000932.SH,15176.11,15228.25,15123.49,15197.61,760001500,19195985000
2026-02-12,000932.SH,15169.21,15170.66,14987.03,14996.44,681219100,22278302100
2026-02-13,000932.SH,15013.37,15109.99,14943.86,14952.52,628266800,21101083600
2026-02-24,000932.SH,15088.50,15098.55,14817.25,14850.04,750827300,23380007300
