trade_date,wind_code,open,high,low,close,volume,amt
2025-12-29,801110.SI,9156.25,9205.43,9116.83,9127.08,1542050000,31134930000
2025-12-30,801110.SI,9092.36,9222.44,9092.36,9214.83,1539200000,35128980000
2025-12-31,801110.SI,9256.01,9298.65,9183.69,9213.92,1622270000,44778120000
2026-01-05,801110.SI,9296.19,9340.88,9264.01,9323.99,1817720000,45210150000
2026-01-06,801110.SI,9312.61,9395.05,9271.98,9372.71,1871410000,45086010000
2026-01-07,801110.SI,9355.61,9359.06,9273.15,9330.84,1918380000,44926080000
2026-01-08,801110.SI,9313.27,9328.52,9257.92,9309.53,1632910000,35737110000
2026-01-09,801110.SI,9331.13,9440.30,9331.13,9429.64,1952370000,43749450000
2026-01-12,801110.SI,9448.33,9485.74,9385.76,9484.09,2607100000,52083970000
2026-01-13,801110.SI,9481.42,9505.28,9323.73,9342.16,2702840000,60225020000
2026-01-14,801110.SI,9336.23,9478.68,9322.51,9380.31,2759870000,58013680000
2026-01-15,801110.SI,9356.85,9381.27,9328.63,9333.45,2198720000,40358800000
2026-01-16,801110.SI,9347.35,9445.16,9347.35,9397.26,2047400000,46118360000
2026-01-19,801110.SI,9405.52,9502.82,9387.11,9475.04,1951140000,43555280000
2026-01-20,801110.SI,9488.79,9555.12,9472.04,9534.32,2268010000,47430890000
2026-01-21,801110.SI,9507.20,9551.04,9472.17,9484.23,2009170000,40393010000
2026-01-22,801110.SI,9517.23,9517.23,9448.18,9462.99,1910720000,40582070000
2026-01-23,801110.SI,9429.25,9429.88,9369.39,9395.37,2387880000,50607150000
2026-01-26,801110.SI,9391.95,9397.21,9236.72,9237.21,2297450000,46725680000
2026-01-27,801110.SI,9234.60,9274.55,9168.57,9220.17,1954820000,36682710000
2026-01-28,801110.SI,9208.15,9208.15,9084.26,9084.26,1696580000,34759510000
2026-01-29,801110.SI,9086.45,9201.31,9086.45,9167.79,1855950000,36870970000
2026-01-30,801110.SI,9143.76,9212.24,9094.66,9124.68,1721350000,34559110000
2026-02-02,801110.SI,9105.49,9193.57,9080.22,9080.22,1578250000,33171850000
2026-02-03,801110.SI,9109.82,9160.46,9099.97,9160.13,1403900000,31098980000
2026-02-04,801110.SI,9148.72,9283.86,9148.72,9283.80,1675980000,30183590000
2026-02-05,801110.SI,9244.50,9337.09,9244.50,9291.68,1394180000,28049420000
2026-02-06,801110.SI,9256.52,9295.24,9211.94,9241.72,1362330000,26812400000
2026-02-09,801110.SI,9281.88,9284.96,9236.75,9284.96,1406250000,25335360000
2026-02-10,801110.SI,9307.64,9390.38,9290.37,9388.15,1333500000,28395400000
2026-02-11,801110.SI,9380.36,9390.30,9323.51,9326.34,1604130000,27489230000
2026-02-12,801110.SI,9308.82,9324.12,9277.46,9306.18,1397860000,23743520000
2026-02-13,801110.SI,9280.58,9323.89,9251.27,9256.55,1386950000,24843240000
2026-02-24,801110.SI,9380.63,9380.63,9308.09,9308.09,1478340000,27022940000
2026-02-25,801110.SI,9349.09,9380.59,9300.08,9320.18,1360040000,26278040000
2026-02-26,801110.SI,9300.13,9300.13,9238.57,9253.94,1433810000,26520790000
2026-02-27,801110.SI,9230.99,9253.50,9205.15,9217.41,1459270000,26231390000
2026-03-02,801110.SI,9108.72,9148.78,9011.37,9053.69,1775630000,32953860000
2026-03-03,801110.SI,9056.62,9071.28,8851.30,8852.80,1800560000,32089140000
2026-03-04,801110.SI,8781.81,8828.47,8726.12,8801.45,1292490000,24072150000
2026-03-05,801110.SI,8899.71,8910.50,8844.84,8868.00,1353180000,20545940000
2026-03-06,801110.SI,8864.81,8942.37,8864.81,8940.72,1492700000,21948280000
2026-03-09,801110.SI,8816.40,8836.39,8710.22,8814.72,1577970000,24913520000
2026-03-10,801110.SI,8867.94,8978.83,8867.94,8972.98,1293700000,22146390000
2026-03-11,801110.SI,8972.28,9054.19,8972.28,9024.98,1660160000,24364190000
2026-03-12,801110.SI,9011.33,9026.69,8952.42,9009.54,1437720000,22263930000
2026-03-13,801110.SI,8974.51,9036.64,8970.60,8987.62,1660550000,25494610000
2026-03-16,801110.SI,8955.83,8969.70,8890.64,8965.78,1547180000,23534380000
2026-03-17,801110.SI,8998.02,9033.22,8916.15,8916.15,1550290000,22965210000
2026-03-18,801110.SI,8931.92,8976.11,8901.99,8968.78,1250170000,20378680000
2026-03-19,801110.SI,8876.71,8904.80,8785.95,8803.19,1436370000,22675880000
2026-03-20,801110.SI,8817.99,8838.07,8690.72,8690.72,1529630000,23722300000
2026-03-23,801110.SI,8566.55,8566.55,8343.11,8375.52,1919870000,31183620000
2026-03-24,801110.SI,8458.23,8503.02,8346.68,8496.58,1457780000,23058250000
2026-03-25,801110.SI,8529.25,8620.77,8529.25,8618.67,1355380000,21678820000
2026-03-26,801110.SI,8635.91,8691.17,8547.95,8559.14,1354840000,22706910000
2026-03-27,801110.SI,8423.37,8563.48,8423.37,8555.16,1322450000,21957950000
2026-03-30,801110.SI,8423.65,8449.22,8372.48,8427.74,1301360000,22302490000
2026-03-31,801110.SI,8547.44,8676.33,8547.44,8560.07,1352700000,26650090000
2026-04-01,801110.SI,8639.90,8676.00,8639.25,8676.00,1366320000,23996170000
2026-04-02,801110.SI,8663.05,8681.88,8596.97,8621.06,1271320000,21777380000
2026-04-03,801110.SI,8626.83,8626.83,8486.57,8491.44,1090180000,18274350000
2026-04-07,801110.SI,8494.60,8517.14,8428.19,8478.19,1004270000,17926460000
2026-04-08,801110.SI,8600.18,8683.23,8600.18,8683.23,1472950000,27006820000
2026-04-09,801110.SI,8623.63,8650.99,8584.93,8594.89,1344840000,25153790000
2026-04-10,801110.SI,8618.44,8672.06,8618.44,8648.89,1310630000,24657890000
2026-04-13,801110.SI,8601.39,8629.87,8586.11,8601.99,1254670000,20875950000
2026-04-14,801110.SI,8644.13,8682.15,8604.88,8681.71,1588160000,24865310000
2026-04-15,801110.SI,8707.91,8778.89,8696.51,8740.19,1803810000,29246760000
2026-04-16,801110.SI,8773.87,8807.19,8744.40,8788.18,1609830000,27807490000
2026-04-17,801110.SI,8778.75,8825.78,8761.26,8812.07,1631150000,27835180000
2026-04-20,801110.SI,8811.01,8917.81,8803.50,8912.65,1597140000,30420360000
2026-04-21,801110.SI,8916.02,8932.05,8882.28,8917.66,1959320000,31716310000
2026-04-22,801110.SI,8891.50,8934.68,8874.06,8926.13,1962110000,30321040000
2026-04-23,801110.SI,8940.39,8981.15,8906.11,8945.86,2262290000,39399940000
2026-04-24,801110.SI,8896.60,8927.46,8866.70,8902.93,1654030000,29259610000
2026-04-27,801110.SI,8866.52,8971.07,8866.52,8953.09,2012580000,35452200000
2026-04-28,801110.SI,8931.31,8968.01,8914.37,8946.54,1893580000,35658970000
2026-04-29,801110.SI,8983.05,9085.12,8983.05,9076.64,1741110000,34991250000
2026-04-30,801110.SI,9052.49,9153.49,9052.49,9096.84,1715360000,35686870000
2026-05-06,801110.SI,9060.98,9159.95,9060.92,9150.79,1768730000,37126860000
2026-05-07,801110.SI,9146.20,9236.50,9146.20,9170.69,2102180000,44068020000
2026-05-08,801110.SI,9147.76,9304.10,9131.87,9267.70,2027420000,43986450000
2026-05-11,801110.SI,9270.65,9365.63,9229.78,9310.44,2068590000,43442960000
2026-05-12,801110.SI,9313.93,9326.75,9214.92,9230.02,1858040000,35752290000
2026-05-13,801110.SI,9197.80,9284.88,9197.80,9274.55,1759810000,33774000000
2026-05-14,801110.SI,9300.81,9322.02,9232.90,9241.19,1752820000,36668790000
2026-05-15,801110.SI,9226.08,9411.15,9226.08,9315.70,2011830000,45487580000
2026-05-18,801110.SI,9317.08,9359.18,9253.22,9315.83,1750720000,40720480000
2026-05-19,801110.SI,9314.81,9314.81,9197.93,9246.57,1507310000,33997730000
2026-05-20,801110.SI,9206.84,9263.31,9155.28,9240.63,1554530000,33476350000
2026-05-21,801110.SI,9293.90,9354.36,9190.20,9193.09,2094870000,48495940000
2026-05-22,801110.SI,9209.52,9209.52,9133.87,9189.37,1664010000,39001450000
2026-05-25,801110.SI,9188.53,9188.53,9102.27,9148.87,1665860000,36688540000
2026-05-26,801110.SI,9138.03,9160.97,9050.60,9112.45,1729870000,38957060000
2026-05-27,801110.SI,9074.47,9074.54,8930.22,8983.02,1635640000,34836540000
2026-05-28,801110.SI,8938.57,8938.61,8778.18,8845.95,1479010000,31566500000
2026-05-29,801110.SI,8850.03,8930.46,8834.62,8851.36,1629470000,34511090000
2026-06-01,801110.SI,8818.89,8942.77,8818.89,8874.95,1375870000,28641110000
2026-06-02,801110.SI,8876.38,8941.37,8847.41,8930.66,1270480000,24859680000
2026-06-03,801110.SI,8901.63,8964.37,8871.30,8908.69,1386330000,26338650000
2026-06-04,801110.SI,8859.24,8969.93,8853.99,8879.21,1370220000,27533000000
2026-06-05,801110.SI,8858.89,8953.16,8839.97,8863.84,1521970000,32040000000
2026-06-08,801110.SI,8723.79,8937.29,8723.79,8816.82,1444310000,29925030000
2026-06-09,801110.SI,8819.95,8821.41,8730.81,8816.84,1218030000,24769080000
2026-06-10,801110.SI,8788.00,8851.05,8737.84,8803.74,1328620000,25391760000
2026-06-11,801110.SI,8756.12,8896.82,8756.12,8885.53,1335270000,27583580000
2026-06-12,801110.SI,8881.80,8881.80,8789.78,8807.49,1486670000,32435410000
2026-06-15,801110.SI,8804.79,8804.79,8691.39,8753.16,1402990000,28950100000
2026-06-16,801110.SI,8751.79,8751.82,8610.85,8643.98,1449300000,29314780000
2026-06-17,801110.SI,8619.42,8631.58,8575.82,8602.16,1314870000,25658070000
2026-06-18,801110.SI,8577.46,8589.76,8507.37,8507.37,1376640000,28845060000
2026-06-22,801110.SI,8479.96,8517.57,8417.84,8516.62,1556540000,29136890000
2026-06-23,801110.SI,8504.73,8585.55,8424.49,8455.78,1558140000,27041850000
2026-06-24,801110.SI,8454.46,8454.46,8300.99,8344.67,1378700000,23622790000
2026-06-25,801110.SI,8342.57,8429.09,8319.98,8339.52,1493890000,27801810000
2026-06-26,801110.SI,8333.19,8374.12,8269.56,8303.95,1556590000,27873250000
2026-06-29,801110.SI,8228.22,8341.05,8184.77,8337.39,1788980000,32504120000
2026-06-30,801110.SI,8313.08,8422.07,8294.33,8361.53,1581660000,31286560000
2026-07-01,801110.SI,8385.34,8466.18,8274.17,8456.07,1748050000,31068610000
2026-07-02,801110.SI,8452.53,8545.27,8448.90,8450.41,1759610000,33773210000
2026-07-03,801110.SI,8470.47,8643.43,8470.47,8621.96,1810880000,41023780000
2026-07-06,801110.SI,8636.20,8679.37,8610.20,8645.80,1747530000,35988400000
2026-07-07,801110.SI,8607.67,8642.83,8477.81,8497.19,1419210000,26284020000
2026-07-08,801110.SI,8466.75,8466.75,8391.53,8409.48,1229860000,22992620000
2026-07-09,801110.SI,8374.42,8431.09,8331.71,8426.04,1241870000,21314360000
2026-07-10,801110.SI,8419.12,8509.38,8413.75,8456.03,1456450000,26788260000
2026-07-13,801110.SI,8401.80,8477.43,8399.13,8412.36,1524050000,25356250000
2026-07-14,801110.SI,8399.67,8475.38,8350.07,8475.38,1346960000,23157210000
2026-07-15,801110.SI,8466.85,8583.35,8448.51,8580.68,1277630000,21461180000
2026-07-16,801110.SI,8526.70,8608.01,8516.14,8534.00,1221680000,21070160000
2026-07-17,801110.SI,8542.53,8554.74,8353.65,8409.09,1407610000,25010990000
2026-07-20,801110.SI,8350.17,8476.89,8320.66,8408.94,1470440000,27401450000
2026-07-21,801110.SI,8406.68,8496.17,8406.66,8494.65,1504650000,27524500000
2026-07-22,801110.SI,8451.80,8486.42,8417.71,8486.42,1155600000,19847330000
2026-07-23,801110.SI,8433.00,8488.60,8433.00,8484.19,989480000,16190240000
2026-07-24,801110.SI,8435.34,8435.34,8363.22,8365.49,998400000,17045690000
2026-07-27,801110.SI,8336.69,8445.71,8336.69,8443.41,967270000,16396010000
2026-07-28,801110.SI,8423.00,8537.88,8423.00,8512.22,961120000,17664550000
2026-07-29,801110.SI,8505.51,8682.11,8505.48,8671.08,1201910000,23350460000
2026-07-30,801110.SI,8650.97,8789.50,8650.97,8756.84,1172740000,22140930000
2026-07-31,801110.SI,8678.65,8782.20,8601.08,8768.49,1356820000,26563200000
2026-08-03,801110.SI,8755.08,8769.38,8665.33,8677.09,1077810000,20724060000
2026-08-04,801110.SI,8690.97,8690.97,8605.92,8651.59,1103340000,20319310000
2026-08-05,801110.SI,8636.38,8690.92,8597.58,8690.92,1170480000,20196690000
2026-08-06,801110.SI,8668.05,8685.27,8609.10,8654.67,1058430000,17734360000
2026-08-07,801110.SI,8653.77,8653.77,8549.17,8580.57,1083300000,19338390000
2026-08-10,801110.SI,8584.66,8708.89,8579.48,8699.81,1032500000,18641510000
2026-08-11,801110.SI,8681.67,8766.86,8672.64,8716.87,1048460000,18972290000
2026-08-12,801110.SI,8692.39,8692.39,8632.14,8658.54,954600000,16425250000
2026-08-13,801110.SI,8656.58,8668.68,8614.66,8614.66,1254750000,18178330000
2026-08-14,801110.SI,8593.72,8610.15,8540.78,8557.40,1134535900,16040981800
2025-12-29,801010.SI,2975.35,3011.16,2973.56,2998.53,3083770000,31222750000
