trade_date,wind_code,open,high,low,close,volume,amt
2025-12-29,801080.SI,6554.11,6669.38,6554.11,6588.28,9903980000,348161710000
2025-12-30,801080.SI,6566.69,6671.40,6566.69,6621.68,9402960000,342167800000
2025-12-31,801080.SI,6667.31,6667.31,6543.93,6554.19,9453750000,319855310000
2026-01-05,801080.SI,6628.15,6795.84,6628.15,6795.84,11445900000,438850210000
2026-01-06,801080.SI,6789.12,6934.26,6783.78,6908.57,15366070000,480873590000
2026-01-07,801080.SI,6984.49,7044.31,6924.28,6994.64,15348000000,548176790000
2026-01-08,801080.SI,6972.18,7081.19,6958.66,6997.66,12801290000,495404090000
2026-01-09,801080.SI,6944.82,7062.45,6901.73,7061.21,14346940000,496627900000
2026-01-12,801080.SI,7096.60,7181.45,7017.92,7164.63,16155220000,563468080000
2026-01-13,801080.SI,7138.49,7144.04,6899.47,6927.95,14871950000,501317130000
2026-01-14,801080.SI,6973.96,7139.71,6948.30,7021.97,17277370000,539923660000
2026-01-15,801080.SI,6974.48,7139.57,6959.92,7139.57,13009100000,460692350000
2026-01-16,801080.SI,7220.90,7380.36,7205.05,7327.72,15485260000,600302940000
2026-01-19,801080.SI,7316.96,7361.98,7273.51,7291.72,13042860000,495862340000
2026-01-20,801080.SI,7275.58,7327.15,7144.24,7202.38,12958120000,485081100000
2026-01-21,801080.SI,7163.57,7428.71,7163.57,7390.79,13497650000,532798880000
2026-01-22,801080.SI,7505.10,7514.56,7340.82,7406.52,14001440000,555654490000
2026-01-23,801080.SI,7375.14,7429.70,7310.69,7429.70,16126870000,551145340000
2026-01-26,801080.SI,7417.46,7454.94,7237.18,7263.13,14535100000,501723540000
2026-01-27,801080.SI,7242.85,7456.07,7161.51,7428.16,14325560000,515301970000
2026-01-28,801080.SI,7480.30,7546.31,7389.67,7459.42,14037600000,546133920000
2026-01-29,801080.SI,7436.83,7459.93,7192.69,7193.65,13619560000,501863550000
2026-01-30,801080.SI,7152.95,7297.55,7031.24,7242.89,12718700000,455425770000
2026-02-02,801080.SI,7161.78,7204.54,6950.06,6950.06,11075870000,421230350000
2026-02-03,801080.SI,7072.36,7098.44,6920.16,7098.38,10340740000,417418550000
2026-02-04,801080.SI,7016.06,7016.06,6895.23,6988.39,10229000000,364511180000
2026-02-05,801080.SI,6860.95,6928.79,6803.13,6902.49,9044640000,317934730000
2026-02-06,801080.SI,6817.51,6961.25,6783.50,6864.10,8583630000,313973560000
2026-02-09,801080.SI,7006.53,7068.25,6970.27,7068.25,9294390000,352092850000
2026-02-10,801080.SI,7074.53,7151.07,7067.84,7082.06,8550900000,310187990000
2026-02-11,801080.SI,7040.18,7083.50,7004.52,7004.83,7323320000,258826190000
2026-02-12,801080.SI,7038.74,7127.14,7014.10,7125.95,8487300000,330203390000
2026-02-13,801080.SI,7073.89,7184.39,7071.50,7105.44,8281600000,313428810000
2026-02-24,801080.SI,7220.04,7265.67,7107.18,7200.52,10325520000,361385950000
2026-02-25,801080.SI,7215.06,7313.68,7158.94,7303.01,11046730000,411093490000
2026-02-26,801080.SI,7319.50,7484.68,7260.19,7447.71,12024750000,480786850000
2026-02-27,801080.SI,7330.64,7397.12,7282.32,7394.47,11525570000,416552990000
2026-03-02,801080.SI,7238.99,7370.79,7238.99,7286.73,12226590000,423421730000
2026-03-03,801080.SI,7319.63,7319.63,6890.84,6900.80,13749980000,472925030000
2026-03-04,801080.SI,6831.96,7031.81,6831.96,6883.76,9551110000,336921540000
2026-03-05,801080.SI,7067.90,7149.20,6978.25,7022.75,12856810000,399844990000
2026-03-06,801080.SI,6968.33,7083.15,6955.51,7019.35,12890300000,346739060000
2026-03-09,801080.SI,6808.77,6904.66,6648.32,6886.60,12329950000,386475480000
2026-03-10,801080.SI,7025.32,7123.95,7022.93,7121.23,11136310000,380793300000
2026-03-11,801080.SI,7131.46,7187.07,7048.26,7065.95,11474410000,375908530000
2026-03-12,801080.SI,7044.79,7114.96,6910.47,6990.40,11093840000,342057740000
2026-03-13,801080.SI,6932.21,7049.58,6907.12,6933.27,10312830000,345656140000
2026-03-16,801080.SI,6926.08,7056.28,6811.57,7055.75,11224860000,383627630000
