Date,Dividends,Stock Splits
2008-05-05T16:00:00.000Z,0.032,0.0
2009-05-05T16:00:00.000Z,0.07,0.0
2010-05-04T16:00:00.000Z,0.1,0.0
2011-05-02T16:00:00.000Z,0.11,0.0
2012-05-17T16:00:00.000Z,0.15,0.0
2013-05-19T16:00:00.000Z,0.2,0.0
2014-05-14T16:00:00.000Z,0.0,5.0
2014-05-15T16:00:00.000Z,0.24,0.0
2015-05-14T16:00:00.000Z,0.36,0.0
2016-05-19T16:00:00.000Z,0.47,0.0
2017-05-18T16:00:00.000Z,0.61,0.0
2018-05-17T16:00:00.000Z,0.88,0.0
2019-05-16T16:00:00.000Z,1.0,0.0
2020-05-14T16:00:00.000Z,1.2,0.0
2021-05-23T16:00:00.000Z,1.6,0.0
2022-05-19T16:00:00.000Z,1.6,0.0
2023-05-18T16:00:00.000Z,2.4,0.0
2024-05-16T16:00:00.000Z,3.4,0.0
2025-05-15T16:00:00.000Z,4.5,0.0
2026-05-14T16:00:00.000Z,5.3,0.0
